Nombre,bus_100
Acebeda (La),85.17
Ajalvir,63.59
Alameda del Valle,49.86
Alamo (El),43.56
Alcalá de Henares,19.12
Alcobendas,74.77
Alcorcón,27.69
Aldea del Fresno,61.7
Algete,48.91
Alpedrete,49.69
Ambite,45.3
Anchuelo,39.56
Aranjuez,26.15
Arganda del Rey,71.59
Arroyomolinos,40.39
Atazar (El),53.48
Batres,40.94
Becerril de la Sierra,53.0
Belmonte de Tajo,40.98
Berrueco (El),44.28
Berzosa del Lozoya,52.86
Boadilla del Monte,26.93
Boalo (El),51.05
Braojos,60.58
Brea de Tajo,44.2
Brunete,49.28
Buitrago del Lozoya,48.78
Bustarviejo,39.0
Cabanillas de la Sierra,48.43
Cabrera (La),98.66
Cadalso de los Vidrios,49.16
Camarma de Esteruelas,40.54
Campo Real,44.83
Canencia,55.45
Carabaña,39.81
Casarrubuelos,45.98
Cenicientos,39.92
Cercedilla,55.74
Cervera de Buitrago,57.52
Chapinería,39.03
Chinchón,50.91
Ciempozuelos,42.65
Cobeña,52.6
Collado Mediano,65.42
Collado Villalba,93.38
Colmenar Viejo,82.94
Colmenar de Oreja,45.29
Colmenar del Arroyo,40.04
Colmenarejo,46.72
Corpa,42.35
Coslada,39.55
Cubas de la Sagra,44.77
Daganzo de Arriba,47.67
Escorial (El),55.13
Estremera,41.66
Fresnedillas de la Oliva,41.05
Fresno de Torote,39.67
Fuenlabrada,18.82
Fuente el Saz de Jarama,47.47
Fuentidueña de Tajo,41.19
Galapagar,44.43
Garganta de los Montes,57.07
Gargantilla del Lozoya y Pinilla de Buitrago,58.6
Gascones,52.1
Getafe,34.84
Griñón,43.77
Guadalix de la Sierra,41.39
Guadarrama,50.84
Hiruela (La),59.59
Horcajo de la Sierra-Aoslos,51.81
Horcajuelo de la Sierra,67.42
Hoyo de Manzanares,44.9
Humanes de Madrid,43.89
Leganés,12.93
Loeches,47.28
Lozoya,43.47
Lozoyuela-Navas-Sieteiglesias,46.87
Madarcos,81.92
Majadahonda,100.0
Manzanares el Real,41.99
Meco,42.11
Mejorada del Campo,41.27
Miraflores de la Sierra,41.26
Molar (El),53.53
Molinos (Los),58.72
Montejo de la Sierra,54.87
Moraleja de Enmedio,60.01
Moralzarzal,47.69
Morata de Tajuña,45.99
Móstoles,25.18
Navacerrada,55.71
Navalafuente,40.34
Navalagamella,57.83
Navalcarnero,45.44
Navarredonda y San Mamés,80.18
Navas del Rey,41.73
Nuevo Baztán,44.44
Olmeda de las Fuentes,50.11
Orusco de Tajuña,41.75
Paracuellos de Jarama,44.02
Parla,6.04
Patones,46.73
Pedrezuela,67.06
Pelayos de la Presa,42.36
Perales de Tajuña,100.0
Pezuela de las Torres,41.63
Pinilla del Valle,53.78
Pinto,59.42
Piñuécar-Gandullas,100.0
Pozuelo de Alarcón,91.72
Pozuelo del Rey,40.93
Prádena del Rincón,80.18
Puebla de la Sierra,54.24
Puentes Viejas,46.67
Quijorna,40.59
Rascafría,42.04
Redueña,53.88
Ribatejada,43.58
Rivas-Vaciamadrid,39.51
Robledillo de la Jara,73.22
Robledo de Chavela,64.04
Robregordo,78.07
Rozas de Madrid (Las),93.86
Rozas de Puerto Real,41.14
San Agustín del Guadalix,48.14
San Fernando de Henares,47.64
San Lorenzo de El Escorial,52.09
San Martín de Valdeiglesias,37.18
San Martín de la Vega,44.85
San Sebastián de los Reyes,69.95
Santa María de la Alameda,41.52
Santorcaz,40.09
Santos de la Humosa (Los),38.99
Serna del Monte (La),82.74
Serranillos del Valle,44.6
Sevilla la Nueva,46.7
Somosierra,75.27
Soto del Real,49.35
Talamanca de Jarama,50.51
Tielmes,39.57
Titulcia,40.73
Torrejón de Ardoz,18.16
Torrejón de Velasco,44.32
Torrejón de la Calzada,43.65
Torrelaguna,71.91
Torrelodones,55.75
Torremocha de Jarama,42.53
Torres de la Alameda,49.53
Tres Cantos,75.68
Valdaracete,43.38
Valdeavero,41.06
Valdelaguna,41.42
Valdemanco,42.83
Valdemaqueda,44.16
Valdemorillo,48.14
Valdemoro,41.77
Valdeolmos-Alalpardo,44.82
Valdepiélagos,43.45
Valdetorres de Jarama,48.49
Valdilecha,41.85
Valverde de Alcalá,44.28
Velilla de San Antonio,44.97
Vellón (El),41.99
Venturada,43.33
Villa del Prado,44.14
Villaconejos,54.4
Villalbilla,45.59
Villamanrique de Tajo,42.34
Villamanta,40.69
Villamantilla,39.42
Villanueva de Perales,40.3
Villanueva de la Cañada,47.33
Villanueva del Pardillo,48.93
Villar del Olmo,40.51
Villarejo de Salvanés,55.47
Villaviciosa de Odón,42.64
Villavieja del Lozoya,63.36
Zarzalejo,42.75
Madrid,0.0
