Nombre,centrosSociales_10
Acebeda (La),46.6
Ajalvir,52.58
Alameda del Valle,46.6
Alamo (El),53.37
Alcalá de Henares,46.13
Alcobendas,50.62
Alcorcón,32.74
Aldea del Fresno,72.23
Algete,45.77
Alpedrete,54.1
Ambite,46.6
Anchuelo,46.6
Aranjuez,63.16
Arganda del Rey,45.97
Arroyomolinos,43.88
Atazar (El),46.6
Batres,47.85
Becerril de la Sierra,49.51
Belmonte de Tajo,47.87
Berrueco (El),49.72
Berzosa del Lozoya,77.38
Boadilla del Monte,21.19
Boalo (El),43.57
Braojos,46.6
Brea de Tajo,55.2
Brunete,43.12
Buitrago del Lozoya,51.48
Bustarviejo,47.46
Cabanillas de la Sierra,46.6
Cabrera (La),78.75
Cadalso de los Vidrios,100.0
Camarma de Esteruelas,45.83
Campo Real,46.67
Canencia,51.82
Carabaña,47.61
Casarrubuelos,49.82
Cenicientos,48.9
Cercedilla,57.67
Cervera de Buitrago,46.6
Chapinería,47.51
Chinchón,47.71
Ciempozuelos,55.81
Cobeña,55.55
Collado Mediano,48.49
Collado Villalba,49.0
Colmenar Viejo,56.06
Colmenar de Oreja,47.42
Colmenar del Arroyo,47.81
Colmenarejo,47.11
Corpa,49.58
Coslada,47.42
Cubas de la Sagra,46.48
Daganzo de Arriba,44.86
Escorial (El),51.97
Estremera,51.65
Fresnedillas de la Oliva,47.91
Fresno de Torote,47.56
Fuenlabrada,38.44
Fuente el Saz de Jarama,51.2
Fuentidueña de Tajo,48.69
Galapagar,49.33
Garganta de los Montes,46.6
Gargantilla del Lozoya y Pinilla de Buitrago,59.14
Gascones,46.6
Getafe,47.6
Griñón,54.81
Guadalix de la Sierra,49.22
Guadarrama,58.89
Hiruela (La),46.6
Horcajo de la Sierra-Aoslos,46.6
Horcajuelo de la Sierra,46.6
Hoyo de Manzanares,41.53
Humanes de Madrid,44.15
Leganés,72.45
Loeches,45.4
Lozoya,46.6
Lozoyuela-Navas-Sieteiglesias,51.67
Madarcos,46.6
Majadahonda,40.14
Manzanares el Real,45.25
Meco,44.91
Mejorada del Campo,43.68
Miraflores de la Sierra,43.97
Molar (El),45.11
Molinos (Los),52.78
Montejo de la Sierra,65.04
Moraleja de Enmedio,47.95
Moralzarzal,54.88
Morata de Tajuña,47.93
Móstoles,42.06
Navacerrada,46.94
Navalafuente,48.06
Navalagamella,47.19
Navalcarnero,51.21
Navarredonda y San Mamés,46.6
Navas del Rey,52.01
Nuevo Baztán,41.53
Olmeda de las Fuentes,46.6
Orusco de Tajuña,48.22
Paracuellos de Jarama,46.07
Parla,49.21
Patones,54.64
Pedrezuela,55.1
Pelayos de la Presa,47.14
Perales de Tajuña,41.53
Pezuela de las Torres,49.06
Pinilla del Valle,46.6
Pinto,52.03
Piñuécar-Gandullas,46.6
Pozuelo de Alarcón,100.0
Pozuelo del Rey,46.6
Prádena del Rincón,46.6
Puebla de la Sierra,46.6
Puentes Viejas,46.6
Quijorna,50.39
Rascafría,46.6
Redueña,46.6
Ribatejada,52.08
Rivas-Vaciamadrid,52.11
Robledillo de la Jara,88.69
Robledo de Chavela,60.13
Robregordo,46.6
Rozas de Madrid (Las),42.11
Rozas de Puerto Real,50.88
San Agustín del Guadalix,44.12
San Fernando de Henares,45.2
San Lorenzo de El Escorial,50.08
San Martín de Valdeiglesias,54.99
San Martín de la Vega,44.94
San Sebastián de los Reyes,74.87
Santa María de la Alameda,46.6
Santorcaz,49.05
Santos de la Humosa (Los),46.6
Serna del Monte (La),46.6
Serranillos del Valle,60.72
Sevilla la Nueva,54.33
Somosierra,100.0
Soto del Real,49.16
Talamanca de Jarama,53.2
Tielmes,49.11
Titulcia,46.6
Torrejón de Ardoz,33.99
Torrejón de Velasco,41.53
Torrejón de la Calzada,44.89
Torrelaguna,48.58
Torrelodones,51.4
Torremocha de Jarama,57.33
Torres de la Alameda,52.98
Tres Cantos,60.27
Valdaracete,46.6
Valdeavero,46.6
Valdelaguna,48.81
Valdemanco,48.86
Valdemaqueda,46.6
Valdemorillo,42.77
Valdemoro,32.45
Valdeolmos-Alalpardo,45.4
Valdepiélagos,46.6
Valdetorres de Jarama,55.38
Valdilecha,41.53
Valverde de Alcalá,46.6
Velilla de San Antonio,44.01
Vellón (El),48.77
Venturada,47.54
Villa del Prado,48.47
Villaconejos,46.55
Villalbilla,47.28
Villamanrique de Tajo,46.6
Villamanta,50.02
Villamantilla,49.59
Villanueva de Perales,46.6
Villanueva de la Cañada,48.99
Villanueva del Pardillo,47.35
Villar del Olmo,47.66
Villarejo de Salvanés,43.76
Villaviciosa de Odón,49.86
Villavieja del Lozoya,46.6
Zarzalejo,49.15
Madrid,0.0
