Nombre,pension_media
Acebeda (La),0.0
Ajalvir,27.73
Alameda del Valle,46.74
Alamo (El),62.9
Alcalá de Henares,74.49
Alcobendas,61.12
Alcorcón,72.26
Aldea del Fresno,15.14
Algete,72.21
Alpedrete,67.1
Ambite,55.16
Anchuelo,57.11
Aranjuez,34.17
Arganda del Rey,36.93
Arroyomolinos,78.7
Atazar (El),28.24
Batres,57.88
Becerril de la Sierra,43.82
Belmonte de Tajo,58.23
Berrueco (El),55.36
Berzosa del Lozoya,40.05
Boadilla del Monte,25.9
Boalo (El),52.6
Braojos,46.43
Brea de Tajo,54.18
Brunete,60.62
Buitrago del Lozoya,58.29
Bustarviejo,58.85
Cabanillas de la Sierra,55.58
Cabrera (La),0.0
Cadalso de los Vidrios,17.03
Camarma de Esteruelas,51.3
Campo Real,50.47
Canencia,52.46
Carabaña,58.63
Casarrubuelos,21.66
Cenicientos,58.6
Cercedilla,51.14
Cervera de Buitrago,36.03
Chapinería,58.74
Chinchón,47.22
Ciempozuelos,77.07
Cobeña,46.46
Collado Mediano,47.5
Collado Villalba,37.71
Colmenar Viejo,25.79
Colmenar de Oreja,59.87
Colmenar del Arroyo,58.07
Colmenarejo,56.34
Corpa,55.04
Coslada,46.06
Cubas de la Sagra,47.86
Daganzo de Arriba,60.49
Escorial (El),68.51
Estremera,57.82
Fresnedillas de la Oliva,57.85
Fresno de Torote,58.42
Fuenlabrada,75.02
Fuente el Saz de Jarama,50.84
Fuentidueña de Tajo,58.57
Galapagar,78.25
Garganta de los Montes,51.0
Gargantilla del Lozoya y Pinilla de Buitrago,49.4
Gascones,44.74
Getafe,73.28
Griñón,60.2
Guadalix de la Sierra,49.26
Guadarrama,70.37
Hiruela (La),60.26
Horcajo de la Sierra-Aoslos,42.96
Horcajuelo de la Sierra,21.53
Hoyo de Manzanares,51.61
Humanes de Madrid,74.31
Leganés,74.95
Loeches,58.05
Lozoya,54.2
Lozoyuela-Navas-Sieteiglesias,57.53
Madarcos,13.9
Majadahonda,29.07
Manzanares el Real,56.93
Meco,68.75
Mejorada del Campo,75.61
Miraflores de la Sierra,49.91
Molar (El),60.85
Molinos (Los),28.74
Montejo de la Sierra,52.79
Moraleja de Enmedio,40.87
Moralzarzal,65.78
Morata de Tajuña,55.77
Móstoles,76.29
Navacerrada,1.11
Navalafuente,57.89
Navalagamella,0.11
Navalcarnero,78.63
Navarredonda y San Mamés,39.77
Navas del Rey,15.19
Nuevo Baztán,45.69
Olmeda de las Fuentes,49.79
Orusco de Tajuña,57.77
Paracuellos de Jarama,74.86
Parla,68.82
Patones,52.29
Pedrezuela,41.23
Pelayos de la Presa,8.47
Perales de Tajuña,15.02
Pezuela de las Torres,56.38
Pinilla del Valle,39.53
Pinto,26.84
Piñuécar-Gandullas,39.06
Pozuelo de Alarcón,41.83
Pozuelo del Rey,57.11
Prádena del Rincón,38.97
Puebla de la Sierra,17.69
Puentes Viejas,55.41
Quijorna,16.88
Rascafría,57.84
Redueña,45.01
Ribatejada,55.45
Rivas-Vaciamadrid,51.67
Robledillo de la Jara,26.52
Robledo de Chavela,32.3
Robregordo,24.11
Rozas de Madrid (Las),45.79
Rozas de Puerto Real,54.46
San Agustín del Guadalix,64.6
San Fernando de Henares,79.31
San Lorenzo de El Escorial,71.26
San Martín de Valdeiglesias,60.87
San Martín de la Vega,74.54
San Sebastián de los Reyes,52.55
Santa María de la Alameda,57.57
Santorcaz,56.06
Santos de la Humosa (Los),58.68
Serna del Monte (La),25.62
Serranillos del Valle,29.88
Sevilla la Nueva,58.61
Somosierra,21.99
Soto del Real,53.23
Talamanca de Jarama,26.69
Tielmes,58.91
Titulcia,57.38
Torrejón de Ardoz,67.3
Torrejón de Velasco,34.32
Torrejón de la Calzada,60.26
Torrelaguna,32.02
Torrelodones,72.53
Torremocha de Jarama,56.04
Torres de la Alameda,52.5
Tres Cantos,0.0
Valdaracete,54.79
Valdeavero,57.81
Valdelaguna,56.98
Valdemanco,56.67
Valdemaqueda,55.75
Valdemorillo,64.34
Valdemoro,52.15
Valdeolmos-Alalpardo,18.21
Valdepiélagos,54.01
Valdetorres de Jarama,36.3
Valdilecha,14.02
Valverde de Alcalá,53.32
Velilla de San Antonio,65.38
Vellón (El),58.5
Venturada,58.16
Villa del Prado,53.7
Villaconejos,25.87
Villalbilla,68.1
Villamanrique de Tajo,55.91
Villamanta,58.86
Villamantilla,57.5
Villanueva de Perales,57.99
Villanueva de la Cañada,72.48
Villanueva del Pardillo,70.15
Villar del Olmo,58.21
Villarejo de Salvanés,55.93
Villaviciosa de Odón,75.6
Villavieja del Lozoya,49.5
Zarzalejo,58.1
