Nombre,paro_total
Acebeda (La),25.17
Ajalvir,58.67
Alameda del Valle,39.51
Alamo (El),45.71
Alcalá de Henares,28.43
Alcobendas,72.52
Alcorcón,46.14
Aldea del Fresno,23.44
Algete,66.3
Alpedrete,57.12
Ambite,29.58
Anchuelo,58.37
Aranjuez,16.12
Arganda del Rey,12.89
Arroyomolinos,69.32
Atazar (El),0.0
Batres,59.54
Becerril de la Sierra,45.79
Belmonte de Tajo,47.07
Berrueco (El),56.87
Berzosa del Lozoya,65.84
Boadilla del Monte,100.0
Boalo (El),60.95
Braojos,68.65
Brea de Tajo,33.83
Brunete,63.52
Buitrago del Lozoya,55.54
Bustarviejo,48.88
Cabanillas de la Sierra,61.52
Cabrera (La),34.49
Cadalso de los Vidrios,3.95
Camarma de Esteruelas,39.93
Campo Real,36.94
Canencia,53.25
Carabaña,44.7
Casarrubuelos,50.31
Cenicientos,34.57
Cercedilla,53.67
Cervera de Buitrago,32.47
Chapinería,48.66
Chinchón,31.41
Ciempozuelos,36.1
Cobeña,77.01
Collado Mediano,46.7
Collado Villalba,29.67
Colmenar Viejo,62.0
Colmenar de Oreja,28.37
Colmenar del Arroyo,49.73
Colmenarejo,53.42
Corpa,51.38
Coslada,41.22
Cubas de la Sagra,63.71
Daganzo de Arriba,59.22
Escorial (El),55.89
Estremera,42.81
Fresnedillas de la Oliva,40.78
Fresno de Torote,53.55
Fuenlabrada,18.95
Fuente el Saz de Jarama,49.48
Fuentidueña de Tajo,39.95
Galapagar,54.59
Garganta de los Montes,51.55
Gargantilla del Lozoya y Pinilla de Buitrago,48.49
Gascones,57.74
Getafe,40.71
Griñón,63.78
Guadalix de la Sierra,45.68
Guadarrama,59.82
Hiruela (La),69.55
Horcajo de la Sierra-Aoslos,64.47
Horcajuelo de la Sierra,69.02
Hoyo de Manzanares,74.09
Humanes de Madrid,33.78
Leganés,38.54
Loeches,43.88
Lozoya,52.16
Lozoyuela-Navas-Sieteiglesias,51.88
Madarcos,78.88
Majadahonda,88.75
Manzanares el Real,54.13
Meco,50.73
Mejorada del Campo,40.41
Miraflores de la Sierra,45.85
Molar (El),48.37
Molinos (Los),60.13
Montejo de la Sierra,68.25
Moraleja de Enmedio,56.36
Moralzarzal,67.34
Morata de Tajuña,33.11
Móstoles,36.14
Navacerrada,63.18
Navalafuente,42.77
Navalagamella,31.69
Navalcarnero,50.29
Navarredonda y San Mamés,60.34
Navas del Rey,36.54
Nuevo Baztán,37.46
Olmeda de las Fuentes,53.42
Orusco de Tajuña,41.08
Paracuellos de Jarama,79.99
Parla,10.87
Patones,62.4
Pedrezuela,58.98
Pelayos de la Presa,13.29
Perales de Tajuña,0.0
Pezuela de las Torres,49.5
Pinilla del Valle,53.94
Pinto,38.34
Piñuécar-Gandullas,72.79
Pozuelo de Alarcón,97.01
Pozuelo del Rey,45.15
Prádena del Rincón,60.34
Puebla de la Sierra,52.89
Puentes Viejas,62.59
Quijorna,56.72
Rascafría,58.48
Redueña,56.05
Ribatejada,48.26
Rivas-Vaciamadrid,58.2
Robledillo de la Jara,36.15
Robledo de Chavela,34.24
Robregordo,52.8
Rozas de Madrid (Las),90.11
Rozas de Puerto Real,45.75
San Agustín del Guadalix,70.53
San Fernando de Henares,42.98
San Lorenzo de El Escorial,64.07
San Martín de Valdeiglesias,15.99
San Martín de la Vega,26.99
San Sebastián de los Reyes,65.8
Santa María de la Alameda,38.67
Santorcaz,48.8
Santos de la Humosa (Los),55.45
Serna del Monte (La),41.86
Serranillos del Valle,51.81
Sevilla la Nueva,60.31
Somosierra,46.98
Soto del Real,74.5
Talamanca de Jarama,57.8
Tielmes,38.0
Titulcia,37.66
Torrejón de Ardoz,29.11
Torrejón de Velasco,64.45
Torrejón de la Calzada,60.85
Torrelaguna,50.31
Torrelodones,86.43
Torremocha de Jarama,60.2
Torres de la Alameda,33.04
Tres Cantos,89.69
Valdaracete,28.18
Valdeavero,52.09
Valdelaguna,47.3
Valdemanco,59.44
Valdemaqueda,40.26
Valdemorillo,54.45
Valdemoro,38.79
Valdeolmos-Alalpardo,83.27
Valdepiélagos,59.11
Valdetorres de Jarama,36.72
Valdilecha,24.38
Valverde de Alcalá,56.89
Velilla de San Antonio,46.41
Vellón (El),52.6
Venturada,60.67
Villa del Prado,31.16
Villaconejos,28.94
Villalbilla,72.56
Villamanrique de Tajo,23.96
Villamanta,45.23
Villamantilla,51.35
Villanueva de Perales,50.08
Villanueva de la Cañada,81.52
Villanueva del Pardillo,73.88
Villar del Olmo,53.21
Villarejo de Salvanés,17.1
Villaviciosa de Odón,83.73
Villavieja del Lozoya,52.57
Zarzalejo,40.5
