Nombre,profesores_pub_100_alumnos_pub
Acebeda (La),36.43
Ajalvir,53.79
Alameda del Valle,36.43
Alamo (El),51.34
Alcalá de Henares,47.0
Alcobendas,45.88
Alcorcón,22.64
Aldea del Fresno,67.18
Algete,49.79
Alpedrete,42.34
Ambite,58.44
Anchuelo,49.72
Aranjuez,61.73
Arganda del Rey,35.99
Arroyomolinos,24.56
Atazar (El),36.43
Batres,50.98
Becerril de la Sierra,70.85
Belmonte de Tajo,47.37
Berrueco (El),100.0
Berzosa del Lozoya,36.43
Boadilla del Monte,57.86
Boalo (El),57.6
Braojos,36.43
Brea de Tajo,63.68
Brunete,46.01
Buitrago del Lozoya,47.67
Bustarviejo,46.24
Cabanillas de la Sierra,51.49
Cabrera (La),58.33
Cadalso de los Vidrios,71.23
Camarma de Esteruelas,34.27
Campo Real,41.1
Canencia,36.43
Carabaña,47.08
Casarrubuelos,70.49
Cenicientos,49.87
Cercedilla,70.49
Cervera de Buitrago,62.44
Chapinería,47.56
Chinchón,30.46
Ciempozuelos,30.92
Cobeña,37.28
Collado Mediano,95.45
Collado Villalba,51.87
Colmenar Viejo,56.62
Colmenar de Oreja,36.05
Colmenar del Arroyo,49.19
Colmenarejo,33.25
Corpa,60.27
Coslada,69.61
Cubas de la Sagra,37.7
Daganzo de Arriba,39.58
Escorial (El),65.69
Estremera,48.05
Fresnedillas de la Oliva,45.05
Fresno de Torote,45.82
Fuenlabrada,77.02
Fuente el Saz de Jarama,55.17
Fuentidueña de Tajo,47.13
Galapagar,39.13
Garganta de los Montes,36.43
Gargantilla del Lozoya y Pinilla de Buitrago,36.43
Gascones,36.43
Getafe,24.41
Griñón,40.34
Guadalix de la Sierra,56.81
Guadarrama,47.82
Hiruela (La),36.43
Horcajo de la Sierra-Aoslos,36.43
Horcajuelo de la Sierra,36.43
Hoyo de Manzanares,47.13
Humanes de Madrid,45.61
Leganés,56.4
Loeches,44.61
Lozoya,54.89
Lozoyuela-Navas-Sieteiglesias,47.03
Madarcos,36.43
Majadahonda,100.0
Manzanares el Real,38.73
Meco,29.36
Mejorada del Campo,33.26
Miraflores de la Sierra,66.2
Molar (El),34.53
Molinos (Los),61.27
Montejo de la Sierra,65.77
Moraleja de Enmedio,54.99
Moralzarzal,42.74
Morata de Tajuña,42.6
Móstoles,31.86
Navacerrada,47.01
Navalafuente,54.59
Navalagamella,75.94
Navalcarnero,36.81
Navarredonda y San Mamés,36.43
Navas del Rey,100.0
Nuevo Baztán,37.75
Olmeda de las Fuentes,68.22
Orusco de Tajuña,48.79
Paracuellos de Jarama,36.62
Parla,42.41
Patones,51.42
Pedrezuela,48.06
Pelayos de la Presa,68.67
Perales de Tajuña,69.8
Pezuela de las Torres,53.01
Pinilla del Valle,36.43
Pinto,24.9
Piñuécar-Gandullas,36.43
Pozuelo de Alarcón,88.59
Pozuelo del Rey,60.27
Prádena del Rincón,36.43
Puebla de la Sierra,36.43
Puentes Viejas,36.43
Quijorna,88.77
Rascafría,52.59
Redueña,78.81
Ribatejada,52.04
Rivas-Vaciamadrid,13.93
Robledillo de la Jara,36.43
Robledo de Chavela,92.12
Robregordo,36.43
Rozas de Madrid (Las),81.56
Rozas de Puerto Real,51.49
San Agustín del Guadalix,37.57
San Fernando de Henares,37.09
San Lorenzo de El Escorial,99.53
San Martín de Valdeiglesias,41.92
San Martín de la Vega,39.86
San Sebastián de los Reyes,39.06
Santa María de la Alameda,63.68
Santorcaz,49.6
Santos de la Humosa (Los),45.53
Serna del Monte (La),36.43
Serranillos del Valle,41.01
Sevilla la Nueva,43.08
Somosierra,36.43
Soto del Real,33.94
Talamanca de Jarama,49.19
Tielmes,45.86
Titulcia,47.15
Torrejón de Ardoz,40.86
Torrejón de Velasco,62.89
Torrejón de la Calzada,40.73
Torrelaguna,56.22
Torrelodones,43.08
Torremocha de Jarama,58.44
Torres de la Alameda,48.3
Tres Cantos,40.48
Valdaracete,50.05
Valdeavero,49.92
Valdelaguna,51.1
Valdemanco,70.49
Valdemaqueda,84.11
Valdemorillo,22.69
Valdemoro,39.34
Valdeolmos-Alalpardo,56.18
Valdepiélagos,77.3
Valdetorres de Jarama,59.83
Valdilecha,63.02
Valverde de Alcalá,36.43
Velilla de San Antonio,38.22
Vellón (El),49.66
Venturada,50.89
Villa del Prado,36.97
Villaconejos,50.63
Villalbilla,26.45
Villamanrique de Tajo,77.3
Villamanta,47.27
Villamantilla,50.46
Villanueva de Perales,49.87
Villanueva de la Cañada,42.05
Villanueva del Pardillo,38.86
Villar del Olmo,93.64
Villarejo de Salvanés,42.63
Villaviciosa de Odón,50.46
Villavieja del Lozoya,56.51
Zarzalejo,49.86
Madrid,0.0
