Nombre,bibliotecas_100_alumnos
Acebeda (La),49.07
Ajalvir,67.83
Alameda del Valle,49.07
Alamo (El),46.39
Alcalá de Henares,67.54
Alcobendas,37.32
Alcorcón,58.42
Aldea del Fresno,34.09
Algete,40.26
Alpedrete,42.5
Ambite,49.07
Anchuelo,49.07
Aranjuez,18.79
Arganda del Rey,48.16
Arroyomolinos,36.64
Atazar (El),49.07
Batres,49.07
Becerril de la Sierra,69.53
Belmonte de Tajo,49.07
Berrueco (El),49.07
Berzosa del Lozoya,49.07
Boadilla del Monte,36.49
Boalo (El),46.08
Braojos,49.07
Brea de Tajo,49.07
Brunete,47.79
Buitrago del Lozoya,49.43
Bustarviejo,51.8
Cabanillas de la Sierra,49.07
Cabrera (La),55.83
Cadalso de los Vidrios,85.32
Camarma de Esteruelas,48.13
Campo Real,61.22
Canencia,49.07
Carabaña,49.07
Casarrubuelos,34.09
Cenicientos,49.07
Cercedilla,54.96
Cervera de Buitrago,49.07
Chapinería,50.38
Chinchón,57.55
Ciempozuelos,39.18
Cobeña,48.59
Collado Mediano,75.76
Collado Villalba,55.58
Colmenar Viejo,100.0
Colmenar de Oreja,57.99
Colmenar del Arroyo,53.74
Colmenarejo,46.88
Corpa,49.07
Coslada,45.8
Cubas de la Sagra,49.16
Daganzo de Arriba,47.6
Escorial (El),43.2
Estremera,49.07
Fresnedillas de la Oliva,49.07
Fresno de Torote,49.07
Fuenlabrada,61.37
Fuente el Saz de Jarama,64.84
Fuentidueña de Tajo,52.3
Galapagar,38.71
Garganta de los Montes,49.07
Gargantilla del Lozoya y Pinilla de Buitrago,49.07
Gascones,49.07
Getafe,54.1
Griñón,41.77
Guadalix de la Sierra,61.82
Guadarrama,38.66
Hiruela (La),49.07
Horcajo de la Sierra-Aoslos,49.07
Horcajuelo de la Sierra,49.07
Hoyo de Manzanares,54.96
Humanes de Madrid,39.22
Leganés,60.76
Loeches,53.97
Lozoya,49.07
Lozoyuela-Navas-Sieteiglesias,49.07
Madarcos,49.07
Majadahonda,20.31
Manzanares el Real,62.66
Meco,43.2
Mejorada del Campo,40.01
Miraflores de la Sierra,66.76
Molar (El),46.43
Molinos (Los),96.19
Montejo de la Sierra,49.07
Moraleja de Enmedio,67.63
Moralzarzal,41.02
Morata de Tajuña,53.19
Móstoles,50.72
Navacerrada,100.0
Navalafuente,49.07
Navalagamella,34.09
Navalcarnero,37.2
Navarredonda y San Mamés,49.07
Navas del Rey,34.09
Nuevo Baztán,34.09
Olmeda de las Fuentes,49.07
Orusco de Tajuña,49.07
Paracuellos de Jarama,37.49
Parla,19.74
Patones,49.07
Pedrezuela,67.34
Pelayos de la Presa,34.09
Perales de Tajuña,34.09
Pezuela de las Torres,49.07
Pinilla del Valle,49.07
Pinto,40.31
Piñuécar-Gandullas,49.07
Pozuelo de Alarcón,55.43
Pozuelo del Rey,49.07
Prádena del Rincón,49.07
Puebla de la Sierra,49.07
Puentes Viejas,49.07
Quijorna,34.09
Rascafría,54.69
Redueña,49.07
Ribatejada,49.07
Rivas-Vaciamadrid,65.83
Robledillo de la Jara,49.07
Robledo de Chavela,79.54
Robregordo,49.07
Rozas de Madrid (Las),47.51
Rozas de Puerto Real,49.07
San Agustín del Guadalix,45.15
San Fernando de Henares,37.76
San Lorenzo de El Escorial,39.48
San Martín de Valdeiglesias,46.47
San Martín de la Vega,40.07
San Sebastián de los Reyes,51.77
Santa María de la Alameda,49.07
Santorcaz,49.07
Santos de la Humosa (Los),49.07
Serna del Monte (La),49.07
Serranillos del Valle,34.09
Sevilla la Nueva,46.04
Somosierra,49.07
Soto del Real,42.1
Talamanca de Jarama,65.05
Tielmes,51.5
Titulcia,49.07
Torrejón de Ardoz,48.45
Torrejón de Velasco,54.94
Torrejón de la Calzada,43.07
Torrelaguna,57.02
Torrelodones,41.45
Torremocha de Jarama,100.0
Torres de la Alameda,48.95
Tres Cantos,55.65
Valdaracete,49.07
Valdeavero,49.07
Valdelaguna,49.07
Valdemanco,49.07
Valdemaqueda,49.07
Valdemorillo,44.94
Valdemoro,49.94
Valdeolmos-Alalpardo,34.09
Valdepiélagos,49.07
Valdetorres de Jarama,34.09
Valdilecha,74.06
Valverde de Alcalá,49.07
Velilla de San Antonio,44.9
Vellón (El),49.07
Venturada,49.07
Villa del Prado,52.08
Villaconejos,96.02
Villalbilla,47.28
Villamanrique de Tajo,49.07
Villamanta,49.07
Villamantilla,49.07
Villanueva de Perales,49.07
Villanueva de la Cañada,36.21
Villanueva del Pardillo,39.9
Villar del Olmo,49.07
Villarejo de Salvanés,43.71
Villaviciosa de Odón,37.37
Villavieja del Lozoya,49.07
Zarzalejo,49.07
