Nombre,centros_priv_100_alumnos_priv
Acebeda (La),48.96
Ajalvir,43.45
Alameda del Valle,48.96
Alamo (El),45.26
Alcalá de Henares,46.2
Alcobendas,43.51
Alcorcón,32.75
Aldea del Fresno,43.45
Algete,60.25
Alpedrete,49.24
Ambite,48.96
Anchuelo,48.96
Aranjuez,31.4
Arganda del Rey,36.78
Arroyomolinos,45.32
Atazar (El),48.96
Batres,48.96
Becerril de la Sierra,100.0
Belmonte de Tajo,48.96
Berrueco (El),48.96
Berzosa del Lozoya,48.96
Boadilla del Monte,36.78
Boalo (El),47.37
Braojos,48.96
Brea de Tajo,48.96
Brunete,46.25
Buitrago del Lozoya,50.82
Bustarviejo,48.96
Cabanillas de la Sierra,48.96
Cabrera (La),51.23
Cadalso de los Vidrios,43.45
Camarma de Esteruelas,47.37
Campo Real,64.17
Canencia,48.96
Carabaña,48.96
Casarrubuelos,91.29
Cenicientos,48.96
Cercedilla,46.93
Cervera de Buitrago,48.96
Chapinería,100.0
Chinchón,43.45
Ciempozuelos,49.11
Cobeña,44.38
Collado Mediano,43.45
Collado Villalba,91.93
Colmenar del Arroyo,48.96
Colmenar de Oreja,54.59
Colmenarejo,55.52
Colmenar Viejo,67.72
Corpa,48.96
Coslada,100.0
Cubas de la Sagra,43.45
Daganzo de Arriba,54.34
Escorial (El),44.01
Estremera,48.96
Fresnedillas de la Oliva,48.96
Fresno de Torote,48.96
Fuenlabrada,39.47
Fuente el Saz de Jarama,43.45
Fuentidueña de Tajo,48.96
Galapagar,46.38
Garganta de los Montes,48.96
Gargantilla del Lozoya y Pinilla de Buitrago,48.96
Gascones,48.96
Getafe,59.65
Griñón,44.63
Guadalix de la Sierra,78.04
Guadarrama,44.63
Hiruela (La),48.96
Horcajo de la Sierra-Aoslos,48.96
Horcajuelo de la Sierra,48.96
Hoyo de Manzanares,43.45
Humanes de Madrid,45.94
Leganés,54.27
Loeches,49.05
Lozoya,48.96
Lozoyuela-Navas-Sieteiglesias,48.96
Madarcos,48.96
Majadahonda,46.2
Manzanares el Real,46.44
Meco,46.38
Mejorada del Campo,57.95
Miraflores de la Sierra,48.61
Molar (El),74.56
Molinos (Los),49.86
Montejo de la Sierra,48.96
Moraleja de Enmedio,43.45
Moralzarzal,44.94
Morata de Tajuña,43.45
Móstoles,59.65
Navacerrada,43.45
Navalafuente,48.96
Navalagamella,43.45
Navalcarnero,44.88
Navarredonda y San Mamés,48.96
Navas del Rey,43.45
Nuevo Baztán,45.07
Olmeda de las Fuentes,48.96
Orusco de Tajuña,48.96
Paracuellos de Jarama,43.95
Parla,40.82
Patones,48.96
Pedrezuela,43.45
Pelayos de la Presa,43.45
Perales de Tajuña,43.45
Pezuela de las Torres,48.96
Pinilla del Valle,48.96
Pinto,23.33
Piñuécar-Gandullas,48.96
Pozuelo de Alarcón,38.13
Pozuelo del Rey,48.96
Prádena del Rincón,48.96
Puebla de la Sierra,48.96
Puentes Viejas,48.96
Quijorna,82.33
Rascafría,48.96
Redueña,48.96
Ribatejada,48.96
Rivas-Vaciamadrid,56.96
Robledillo de la Jara,48.96
Robledo de Chavela,43.45
Robregordo,48.96
Rozas de Madrid (Las),43.51
Rozas de Puerto Real,76.34
San Agustín del Guadalix,63.86
San Fernando de Henares,74.56
San Lorenzo de El Escorial,45.5
San Martín de la Vega,45.94
San Martín de Valdeiglesias,43.45
San Sebastián de los Reyes,50.23
Santa María de la Alameda,48.96
Santorcaz,48.96
Santos de la Humosa (Los),48.96
Serna del Monte (La),48.96
Serranillos del Valle,43.45
Sevilla la Nueva,45.44
Somosierra,48.96
Soto del Real,45.07
Talamanca de Jarama,91.29
Tielmes,48.96
Titulcia,48.96
Torrejón de Ardoz,54.27
Torrejón de la Calzada,44.26
Torrejón de Velasco,44.26
Torrelaguna,43.45
Torrelodones,44.7
Torremocha de Jarama,48.96
Torres de la Alameda,43.45
Tres Cantos,62.34
Valdaracete,48.96
Valdeavero,48.96
Valdelaguna,48.96
Valdemanco,48.96
Valdemaqueda,48.96
Valdemorillo,46.13
Valdemoro,34.09
Valdeolmos-Alalpardo,44.32
Valdepiélagos,48.96
Valdetorres de Jarama,43.45
Valdilecha,43.45
Valverde de Alcalá,48.96
Velilla de San Antonio,64.17
Vellón (El),48.96
Venturada,48.96
Villaconejos,43.45
Villa del Prado,43.45
Villalbilla,45.88
Villamanrique de Tajo,48.96
Villamanta,48.96
Villamantilla,48.96
Villanueva de la Cañada,44.2
Villanueva del Pardillo,44.76
Villanueva de Perales,48.96
Villar del Olmo,48.96
Villarejo de Salvanés,44.51
Villaviciosa de Odón,44.63
Villavieja del Lozoya,48.96
Zarzalejo,48.96
Madrid,0.0
