Nombre,profesores_priv_100_alumnos_priv
Acebeda (La),48.68
Ajalvir,37.11
Alameda del Valle,48.68
Alamo (El),50.09
Alcalá de Henares,47.7
Alcobendas,79.03
Alcorcón,30.98
Aldea del Fresno,37.11
Algete,57.0
Alpedrete,57.12
Ambite,48.68
Anchuelo,48.68
Aranjuez,39.49
Arganda del Rey,23.04
Arroyomolinos,48.3
Atazar (El),48.68
Batres,48.68
Becerril de la Sierra,66.84
Belmonte de Tajo,48.68
Berrueco (El),48.68
Berzosa del Lozoya,48.68
Boadilla del Monte,67.81
Boalo (El),53.14
Braojos,48.68
Brea de Tajo,48.68
Brunete,60.05
Buitrago del Lozoya,73.57
Bustarviejo,48.68
Cabanillas de la Sierra,48.68
Cabrera (La),57.55
Cadalso de los Vidrios,37.11
Camarma de Esteruelas,65.92
Campo Real,58.91
Canencia,48.68
Carabaña,48.68
Casarrubuelos,100.0
Cenicientos,48.68
Cercedilla,49.12
Cervera de Buitrago,48.68
Chapinería,74.21
Chinchón,37.11
Ciempozuelos,60.94
Cobeña,51.34
Collado Mediano,37.11
Collado Villalba,65.69
Colmenar Viejo,41.19
Colmenar de Oreja,72.15
Colmenar del Arroyo,48.68
Colmenarejo,57.75
Corpa,48.68
Coslada,83.03
Cubas de la Sagra,37.11
Daganzo de Arriba,54.32
Escorial (El),51.29
Estremera,48.68
Fresnedillas de la Oliva,48.68
Fresno de Torote,48.68
Fuenlabrada,37.54
Fuente el Saz de Jarama,37.11
Fuentidueña de Tajo,48.68
Galapagar,51.55
Garganta de los Montes,48.68
Gargantilla del Lozoya y Pinilla de Buitrago,48.68
Gascones,48.68
Getafe,50.92
Griñón,50.46
Guadalix de la Sierra,55.28
Guadarrama,48.93
Hiruela (La),48.68
Horcajo de la Sierra-Aoslos,48.68
Horcajuelo de la Sierra,48.68
Hoyo de Manzanares,37.11
Humanes de Madrid,50.52
Leganés,45.46
Loeches,54.05
Lozoya,48.68
Lozoyuela-Navas-Sieteiglesias,48.68
Madarcos,48.68
Majadahonda,72.56
Manzanares el Real,56.77
Meco,51.85
Mejorada del Campo,56.13
Miraflores de la Sierra,53.46
Molar (El),65.73
Molinos (Los),57.34
Montejo de la Sierra,48.68
Moraleja de Enmedio,37.11
Moralzarzal,53.85
Morata de Tajuña,37.11
Móstoles,43.47
Navacerrada,37.11
Navalafuente,48.68
Navalagamella,37.11
Navalcarnero,47.42
Navarredonda y San Mamés,48.68
Navas del Rey,37.11
Nuevo Baztán,47.63
Olmeda de las Fuentes,48.68
Orusco de Tajuña,48.68
Paracuellos de Jarama,47.84
Parla,35.81
Patones,48.68
Pedrezuela,37.11
Pelayos de la Presa,37.11
Perales de Tajuña,37.11
Pezuela de las Torres,48.68
Pinilla del Valle,48.68
Pinto,0.0
Piñuécar-Gandullas,48.68
Pozuelo de Alarcón,84.96
Pozuelo del Rey,48.68
Prádena del Rincón,48.68
Puebla de la Sierra,48.68
Puentes Viejas,48.68
Quijorna,67.77
Rascafría,48.68
Redueña,48.68
Ribatejada,48.68
Rivas-Vaciamadrid,49.02
Robledillo de la Jara,48.68
Robledo de Chavela,37.11
Robregordo,48.68
Rozas de Madrid (Las),78.77
Rozas de Puerto Real,100.0
San Agustín del Guadalix,55.88
San Fernando de Henares,61.64
San Lorenzo de El Escorial,49.4
San Martín de Valdeiglesias,37.11
San Martín de la Vega,52.19
San Sebastián de los Reyes,22.57
Santa María de la Alameda,48.68
Santorcaz,48.68
Santos de la Humosa (Los),48.68
Serna del Monte (La),48.68
Serranillos del Valle,37.11
Sevilla la Nueva,68.99
Somosierra,48.68
Soto del Real,48.42
Talamanca de Jarama,74.85
Tielmes,48.68
Titulcia,48.68
Torrejón de Ardoz,23.66
Torrejón de Velasco,48.51
Torrejón de la Calzada,49.0
Torrelaguna,37.11
Torrelodones,49.6
Torremocha de Jarama,48.68
Torres de la Alameda,37.11
Tres Cantos,83.99
Valdaracete,48.68
Valdeavero,48.68
Valdelaguna,48.68
Valdemanco,48.68
Valdemaqueda,48.68
Valdemorillo,62.97
Valdemoro,43.31
Valdeolmos-Alalpardo,54.16
Valdepiélagos,48.68
Valdetorres de Jarama,37.11
Valdilecha,37.11
Valverde de Alcalá,48.68
Velilla de San Antonio,58.91
Vellón (El),48.68
Venturada,48.68
Villa del Prado,37.11
Villaconejos,37.11
Villalbilla,52.34
Villamanrique de Tajo,48.68
Villamanta,48.68
Villamantilla,48.68
Villanueva de Perales,48.68
Villanueva de la Cañada,47.16
Villanueva del Pardillo,51.57
Villar del Olmo,48.68
Villarejo de Salvanés,48.27
Villaviciosa de Odón,49.92
Villavieja del Lozoya,48.68
Zarzalejo,48.68
Madrid,0.0
