Serie;id;Nombre;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;0014;Acebeda (La);1,00;2,00;3,00;1,00;5,00;4,00;6,00;8,00;6,00;5,00;4,00;7,00;6,00;6,00;7,00;4,00;4,00;6,00;2,00;3,00;
Municipios;0029;Ajalvir;100,00;90,00;107,00;187,00;255,00;254,00;315,00;321,00;303,00;314,00;268,00;221,00;202,00;212,00;239,00;264,00;213,00;207,00;188,00;177,00;
Municipios;0035;Alameda del Valle;14,00;7,00;8,00;11,00;18,00;17,00;18,00;15,00;13,00;13,00;13,00;10,00;8,00;10,00;9,00;14,00;11,00;19,00;8,00;17,00;
Municipios;0040;Álamo (El);243,00;246,00;325,00;584,00;701,00;773,00;914,00;1.001,00;938,00;879,00;872,00;805,00;750,00;648,00;598,00;783,00;591,00;530,00;544,00;523,00;
Municipios;0053;Alcalá de Henares;8.835,00;8.575,00;9.704,00;16.708,00;18.907,00;18.949,00;20.466,00;21.834,00;21.364,00;18.999,00;17.031,00;14.795,00;13.410,00;12.711,00;12.856,00;15.030,00;12.002,00;10.944,00;10.454,00;10.061,00;
Municipios;0066;Alcobendas;3.035,00;3.040,00;3.483,00;5.883,00;7.071,00;7.087,00;7.858,00;8.389,00;7.817,00;7.152,00;6.382,00;5.603,00;5.114,00;4.618,00;4.977,00;6.178,00;4.560,00;4.144,00;4.068,00;4.034,00;
Municipios;0072;Alcorcón;7.288,00;7.090,00;7.954,00;11.880,00;13.562,00;13.452,00;14.896,00;16.195,00;15.083,00;13.819,00;12.672,00;11.071,00;10.157,00;9.379,00;9.566,00;11.267,00;8.749,00;8.041,00;7.722,00;7.389,00;
Municipios;0088;Aldea del Fresno;102,00;102,00;135,00;230,00;293,00;295,00;344,00;381,00;346,00;338,00;288,00;270,00;256,00;215,00;238,00;280,00;222,00;222,00;202,00;204,00;
Municipios;0091;Algete;541,00;601,00;610,00;1.064,00;1.333,00;1.299,00;1.491,00;1.603,00;1.477,00;1.338,00;1.241,00;1.090,00;981,00;891,00;927,00;1.143,00;912,00;810,00;798,00;759,00;
Municipios;0105;Alpedrete;399,00;407,00;483,00;723,00;789,00;785,00;941,00;987,00;935,00;905,00;844,00;715,00;687,00;670,00;719,00;850,00;683,00;678,00;642,00;599,00;
Municipios;0112;Ambite;13,00;13,00;19,00;47,00;60,00;61,00;63,00;65,00;70,00;74,00;115,00;71,00;75,00;58,00;59,00;73,00;48,00;57,00;46,00;45,00;
Municipios;0127;Anchuelo;34,00;36,00;43,00;78,00;123,00;103,00;128,00;148,00;148,00;125,00;111,00;76,00;74,00;79,00;78,00;100,00;70,00;59,00;72,00;68,00;
