Nombre,centrosSociales_10
Acebeda (La),46.64
Ajalvir,52.15
Alameda del Valle,46.64
Alamo (El),54.64
Alcalá de Henares,46.14
Alcobendas,44.82
Alcorcón,37.71
Aldea del Fresno,76.19
Algete,45.59
Alpedrete,53.68
Ambite,46.64
Anchuelo,46.64
Aranjuez,61.9
Arganda del Rey,45.23
Arroyomolinos,42.51
Atazar (El),46.64
Batres,46.64
Becerril de la Sierra,49.63
Belmonte de Tajo,47.87
Berrueco (El),49.47
Berzosa del Lozoya,77.99
Boadilla del Monte,27.78
Boalo (El),43.57
Braojos,46.64
Brea de Tajo,54.99
Brunete,46.16
Buitrago del Lozoya,51.25
Bustarviejo,47.47
Cabanillas de la Sierra,46.64
Cabrera (La),76.66
Cadalso de los Vidrios,100.0
Camarma de Esteruelas,45.9
Campo Real,46.54
Canencia,46.64
Carabaña,47.64
Casarrubuelos,45.72
Cenicientos,49.88
Cercedilla,59.2
Cervera de Buitrago,46.64
Chapinería,47.51
Chinchón,47.52
Ciempozuelos,53.95
Cobeña,54.71
Collado Mediano,46.07
Collado Villalba,49.92
Colmenar Viejo,57.24
Colmenar de Oreja,47.42
Colmenar del Arroyo,47.8
Colmenarejo,46.88
Corpa,49.48
Coslada,37.93
Cubas de la Sagra,46.52
Daganzo de Arriba,44.75
Escorial (El),51.56
Estremera,51.32
Fresnedillas de la Oliva,47.91
Fresno de Torote,47.54
Fuenlabrada,38.87
Fuente el Saz de Jarama,50.96
Fuentidueña de Tajo,48.64
Galapagar,48.74
Garganta de los Montes,46.64
Gargantilla del Lozoya y Pinilla de Buitrago,58.33
Gascones,46.64
Getafe,50.07
Griñón,54.94
Guadalix de la Sierra,44.05
Guadarrama,58.36
Hiruela (La),46.64
Horcajo de la Sierra-Aoslos,46.64
Horcajuelo de la Sierra,46.64
Hoyo de Manzanares,41.57
Humanes de Madrid,44.11
Leganés,66.6
Loeches,45.27
Lozoya,46.64
Lozoyuela-Navas-Sieteiglesias,51.23
Madarcos,46.64
Majadahonda,40.73
Manzanares el Real,45.16
Meco,44.86
Mejorada del Campo,43.66
Miraflores de la Sierra,44.0
Molar (El),45.03
Molinos (Los),52.14
Montejo de la Sierra,64.5
Moraleja de Enmedio,47.75
Moralzarzal,53.51
Morata de Tajuña,47.8
Móstoles,46.67
Navacerrada,46.71
Navalafuente,48.02
Navalagamella,47.23
Navalcarnero,51.06
Navarredonda y San Mamés,46.64
Navas del Rey,57.16
Nuevo Baztán,41.57
Olmeda de las Fuentes,52.28
Orusco de Tajuña,49.84
Paracuellos de Jarama,44.69
Parla,41.4
Patones,54.65
Pedrezuela,62.64
Pelayos de la Presa,52.88
Perales de Tajuña,41.57
Pezuela de las Torres,48.96
Pinilla del Valle,46.64
Pinto,52.39
Piñuécar-Gandullas,46.64
Pozuelo de Alarcón,100.0
Pozuelo del Rey,46.64
Prádena del Rincón,46.64
Puebla de la Sierra,46.64
Puentes Viejas,46.64
Quijorna,50.3
Rascafría,46.64
Redueña,46.64
Ribatejada,51.61
Rivas-Vaciamadrid,55.22
Robledillo de la Jara,80.24
Robledo de Chavela,59.48
Robregordo,46.64
Rozas de Madrid (Las),45.31
Rozas de Puerto Real,50.56
San Agustín del Guadalix,44.04
San Fernando de Henares,45.03
San Lorenzo de El Escorial,49.78
San Martín de Valdeiglesias,54.68
San Martín de la Vega,45.72
San Sebastián de los Reyes,71.75
Santa María de la Alameda,46.64
Santorcaz,49.05
Santos de la Humosa (Los),46.64
Serna del Monte (La),46.64
Serranillos del Valle,59.79
Sevilla la Nueva,53.93
Somosierra,100.0
Soto del Real,48.75
Talamanca de Jarama,53.18
Tielmes,49.12
Titulcia,46.64
Torrejón de Ardoz,38.43
Torrejón de Velasco,41.57
Torrejón de la Calzada,44.87
Torrelaguna,48.38
Torrelodones,52.98
Torremocha de Jarama,56.55
Torres de la Alameda,52.46
Tres Cantos,57.99
Valdaracete,46.64
Valdeavero,46.64
Valdelaguna,48.81
Valdemanco,46.64
Valdemaqueda,46.64
Valdemorillo,42.81
Valdemoro,35.89
Valdeolmos-Alalpardo,45.3
Valdepiélagos,46.64
Valdetorres de Jarama,55.08
Valdilecha,41.57
Valverde de Alcalá,50.88
Velilla de San Antonio,44.09
Vellón (El),48.7
Venturada,47.53
Villa del Prado,48.53
Villaconejos,46.39
Villalbilla,47.58
Villamanrique de Tajo,46.64
Villamanta,49.91
Villamantilla,49.52
Villanueva de Perales,46.64
Villanueva de la Cañada,48.72
Villanueva del Pardillo,48.23
Villar del Olmo,47.64
Villarejo de Salvanés,43.75
Villaviciosa de Odón,48.02
Villavieja del Lozoya,53.86
Zarzalejo,49.15
Madrid,0.0
