Nombre,centros_100
Acebeda (La),48.75
Ajalvir,42.12
Alameda del Valle,48.75
Alamo (El),42.12
Alcalá de Henares,75.98
Alcobendas,59.53
Alcorcón,57.32
Aldea del Fresno,42.12
Algete,50.07
Alpedrete,42.12
Ambite,48.75
Anchuelo,48.75
Aranjuez,41.94
Arganda del Rey,43.79
Arroyomolinos,42.12
Atazar (El),48.75
Batres,48.75
Becerril de la Sierra,42.12
Belmonte de Tajo,48.75
Berrueco (El),48.75
Berzosa del Lozoya,48.75
Boadilla del Monte,7.35
Boalo (El),42.12
Braojos,48.75
Brea de Tajo,48.75
Brunete,42.12
Buitrago del Lozoya,93.98
Bustarviejo,48.75
Cabanillas de la Sierra,48.75
Cabrera (La),100.0
Cadalso de los Vidrios,94.69
Camarma de Esteruelas,42.12
Campo Real,66.72
Canencia,48.75
Carabaña,48.75
Casarrubuelos,42.12
Cenicientos,48.75
Cercedilla,63.93
Cervera de Buitrago,48.75
Chapinería,48.75
Chinchón,42.12
Ciempozuelos,48.57
Cobeña,42.12
Collado Mediano,42.12
Collado Villalba,67.07
Colmenar Viejo,48.39
Colmenar de Oreja,61.41
Colmenar del Arroyo,48.75
Colmenarejo,42.12
Corpa,48.75
Coslada,100.0
Cubas de la Sagra,42.12
Daganzo de Arriba,42.12
Escorial (El),42.12
Estremera,48.75
Fresnedillas de la Oliva,48.75
Fresno de Torote,48.75
Fuenlabrada,50.08
Fuente el Saz de Jarama,42.12
Fuentidueña de Tajo,48.75
Galapagar,46.85
Garganta de los Montes,48.75
Gargantilla del Lozoya y Pinilla de Buitrago,48.75
Gascones,48.75
Getafe,72.45
Griñón,58.66
Guadalix de la Sierra,42.12
Guadarrama,51.9
Hiruela (La),48.75
Horcajo de la Sierra-Aoslos,48.75
Horcajuelo de la Sierra,48.75
Hoyo de Manzanares,42.12
Humanes de Madrid,50.5
Leganés,70.06
Loeches,42.12
Lozoya,48.75
Lozoyuela-Navas-Sieteiglesias,48.75
Madarcos,48.75
Majadahonda,31.28
Manzanares el Real,59.89
Meco,52.95
Mejorada del Campo,48.99
Miraflores de la Sierra,42.12
Molar (El),59.21
Molinos (Los),42.12
Montejo de la Sierra,48.75
Moraleja de Enmedio,42.12
Moralzarzal,42.12
Morata de Tajuña,42.12
Móstoles,60.97
Navacerrada,42.12
Navalafuente,48.75
Navalagamella,42.12
Navalcarnero,47.34
Navarredonda y San Mamés,48.75
Navas del Rey,93.54
Nuevo Baztán,42.12
Olmeda de las Fuentes,48.75
Orusco de Tajuña,48.75
Paracuellos de Jarama,48.3
Parla,36.23
Patones,48.75
Pedrezuela,42.12
Pelayos de la Presa,42.12
Perales de Tajuña,94.64
Pezuela de las Torres,48.75
Pinilla del Valle,48.75
Pinto,48.38
Piñuécar-Gandullas,48.75
Pozuelo de Alarcón,43.57
Pozuelo del Rey,48.75
Prádena del Rincón,48.75
Puebla de la Sierra,48.75
Puentes Viejas,48.75
Quijorna,42.12
Rascafría,100.0
Redueña,48.75
Ribatejada,48.75
Rivas-Vaciamadrid,35.92
Robledillo de la Jara,48.75
Robledo de Chavela,77.57
Robregordo,48.75
Rozas de Madrid (Las),17.11
Rozas de Puerto Real,48.75
San Agustín del Guadalix,42.12
San Fernando de Henares,50.68
San Lorenzo de El Escorial,51.14
San Martín de Valdeiglesias,60.65
San Martín de la Vega,50.34
San Sebastián de los Reyes,40.73
Santa María de la Alameda,48.75
Santorcaz,48.75
Santos de la Humosa (Los),48.75
Serna del Monte (La),48.75
Serranillos del Valle,42.12
Sevilla la Nueva,42.12
Somosierra,48.75
Soto del Real,59.87
Talamanca de Jarama,42.12
Tielmes,48.75
Titulcia,48.75
Torrejón de Ardoz,62.88
Torrejón de Velasco,42.12
Torrejón de la Calzada,42.12
Torrelaguna,75.83
Torrelodones,48.76
Torremocha de Jarama,48.75
Torres de la Alameda,63.68
Tres Cantos,53.6
Valdaracete,48.75
Valdeavero,48.75
Valdelaguna,48.75
Valdemanco,48.75
Valdemaqueda,48.75
Valdemorillo,42.12
Valdemoro,25.37
Valdeolmos-Alalpardo,42.12
Valdepiélagos,48.75
Valdetorres de Jarama,42.12
Valdilecha,42.12
Valverde de Alcalá,48.75
Velilla de San Antonio,42.12
Vellón (El),48.75
Venturada,48.75
Villa del Prado,65.06
Villaconejos,42.12
Villalbilla,42.12
Villamanrique de Tajo,48.75
Villamanta,48.75
Villamantilla,48.75
Villanueva de Perales,48.75
Villanueva de la Cañada,49.19
Villanueva del Pardillo,42.12
Villar del Olmo,48.75
Villarejo de Salvanés,63.65
Villaviciosa de Odón,47.92
Villavieja del Lozoya,48.75
Zarzalejo,48.75
