Nombre,farmacias_100
Acebeda (La),37.96
Ajalvir,35.33
Alameda del Valle,84.15
Alamo (El),32.87
Alcalá de Henares,73.65
Alcobendas,58.63
Alcorcón,100.0
Aldea del Fresno,48.7
Algete,55.06
Alpedrete,33.21
Ambite,56.47
Anchuelo,47.14
Aranjuez,29.61
Arganda del Rey,42.63
Arroyomolinos,50.66
Atazar (El),37.96
Batres,44.73
Becerril de la Sierra,52.7
Belmonte de Tajo,44.84
Berrueco (El),53.74
Berzosa del Lozoya,37.96
Boadilla del Monte,20.77
Boalo (El),58.65
Braojos,97.66
Brea de Tajo,61.27
Brunete,30.94
Buitrago del Lozoya,44.4
Bustarviejo,42.58
Cabanillas de la Sierra,51.44
Cabrera (La),57.2
Cadalso de los Vidrios,52.15
Camarma de Esteruelas,42.86
Campo Real,48.94
Canencia,65.48
Carabaña,43.53
Casarrubuelos,80.29
Cenicientos,44.0
Cercedilla,64.39
Cervera de Buitrago,37.96
Chapinería,42.82
Chinchón,58.17
Ciempozuelos,51.22
Cobeña,43.36
Collado Mediano,44.5
Collado Villalba,43.27
Colmenar Viejo,33.88
Colmenar de Oreja,57.18
Colmenar del Arroyo,44.46
Colmenarejo,35.41
Corpa,53.82
Coslada,88.45
Cubas de la Sagra,48.69
Daganzo de Arriba,32.03
Escorial (El),49.16
Estremera,46.67
Fresnedillas de la Oliva,45.03
Fresno de Torote,42.98
Fuenlabrada,75.4
Fuente el Saz de Jarama,68.43
Fuentidueña de Tajo,43.54
Galapagar,47.12
Garganta de los Montes,68.1
Gargantilla del Lozoya y Pinilla de Buitrago,70.58
Gascones,37.96
Getafe,63.92
Griñón,33.59
Guadalix de la Sierra,48.71
Guadarrama,39.33
Hiruela (La),37.96
Horcajo de la Sierra-Aoslos,37.96
Horcajuelo de la Sierra,37.96
Hoyo de Manzanares,55.19
Humanes de Madrid,57.95
Leganés,79.1
Loeches,36.97
Lozoya,58.34
Lozoyuela-Navas-Sieteiglesias,46.5
Madarcos,37.96
Majadahonda,72.69
Manzanares el Real,35.94
Meco,43.34
Mejorada del Campo,47.89
Miraflores de la Sierra,70.69
Molar (El),34.65
Molinos (Los),68.46
Montejo de la Sierra,71.18
Moraleja de Enmedio,31.22
Moralzarzal,35.83
Morata de Tajuña,41.24
Móstoles,73.19
Navacerrada,50.49
Navalafuente,45.7
Navalagamella,55.35
Navalcarnero,51.77
Navarredonda y San Mamés,37.96
Navas del Rey,100.0
Nuevo Baztán,47.15
Olmeda de las Fuentes,69.45
Orusco de Tajuña,46.91
Paracuellos de Jarama,37.39
Parla,1.26
Patones,60.32
Pedrezuela,26.92
Pelayos de la Presa,55.35
Perales de Tajuña,52.1
Pezuela de las Torres,50.92
Pinilla del Valle,100.0
Pinto,33.85
Piñuécar-Gandullas,37.96
Pozuelo de Alarcón,63.12
Pozuelo del Rey,48.06
Prádena del Rincón,37.96
Puebla de la Sierra,37.96
Puentes Viejas,54.62
Quijorna,43.21
Rascafría,45.25
Redueña,79.59
Ribatejada,51.84
Rivas-Vaciamadrid,16.62
Robledillo de la Jara,37.96
Robledo de Chavela,69.6
Robregordo,37.96
Rozas de Madrid (Las),62.91
Rozas de Puerto Real,59.86
San Agustín del Guadalix,25.37
San Fernando de Henares,46.92
San Lorenzo de El Escorial,53.63
San Martín de Valdeiglesias,55.02
San Martín de la Vega,49.03
San Sebastián de los Reyes,38.47
Santa María de la Alameda,46.31
Santorcaz,51.4
Santos de la Humosa (Los),42.53
Serna del Monte (La),37.96
Serranillos del Valle,70.77
Sevilla la Nueva,68.61
Somosierra,37.96
Soto del Real,52.79
Talamanca de Jarama,75.03
Tielmes,42.58
Titulcia,47.26
Torrejón de Ardoz,24.51
Torrejón de Velasco,68.88
Torrejón de la Calzada,64.24
Torrelaguna,34.19
Torrelodones,52.68
Torremocha de Jarama,49.03
Torres de la Alameda,43.15
Tres Cantos,34.06
Valdaracete,37.96
Valdeavero,45.07
Valdelaguna,50.08
Valdemanco,49.84
Valdemaqueda,53.4
Valdemorillo,37.0
Valdemoro,20.01
Valdeolmos-Alalpardo,37.21
Valdepiélagos,58.28
Valdetorres de Jarama,97.57
Valdilecha,51.87
Valverde de Alcalá,61.62
Velilla de San Antonio,49.59
Vellón (El),43.72
Venturada,42.92
Villa del Prado,45.77
Villaconejos,47.49
Villalbilla,30.42
Villamanrique de Tajo,53.78
Villamanta,42.53
Villamantilla,45.99
Villanueva de Perales,45.54
Villanueva de la Cañada,42.49
Villanueva del Pardillo,55.84
Villar del Olmo,43.57
Villarejo de Salvanés,43.1
Villaviciosa de Odón,51.81
Villavieja del Lozoya,78.27
Zarzalejo,44.96
