Serie;id;Nombre;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0029;Ajalvir;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0035;Alameda del Valle;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0040;Álamo (El);8,00;7,00;7,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;7,00;7,00;
Municipios;0053;Alcalá de Henares;46,00;47,00;50,00;51,00;50,00;51,00;54,00;54,00;53,00;52,00;55,00;54,00;
Municipios;0066;Alcobendas;23,00;24,00;23,00;24,00;24,00;23,00;23,00;28,00;30,00;30,00;36,00;36,00;
Municipios;0072;Alcorcón;30,00;29,00;30,00;31,00;31,00;31,00;29,00;29,00;30,00;34,00;34,00;33,00;
Municipios;0088;Aldea del Fresno;5,00;5,00;5,00;5,00;6,00;6,00;6,00;6,00;6,00;7,00;6,00;6,00;
Municipios;0091;Algete;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;0105;Alpedrete;10,00;10,00;10,00;10,00;10,00;10,00;10,00;11,00;11,00;11,00;11,00;11,00;
Municipios;0112;Ambite;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0127;Anchuelo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0133;Aranjuez;24,00;23,00;22,00;22,00;21,00;21,00;22,00;22,00;22,00;23,00;23,00;23,00;
Municipios;0148;Arganda del Rey;16,00;18,00;18,00;18,00;17,00;17,00;17,00;17,00;15,00;15,00;16,00;16,00;
Municipios;0151;Arroyomolinos;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;4,00;5,00;
Municipios;0164;Atazar (El);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0170;Batres;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
Municipios;0186;Becerril de la Sierra;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0199;Belmonte de Tajo;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0210;Berrueco (El);0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0203;Berzosa del Lozoya;2,00;2,00;2,00;2,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0225;Boadilla del Monte;7,00;7,00;7,00;7,00;7,00;8,00;8,00;8,00;9,00;8,00;8,00;8,00;
Municipios;0231;Boalo (El);0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0246;Braojos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0259;Brea de Tajo;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0262;Brunete;2,00;2,00;2,00;2,00;2,00;3,00;3,00;3,00;3,00;3,00;3,00;1,00;
Municipios;0278;Buitrago del Lozoya;4,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;0284;Bustarviejo;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0297;Cabanillas de la Sierra;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0301;Cabrera (La);8,00;8,00;7,00;7,00;7,00;7,00;7,00;7,00;6,00;6,00;6,00;6,00;
Municipios;0318;Cadalso de los Vidrios;2,00;2,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;
Municipios;0323;Camarma de Esteruelas;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;
Municipios;0339;Campo Real;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0344;Canencia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;
Municipios;0357;Carabaña;1,00;1,00;1,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0360;Casarrubuelos;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;
Municipios;0376;Cenicientos;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;
Municipios;0382;Cercedilla;8,00;8,00;7,00;7,00;7,00;7,00;8,00;8,00;8,00;8,00;7,00;7,00;
Municipios;0395;Cervera de Buitrago;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0513;Chapinería;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0528;Chinchón;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0409;Ciempozuelos;18,00;17,00;17,00;18,00;19,00;20,00;20,00;19,00;18,00;19,00;20,00;21,00;
Municipios;0416;Cobeña;7,00;7,00;7,00;7,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;
Municipios;0468;Collado Mediano;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;
Municipios;0474;Collado Villalba;16,00;16,00;16,00;17,00;17,00;17,00;17,00;17,00;18,00;19,00;21,00;19,00;
Municipios;0455;Colmenar Viejo;19,00;20,00;20,00;20,00;20,00;20,00;19,00;20,00;19,00;19,00;19,00;19,00;
Municipios;0437;Colmenar de Oreja;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0421;Colmenar del Arroyo;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0442;Colmenarejo;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0480;Corpa;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0493;Coslada;11,00;12,00;12,00;13,00;13,00;15,00;15,00;13,00;14,00;16,00;21,00;22,00;
Municipios;0506;Cubas de la Sagra;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0534;Daganzo de Arriba;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;0549;Escorial (El);8,00;8,00;9,00;9,00;10,00;9,00;9,00;9,00;10,00;10,00;10,00;10,00;
Municipios;0552;Estremera;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;0565;Fresnedillas de la Oliva;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0571;Fresno de Torote;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;0587;Fuenlabrada;29,00;28,00;30,00;38,00;42,00;45,00;46,00;43,00;40,00;39,00;43,00;42,00;
