Nombre,profesores_pub_100_alumnos_pub
Acebeda (La),30.55
Ajalvir,46.3
Alameda del Valle,30.55
Alamo (El),51.0
Alcalá de Henares,48.47
Alcobendas,27.51
Alcorcón,37.17
Aldea del Fresno,65.65
Algete,47.35
Alpedrete,39.64
Ambite,84.57
Anchuelo,49.2
Aranjuez,61.55
Arganda del Rey,35.71
Arroyomolinos,26.13
Atazar (El),30.55
Batres,58.22
Becerril de la Sierra,72.97
Belmonte de Tajo,51.05
Berrueco (El),57.56
Berzosa del Lozoya,30.55
Boadilla del Monte,52.54
Boalo (El),53.12
Braojos,30.55
Brea de Tajo,84.57
Brunete,51.64
Buitrago del Lozoya,47.38
Bustarviejo,47.39
Cabanillas de la Sierra,56.14
Cabrera (La),71.29
Cadalso de los Vidrios,92.63
Camarma de Esteruelas,31.13
Campo Real,41.76
Canencia,30.55
Carabaña,47.94
Casarrubuelos,69.97
Cenicientos,49.77
Cercedilla,54.06
Cervera de Buitrago,79.17
Chapinería,49.46
Chinchón,36.29
Ciempozuelos,32.04
Cobeña,46.23
Collado Mediano,75.77
Collado Villalba,52.44
Colmenar Viejo,76.28
Colmenar de Oreja,36.0
Colmenar del Arroyo,50.37
Colmenarejo,37.03
Corpa,55.48
Coslada,66.11
Cubas de la Sagra,26.78
Daganzo de Arriba,32.71
Escorial (El),57.7
Estremera,49.62
Fresnedillas de la Oliva,48.95
Fresno de Torote,45.7
Fuenlabrada,62.08
Fuente el Saz de Jarama,57.43
Fuentidueña de Tajo,47.52
Galapagar,44.66
Garganta de los Montes,30.55
Gargantilla del Lozoya y Pinilla de Buitrago,30.55
Gascones,30.55
Getafe,30.96
Griñón,39.54
Guadalix de la Sierra,64.02
Guadarrama,49.04
Hiruela (La),30.55
Horcajo de la Sierra-Aoslos,30.55
Horcajuelo de la Sierra,30.55
Hoyo de Manzanares,57.19
Humanes de Madrid,40.98
Leganés,54.6
Loeches,47.49
Lozoya,59.49
Lozoyuela-Navas-Sieteiglesias,48.56
Madarcos,30.55
Majadahonda,100.0
Manzanares el Real,40.49
Meco,30.95
Mejorada del Campo,36.06
Miraflores de la Sierra,73.29
Molar (El),43.52
Molinos (Los),79.48
Montejo de la Sierra,84.57
Moraleja de Enmedio,50.75
Moralzarzal,40.11
Morata de Tajuña,38.51
Móstoles,29.4
Navacerrada,45.89
Navalafuente,53.7
Navalagamella,66.68
Navalcarnero,34.95
Navarredonda y San Mamés,30.55
Navas del Rey,100.0
Nuevo Baztán,33.74
Olmeda de las Fuentes,84.57
Orusco de Tajuña,53.0
Paracuellos de Jarama,38.84
Parla,38.25
Patones,58.45
Pedrezuela,43.51
Pelayos de la Presa,80.4
Perales de Tajuña,66.17
Pezuela de las Torres,50.19
Pinilla del Valle,30.55
Pinto,31.18
Piñuécar-Gandullas,30.55
Pozuelo de Alarcón,74.49
Pozuelo del Rey,64.67
Prádena del Rincón,30.55
Puebla de la Sierra,30.55
Puentes Viejas,30.55
Quijorna,89.78
Rascafría,53.7
Redueña,76.85
Ribatejada,54.56
Rivas-Vaciamadrid,20.72
Robledillo de la Jara,30.55
Robledo de Chavela,80.84
Robregordo,30.55
Rozas de Madrid (Las),78.49
Rozas de Puerto Real,57.07
San Agustín del Guadalix,35.64
San Fernando de Henares,37.27
San Lorenzo de El Escorial,62.2
San Martín de Valdeiglesias,53.25
San Martín de la Vega,35.98
San Sebastián de los Reyes,48.27
Santa María de la Alameda,60.02
Santorcaz,30.55
Santos de la Humosa (Los),43.69
Serna del Monte (La),30.55
Serranillos del Valle,41.87
Sevilla la Nueva,49.51
Somosierra,30.55
Soto del Real,42.73
Talamanca de Jarama,46.42
Tielmes,47.61
Titulcia,50.22
Torrejón de Ardoz,37.68
Torrejón de Velasco,51.21
Torrejón de la Calzada,39.2
Torrelaguna,52.21
Torrelodones,34.15
Torremocha de Jarama,62.96
Torres de la Alameda,47.21
Tres Cantos,52.55
Valdaracete,55.6
Valdeavero,53.27
Valdelaguna,79.17
Valdemanco,68.68
Valdemaqueda,84.57
Valdemorillo,41.54
Valdemoro,33.56
Valdeolmos-Alalpardo,46.06
Valdepiélagos,79.17
Valdetorres de Jarama,73.8
Valdilecha,53.4
Valverde de Alcalá,30.55
Velilla de San Antonio,32.38
Vellón (El),47.02
Venturada,53.41
Villa del Prado,36.93
Villaconejos,67.48
Villalbilla,28.96
Villamanrique de Tajo,100.0
Villamanta,45.95
Villamantilla,52.65
Villanueva de Perales,51.5
Villanueva de la Cañada,48.82
Villanueva del Pardillo,42.34
Villar del Olmo,65.28
Villarejo de Salvanés,42.34
Villaviciosa de Odón,47.63
Villavieja del Lozoya,73.76
Zarzalejo,52.23
Madrid,0.0
