Nombre,centros_pub_100_alumnos_pub
Acebeda (La),39.94
Ajalvir,39.76
Alameda del Valle,39.94
Alamo (El),41.89
Alcalá de Henares,43.42
Alcobendas,26.56
Alcorcón,58.81
Aldea del Fresno,70.39
Algete,45.89
Alpedrete,42.38
Ambite,79.98
Anchuelo,42.06
Aranjuez,28.14
Arganda del Rey,32.68
Arroyomolinos,33.95
Atazar (El),39.94
Batres,48.73
Becerril de la Sierra,47.85
Belmonte de Tajo,44.28
Berrueco (El),69.97
Berzosa del Lozoya,39.94
Boadilla del Monte,37.71
Boalo (El),41.03
Braojos,39.94
Brea de Tajo,100.0
Brunete,45.65
Buitrago del Lozoya,42.08
Bustarviejo,43.06
Cabanillas de la Sierra,43.1
Cabrera (La),54.55
Cadalso de los Vidrios,56.47
Camarma de Esteruelas,34.92
Campo Real,47.32
Canencia,39.94
Carabaña,43.45
Casarrubuelos,96.44
Cenicientos,42.79
Cercedilla,44.4
Cervera de Buitrago,75.98
Chapinería,41.59
Chinchón,44.62
Ciempozuelos,36.21
Cobeña,37.78
Collado Mediano,61.53
Collado Villalba,32.56
Colmenar Viejo,62.34
Colmenar de Oreja,44.87
Colmenar del Arroyo,45.12
Colmenarejo,38.84
Corpa,67.66
Coslada,65.17
Cubas de la Sagra,41.55
Daganzo de Arriba,38.2
Escorial (El),43.0
Estremera,44.65
Fresnedillas de la Oliva,43.83
Fresno de Torote,42.87
Fuenlabrada,79.16
Fuente el Saz de Jarama,40.79
Fuentidueña de Tajo,43.71
Galapagar,39.28
Garganta de los Montes,39.94
Gargantilla del Lozoya y Pinilla de Buitrago,39.94
Gascones,39.94
Getafe,47.21
Griñón,42.36
Guadalix de la Sierra,48.56
Guadarrama,41.62
Hiruela (La),39.94
Horcajo de la Sierra-Aoslos,39.94
Horcajuelo de la Sierra,39.94
Hoyo de Manzanares,50.74
Humanes de Madrid,44.14
Leganés,76.18
Loeches,60.18
Lozoya,52.81
Lozoyuela-Navas-Sieteiglesias,42.29
Madarcos,39.94
Majadahonda,73.74
Manzanares el Real,46.64
Meco,38.15
Mejorada del Campo,39.11
Miraflores de la Sierra,60.81
Molar (El),42.07
Molinos (Los),79.43
Montejo de la Sierra,79.98
Moraleja de Enmedio,51.74
Moralzarzal,39.24
Morata de Tajuña,46.43
Móstoles,45.56
Navacerrada,61.56
Navalafuente,57.1
Navalagamella,94.59
Navalcarnero,39.45
Navarredonda y San Mamés,39.94
Navas del Rey,54.86
Nuevo Baztán,45.5
Olmeda de las Fuentes,79.98
Orusco de Tajuña,43.06
Paracuellos de Jarama,47.58
Parla,24.9
Patones,44.71
Pedrezuela,64.07
Pelayos de la Presa,89.25
Perales de Tajuña,82.54
Pezuela de las Torres,50.86
Pinilla del Valle,39.94
Pinto,28.25
Piñuécar-Gandullas,39.94
Pozuelo de Alarcón,100.0
Pozuelo del Rey,58.91
Prádena del Rincón,39.94
Puebla de la Sierra,39.94
Puentes Viejas,39.94
Quijorna,100.0
Rascafría,45.66
Redueña,65.68
Ribatejada,53.29
Rivas-Vaciamadrid,29.75
Robledillo de la Jara,39.94
Robledo de Chavela,64.43
Robregordo,39.94
Rozas de Madrid (Las),49.17
Rozas de Puerto Real,53.04
San Agustín del Guadalix,35.58
San Fernando de Henares,38.87
San Lorenzo de El Escorial,46.09
San Martín de Valdeiglesias,43.23
San Martín de la Vega,43.1
San Sebastián de los Reyes,45.82
Santa María de la Alameda,72.7
Santorcaz,39.94
Santos de la Humosa (Los),42.1
Serna del Monte (La),39.94
Serranillos del Valle,58.89
Sevilla la Nueva,49.09
Somosierra,39.94
Soto del Real,39.56
Talamanca de Jarama,46.0
Tielmes,42.65
Titulcia,44.1
Torrejón de Ardoz,31.2
Torrejón de Velasco,63.52
Torrejón de la Calzada,41.92
Torrelaguna,50.45
Torrelodones,36.76
Torremocha de Jarama,57.96
Torres de la Alameda,41.58
Tres Cantos,90.45
Valdaracete,43.21
Valdeavero,43.31
Valdelaguna,75.98
Valdemanco,61.14
Valdemaqueda,79.98
Valdemorillo,39.49
Valdemoro,41.22
Valdeolmos-Alalpardo,80.19
Valdepiélagos,75.98
Valdetorres de Jarama,56.3
Valdilecha,49.22
Valverde de Alcalá,39.94
Velilla de San Antonio,35.86
Vellón (El),43.79
Venturada,42.25
Villa del Prado,40.13
Villaconejos,62.93
Villalbilla,43.81
Villamanrique de Tajo,91.42
Villamanta,43.2
Villamantilla,42.67
Villanueva de Perales,44.84
Villanueva de la Cañada,36.43
Villanueva del Pardillo,42.19
Villar del Olmo,65.68
Villarejo de Salvanés,44.89
Villaviciosa de Odón,49.29
Villavieja del Lozoya,63.96
Zarzalejo,42.35
Madrid,0.0
