Nombre,unidades_escolares_priv_100_alumnos_priv
Acebeda (La),48.73
Ajalvir,34.15
Alameda del Valle,48.73
Alamo (El),49.4
Alcalá de Henares,45.69
Alcobendas,56.32
Alcorcón,39.9
Aldea del Fresno,34.15
Algete,70.07
Alpedrete,53.22
Ambite,48.73
Anchuelo,48.73
Aranjuez,43.09
Arganda del Rey,17.32
Arroyomolinos,50.35
Atazar (El),48.73
Batres,48.73
Becerril de la Sierra,81.19
Belmonte de Tajo,48.73
Berrueco (El),48.73
Berzosa del Lozoya,48.73
Boadilla del Monte,54.05
Boalo (El),52.59
Braojos,48.73
Brea de Tajo,48.73
Brunete,47.32
Buitrago del Lozoya,63.71
Bustarviejo,48.73
Cabanillas de la Sierra,48.73
Cabrera (La),60.7
Cadalso de los Vidrios,34.15
Camarma de Esteruelas,58.75
Campo Real,70.73
Canencia,48.73
Carabaña,48.73
Casarrubuelos,34.15
Cenicientos,48.73
Cercedilla,52.33
Cervera de Buitrago,48.73
Chapinería,100.0
Chinchón,61.59
Ciempozuelos,54.23
Cobeña,50.57
Collado Mediano,34.15
Collado Villalba,71.03
Colmenar Viejo,73.6
Colmenar de Oreja,34.15
Colmenar del Arroyo,48.73
Colmenarejo,57.67
Corpa,48.73
Coslada,78.58
Cubas de la Sagra,34.15
Daganzo de Arriba,59.48
Escorial (El),48.1
Estremera,48.73
Fresnedillas de la Oliva,48.73
Fresno de Torote,48.73
Fuenlabrada,20.78
Fuente el Saz de Jarama,34.15
Fuentidueña de Tajo,48.73
Galapagar,51.94
Garganta de los Montes,48.73
Gargantilla del Lozoya y Pinilla de Buitrago,48.73
Gascones,48.73
Getafe,60.9
Griñón,48.93
Guadalix de la Sierra,70.73
Guadarrama,47.52
Hiruela (La),48.73
Horcajo de la Sierra-Aoslos,48.73
Horcajuelo de la Sierra,48.73
Hoyo de Manzanares,34.15
Humanes de Madrid,48.11
Leganés,62.63
Loeches,54.24
Lozoya,48.73
Lozoyuela-Navas-Sieteiglesias,48.73
Madarcos,48.73
Majadahonda,77.18
Manzanares el Real,60.1
Meco,52.73
Mejorada del Campo,66.43
Miraflores de la Sierra,63.2
Molar (El),84.04
Molinos (Los),55.39
Montejo de la Sierra,48.73
Moraleja de Enmedio,34.15
Moralzarzal,51.27
Morata de Tajuña,34.15
Móstoles,12.95
Navacerrada,34.15
Navalafuente,48.73
Navalagamella,34.15
Navalcarnero,49.32
Navarredonda y San Mamés,48.73
Navas del Rey,34.15
Nuevo Baztán,49.68
Olmeda de las Fuentes,48.73
Orusco de Tajuña,48.73
Paracuellos de Jarama,48.19
Parla,48.84
Patones,48.73
Pedrezuela,81.19
Pelayos de la Presa,34.15
Perales de Tajuña,34.15
Pezuela de las Torres,48.73
Pinilla del Valle,48.73
Pinto,0.0
Piñuécar-Gandullas,48.73
Pozuelo de Alarcón,59.11
Pozuelo del Rey,48.73
Prádena del Rincón,48.73
Puebla de la Sierra,48.73
Puentes Viejas,48.73
Quijorna,100.0
Rascafría,48.73
Redueña,48.73
Ribatejada,48.73
Rivas-Vaciamadrid,74.76
Robledillo de la Jara,48.73
Robledo de Chavela,34.15
Robregordo,48.73
Rozas de Madrid (Las),62.85
Rozas de Puerto Real,80.29
San Agustín del Guadalix,64.54
San Fernando de Henares,65.51
San Lorenzo de El Escorial,50.13
San Martín de Valdeiglesias,34.15
San Martín de la Vega,50.28
San Sebastián de los Reyes,23.21
Santa María de la Alameda,48.73
Santorcaz,48.73
Santos de la Humosa (Los),48.73
Serna del Monte (La),48.73
Serranillos del Valle,34.15
Sevilla la Nueva,52.92
Somosierra,48.73
Soto del Real,47.24
Talamanca de Jarama,100.0
Tielmes,48.73
Titulcia,48.73
Torrejón de Ardoz,53.41
Torrejón de Velasco,47.91
Torrejón de la Calzada,47.58
Torrelaguna,34.15
Torrelodones,49.43
Torremocha de Jarama,48.73
Torres de la Alameda,34.15
Tres Cantos,78.42
Valdaracete,48.73
Valdeavero,48.73
Valdelaguna,48.73
Valdemanco,48.73
Valdemaqueda,48.73
Valdemorillo,57.23
Valdemoro,35.4
Valdeolmos-Alalpardo,48.05
Valdepiélagos,48.73
Valdetorres de Jarama,34.15
Valdilecha,34.15
Valverde de Alcalá,48.73
Velilla de San Antonio,62.78
Vellón (El),48.73
Venturada,48.73
Villa del Prado,34.15
Villaconejos,34.15
Villalbilla,49.54
Villamanrique de Tajo,48.73
Villamanta,48.73
Villamantilla,48.73
Villanueva de Perales,48.73
Villanueva de la Cañada,45.1
Villanueva del Pardillo,49.54
Villar del Olmo,48.73
Villarejo de Salvanés,48.76
Villaviciosa de Odón,48.35
Villavieja del Lozoya,48.73
Zarzalejo,48.73
