Nombre,unidades_escolares_publicas_por_100_alumnos
Acebeda (La),29.49
Ajalvir,51.14
Alameda del Valle,29.49
Alamo (El),54.88
Alcalá de Henares,32.18
Alcobendas,0.0
Alcorcón,26.76
Aldea del Fresno,89.64
Algete,40.03
Alpedrete,40.43
Ambite,68.66
Anchuelo,56.53
Aranjuez,71.17
Arganda del Rey,28.39
Arroyomolinos,25.54
Atazar (El),29.49
Batres,63.89
Becerril de la Sierra,69.93
Belmonte de Tajo,54.98
Berrueco (El),58.87
Berzosa del Lozoya,29.49
Boadilla del Monte,49.87
Boalo (El),59.23
Braojos,29.49
Brea de Tajo,88.25
Brunete,44.65
Buitrago del Lozoya,50.41
Bustarviejo,49.33
Cabanillas de la Sierra,61.96
Cabrera (La),51.64
Cadalso de los Vidrios,93.63
Camarma de Esteruelas,42.1
Campo Real,48.32
Canencia,29.49
Carabaña,50.13
Casarrubuelos,90.23
Cenicientos,50.39
Cercedilla,51.07
Cervera de Buitrago,64.75
Chapinería,49.66
Chinchón,25.16
Ciempozuelos,31.37
Cobeña,46.12
Collado Mediano,60.16
Collado Villalba,45.99
Colmenar Viejo,65.55
Colmenar de Oreja,35.56
Colmenar del Arroyo,57.39
Colmenarejo,33.93
Corpa,56.61
Coslada,68.63
Cubas de la Sagra,36.71
Daganzo de Arriba,31.24
Escorial (El),47.66
Estremera,54.84
Fresnedillas de la Oliva,48.55
Fresno de Torote,49.55
Fuenlabrada,75.61
Fuente el Saz de Jarama,43.54
Fuentidueña de Tajo,49.79
Galapagar,39.64
Garganta de los Montes,29.49
Gargantilla del Lozoya y Pinilla de Buitrago,29.49
Gascones,29.49
Getafe,30.44
Griñón,37.57
Guadalix de la Sierra,54.74
Guadarrama,46.67
Hiruela (La),29.49
Horcajo de la Sierra-Aoslos,29.49
Horcajuelo de la Sierra,29.49
Hoyo de Manzanares,52.79
Humanes de Madrid,35.58
Leganés,58.65
Loeches,51.21
Lozoya,60.97
Lozoyuela-Navas-Sieteiglesias,52.53
Madarcos,29.49
Majadahonda,86.95
Manzanares el Real,57.91
Meco,29.24
Mejorada del Campo,35.8
Miraflores de la Sierra,62.6
Molar (El),33.38
Molinos (Los),100.0
Montejo de la Sierra,68.66
Moraleja de Enmedio,51.66
Moralzarzal,33.21
Morata de Tajuña,42.01
Móstoles,33.63
Navacerrada,73.24
Navalafuente,63.07
Navalagamella,64.76
Navalcarnero,33.17
Navarredonda y San Mamés,29.49
Navas del Rey,91.85
Nuevo Baztán,32.56
Olmeda de las Fuentes,68.66
Orusco de Tajuña,61.54
Paracuellos de Jarama,43.86
Parla,58.41
Patones,62.18
Pedrezuela,54.42
Pelayos de la Presa,79.64
Perales de Tajuña,86.55
Pezuela de las Torres,50.86
Pinilla del Valle,29.49
Pinto,52.52
Piñuécar-Gandullas,29.49
Pozuelo de Alarcón,59.38
Pozuelo del Rey,66.6
Prádena del Rincón,29.49
Puebla de la Sierra,29.49
Puentes Viejas,29.49
Quijorna,91.17
Rascafría,60.27
Redueña,79.85
Ribatejada,62.13
Rivas-Vaciamadrid,28.03
Robledillo de la Jara,29.49
Robledo de Chavela,70.84
Robregordo,29.49
Rozas de Madrid (Las),91.54
Rozas de Puerto Real,55.13
San Agustín del Guadalix,32.79
San Fernando de Henares,32.33
San Lorenzo de El Escorial,61.65
San Martín de Valdeiglesias,41.82
San Martín de la Vega,33.39
San Sebastián de los Reyes,60.31
Santa María de la Alameda,61.54
Santorcaz,29.49
Santos de la Humosa (Los),47.49
Serna del Monte (La),29.49
Serranillos del Valle,62.56
Sevilla la Nueva,41.71
Somosierra,29.49
Soto del Real,35.35
Talamanca de Jarama,54.21
Tielmes,50.7
Titulcia,53.94
Torrejón de Ardoz,32.38
Torrejón de Velasco,64.8
Torrejón de la Calzada,35.77
Torrelaguna,42.92
Torrelodones,31.9
Torremocha de Jarama,64.75
Torres de la Alameda,42.83
Tres Cantos,57.52
Valdaracete,58.34
Valdeavero,52.55
Valdelaguna,100.0
Valdemanco,70.97
Valdemaqueda,68.66
Valdemorillo,34.88
Valdemoro,36.11
Valdeolmos-Alalpardo,61.0
Valdepiélagos,64.75
Valdetorres de Jarama,65.71
Valdilecha,56.38
Valverde de Alcalá,29.49
Velilla de San Antonio,29.31
Vellón (El),50.23
Venturada,48.7
Villa del Prado,37.88
Villaconejos,86.72
Villalbilla,30.47
Villamanrique de Tajo,79.85
Villamanta,48.63
Villamantilla,52.19
Villanueva de Perales,55.87
Villanueva de la Cañada,35.32
Villanueva del Pardillo,39.27
Villar del Olmo,54.67
Villarejo de Salvanés,33.19
Villaviciosa de Odón,45.87
Villavieja del Lozoya,76.5
Zarzalejo,55.43
