Nombre,grupo
Acebeda (La),1.0
Ajalvir,2.0
Alameda del Valle,1.0
Alamo (El),2.0
Alcalá de Henares,3.0
Alcobendas,3.0
Alcorcón,3.0
Aldea del Fresno,2.0
Algete,2.0
Alpedrete,2.0
Ambite,1.0
Anchuelo,1.0
Aranjuez,3.0
Arganda del Rey,3.0
Arroyomolinos,2.0
Atazar (El),1.0
Batres,1.0
Becerril de la Sierra,2.0
Belmonte de Tajo,1.0
Berrueco (El),1.0
Berzosa del Lozoya,1.0
Boadilla del Monte,3.0
Boalo (El),2.0
Braojos,1.0
Brea de Tajo,1.0
Brunete,2.0
Buitrago del Lozoya,1.0
Bustarviejo,1.0
Cabanillas de la Sierra,1.0
Cabrera (La),2.0
Cadalso de los Vidrios,2.0
Camarma de Esteruelas,2.0
Campo Real,2.0
Canencia,1.0
Carabaña,1.0
Casarrubuelos,2.0
Cenicientos,1.0
Cercedilla,2.0
Cervera de Buitrago,1.0
Chapinería,1.0
Chinchón,2.0
Ciempozuelos,2.0
Cobeña,2.0
Collado Mediano,2.0
Collado Villalba,3.0
Colmenar Viejo,3.0
Colmenar de Oreja,2.0
Colmenar del Arroyo,1.0
Colmenarejo,2.0
Corpa,1.0
Coslada,3.0
Cubas de la Sagra,2.0
Daganzo de Arriba,2.0
Escorial (El),2.0
Estremera,1.0
Fresnedillas de la Oliva,1.0
Fresno de Torote,1.0
Fuenlabrada,3.0
Fuente el Saz de Jarama,2.0
Fuentidueña de Tajo,1.0
Galapagar,2.0
Garganta de los Montes,1.0
Gargantilla del Lozoya y Pinilla de Buitrago,1.0
Gascones,1.0
Getafe,3.0
Griñón,2.0
Guadalix de la Sierra,2.0
Guadarrama,2.0
Hiruela (La),1.0
Horcajo de la Sierra-Aoslos,1.0
Horcajuelo de la Sierra,1.0
Hoyo de Manzanares,2.0
Humanes de Madrid,2.0
Leganés,3.0
Loeches,2.0
Lozoya,1.0
Lozoyuela-Navas-Sieteiglesias,1.0
Madarcos,1.0
Majadahonda,3.0
Manzanares el Real,2.0
Meco,2.0
Mejorada del Campo,2.0
Miraflores de la Sierra,2.0
Molar (El),2.0
Molinos (Los),2.0
Montejo de la Sierra,1.0
Moraleja de Enmedio,2.0
Moralzarzal,2.0
Morata de Tajuña,2.0
Móstoles,3.0
Navacerrada,2.0
Navalafuente,1.0
Navalagamella,2.0
Navalcarnero,2.0
Navarredonda y San Mamés,1.0
Navas del Rey,2.0
Nuevo Baztán,2.0
Olmeda de las Fuentes,1.0
Orusco de Tajuña,1.0
Paracuellos de Jarama,2.0
Parla,3.0
Patones,1.0
Pedrezuela,2.0
Pelayos de la Presa,2.0
Perales de Tajuña,2.0
Pezuela de las Torres,1.0
Pinilla del Valle,1.0
Pinto,3.0
Piñuécar-Gandullas,1.0
Pozuelo de Alarcón,3.0
Pozuelo del Rey,1.0
Prádena del Rincón,1.0
Puebla de la Sierra,1.0
Puentes Viejas,1.0
Quijorna,2.0
Rascafría,1.0
Redueña,1.0
Ribatejada,1.0
Rivas-Vaciamadrid,3.0
Robledillo de la Jara,1.0
Robledo de Chavela,2.0
Robregordo,1.0
Rozas de Madrid (Las),3.0
Rozas de Puerto Real,1.0
San Agustín del Guadalix,2.0
San Fernando de Henares,2.0
San Lorenzo de El Escorial,2.0
San Martín de Valdeiglesias,2.0
San Martín de la Vega,2.0
San Sebastián de los Reyes,3.0
Santa María de la Alameda,1.0
Santorcaz,1.0
Santos de la Humosa (Los),1.0
Serna del Monte (La),1.0
Serranillos del Valle,2.0
Sevilla la Nueva,2.0
Somosierra,1.0
Soto del Real,2.0
Talamanca de Jarama,2.0
Tielmes,1.0
Titulcia,1.0
Torrejón de Ardoz,3.0
Torrejón de Velasco,2.0
Torrejón de la Calzada,2.0
Torrelaguna,2.0
Torrelodones,2.0
Torremocha de Jarama,1.0
Torres de la Alameda,2.0
Tres Cantos,3.0
Valdaracete,1.0
Valdeavero,1.0
Valdelaguna,1.0
Valdemanco,1.0
Valdemaqueda,1.0
Valdemorillo,2.0
Valdemoro,3.0
Valdeolmos-Alalpardo,2.0
Valdepiélagos,1.0
Valdetorres de Jarama,2.0
Valdilecha,2.0
Valverde de Alcalá,1.0
Velilla de San Antonio,2.0
Vellón (El),1.0
Venturada,1.0
Villa del Prado,2.0
Villaconejos,2.0
Villalbilla,2.0
Villamanrique de Tajo,1.0
Villamanta,1.0
Villamantilla,1.0
Villanueva de Perales,1.0
Villanueva de la Cañada,2.0
Villanueva del Pardillo,2.0
Villar del Olmo,1.0
Villarejo de Salvanés,2.0
Villaviciosa de Odón,2.0
Villavieja del Lozoya,1.0
Zarzalejo,1.0
