Nombre,Precio
Acebeda (La),61.79
Ajalvir,57.67
Alameda del Valle,33.57
Alamo (El),60.46
Alcalá de Henares,53.8
Alcobendas,55.5
Alcorcón,57.6
Aldea del Fresno,65.44
Algete,48.29
Alpedrete,40.42
Ambite,68.02
Anchuelo,44.97
Aranjuez,55.32
Arganda del Rey,57.3
Arroyomolinos,37.96
Atazar (El),60.51
Batres,57.24
Becerril de la Sierra,45.45
Belmonte de Tajo,79.4
Berrueco (El),41.32
Berzosa del Lozoya,28.2
Berzosa del Lozoya,45.02
Boadilla del Monte,24.94
Boalo (El),50.2
Braojos,34.18
Brea de Tajo,69.26
Brunete,56.03
Buitrago del Lozoya,39.88
Bustarviejo,28.88
Cabanillas de la Sierra,28.17
Cabrera (La),53.62
Cadalso de los Vidrios,66.36
Camarma de Esteruelas,59.83
Campo Real,55.47
Canencia,44.0
Carabaña,55.26
Casarrubuelos,62.79
Cenicientos,64.82
Cercedilla,53.73
Cervera de Buitrago,58.48
Chapinería,34.65
Chinchón,34.36
Ciempozuelos,65.49
Cobeña,38.38
Collado Mediano,45.02
Collado Villalba,52.11
Colmenar Viejo,53.49
Colmenar de Oreja,57.75
Colmenar del Arroyo,43.41
Colmenarejo,45.05
Corpa,55.78
Coslada,54.79
Cubas de la Sagra,43.18
Daganzo de Arriba,55.7
Estremera,75.98
Fresnedillas de la Oliva,16.67
Fresno de Torote,0.0
Fuenlabrada,59.39
Fuente el Saz de Jarama,33.83
Fuentidueña de Tajo,59.31
Galapagar,29.6
Garganta de los Montes,37.05
Gargantilla del Lozoya y Pinilla de Buitrago,50.24
Gascones,50.1
Getafe,57.02
Griñón,44.32
Guadalix de la Sierra,56.68
Guadarrama,37.44
Hiruela (La),64.58
Horcajo de la Sierra-Aoslos,53.09
Horcajuelo de la Sierra,76.07
Hoyo de Manzanares,23.93
Humanes de Madrid,62.21
Leganés,56.7
Loeches,60.65
Lozoyuela-Navas-Sieteiglesias,45.23
Madarcos,61.24
Majadahonda,38.52
Manzanares el Real,45.42
Meco,48.32
Mejorada del Campo,57.07
Miraflores de la Sierra,51.27
Molar (El),45.88
Molinos (Los),50.71
Montejo de la Sierra,62.23
Moraleja de Enmedio,52.1
Moralzarzal,43.87
Morata de Tajuña,63.22
Móstoles,56.83
Navacerrada,29.47
Navalafuente,30.37
Navalagamella,61.07
Navalcarnero,56.63
Navarredonda y San Mamés,43.74
Navas del Rey,59.59
Nuevo Baztán,58.28
Olmeda de las Fuentes,56.36
Orusco de Tajuña,62.71
Paracuellos de Jarama,37.63
Parla,59.35
Patones,42.8
Pedrezuela,59.08
Pelayos de la Presa,64.6
Perales de Tajuña,67.62
Pezuela de las Torres,63.3
Pinilla del Valle,48.54
Pinto,57.57
Piñuécar-Gandullas,43.88
Pozuelo de Alarcón,0.0
Pozuelo del Rey,53.77
Prádena del Rincón,64.34
Puebla de la Sierra,35.7
Puentes Viejas,52.17
Quijorna,52.19
Rascafría,26.76
Redueña,43.76
Ribatejada,34.56
Rivas-Vaciamadrid,49.29
Robledillo de la Jara,45.35
Robledo de Chavela,56.62
Robregordo,73.26
Rozas de Madrid (Las),34.61
Rozas de Puerto Real,68.74
San Agustín del Guadalix,43.32
San Fernando de Henares,58.25
San Lorenzo de El Escorial,39.91
San Lorenzo de El Escorial,36.61
San Martín de Valdeiglesias,54.01
San Martín de la Vega,65.05
San Sebastián de los Reyes,53.38
Santa María de la Alameda,53.23
Santorcaz,50.89
Santos de la Humosa (Los),55.32
Serna del Monte (La),74.16
Serranillos del Valle,58.58
Sevilla la Nueva,53.91
Somosierra,71.28
Soto del Real,37.89
Talamanca de Jarama,59.8
Tielmes,64.78
Titulcia,56.52
Torrejón de Ardoz,58.21
Torrejón de Velasco,57.89
Torrejón de la Calzada,53.75
Torrelaguna,60.49
Torrelodones,0.0
Torremocha de Jarama,41.06
Torres de la Alameda,61.65
Tres Cantos,48.05
Valdaracete,77.21
Valdeavero,44.46
Valdelaguna,68.9
Valdemanco,41.78
Valdemaqueda,47.82
Valdemorillo,21.57
Valdemoro,56.23
Valdeolmos-Alalpardo,35.02
Valdepiélagos,45.67
Valdetorres de Jarama,53.67
Valdilecha,64.59
Valverde de Alcalá,41.36
Velilla de San Antonio,62.62
Vellón (El),37.57
Venturada,23.89
Villa del Prado,64.12
Villaconejos,68.16
Villalbilla,53.24
Villamanrique de Tajo,68.75
Villamanta,57.33
Villamantilla,34.36
Villanueva de Perales,39.64
Villanueva de la Cañada,7.81
Villanueva del Pardillo,34.42
Villar del Olmo,52.45
Villarejo de Salvanés,68.54
Villaviciosa de Odón,17.21
Villavieja del Lozoya,49.26
Zarzalejo,33.6
