Nombre,Banos
Acebeda (La),14.3
Ajalvir,36.3
Alameda del Valle,61.96
Alamo (El),32.3
Alcalá de Henares,45.07
Alcobendas,33.52
Alcorcón,36.31
Aldea del Fresno,21.38
Algete,54.87
Alpedrete,67.24
Ambite,32.5
Anchuelo,72.36
Aranjuez,55.42
Arganda del Rey,43.48
Arroyomolinos,64.33
Atazar (El),0.0
Batres,43.33
Becerril de la Sierra,67.24
Belmonte de Tajo,32.5
Berrueco (El),34.67
Berzosa del Lozoya,86.66
Berzosa del Lozoya,35.97
Boadilla del Monte,88.85
Boalo (El),61.05
Braojos,65.0
Brea de Tajo,46.36
Brunete,30.12
Buitrago del Lozoya,38.56
Bustarviejo,67.16
Cabanillas de la Sierra,43.33
Cabrera (La),36.67
Cadalso de los Vidrios,43.22
Camarma de Esteruelas,31.21
Campo Real,38.85
Canencia,43.33
Carabaña,40.3
Casarrubuelos,52.32
Cenicientos,64.13
Cercedilla,44.68
Cervera de Buitrago,43.33
Chapinería,50.7
Chinchón,91.99
Ciempozuelos,38.85
Cobeña,70.52
Collado Mediano,50.5
Collado Villalba,54.62
Colmenar Viejo,50.24
Colmenar de Oreja,50.5
Colmenar del Arroyo,56.33
Colmenarejo,53.41
Corpa,69.33
Coslada,39.89
Cubas de la Sagra,71.61
Daganzo de Arriba,39.58
Estremera,53.3
Fresnedillas de la Oliva,54.6
Fresno de Torote,86.66
Fuenlabrada,30.74
Fuente el Saz de Jarama,59.23
Fuentidueña de Tajo,35.53
Galapagar,66.51
Garganta de los Montes,86.66
Gargantilla del Lozoya y Pinilla de Buitrago,34.23
Gascones,21.67
Getafe,36.71
Griñón,83.26
Guadalix de la Sierra,38.85
Guadarrama,59.23
Hiruela (La),65.0
Horcajo de la Sierra-Aoslos,29.03
Horcajuelo de la Sierra,43.33
Hoyo de Manzanares,81.8
Humanes de Madrid,20.65
Leganés,39.89
Loeches,30.12
Lozoyuela-Navas-Sieteiglesias,46.36
Madarcos,31.63
Majadahonda,72.14
Manzanares el Real,51.23
Meco,51.96
Mejorada del Campo,38.85
Miraflores de la Sierra,51.23
Molar (El),54.14
Molinos (Los),49.41
Montejo de la Sierra,39.86
Moraleja de Enmedio,49.41
Moralzarzal,56.32
Morata de Tajuña,34.12
Móstoles,45.47
Navacerrada,71.25
Navalafuente,63.7
Navalagamella,44.68
Navalcarnero,46.13
Navarredonda y San Mamés,39.0
Navas del Rey,55.23
Nuevo Baztán,30.84
Olmeda de las Fuentes,51.56
Orusco de Tajuña,61.96
Paracuellos de Jarama,57.78
Parla,36.71
Patones,67.6
Pedrezuela,34.48
Pelayos de la Presa,29.75
Perales de Tajuña,23.93
Pezuela de las Torres,31.2
Pinilla del Valle,0.0
Pinto,37.9
Piñuécar-Gandullas,65.0
Pozuelo de Alarcón,100.0
Pozuelo del Rey,50.26
Prádena del Rincón,86.66
Puebla de la Sierra,72.36
Puentes Viejas,60.23
Quijorna,60.33
Rascafría,57.63
Redueña,43.33
Ribatejada,57.63
Rivas-Vaciamadrid,57.41
Robledillo de la Jara,86.66
Robledo de Chavela,54.14
Robregordo,21.67
Rozas de Madrid (Las),74.92
Rozas de Puerto Real,52.0
San Agustín del Guadalix,43.95
San Fernando de Henares,25.75
San Lorenzo de El Escorial,53.41
San Lorenzo de El Escorial,56.32
San Martín de Valdeiglesias,41.04
San Martín de la Vega,28.66
San Sebastián de los Reyes,36.31
Santa María de la Alameda,33.37
Santorcaz,52.86
Santos de la Humosa (Los),53.73
Serna del Monte (La),34.67
Serranillos del Valle,49.04
Sevilla la Nueva,38.85
Somosierra,21.67
Soto del Real,54.5
Talamanca de Jarama,54.14
Tielmes,41.6
Titulcia,53.3
Torrejón de Ardoz,38.7
Torrejón de Velasco,48.68
Torrejón de la Calzada,58.14
Torrelaguna,42.49
Torrelodones,89.08
Torremocha de Jarama,27.73
Torres de la Alameda,30.12
Tres Cantos,48.25
Valdaracete,21.67
Valdeavero,59.8
Valdelaguna,36.83
Valdemanco,66.73
Valdemaqueda,55.03
Valdemorillo,54.14
Valdemoro,47.46
Valdeolmos-Alalpardo,69.79
Valdepiélagos,79.3
Valdetorres de Jarama,53.05
Valdilecha,43.95
Valverde de Alcalá,65.0
Velilla de San Antonio,30.84
Vellón (El),49.4
Venturada,86.66
Villa del Prado,41.04
Villaconejos,30.48
Villalbilla,47.59
Villamanrique de Tajo,29.03
Villamanta,51.56
Villamantilla,74.1
Villanueva de Perales,78.0
Villanueva de la Cañada,100.0
Villanueva del Pardillo,58.51
Villar del Olmo,86.66
Villarejo de Salvanés,27.93
Villaviciosa de Odón,94.9
Villavieja del Lozoya,14.3
Zarzalejo,38.56
