Nombre,ocupadosColectivos_100
Acebeda (La),56.24
Ajalvir,100.0
Alameda del Valle,53.85
Alamo (El),46.05
Alcalá de Henares,46.33
Alcobendas,100.0
Alcorcón,40.18
Aldea del Fresno,45.33
Algete,58.0
Alpedrete,47.14
Ambite,42.44
Anchuelo,44.4
Aranjuez,36.63
Arganda del Rey,55.61
Arroyomolinos,51.31
Atazar (El),67.98
Batres,40.82
Becerril de la Sierra,44.43
Belmonte de Tajo,40.72
Berrueco (El),48.61
Berzosa del Lozoya,64.59
Boadilla del Monte,49.95
Boalo (El),45.84
Braojos,100.0
Brea de Tajo,47.18
Brunete,49.03
Buitrago del Lozoya,66.31
Bustarviejo,42.78
Cabanillas de la Sierra,43.59
Cabrera (La),49.18
Cadalso de los Vidrios,46.41
Camarma de Esteruelas,51.19
Campo Real,50.43
Canencia,44.72
Carabaña,58.23
Casarrubuelos,47.71
Cenicientos,39.98
Cercedilla,51.08
Cervera de Buitrago,47.36
Chapinería,43.24
Chinchón,50.22
Ciempozuelos,52.92
Cobeña,46.69
Collado Mediano,47.45
Collado Villalba,31.0
Colmenar Viejo,38.85
Colmenar de Oreja,44.11
Colmenar del Arroyo,57.64
Colmenarejo,48.98
Corpa,35.6
Coslada,55.55
Cubas de la Sagra,46.1
Daganzo de Arriba,57.37
Escorial (El),46.99
Estremera,78.22
Fresnedillas de la Oliva,40.11
Fresno de Torote,38.94
Fuenlabrada,35.58
Fuente el Saz de Jarama,50.87
Fuentidueña de Tajo,42.33
Galapagar,45.07
Garganta de los Montes,44.06
Gargantilla del Lozoya y Pinilla de Buitrago,47.79
Gascones,51.27
Getafe,53.22
Griñón,67.94
Guadalix de la Sierra,45.07
Guadarrama,48.12
Hiruela (La),81.76
Horcajo de la Sierra-Aoslos,47.59
Horcajuelo de la Sierra,55.94
Hoyo de Manzanares,48.55
Humanes de Madrid,69.04
Leganés,39.29
Loeches,61.16
Lozoya,51.91
Lozoyuela-Navas-Sieteiglesias,52.4
Madarcos,57.85
Majadahonda,51.0
Manzanares el Real,42.83
Meco,62.68
Mejorada del Campo,50.35
Miraflores de la Sierra,43.64
Molar (El),43.15
Molinos (Los),45.22
Montejo de la Sierra,50.38
Moraleja de Enmedio,56.58
Moralzarzal,46.5
Morata de Tajuña,45.34
Móstoles,27.3
Navacerrada,47.57
Navalafuente,37.46
Navalagamella,41.25
Navalcarnero,51.81
Navarredonda y San Mamés,49.49
Navas del Rey,46.08
Nuevo Baztán,44.22
Olmeda de las Fuentes,41.52
Orusco de Tajuña,41.24
Paracuellos de Jarama,48.41
Parla,20.07
Patones,53.77
Pedrezuela,42.87
Pelayos de la Presa,46.14
Perales de Tajuña,43.95
Pezuela de las Torres,41.31
Pinilla del Valle,39.15
Pinto,46.14
Piñuécar-Gandullas,47.66
Pozuelo de Alarcón,97.41
Pozuelo del Rey,37.98
Prádena del Rincón,61.93
Puebla de la Sierra,53.1
Puentes Viejas,45.6
Quijorna,42.15
Rascafría,49.67
Redueña,66.51
Ribatejada,43.77
Rivas-Vaciamadrid,34.37
Robledillo de la Jara,48.5
Robledo de Chavela,46.65
Robregordo,89.38
Rozas de Madrid (Las),65.19
Rozas de Puerto Real,85.86
San Agustín del Guadalix,54.88
San Fernando de Henares,71.82
San Lorenzo de El Escorial,50.42
San Martín de Valdeiglesias,47.44
San Martín de la Vega,49.68
San Sebastián de los Reyes,58.41
Santa María de la Alameda,42.23
Santorcaz,37.1
Santos de la Humosa (Los),39.13
Serna del Monte (La),51.67
Serranillos del Valle,48.71
Sevilla la Nueva,46.81
Somosierra,66.88
Soto del Real,50.95
Talamanca de Jarama,43.53
Tielmes,46.67
Titulcia,43.51
Torrejón de Ardoz,37.15
Torrejón de Velasco,46.22
Torrejón de la Calzada,52.19
Torrelaguna,49.94
Torrelodones,51.88
Torremocha de Jarama,62.45
Torres de la Alameda,56.67
Tres Cantos,84.5
Valdaracete,44.15
Valdeavero,43.29
Valdelaguna,38.59
Valdemanco,39.7
Valdemaqueda,43.39
Valdemorillo,46.34
Valdemoro,46.28
Valdeolmos-Alalpardo,48.07
Valdepiélagos,44.86
Valdetorres de Jarama,45.32
Valdilecha,45.95
Valverde de Alcalá,38.32
Velilla de San Antonio,51.91
Vellón (El),39.19
Venturada,67.47
Villa del Prado,46.46
Villaconejos,45.59
Villalbilla,43.88
Villamanrique de Tajo,44.62
Villamanta,43.7
Villamantilla,40.17
Villanueva de Perales,42.66
Villanueva de la Cañada,53.82
Villanueva del Pardillo,47.99
Villar del Olmo,40.93
Villarejo de Salvanés,50.79
Villaviciosa de Odón,55.53
Villavieja del Lozoya,40.25
Zarzalejo,48.37
