Nombre,paro_total
Acebeda (La),77.42
Ajalvir,64.77
Alameda del Valle,74.87
Alamo (El),41.29
Alcalá de Henares,28.61
Alcobendas,71.06
Alcorcón,46.01
Aldea del Fresno,29.34
Algete,66.44
Alpedrete,60.17
Ambite,29.84
Anchuelo,48.4
Aranjuez,21.7
Arganda del Rey,11.48
Arroyomolinos,70.58
Atazar (El),42.74
Batres,52.75
Becerril de la Sierra,45.48
Belmonte de Tajo,34.26
Berrueco (El),42.35
Berzosa del Lozoya,76.26
Boadilla del Monte,100.0
Boalo (El),46.95
Braojos,91.91
Brea de Tajo,34.81
Brunete,65.82
Buitrago del Lozoya,53.05
Bustarviejo,47.63
Cabanillas de la Sierra,61.77
Cabrera (La),41.53
Cadalso de los Vidrios,0.0
Camarma de Esteruelas,40.6
Campo Real,32.54
Canencia,49.12
Carabaña,36.04
Casarrubuelos,53.12
Cenicientos,17.58
Cercedilla,42.17
Cervera de Buitrago,26.81
Chapinería,43.31
Chinchón,22.0
Ciempozuelos,39.52
Cobeña,78.21
Collado Mediano,44.89
Collado Villalba,26.94
Colmenar Viejo,62.26
Colmenar de Oreja,27.31
Colmenar del Arroyo,39.51
Colmenarejo,47.42
Corpa,33.56
Coslada,44.31
Cubas de la Sagra,69.53
Daganzo de Arriba,64.89
Escorial (El),55.86
Estremera,42.09
Fresnedillas de la Oliva,31.42
Fresno de Torote,49.31
Fuenlabrada,22.56
Fuente el Saz de Jarama,48.1
Fuentidueña de Tajo,25.17
Galapagar,54.62
Garganta de los Montes,59.4
Gargantilla del Lozoya y Pinilla de Buitrago,37.05
Gascones,39.49
Getafe,41.16
Griñón,65.47
Guadalix de la Sierra,45.85
Guadarrama,56.37
Hiruela (La),100.0
Horcajo de la Sierra-Aoslos,59.85
Horcajuelo de la Sierra,80.52
Hoyo de Manzanares,70.42
Humanes de Madrid,29.6
Leganés,39.78
Loeches,46.56
Lozoya,62.97
Lozoyuela-Navas-Sieteiglesias,37.62
Madarcos,97.09
Majadahonda,85.91
Manzanares el Real,63.53
Meco,57.16
Mejorada del Campo,39.4
Miraflores de la Sierra,43.33
Molar (El),48.26
Molinos (Los),60.69
Montejo de la Sierra,87.85
Moraleja de Enmedio,60.27
Moralzarzal,70.24
Morata de Tajuña,36.46
Móstoles,34.85
Navacerrada,70.15
Navalafuente,33.22
Navalagamella,30.82
Navalcarnero,44.04
Navarredonda y San Mamés,72.6
Navas del Rey,23.92
Nuevo Baztán,37.92
Olmeda de las Fuentes,64.67
Orusco de Tajuña,31.32
Paracuellos de Jarama,79.65
Parla,10.04
Patones,65.98
Pedrezuela,48.1
Pelayos de la Presa,0.01
Perales de Tajuña,1.3
Pezuela de las Torres,56.49
Pinilla del Valle,63.65
Pinto,39.59
Piñuécar-Gandullas,66.46
Pozuelo de Alarcón,94.42
Pozuelo del Rey,43.19
Prádena del Rincón,96.96
Puebla de la Sierra,73.72
Puentes Viejas,61.97
Quijorna,62.45
Rascafría,60.81
Redueña,88.57
Ribatejada,43.42
Rivas-Vaciamadrid,58.14
Robledillo de la Jara,26.32
Robledo de Chavela,32.25
Robregordo,26.59
Rozas de Madrid (Las),86.88
Rozas de Puerto Real,19.25
San Agustín del Guadalix,68.56
San Fernando de Henares,46.65
San Lorenzo de El Escorial,65.07
San Martín de Valdeiglesias,14.46
San Martín de la Vega,32.1
San Sebastián de los Reyes,65.33
Santa María de la Alameda,16.22
Santorcaz,38.86
Santos de la Humosa (Los),56.36
Serna del Monte (La),41.35
Serranillos del Valle,59.57
Sevilla la Nueva,62.67
Somosierra,60.91
Soto del Real,70.66
Talamanca de Jarama,60.26
Tielmes,24.49
Titulcia,28.47
Torrejón de Ardoz,32.58
Torrejón de Velasco,63.4
Torrejón de la Calzada,59.61
Torrelaguna,49.42
Torrelodones,87.01
Torremocha de Jarama,63.97
Torres de la Alameda,33.14
Tres Cantos,85.05
Valdaracete,16.87
Valdeavero,45.04
Valdelaguna,36.02
Valdemanco,68.69
Valdemaqueda,9.5
Valdemorillo,52.56
Valdemoro,41.33
Valdeolmos-Alalpardo,82.13
Valdepiélagos,58.94
Valdetorres de Jarama,35.8
Valdilecha,23.74
Valverde de Alcalá,56.87
Velilla de San Antonio,53.76
Vellón (El),40.01
Venturada,73.99
Villa del Prado,43.84
Villaconejos,24.42
Villalbilla,76.45
Villamanrique de Tajo,25.81
Villamanta,33.2
Villamantilla,39.59
Villanueva de Perales,43.42
Villanueva de la Cañada,82.6
Villanueva del Pardillo,76.62
Villar del Olmo,52.27
Villarejo de Salvanés,13.56
Villaviciosa de Odón,84.59
Villavieja del Lozoya,79.54
Zarzalejo,20.59
