Nombre,pensionistas_100
Acebeda (La),3.18
Ajalvir,72.26
Alameda del Valle,45.17
Alamo (El),45.45
Alcalá de Henares,33.27
Alcobendas,45.82
Alcorcón,15.8
Aldea del Fresno,40.13
Algete,43.11
Alpedrete,50.5
Ambite,46.71
Anchuelo,62.0
Aranjuez,46.09
Arganda del Rey,60.68
Arroyomolinos,100.0
Atazar (El),24.77
Batres,64.07
Becerril de la Sierra,45.19
Belmonte de Tajo,47.65
Berrueco (El),62.23
Berzosa del Lozoya,0.0
Boadilla del Monte,90.46
Boalo (El),60.51
Braojos,51.12
Brea de Tajo,24.94
Brunete,62.82
Buitrago del Lozoya,41.22
Bustarviejo,55.8
Cabanillas de la Sierra,62.64
Cabrera (La),30.06
Cadalso de los Vidrios,18.46
Camarma de Esteruelas,64.77
Campo Real,59.71
Canencia,35.86
Carabaña,58.84
Casarrubuelos,64.47
Cenicientos,33.38
Cercedilla,33.77
Cervera de Buitrago,41.65
Chapinería,56.82
Chinchón,10.95
Ciempozuelos,50.84
Cobeña,76.75
Collado Mediano,43.07
Collado Villalba,57.27
Colmenar Viejo,66.86
Colmenar de Oreja,17.47
Colmenar del Arroyo,62.99
Colmenarejo,56.32
Corpa,45.07
Coslada,0.0
Cubas de la Sagra,83.46
Daganzo de Arriba,67.28
Escorial (El),25.81
Estremera,47.33
Fresnedillas de la Oliva,64.44
Fresno de Torote,83.64
Fuenlabrada,36.15
Fuente el Saz de Jarama,43.64
Fuentidueña de Tajo,43.77
Galapagar,49.86
Garganta de los Montes,35.23
Gargantilla del Lozoya y Pinilla de Buitrago,63.21
Gascones,48.42
Getafe,30.6
Griñón,40.99
Guadalix de la Sierra,49.19
Guadarrama,26.94
Hiruela (La),86.66
Horcajo de la Sierra-Aoslos,62.2
Horcajuelo de la Sierra,59.93
Hoyo de Manzanares,49.7
Humanes de Madrid,63.39
Leganés,12.82
Loeches,71.8
Lozoya,35.85
Lozoyuela-Navas-Sieteiglesias,52.8
Madarcos,6.18
Majadahonda,55.92
Manzanares el Real,52.48
Meco,69.47
Mejorada del Campo,33.18
Miraflores de la Sierra,49.94
Molar (El),69.63
Molinos (Los),19.67
Montejo de la Sierra,46.13
Moraleja de Enmedio,46.95
Moralzarzal,58.2
Morata de Tajuña,25.34
Móstoles,17.05
Navacerrada,39.07
Navalafuente,64.4
Navalagamella,73.33
Navalcarnero,67.16
Navarredonda y San Mamés,49.07
Navas del Rey,40.98
Nuevo Baztán,45.59
Olmeda de las Fuentes,73.17
Orusco de Tajuña,47.92
Paracuellos de Jarama,90.57
Parla,67.41
Patones,42.94
Pedrezuela,73.98
Pelayos de la Presa,41.88
Perales de Tajuña,26.88
Pezuela de las Torres,50.42
Pinilla del Valle,36.77
Pinto,65.17
Piñuécar-Gandullas,30.99
Pozuelo de Alarcón,46.49
Pozuelo del Rey,69.48
Prádena del Rincón,43.96
Puebla de la Sierra,69.78
Puentes Viejas,75.92
Quijorna,70.16
Rascafría,28.7
Redueña,64.78
Ribatejada,58.59
Rivas-Vaciamadrid,81.09
Robledillo de la Jara,67.29
Robledo de Chavela,38.43
Robregordo,34.82
Rozas de Madrid (Las),66.95
Rozas de Puerto Real,40.47
San Agustín del Guadalix,60.76
San Fernando de Henares,8.87
San Lorenzo de El Escorial,24.11
San Martín de Valdeiglesias,25.49
San Martín de la Vega,63.84
San Sebastián de los Reyes,51.67
Santa María de la Alameda,57.57
Santorcaz,45.63
Santos de la Humosa (Los),66.51
Serna del Monte (La),40.17
Serranillos del Valle,62.74
Sevilla la Nueva,67.84
Somosierra,51.8
Soto del Real,36.74
Talamanca de Jarama,66.52
Tielmes,45.92
Titulcia,41.25
Torrejón de Ardoz,49.56
Torrejón de Velasco,46.1
Torrejón de la Calzada,65.02
Torrelaguna,28.76
Torrelodones,57.73
Torremocha de Jarama,60.86
Torres de la Alameda,36.41
Tres Cantos,64.48
Valdaracete,19.62
Valdeavero,62.15
Valdelaguna,42.91
Valdemanco,42.0
Valdemaqueda,41.74
Valdemorillo,53.33
Valdemoro,88.4
Valdeolmos-Alalpardo,67.98
Valdepiélagos,53.38
Valdetorres de Jarama,33.32
Valdilecha,44.5
Valverde de Alcalá,59.75
Velilla de San Antonio,67.1
Vellón (El),55.43
Venturada,73.99
Villa del Prado,35.96
Villaconejos,16.31
Villalbilla,79.76
Villamanrique de Tajo,43.26
Villamanta,53.79
Villamantilla,74.09
Villanueva de Perales,59.12
Villanueva de la Cañada,75.87
Villanueva del Pardillo,87.52
Villar del Olmo,46.24
Villarejo de Salvanés,18.2
Villaviciosa de Odón,17.68
Villavieja del Lozoya,47.57
Zarzalejo,53.88
