Serie;id;Nombre;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;0014;Acebeda (La);1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
Municipios;0029;Ajalvir;2;2;4;4;4;4;4;6;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;5;6;6;6;6;
Municipios;0035;Alameda del Valle;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;
Municipios;0040;Alamo (El);2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;
Municipios;0053;Alcalá de Henares;26;26;25;26;27;29;31;30;32;32;32;33;32;32;32;32;32;32;33;33;31;31;31;31;30;35;34;38;35;30;34;
Municipios;0066;Alcobendas;31;32;29;29;32;35;36;38;35;35;41;41;40;42;44;45;47;39;47;45;37;37;42;43;42;41;43;45;43;45;46;
Municipios;0072;Alcorcón;21;22;21;22;22;24;26;25;25;25;25;28;31;33;32;37;37;30;39;35;26;26;31;32;30;32;32;40;37;31;35;
Municipios;0088;Aldea del Fresno;5;5;5;5;5;5;5;5;5;5;5;7;7;7;6;7;6;5;6;6;5;5;5;5;5;5;5;5;5;5;4;
Municipios;0091;Algete;4;4;5;5;6;9;9;8;9;9;9;10;13;13;13;13;13;12;13;13;11;11;13;13;13;12;12;12;12;12;13;
Municipios;0105;Alpedrete;4;4;3;4;4;4;4;4;4;4;4;7;7;7;8;7;7;7;7;7;7;7;8;8;8;8;9;10;9;9;10;
Municipios;0112;Ambite;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;0127;Anchuelo;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;
