Serie;id;Nombre;2024;
Municipios;0014;Acebeda (La);88,47;
Municipios;0029;Ajalvir;34,91;
Municipios;0035;Alameda del Valle;92,24;
Municipios;0040;Álamo (El);42,10;
Municipios;0053;Alcalá de Henares;32,76;
Municipios;0066;Alcobendas;18,19;
Municipios;0072;Alcorcón;18,08;
Municipios;0088;Aldea del Fresno;56,00;
Municipios;0091;Algete;32,75;
Municipios;0105;Alpedrete;43,97;
Municipios;0112;Ambite;54,78;
Municipios;0127;Anchuelo;42,20;
Municipios;0133;Aranjuez;48,90;
Municipios;0148;Arganda del Rey;28,64;
Municipios;0151;Arroyomolinos;31,45;
Municipios;0164;Atazar (El);84,84;
Municipios;0170;Batres;37,80;
Municipios;0186;Becerril de la Sierra;50,44;
Municipios;0199;Belmonte de Tajo;57,49;
Municipios;0210;Berrueco (El);66,34;
Municipios;0203;Berzosa del Lozoya;82,22;
Municipios;0225;Boadilla del Monte;24,65;
Municipios;0231;Boalo (El);55,38;
Municipios;0246;Braojos;83,27;
Municipios;0259;Brea de Tajo;65,16;
Municipios;0262;Brunete;38,30;
Municipios;0278;Buitrago del Lozoya;76,37;
Municipios;0284;Bustarviejo;64,72;
Municipios;0297;Cabanillas de la Sierra;55,48;
Municipios;0301;Cabrera (La);60,42;
Municipios;0318;Cadalso de los Vidrios;89,96;
Municipios;0323;Camarma de Esteruelas;37,47;
Municipios;0339;Campo Real;34,63;
Municipios;0344;Canencia;82,18;
Municipios;0357;Carabaña;53,44;
Municipios;0360;Casarrubuelos;33,93;
Municipios;0376;Cenicientos;95,12;
Municipios;0382;Cercedilla;57,00;
Municipios;0395;Cervera de Buitrago;82,10;
Municipios;0513;Chapinería;57,25;
Municipios;0528;Chinchón;45,59;
Municipios;0409;Ciempozuelos;35,54;
Municipios;0416;Cobeña;34,59;
Municipios;0468;Collado Mediano;47,48;
Municipios;0474;Collado Villalba;42,56;
Municipios;0455;Colmenar Viejo;32,96;
Municipios;0437;Colmenar de Oreja;57,21;
Municipios;0421;Colmenar del Arroyo;61,17;
Municipios;0442;Colmenarejo;37,11;
Municipios;0480;Corpa;46,51;
Municipios;0493;Coslada;12,88;
Municipios;0506;Cubas de la Sagra;36,17;
Municipios;0534;Daganzo de Arriba;36,59;
Municipios;0549;Escorial (El);51,32;
Municipios;0552;Estremera;72,69;
Municipios;0565;Fresnedillas de la Oliva;69,75;
Municipios;0571;Fresno de Torote;46,99;
Municipios;0587;Fuenlabrada;25,82;
Municipios;0590;Fuente el Saz de Jarama;36,18;
Municipios;0604;Fuentidueña de Tajo;63,68;
Municipios;0611;Galapagar;35,51;
Municipios;0626;Garganta de los Montes;79,31;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;81,42;
Municipios;0647;Gascones;80,02;
Municipios;0650;Getafe;17,41;
Municipios;0663;Griñón;33,33;
Municipios;0679;Guadalix de la Sierra;58,84;
Municipios;0685;Guadarrama;50,79;
Municipios;0698;Hiruela (La);97,73;
Municipios;0702;Horcajo de la Sierra-Aoslos;89,47;
Municipios;0719;Horcajuelo de la Sierra;94,53;
Municipios;0724;Hoyo de Manzanares;36,58;
Municipios;0730;Humanes de Madrid;31,24;
Municipios;0745;Leganés;16,84;
Municipios;0758;Loeches;28,43;
Municipios;0761;Lozoya;85,60;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;68,10;
Municipios;0783;Madarcos;92,49;
Municipios;0800;Majadahonda;19,70;
Municipios;0822;Manzanares el Real;51,89;
Municipios;0838;Meco;48,98;
Municipios;0843;Mejorada del Campo;21,04;
Municipios;0856;Miraflores de la Sierra;55,44;
Municipios;0869;Molar (El);43,64;
Municipios;0875;Molinos (Los);55,68;
Municipios;0881;Montejo de la Sierra;87,65;
Municipios;0894;Moraleja de Enmedio;27,17;
Municipios;0908;Moralzarzal;46,64;
Municipios;0915;Morata de Tajuña;34,74;
Municipios;0920;Móstoles;24,48;
Municipios;0936;Navacerrada;52,56;
Municipios;0941;Navalafuente;59,83;
Municipios;0954;Navalagamella;56,82;
Municipios;0967;Navalcarnero;36,60;
Municipios;0973;Navarredonda y San Mamés;85,31;
Municipios;0992;Navas del Rey;60,50;
Municipios;1006;Nuevo Baztán;48,30;
Municipios;1013;Olmeda de las Fuentes;53,40;
Municipios;1028;Orusco de Tajuña;57,45;
Municipios;1049;Paracuellos de Jarama;24,67;
Municipios;1065;Parla;23,67;
