Transportes y comunicaciones.Transporte urbano público.Infraestructura. Estaciones de metro ligero del transporte público. Unidad: Número. Fuente: Consorcio Regional de Transportes de Madrid.;
Serie;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;46,00;46,00;46,00;56,00;56,00;56,00;56,00;56,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;
Zonas Estadísticas;01;Municipio de Madrid ;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;12,00;
Zonas Estadísticas;02;Norte Metropolitano ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;03;Este Metropolitano  ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;04;Sur Metropolitano   ;11,00;11,00;11,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;
Zonas Estadísticas;05;Oeste Metropolitano ;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;
Zonas Estadísticas;06;Sierra Norte        ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;10;Sierra Sur          ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Zonas Estadísticas;11;Sierra Central      ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0029;Ajalvir;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0035;Alameda del Valle;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0040;Álamo (El);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
