Nombre,pension_media
Acebeda (La),0.0
Ajalvir,28.77
Alameda del Valle,45.39
Alamo (El),61.8
Alcalá de Henares,75.59
Alcobendas,61.84
Alcorcón,73.31
Aldea del Fresno,17.75
Algete,70.53
Alpedrete,65.9
Ambite,56.24
Anchuelo,58.36
Aranjuez,33.44
Arganda del Rey,36.07
Arroyomolinos,76.97
Atazar (El),22.84
Batres,59.24
Becerril de la Sierra,45.81
Belmonte de Tajo,59.68
Berrueco (El),55.5
Berzosa del Lozoya,37.97
Boadilla del Monte,24.38
Boalo (El),52.57
Braojos,45.77
Brea de Tajo,54.96
Brunete,59.47
Buitrago del Lozoya,59.65
Bustarviejo,60.34
Cabanillas de la Sierra,56.3
Cabrera (La),0.0
Cadalso de los Vidrios,21.01
Camarma de Esteruelas,52.59
Campo Real,50.76
Canencia,52.04
Carabaña,60.05
Casarrubuelos,26.56
Cenicientos,60.01
Cercedilla,49.69
Cervera de Buitrago,32.54
Chapinería,60.27
Chinchón,46.73
Ciempozuelos,75.1
Cobeña,45.69
Collado Mediano,47.38
Collado Villalba,36.43
Colmenar Viejo,25.65
Colmenar de Oreja,59.79
Colmenar del Arroyo,59.46
Colmenarejo,55.44
Corpa,55.78
Coslada,44.93
Cubas de la Sagra,48.93
Daganzo de Arriba,59.12
Escorial (El),66.89
Estremera,59.06
Fresnedillas de la Oliva,59.26
Fresno de Torote,59.97
Fuenlabrada,75.9
Fuente el Saz de Jarama,50.39
Fuentidueña de Tajo,60.05
Galapagar,76.32
Garganta de los Montes,50.66
Gargantilla del Lozoya y Pinilla de Buitrago,49.8
Gascones,43.78
Getafe,74.69
Griñón,60.51
Guadalix de la Sierra,48.5
Guadarrama,68.94
Hiruela (La),62.07
Horcajo de la Sierra-Aoslos,38.15
Horcajuelo de la Sierra,14.2
Hoyo de Manzanares,50.67
Humanes de Madrid,72.67
Leganés,76.15
Loeches,57.39
Lozoya,53.59
Lozoyuela-Navas-Sieteiglesias,58.72
Madarcos,4.0
Majadahonda,27.17
Manzanares el Real,56.19
Meco,67.39
Mejorada del Campo,73.94
Miraflores de la Sierra,50.44
Molar (El),59.77
Molinos (Los),28.1
Montejo de la Sierra,52.18
Moraleja de Enmedio,40.94
Moralzarzal,64.72
Morata de Tajuña,55.7
Móstoles,77.52
Navacerrada,1.66
Navalafuente,59.16
Navalagamella,7.45
Navalcarnero,76.72
Navarredonda y San Mamés,33.6
Navas del Rey,17.74
Nuevo Baztán,47.06
Olmeda de las Fuentes,49.42
Orusco de Tajuña,59.21
Paracuellos de Jarama,73.17
Parla,70.0
Patones,53.35
Pedrezuela,42.27
Pelayos de la Presa,12.34
Perales de Tajuña,16.73
Pezuela de las Torres,57.19
Pinilla del Valle,32.7
Pinto,25.4
Piñuécar-Gandullas,36.2
Pozuelo de Alarcón,40.21
Pozuelo del Rey,58.25
Prádena del Rincón,32.05
Puebla de la Sierra,62.07
Puentes Viejas,56.01
Quijorna,19.99
Rascafría,59.04
Redueña,42.64
Ribatejada,56.4
Rivas-Vaciamadrid,51.21
Robledillo de la Jara,14.56
Robledo de Chavela,31.78
Robregordo,13.97
Rozas de Madrid (Las),44.97
Rozas de Puerto Real,54.6
San Agustín del Guadalix,63.41
San Fernando de Henares,77.11
San Lorenzo de El Escorial,69.6
San Martín de Valdeiglesias,60.38
San Martín de la Vega,72.86
San Sebastián de los Reyes,53.25
Santa María de la Alameda,58.85
Santorcaz,57.27
Santos de la Humosa (Los),60.25
Serna del Monte (La),20.7
Serranillos del Valle,29.05
Sevilla la Nueva,58.07
Somosierra,11.68
Soto del Real,51.98
Talamanca de Jarama,29.24
Tielmes,60.46
Titulcia,58.52
Torrejón de Ardoz,68.74
Torrejón de Velasco,35.68
Torrejón de la Calzada,59.83
Torrelaguna,33.9
Torrelodones,70.88
Torremocha de Jarama,56.96
Torres de la Alameda,51.79
Tres Cantos,0.0
Valdaracete,55.61
Valdeavero,59.14
Valdelaguna,58.16
Valdemanco,57.67
Valdemaqueda,56.75
Valdemorillo,63.98
Valdemoro,53.16
Valdeolmos-Alalpardo,20.45
Valdepiélagos,54.23
Valdetorres de Jarama,37.13
Valdilecha,16.47
Valverde de Alcalá,53.35
Velilla de San Antonio,65.55
Vellón (El),59.94
Venturada,59.54
Villa del Prado,53.97
Villaconejos,25.8
Villalbilla,68.31
Villamanrique de Tajo,56.73
Villamanta,60.42
Villamantilla,58.71
Villanueva de Perales,59.32
Villanueva de la Cañada,70.91
Villanueva del Pardillo,69.13
Villar del Olmo,59.64
Villarejo de Salvanés,55.7
Villaviciosa de Odón,74.07
Villavieja del Lozoya,48.26
Zarzalejo,59.53
