Serie;id;Nombre;2024
Municipio;28001;Acebeda (La);0
Municipio;28002;Ajalvir;0
Municipio;28003;Alameda Del Valle;0
Municipio;28004;Alamo (El);0
Municipio;28005;Alcalá De Henares;167
Municipio;28006;Alcobendas;98
Municipio;28007;Alcorcón;174
Municipio;28008;Aldea Del Fresno;1
Municipio;28009;Algete;12
Municipio;28010;Alpedrete;10
Municipio;28011;Ambite;0
Municipio;28012;Anchuelo;0
Municipio;28013;Aranjuez;63
Municipio;28014;Arganda Del Rey;30
Municipio;28015;Arroyomolinos;28
Municipio;28016;Atazar (El);0
Municipio;28017;Batres;0
Municipio;28018;Becerril De La Sierra;2
Municipio;28019;Belmonte De Tajo;0
Municipio;28020;Berzosa Del Lozoya;0
Municipio;28021;Berrueco (El);0
Municipio;28022;Boadilla Del Monte;60
Municipio;28023;Boalo (El);0
Municipio;28024;Braojos;0
Municipio;28025;Brea De Tajo;0
Municipio;28026;Brunete;10
Municipio;28027;Buitrago Del Lozoya;0
Municipio;28028;Bustarviejo;1
Municipio;28029;Cabanillas De La Sierra;1
Municipio;28030;Cabrera (La);0
Municipio;28031;Cadalso De Los Vidrios;0
Municipio;28032;Camarma De Esteruelas;3
Municipio;28033;Campo Real;3
Municipio;28034;Canencia;0
Municipio;28035;Carabaña;0
Municipio;28036;Casarrubuelos;1
Municipio;28037;Cenicientos;0
Municipio;28038;Cercedilla;5
Municipio;28039;Cervera De Buitrago;0
Municipio;28040;Ciempozuelos;8
Municipio;28041;Cobeña;7
Municipio;28042;Colmenar Del Arroyo;0
Municipio;28043;Colmenar De Oreja;2
Municipio;28044;Colmenarejo;2
Municipio;28045;Colmenar Viejo;42
Municipio;28046;Collado Mediano;7
Municipio;28047;Collado Villalba;54
Municipio;28048;Corpa;0
Municipio;28049;Coslada;43
Municipio;28050;Cubas De La Sagra;2
Municipio;28051;Chapinería;2
Municipio;28052;Chinchón;2
Municipio;28053;Daganzo De Arriba;4
Municipio;28054;Escorial (El);0
Municipio;28055;Estremera;0
Municipio;28056;Fresnedillas De La Oliva;1
Municipio;28057;Fresno De Torote;1
Municipio;28058;Fuenlabrada;89
Municipio;28059;Fuente El Saz De Jarama;2
Municipio;28060;Fuentidueña De Tajo;1
Municipio;28061;Galapagar;12
Municipio;28062;Garganta De Los Montes;0
Municipio;28063;Gargantilla Del Lozoya Y Pinilla De Buitrago;0
Municipio;28064;Gascones;0
Municipio;28065;Getafe;116
Municipio;28066;Griñón;9
Municipio;28067;Guadalix De La Sierra;8
Municipio;28068;Guadarrama;12
Municipio;28069;Hiruela (La);0
