Serie;id;Nombre;2024
Municipio;28001;Acebeda (La);0
Municipio;28002;Ajalvir;1
Municipio;28003;Alameda Del Valle;0
Municipio;28004;Alamo (El);0
Municipio;28005;Alcalá De Henares;115
Municipio;28006;Alcobendas;75
Municipio;28007;Alcorcón;120
Municipio;28008;Aldea Del Fresno;1
Municipio;28009;Algete;7
Municipio;28010;Alpedrete;5
Municipio;28011;Ambite;0
Municipio;28012;Anchuelo;0
Municipio;28013;Aranjuez;33
Municipio;28014;Arganda Del Rey;29
Municipio;28015;Arroyomolinos;10
Municipio;28016;Atazar (El);0
Municipio;28017;Batres;0
Municipio;28018;Becerril De La Sierra;2
Municipio;28019;Belmonte De Tajo;2
Municipio;28020;Berzosa Del Lozoya;0
Municipio;28021;Berrueco (El);0
Municipio;28022;Boadilla Del Monte;35
Municipio;28023;Boalo (El);0
Municipio;28024;Braojos;0
Municipio;28025;Brea De Tajo;0
Municipio;28026;Brunete;6
Municipio;28027;Buitrago Del Lozoya;2
Municipio;28028;Bustarviejo;1
Municipio;28029;Cabanillas De La Sierra;0
Municipio;28030;Cabrera (La);0
Municipio;28031;Cadalso De Los Vidrios;1
Municipio;28032;Camarma De Esteruelas;4
Municipio;28033;Campo Real;2
Municipio;28034;Canencia;0
Municipio;28035;Carabaña;1
Municipio;28036;Casarrubuelos;1
Municipio;28037;Cenicientos;1
Municipio;28038;Cercedilla;2
Municipio;28039;Cervera De Buitrago;0
Municipio;28040;Ciempozuelos;7
Municipio;28041;Cobeña;2
Municipio;28042;Colmenar Del Arroyo;1
Municipio;28043;Colmenar De Oreja;3
Municipio;28044;Colmenarejo;4
Municipio;28045;Colmenar Viejo;24
Municipio;28046;Collado Mediano;2
Municipio;28047;Collado Villalba;38
Municipio;28048;Corpa;0
Municipio;28049;Coslada;43
Municipio;28050;Cubas De La Sagra;1
Municipio;28051;Chapinería;2
Municipio;28052;Chinchón;1
Municipio;28053;Daganzo De Arriba;6
Municipio;28054;Escorial (El);0
Municipio;28055;Estremera;2
Municipio;28056;Fresnedillas De La Oliva;0
Municipio;28057;Fresno De Torote;0
Municipio;28058;Fuenlabrada;105
Municipio;28059;Fuente El Saz De Jarama;4
Municipio;28060;Fuentidueña De Tajo;2
Municipio;28061;Galapagar;13
Municipio;28062;Garganta De Los Montes;0
Municipio;28063;Gargantilla Del Lozoya Y Pinilla De Buitrago;0
Municipio;28064;Gascones;0
Municipio;28065;Getafe;104
Municipio;28066;Griñón;4
Municipio;28067;Guadalix De La Sierra;2
Municipio;28068;Guadarrama;5
Municipio;28069;Hiruela (La);0
Municipio;28070;Horcajo De La Sierra-Aoslos;0
Municipio;28071;Horcajuelo De La Sierra;0
Municipio;28072;Hoyo De Manzanares;2
Municipio;28073;Humanes De Madrid;8
Municipio;28074;Leganés;120
Municipio;28075;Loeches;2
Municipio;28076;Lozoya;0
Municipio;28078;Madarcos;0
Municipio;28079;Madrid;2303
Municipio;28080;Majadahonda;49
Municipio;28082;Manzanares El Real;3
Municipio;28083;Meco;5
Municipio;28084;Mejorada Del Campo;11
Municipio;28085;Miraflores De La Sierra;2
Municipio;28086;Molar (El);0
Municipio;28087;Molinos (Los);0
Municipio;28088;Montejo De La Sierra;0
Municipio;28089;Moraleja De Enmedio;3
Municipio;28090;Moralzarzal;9
