Serie;id;Nombre;2024
Municipio;28001;Acebeda (La);0
Municipio;28002;Ajalvir;4
Municipio;28003;Alameda Del Valle;0
Municipio;28004;Alamo (El);0
Municipio;28005;Alcalá De Henares;250
Municipio;28006;Alcobendas;198
Municipio;28007;Alcorcón;146
Municipio;28008;Aldea Del Fresno;9
Municipio;28009;Algete;25
Municipio;28010;Alpedrete;12
Municipio;28011;Ambite;1
Municipio;28012;Anchuelo;0
Municipio;28013;Aranjuez;65
Municipio;28014;Arganda Del Rey;54
Municipio;28015;Arroyomolinos;38
Municipio;28016;Atazar (El);0
Municipio;28017;Batres;7
Municipio;28018;Becerril De La Sierra;6
Municipio;28019;Belmonte De Tajo;5
Municipio;28020;Berzosa Del Lozoya;8
Municipio;28021;Berrueco (El);0
Municipio;28022;Boadilla Del Monte;89
Municipio;28023;Boalo (El);0
Municipio;28024;Braojos;0
Municipio;28025;Brea De Tajo;14
Municipio;28026;Brunete;7
Municipio;28027;Buitrago Del Lozoya;16
Municipio;28028;Bustarviejo;0
Municipio;28029;Cabanillas De La Sierra;0
Municipio;28030;Cabrera (La);0
Municipio;28031;Cadalso De Los Vidrios;3
Municipio;28032;Camarma De Esteruelas;5
Municipio;28033;Campo Real;6
Municipio;28034;Canencia;0
Municipio;28035;Carabaña;5
Municipio;28036;Casarrubuelos;1
Municipio;28037;Cenicientos;7
Municipio;28038;Cercedilla;13
Municipio;28039;Cervera De Buitrago;0
Municipio;28040;Ciempozuelos;39
Municipio;28041;Cobeña;13
Municipio;28042;Colmenar Del Arroyo;5
Municipio;28043;Colmenar De Oreja;7
Municipio;28044;Colmenarejo;11
Municipio;28045;Colmenar Viejo;57
Municipio;28046;Collado Mediano;6
Municipio;28047;Collado Villalba;47
Municipio;28048;Corpa;0
Municipio;28049;Coslada;64
Municipio;28050;Cubas De La Sagra;7
Municipio;28051;Chapinería;6
Municipio;28052;Chinchón;16
Municipio;28053;Daganzo De Arriba;8
Municipio;28054;Escorial (El);0
Municipio;28055;Estremera;14
Municipio;28056;Fresnedillas De La Oliva;0
