Serie;id;Nombre;2024
Municipio;28001;Acebeda (La);0
Municipio;28002;Ajalvir;6
Municipio;28003;Alameda Del Valle;4
Municipio;28004;Alamo (El);0
Municipio;28005;Alcalá De Henares;0
Municipio;28006;Alcobendas;0
Municipio;28007;Alcorcón;0
Municipio;28008;Aldea Del Fresno;6
Municipio;28009;Algete;3
Municipio;28010;Alpedrete;7
Municipio;28011;Ambite;5
Municipio;28012;Anchuelo;5
Municipio;28013;Aranjuez;0
Municipio;28014;Arganda Del Rey;6
Municipio;28015;Arroyomolinos;6
Municipio;28016;Atazar (El);0
Municipio;28017;Batres;6
Municipio;28018;Becerril De La Sierra;7
Municipio;28019;Belmonte De Tajo;5
Municipio;28020;Berzosa Del Lozoya;3
Municipio;28021;Berrueco (El);0
Municipio;28022;Boadilla Del Monte;0
Municipio;28023;Boalo (El);0
Municipio;28024;Braojos;3
Municipio;28025;Brea De Tajo;5
Municipio;28026;Brunete;6
Municipio;28027;Buitrago Del Lozoya;4
Municipio;28028;Bustarviejo;4
Municipio;28029;Cabanillas De La Sierra;4
Municipio;28030;Cabrera (La);0
Municipio;28031;Cadalso De Los Vidrios;0
Municipio;28032;Camarma De Esteruelas;0
Municipio;28033;Campo Real;0
Municipio;28034;Canencia;3
Municipio;28035;Carabaña;5
Municipio;28036;Casarrubuelos;6
Municipio;28037;Cenicientos;6
Municipio;28038;Cercedilla;0
Municipio;28039;Cervera De Buitrago;3
Municipio;28040;Ciempozuelos;0
Municipio;28041;Cobeña;4
Municipio;28042;Colmenar Del Arroyo;6
Municipio;28043;Colmenar De Oreja;0
Municipio;28044;Colmenarejo;8
Municipio;28045;Colmenar Viejo;0
Municipio;28046;Collado Mediano;7
Municipio;28047;Collado Villalba;3
Municipio;28048;Corpa;4
Municipio;28049;Coslada;5
Municipio;28050;Cubas De La Sagra;0
Municipio;28051;Chapinería;5
Municipio;28052;Chinchón;0
Municipio;28053;Daganzo De Arriba;8
Municipio;28054;Escorial (El);0
Municipio;28055;Estremera;5
Municipio;28056;Fresnedillas De La Oliva;5
Municipio;28057;Fresno De Torote;4
Municipio;28058;Fuenlabrada;5
Municipio;28059;Fuente El Saz De Jarama;7
Municipio;28060;Fuentidueña De Tajo;5
Municipio;28061;Galapagar;0
Municipio;28062;Garganta De Los Montes;8
Municipio;28063;Gargantilla Del Lozoya Y Pinilla De Buitrago;8
Municipio;28064;Gascones;4
Municipio;28065;Getafe;0
Municipio;28066;Griñón;0
Municipio;28067;Guadalix De La Sierra;6
Municipio;28068;Guadarrama;0
Municipio;28069;Hiruela (La);0
Municipio;28070;Horcajo De La Sierra-Aoslos;6
Municipio;28071;Horcajuelo De La Sierra;4
Municipio;28072;Hoyo De Manzanares;6
Municipio;28073;Humanes De Madrid;6
Municipio;28074;Leganés;0
Municipio;28075;Loeches;6
Municipio;28076;Lozoya;3
Municipio;28078;Madarcos;3
Municipio;28079;Madrid;25
Municipio;28080;Majadahonda;0
Municipio;28082;Manzanares El Real;0
Municipio;28083;Meco;0
Municipio;28084;Mejorada Del Campo;2
Municipio;28085;Miraflores De La Sierra;6
Municipio;28086;Molar (El);0
Municipio;28087;Molinos (Los);0
Municipio;28088;Montejo De La Sierra;3
Municipio;28089;Moraleja De Enmedio;6
Municipio;28090;Moralzarzal;8
Municipio;28091;Morata De Tajuña;8
Municipio;28092;Móstoles;0
Municipio;28093;Navacerrada;6
Municipio;28094;Navalafuente;3
Municipio;28095;Navalagamella;6
Municipio;28096;Navalcarnero;0
Municipio;28097;Navarredonda Y San Mamés;6
Municipio;28099;Navas Del Rey;0
Municipio;28100;Nuevo Baztán;0
Municipio;28101;Olmeda De Las Fuentes;5
Municipio;28102;Orusco De Tajuña;5
Municipio;28104;Paracuellos De Jarama;4
Municipio;28106;Parla;0
Municipio;28107;Patones;5
Municipio;28108;Pedrezuela;6
Municipio;28109;Pelayos De La Presa;7
Municipio;28110;Perales De Tajuña;0
Municipio;28111;Pezuela De Las Torres;5
Municipio;28112;Pinilla Del Valle;7
Municipio;28113;Pinto;0
Municipio;28114;Piñuécar-Gandullas;8
Municipio;28115;Pozuelo De Alarcón;0
Municipio;28116;Pozuelo Del Rey;5
Municipio;28117;Prádena Del Rincón;3
Municipio;28118;Puebla De La Sierra;4
Municipio;28119;Quijorna;6
Municipio;28120;Rascafría;3
Municipio;28121;Redueña;4
Municipio;28122;Ribatejada;4
Municipio;28123;Rivas-Vaciamadrid;8
Municipio;28124;Robledillo De La Jara;4
Municipio;28125;Robledo De Chavela;0
Municipio;28126;Robregordo;4
Municipio;28127;Rozas De Madrid (Las);0
Municipio;28128;Rozas De Puerto Real;6
Municipio;28129;San Agustín Del Guadalix;9
Municipio;28130;San Fernando De Henares;0
Municipio;28131;San Lorenzo De El Escorial;0
Municipio;28132;San Martín De La Vega;0
Municipio;28133;San Martín De Valdeiglesias;0
Municipio;28134;San Sebastián De Los Reyes;0
Municipio;28135;Santa María De La Alameda;17
Municipio;28136;Santorcaz;5
