Nombre,paro_total,pensionistas_100,pension_media,centrosSociales_10
Acebeda (La),60.88,22.7,0.0,46.6
Ajalvir,63.6,71.61,28.77,52.58
Alameda del Valle,34.51,40.33,45.39,46.6
Alamo (El),43.4,45.46,61.8,53.37
Alcalá de Henares,25.64,35.26,75.59,46.13
Alcobendas,70.55,46.98,61.84,50.62
Alcorcón,45.58,19.52,73.31,32.74
Aldea del Fresno,29.62,42.31,17.75,72.23
Algete,64.32,38.7,70.53,45.77
Alpedrete,60.76,50.65,65.9,54.1
Ambite,37.29,44.15,56.24,46.6
Anchuelo,54.25,59.61,58.36,46.6
Aranjuez,17.63,44.86,33.44,63.16
Arganda del Rey,7.25,60.59,36.07,45.97
Arroyomolinos,69.0,100.0,76.97,43.88
Atazar (El),0.0,26.22,22.84,46.6
Batres,62.6,57.86,59.24,47.85
Becerril de la Sierra,44.69,39.55,45.81,49.51
Belmonte de Tajo,45.19,45.57,59.68,47.87
Berrueco (El),53.02,59.54,55.5,49.72
Berzosa del Lozoya,99.47,44.1,37.97,77.38
Boadilla del Monte,100.0,89.15,24.38,21.19
Boalo (El),55.79,61.25,52.57,43.57
Braojos,77.11,54.85,45.77,46.6
Brea de Tajo,40.52,26.55,54.96,55.2
Brunete,65.44,58.34,59.47,43.12
Buitrago del Lozoya,63.48,45.62,59.65,51.48
Bustarviejo,50.72,56.12,60.34,47.46
Cabanillas de la Sierra,76.94,60.59,56.3,46.6
Cabrera (La),37.82,25.85,0.0,78.75
Cadalso de los Vidrios,18.74,27.79,21.01,100.0
Camarma de Esteruelas,36.74,63.59,52.59,45.83
Campo Real,46.13,61.73,50.76,46.67
Canencia,51.16,32.92,52.04,51.82
Carabaña,49.53,55.85,60.05,47.61
Casarrubuelos,47.5,67.83,26.56,49.82
Cenicientos,16.27,37.84,60.01,48.9
Cercedilla,47.93,34.05,49.69,57.67
Cervera de Buitrago,23.03,41.7,32.54,46.6
Chapinería,55.22,55.33,60.27,47.51
Chinchón,25.28,14.96,46.73,47.71
Ciempozuelos,44.21,50.9,75.1,55.81
Cobeña,73.3,73.8,45.69,55.55
Collado Mediano,42.84,45.41,47.38,48.49
Collado Villalba,23.28,57.41,36.43,49.0
Colmenar Viejo,59.99,64.81,25.65,56.06
Colmenar de Oreja,32.6,22.52,59.79,47.42
Colmenar del Arroyo,45.75,60.0,59.46,47.81
Colmenarejo,49.02,55.6,55.44,47.11
Corpa,46.65,49.78,55.78,49.58
Coslada,45.43,0.0,44.93,47.42
Cubas de la Sagra,64.28,81.13,48.93,46.48
Daganzo de Arriba,57.6,72.93,59.12,44.86
Escorial (El),54.95,26.02,66.89,51.97
Estremera,42.07,48.98,59.06,51.65
Fresnedillas de la Oliva,33.76,58.65,59.26,47.91
Fresno de Torote,52.35,62.79,59.97,47.56
Fuenlabrada,22.53,33.65,75.9,38.44
Fuente el Saz de Jarama,50.72,43.4,50.39,51.2
Fuentidueña de Tajo,34.52,45.89,60.05,48.69
Galapagar,55.0,50.1,76.32,49.33
Garganta de los Montes,66.34,27.07,50.66,46.6
Gargantilla del Lozoya y Pinilla de Buitrago,35.19,46.86,49.8,59.14
Gascones,69.93,49.9,43.78,46.6
Getafe,38.46,33.4,74.69,47.6
Griñón,65.28,40.31,60.51,54.81
Guadalix de la Sierra,43.45,43.02,48.5,49.22
Guadarrama,59.88,32.21,68.94,58.89
Hiruela (La),57.59,100.0,62.07,46.6
Horcajo de la Sierra-Aoslos,45.75,56.08,38.15,46.6
Horcajuelo de la Sierra,66.45,47.97,14.2,46.6
Hoyo de Manzanares,66.02,53.06,50.67,41.53
Humanes de Madrid,36.73,65.32,72.67,44.15
Leganés,36.81,18.27,76.15,72.45
Loeches,48.96,71.36,57.39,45.4
Lozoya,53.74,15.05,53.59,46.6
Lozoyuela-Navas-Sieteiglesias,54.76,50.04,58.72,51.67
Madarcos,96.81,47.72,4.0,46.6
Madrid,,,,0.0
Majadahonda,88.41,54.49,27.17,40.14
Manzanares el Real,53.91,52.89,56.19,45.25
Meco,55.5,67.85,67.39,44.91
Mejorada del Campo,46.04,38.63,73.94,43.68
Miraflores de la Sierra,46.54,50.87,50.44,43.97
Molar (El),47.38,69.3,59.77,45.11
Molinos (Los),48.93,20.96,28.1,52.78
Montejo de la Sierra,80.68,51.64,52.18,65.04
Moraleja de Enmedio,58.56,43.25,40.94,47.95
Moralzarzal,64.35,56.53,64.72,54.88
Morata de Tajuña,35.17,29.0,55.7,47.93
Móstoles,36.33,19.77,77.52,42.06
Navacerrada,60.5,20.82,1.66,46.94
Navalafuente,28.37,59.52,59.16,48.06
Navalagamella,31.36,70.44,7.45,47.19
Navalcarnero,48.45,69.3,76.72,51.21
Navarredonda y San Mamés,52.99,63.12,33.6,46.6
Navas del Rey,27.88,44.44,17.74,52.01
Nuevo Baztán,37.07,39.91,47.06,41.53
Olmeda de las Fuentes,35.44,66.37,49.42,46.6
Orusco de Tajuña,32.42,48.95,59.21,48.22
Paracuellos de Jarama,74.18,92.58,73.17,46.07
Parla,11.78,67.2,70.0,49.21
Patones,74.11,46.41,53.35,54.64
Pedrezuela,51.19,73.38,42.27,55.1
Pelayos de la Presa,0.0,38.05,12.34,47.14
Perales de Tajuña,9.06,28.78,16.73,41.53
Pezuela de las Torres,64.9,50.2,57.19,49.06
Pinilla del Valle,83.5,38.38,32.7,46.6
Pinto,40.35,64.1,25.4,52.03
Piñuécar-Gandullas,66.71,17.87,36.2,46.6
Pozuelo de Alarcón,99.58,45.05,40.21,100.0
Pozuelo del Rey,45.11,66.75,58.25,46.6
Prádena del Rincón,63.11,46.47,32.05,46.6
Puebla de la Sierra,76.39,100.0,62.07,46.6
Puentes Viejas,75.11,61.58,56.01,46.6
Quijorna,63.62,68.06,19.99,50.39
Rascafría,63.87,28.91,59.04,46.6
Redueña,71.18,63.47,42.64,46.6
Ribatejada,29.78,56.49,56.4,52.08
Rivas-Vaciamadrid,60.02,77.13,51.21,52.11
Robledillo de la Jara,18.54,64.34,14.56,88.69
Robledo de Chavela,30.46,31.07,31.78,60.13
Robregordo,18.95,27.71,13.97,46.6
Rozas de Madrid (Las),89.23,65.33,44.97,42.11
Rozas de Puerto Real,49.53,46.53,54.6,50.88
San Agustín del Guadalix,63.57,66.83,63.41,44.12
San Fernando de Henares,48.22,9.67,77.11,45.2
San Lorenzo de El Escorial,64.36,28.16,69.6,50.08
San Martín de Valdeiglesias,22.63,29.27,60.38,54.99
San Martín de la Vega,34.39,63.32,72.86,44.94
San Sebastián de los Reyes,65.27,52.62,53.25,74.87
Santa María de la Alameda,23.19,48.76,58.85,46.6
Santorcaz,51.26,47.37,57.27,49.05
Santos de la Humosa (Los),56.84,59.22,60.25,46.6
Serna del Monte (La),57.59,39.88,20.7,46.6
Serranillos del Valle,59.21,59.9,29.05,60.72
Sevilla la Nueva,60.81,69.83,58.07,54.33
Somosierra,47.06,48.29,11.68,100.0
Soto del Real,66.37,37.64,51.98,49.16
Talamanca de Jarama,61.75,65.73,29.24,53.2
Tielmes,30.54,48.08,60.46,49.11
Titulcia,26.7,43.95,58.52,46.6
Torrejón de Ardoz,35.55,51.29,68.74,33.99
Torrejón de Velasco,57.0,43.2,35.68,41.53
Torrejón de la Calzada,60.74,62.87,59.83,44.89
Torrelaguna,48.24,12.59,33.9,48.58
Torrelodones,80.81,58.77,70.88,51.4
Torremocha de Jarama,68.09,53.76,56.96,57.33
Torres de la Alameda,33.92,37.55,51.79,52.98
Tres Cantos,88.05,62.36,0.0,60.27
Valdaracete,20.83,21.88,55.61,46.6
Valdeavero,41.67,57.35,59.14,46.6
Valdelaguna,37.26,47.22,58.16,48.81
Valdemanco,62.05,44.92,57.67,48.86
Valdemaqueda,10.33,44.03,56.75,46.6
Valdemorillo,57.28,55.61,63.98,42.77
Valdemoro,42.29,86.76,53.16,32.45
Valdeolmos-Alalpardo,73.41,67.15,20.45,45.4
Valdepiélagos,42.72,51.37,54.23,46.6
Valdetorres de Jarama,33.64,34.0,37.13,55.38
Valdilecha,38.85,47.95,16.47,41.53
Valverde de Alcalá,68.09,59.03,53.35,46.6
Velilla de San Antonio,52.12,64.74,65.55,44.01
Vellón (El),37.97,56.64,59.94,48.77
Venturada,77.97,69.39,59.54,47.54
Villa del Prado,39.84,39.75,53.97,48.47
Villaconejos,24.33,21.49,25.8,46.55
Villalbilla,72.03,79.88,68.31,47.28
Villamanrique de Tajo,19.31,40.51,56.73,46.6
Villamanta,44.81,53.03,60.42,50.02
Villamantilla,44.2,64.33,58.71,49.59
Villanueva de Perales,45.0,57.58,59.32,46.6
Villanueva de la Cañada,77.54,75.29,70.91,48.99
Villanueva del Pardillo,70.11,86.59,69.13,47.35
Villar del Olmo,52.94,52.49,59.64,47.66
Villarejo de Salvanés,27.56,20.44,55.7,43.76
Villaviciosa de Odón,79.5,24.94,74.07,49.86
Villavieja del Lozoya,65.57,45.68,48.26,46.6
Zarzalejo,34.45,56.29,59.53,49.15
