Nombre,grupo,educacion,salud,transporte,economia,housing,total
Acebeda (La),1.0,"[26.72, 44.68555555555555]","[38.36, 44.21714285714285]","[47.43, 70.25399999999999]","[0.0, 55.128]","[14.3, 35.544]","[0.35544, 0.5980178860496119]"
Ajalvir,2.0,"[33.08, 48.47777777777778]","[26.18, 44.31142857142857]","[40.27, 52.86]","[27.739999999999995, 54.110000000000014]","[18.53, 32.476]","[0.32880429280145795, 0.5413315875034939]"
Alameda del Valle,1.0,"[26.72, 44.68555555555555]","[44.3, 53.63285714285714]","[47.4, 55.898]","[25.129999999999995, 46.007999999999996]","[40.26, 61.470000000000006]","[0.46007999999999993, 0.6312741979695434]"
Alamo (El),2.0,"[42.5, 53.98222222222223]","[22.69, 34.027142857142856]","[43.56, 46.38199999999999]","[44.57, 53.19]","[32.3, 40.254000000000005]","[0.4075529006783437, 0.5252115084130067]"
Alcalá de Henares,3.0,"[29.35, 46.166666666666664]","[42.22, 58.605714285714285]","[19.12, 45.212]","[46.33, 63.556]","[34.18, 52.727999999999994]","[0.46166666666666667, 0.563570038296994]"
Alcobendas,3.0,"[19.29, 51.69777777777778]","[42.22, 57.43142857142857]","[37.27, 58.032000000000004]","[28.939999999999998, 68.886]","[33.52, 41.95]","[0.5169777777777778, 0.5835206205065285]"
Alcorcón,3.0,"[0.0, 36.666666666666664]","[32.99, 59.75571428571429]","[27.69, 39.848]","[38.37, 57.86]","[29.91, 44.842]","[0.36666666666666664, 0.5045164236891801]"
Aldea del Fresno,2.0,"[33.08, 55.098888888888894]","[40.55, 59.87285714285714]","[46.55, 56.134]","[15.44, 49.178]","[20.32, 31.580000000000002]","[0.3197327123620533, 0.594271977322614]"
Algete,2.0,"[40.26, 50.82888888888888]","[39.96, 49.62285714285714]","[37.92, 44.496]","[33.56, 55.51800000000001]","[45.5, 55.40599999999999]","[0.5551800000000001, 0.5884516125275296]"
Alpedrete,2.0,"[40.12, 47.31777777777778]","[32.7, 46.81714285714286]","[37.43, 51.686]","[39.83, 50.181999999999995]","[48.9, 57.94199999999999]","[0.5018199999999999, 0.5857107967384051]"
Ambite,1.0,"[48.58, 51.43777777777777]","[44.3, 48.06285714285714]","[31.060000000000002, 44.59]","[42.44, 54.327999999999996]","[31.980000000000004, 38.472]","[0.38472, 0.5779296155868872]"
Anchuelo,1.0,"[46.7, 49.308888888888895]","[42.66, 46.057142857142864]","[13.310000000000002, 37.196000000000005]","[38.0, 48.378]","[35.8, 49.356]","[0.40038751345532836, 0.5595613042109194]"
Aranjuez,3.0,"[18.79, 42.08222222222222]","[26.51, 48.83714285714286]","[26.15, 58.93599999999999]","[34.23, 54.96]","[28.36, 47.548]","[0.42082222222222226, 0.5350467669884497]"
Arganda del Rey,3.0,"[23.04, 36.263333333333335]","[32.93, 53.621428571428574]","[9.63, 52.370000000000005]","[36.44, 54.164]","[23.15, 39.422000000000004]","[0.36263333333333336, 0.49727061494535485]"
Arroyomolinos,2.0,"[24.56, 40.13444444444445]","[40.52, 47.46999999999999]","[36.51, 44.581999999999994]","[0.0, 42.938]","[56.2, 65.71000000000001]","[0.42938000000000004, 0.5530694337316587]"
Atazar (El),1.0,"[26.72, 44.68555555555555]","[38.36, 44.21714285714285]","[47.61, 54.24400000000001]","[26.88, 55.498000000000005]","[0.0, 22.636000000000003]","[0.22636000000000003, 0.5384747170506883]"
Batres,1.0,"[47.36, 50.01111111111111]","[42.1, 46.05142857142857]","[7.099999999999994, 37.644]","[35.93000000000001, 46.516000000000005]","[41.15, 56.410000000000004]","[0.40520990312163613, 0.5728077866743163]"
Becerril de la Sierra,2.0,"[40.59, 66.90444444444444]","[41.14, 49.19571428571429]","[46.55, 50.424]","[41.43, 48.152]","[45.72, 56.248000000000005]","[0.48152, 0.6282659585705167]"
Belmonte de Tajo,1.0,"[46.53, 48.73777777777778]","[41.56, 52.142857142857146]","[34.89, 42.152]","[40.72, 53.57000000000001]","[20.599999999999994, 39.712]","[0.39712000000000003, 0.579514122527413]"
Berrueco (El),1.0,"[48.58, 61.07888888888889]","[38.64, 46.82]","[44.28, 46.608]","[37.77, 49.980000000000004]","[34.67, 46.95]","[0.46950000000000003, 0.6128145162965393]"
Berzosa del Lozoya,1.0,"[26.72, 44.68555555555555]","[38.36, 55.17285714285715]","[47.38, 55.512]","[23.739999999999995, 56.284000000000006]","[31.84, 59.30799999999999]","[0.56284, 0.6516679522467836]"
Boadilla del Monte,3.0,"[36.49, 52.138888888888886]","[7.29, 38.25142857142857]","[9.63, 46.254000000000005]","[0.0, 24.082]","[20.99, 75.488]","[0.24082, 0.5144823200227349]"
Boalo (El),2.0,"[43.59, 50.992222222222225]","[22.69, 36.457142857142856]","[46.55, 53.05800000000001]","[39.49, 46.448]","[48.28, 52.78000000000001]","[0.46448, 0.5533635455026482]"
Braojos,1.0,"[26.72, 44.68555555555555]","[44.3, 54.45]","[41.81, 53.99000000000001]","[8.090000000000003, 50.7]","[33.94, 55.04]","[0.507, 0.6263418949184782]"
Brea de Tajo,1.0,"[48.58, 55.71]","[44.3, 52.80142857142857]","[42.81, 45.786]","[47.18, 58.532]","[30.739999999999995, 42.354]","[0.42353999999999997, 0.6237114107722546]"
Brunete,2.0,"[43.24, 48.13777777777778]","[38.75, 51.60142857142857]","[43.95, 51.912]","[34.18000000000001, 44.81]","[30.12, 39.968]","[0.40465728460058725, 0.5535031927487178]"
Buitrago del Lozoya,1.0,"[46.54, 54.61]","[40.91, 59.395714285714284]","[41.64, 49.682]","[46.95, 56.25]","[38.56, 49.257999999999996]","[0.49257999999999996, 0.6597368657867052]"
Bustarviejo,1.0,"[46.16, 48.71777777777778]","[40.22, 48.792857142857144]","[39.0, 44.868]","[42.78, 49.800000000000004]","[50.24, 67.98800000000001]","[0.4829709364908504, 0.6234491196275815]"
Cabanillas de la Sierra,1.0,"[46.35, 50.20666666666667]","[43.4, 51.38571428571429]","[32.05, 44.641999999999996]","[37.36, 45.053999999999995]","[43.33, 56.874]","[0.45053999999999994, 0.6037190407558528]"
Cabrera (La),2.0,"[47.37, 55.06333333333333]","[22.69, 49.24714285714286]","[46.55, 64.52399999999999]","[1.1, 45.61]","[35.21, 43.620000000000005]","[0.4416320745165537, 0.6055347898392749]"
Cadalso de los Vidrios,2.0,"[33.08, 55.30222222222223]","[26.18, 57.632857142857134]","[46.55, 61.63199999999999]","[18.33, 58.864]","[32.7, 40.95399999999999]","[0.41464007289662846, 0.6414700128104718]"
Camarma de Esteruelas,2.0,"[34.27, 49.025555555555556]","[35.89, 44.84428571428571]","[40.54, 45.51199999999999]","[35.230000000000004, 52.864]","[27.49, 40.220000000000006]","[0.4072086665991699, 0.5383059780529064]"
Campo Real,2.0,"[41.1, 52.626666666666665]","[35.89, 48.48]","[30.83, 42.01]","[40.29, 60.898]","[34.11, 39.556]","[0.40048597752353954, 0.5620889245198378]"
Canencia,1.0,"[26.72, 44.68555555555555]","[44.3, 48.99571428571429]","[38.68, 52.022000000000006]","[44.72, 52.592000000000006]","[43.33, 50.55799999999999]","[0.5055799999999999, 0.5992278529952326]"
Carabaña,1.0,"[46.36, 48.58555555555555]","[41.02, 48.19714285714286]","[29.17, 42.186]","[41.16, 54.53399999999999]","[31.59, 49.53000000000001]","[0.4541011840688913, 0.5879334184597719]"
Casarrubuelos,2.0,"[33.08, 68.54222222222222]","[30.65, 51.43571428571429]","[39.2, 45.998000000000005]","[24.66, 50.414]","[33.83, 45.986000000000004]","[0.46558671661435663, 0.6103558555973192]"
Cenicientos,1.0,"[46.24, 54.70333333333333]","[41.77, 49.10000000000001]","[39.92, 53.424]","[39.98, 59.666]","[35.18000000000001, 62.71]","[0.575069967707212, 0.6683776190573034]"
Cercedilla,2.0,"[46.93, 52.27111111111111]","[35.89, 55.512857142857136]","[47.72, 73.54]","[50.37, 55.602]","[43.96, 47.818]","[0.4841348587627822, 0.6667127419988014]"
Cervera de Buitrago,1.0,"[48.58, 52.66444444444445]","[38.36, 47.19714285714286]","[47.64, 59.44]","[35.64, 52.827999999999996]","[19.47, 47.438]","[0.47438, 0.6253704283425187]"
Chapinería,1.0,"[45.94, 63.345555555555556]","[40.76, 53.304285714285705]","[34.55, 41.24399999999999]","[43.18, 50.522000000000006]","[48.85, 56.896]","[0.44396124865446707, 0.6494681465179897]"
Chinchón,2.0,"[22.82, 40.851111111111116]","[35.89, 49.701428571428565]","[46.55, 55.348]","[47.52, 64.162]","[40.3, 68.678]","[0.49158978473057896, 0.6367330086820244]"
Ciempozuelos,2.0,"[29.15, 44.79888888888888]","[35.89, 47.864285714285714]","[39.03, 44.936]","[49.16, 60.636]","[19.34, 40.75600000000001]","[0.41263541561202804, 0.5510931123185168]"
Cobeña,2.0,"[37.28, 45.91777777777778]","[42.13, 52.55]","[39.48, 45.339999999999996]","[21.790000000000006, 36.424]","[39.4, 63.15999999999999]","[0.36424, 0.5638896348079682]"
Collado Mediano,2.0,"[33.08, 59.419999999999995]","[42.13, 50.77]","[42.97, 58.388]","[47.04, 51.330000000000005]","[46.21, 52.84400000000001]","[0.5133000000000001, 0.6342854499650914]"
Collado Villalba,3.0,"[37.21, 61.27666666666667]","[35.41, 53.324285714285715]","[46.27, 65.578]","[13.91, 39.638]","[31.21, 46.536]","[0.39637999999999995, 0.5633958181031826]"
Colmenar Viejo,3.0,"[40.25, 59.52444444444445]","[29.84, 44.88285714285714]","[43.64, 60.59599999999999]","[23.36, 31.798000000000002]","[21.73, 46.153999999999996]","[0.31798000000000004, 0.5157772877243839]"
Colmenar de Oreja,2.0,"[36.05, 55.60222222222223]","[35.89, 47.51857142857143]","[41.09, 49.05]","[40.96, 59.98]","[42.25, 52.842000000000006]","[0.5350005062265871, 0.6099486580699]"
Colmenar del Arroyo,1.0,"[46.97, 50.27777777777778]","[41.97, 48.94285714285714]","[40.04, 53.622]","[37.01, 52.891999999999996]","[50.78, 55.446000000000005]","[0.52892, 0.6281395295431447]"
Colmenarejo,2.0,"[33.25, 47.05777777777778]","[35.16, 46.98571428571428]","[42.65, 45.736000000000004]","[41.27, 48.47]","[44.88, 49.626]","[0.48469999999999996, 0.5499446711266218]"
Corpa,1.0,"[48.58, 54.33222222222222]","[44.29, 47.705714285714286]","[19.39, 39.410000000000004]","[35.6, 52.46400000000001]","[39.41, 47.739999999999995]","[0.42421959095801937, 0.5883267218406851]"
Coslada,3.0,"[45.8, 68.63333333333334]","[34.79, 62.361428571428576]","[26.430000000000007, 48.146]","[45.7, 63.989999999999995]","[34.68, 39.128]","[0.48485749690210656, 0.589422930384496]"
Cubas de la Sagra,2.0,"[33.08, 41.04222222222223]","[35.03, 42.13714285714286]","[41.63, 45.577999999999996]","[16.540000000000006, 38.10600000000001]","[37.88, 63.076]","[0.38106000000000007, 0.5290239566118495]"
Daganzo de Arriba,2.0,"[36.22, 47.52000000000001]","[31.67, 47.589999999999996]","[37.1, 44.327999999999996]","[32.72, 51.734]","[37.71, 44.114]","[0.4466335931963147, 0.5443633858354341]"
Escorial (El),2.0,"[43.2, 49.20666666666667]","[22.69, 36.17142857142857]","[46.2, 55.653999999999996]","[42.39, 55.064]","[41.01, 55.735]","[0.46787515937690555, 0.5782238893351679]"
Estremera,1.0,"[47.67, 51.214444444444446]","[42.45, 55.80714285714286]","[41.66, 47.57]","[49.41, 59.504]","[24.019999999999996, 51.33]","[0.5120559741657696, 0.6449310501672225]"
Fresnedillas de la Oliva,1.0,"[45.05, 49.77333333333333]","[41.69, 48.17285714285715]","[41.05, 47.290000000000006]","[35.56, 50.558]","[45.75, 60.028]","[0.50558, 0.6151285307939487]"
