Nombre,contratos_100,ocupadosColectivos_100,paro_total,pensionistas_100,pension_media,bibliotecas_100_alumnos,centros_priv_100_alumnos_priv,centros_pub_100_alumnos_pub,extraescolares_10_alumnos,idiomas_10_alumnos,profesores_priv_100_alumnos_priv,profesores_pub_100_alumnos_pub,unidades_escolares_priv_100_alumnos_priv,unidades_escolares_publicas_por_100_alumnos,centrosSociales_10,centros_100,clinicaDental_10,consultaPrimaria_100,farmacias_100,orgNoSanitaria_total_100,otroConsulta_100,bus_100,distanciaCentro,estacionbus_100,estaciontren_100,servicioCoches_100,Banos,Familiares,Habitaciones,grupo,Precio,superficieFamiliares
Acebeda (La),100.0,56.24,77.42,3.18,0.0,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,38.64,38.36,46.8,46.13,85.17,21.38,91.27,48.78,47.43,14.3,32.06,50.14,1.0,61.79,43.01
Ajalvir,78.23,100.0,64.77,72.26,29.35,67.83,43.45,39.33,47.37,49.35,37.11,53.79,33.08,64.99,52.26,42.13,40.42,71.33,34.8,43.06,26.18,63.59,59.73,60.9,46.55,52.99,36.3,35.78,29.44,2.0,57.67,18.53
Alameda del Valle,49.91,53.85,74.87,45.17,46.32,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,56.2,86.71,46.8,46.13,49.86,16.06,49.51,48.78,47.4,61.96,40.26,84.81,1.0,33.57,53.89
Alamo (El),44.57,46.05,41.29,45.45,62.07,46.39,45.26,42.5,100.0,49.35,50.09,51.34,51.14,49.77,53.19,42.13,22.69,35.89,32.49,25.62,26.18,43.56,51.93,46.11,46.55,47.62,32.3,46.69,43.06,2.0,60.46,39.68
Alcalá de Henares,58.56,46.33,28.61,33.27,74.77,67.54,46.2,40.26,41.77,45.48,47.7,47.0,50.2,29.35,46.19,76.02,56.2,42.22,73.38,61.87,54.36,19.12,32.97,39.63,54.13,46.15,45.07,96.81,41.38,3.0,53.8,34.18
Alcobendas,100.0,100.0,71.06,45.82,61.31,37.32,43.51,22.21,59.49,100.0,79.03,45.88,58.55,19.29,49.99,58.9,60.6,42.22,56.82,80.74,52.75,74.77,62.73,50.77,59.12,68.23,33.52,50.03,35.52,3.0,55.5,46.18
Alcorcón,38.37,40.18,46.01,15.8,72.56,58.42,32.75,47.86,55.29,40.25,30.98,22.64,41.81,0.0,32.99,68.58,67.79,42.22,99.17,42.07,65.47,27.69,62.95,27.89,61.23,45.38,36.31,85.4,30.19,3.0,57.6,29.91
Aldea del Fresno,54.59,45.33,29.34,40.13,15.44,34.09,43.45,85.82,47.37,49.35,37.11,67.18,33.08,98.44,71.7,42.13,47.89,86.25,49.2,81.39,40.55,61.7,36.85,61.43,46.55,47.84,21.38,37.12,44.52,2.0,65.44,20.32
Algete,57.91,58.0,66.44,43.11,71.23,40.26,60.25,43.23,47.37,49.35,57.0,49.79,62.92,47.29,45.75,50.12,51.21,39.96,55.6,50.66,54.06,48.91,62.08,40.96,46.55,48.14,54.87,62.72,45.5,2.0,48.29,62.23
Alpedrete,48.17,47.14,60.17,50.5,66.27,42.5,49.24,43.21,47.37,49.35,57.12,42.34,54.61,40.12,53.81,42.13,50.44,48.83,32.7,41.99,57.82,49.69,49.9,37.43,73.25,47.96,67.24,60.22,53.77,2.0,40.42,48.9
Ambite,49.27,42.44,29.84,46.71,56.48,49.07,48.96,55.6,48.7,50.0,48.68,58.44,48.58,54.91,46.53,48.76,44.3,46.67,56.05,48.0,46.13,45.3,68.94,50.43,48.78,47.38,32.5,51.52,39.44,1.0,68.02,36.92
Anchuelo,49.28,44.4,48.4,62.0,58.61,49.07,48.96,46.7,48.7,50.0,48.68,49.72,48.58,53.37,46.53,48.76,44.3,42.66,47.22,46.8,46.13,39.56,86.69,36.89,48.78,47.44,72.36,47.11,35.8,1.0,44.97,36.48
Aranjuez,71.73,36.63,21.7,46.09,34.23,18.79,31.4,38.77,41.77,40.25,39.49,61.73,52.55,53.99,62.25,40.86,51.96,42.22,26.51,51.98,66.08,26.15,0.0,64.94,58.33,45.26,55.42,28.36,62.7,3.0,55.32,46.58
Arganda del Rey,50.93,55.61,11.48,60.68,36.44,48.16,36.78,37.65,41.77,40.25,23.04,35.99,36.87,25.86,45.31,43.84,47.79,100.0,60.15,45.33,32.93,71.59,41.38,75.61,9.63,46.4,43.48,23.15,39.78,3.0,57.3,48.0
Arroyomolinos,56.26,51.31,70.58,100.0,77.7,36.64,45.32,32.48,47.37,49.35,48.3,24.56,51.16,26.03,43.54,42.13,45.87,40.52,49.77,47.27,63.19,40.39,63.49,51.58,46.55,47.88,64.33,81.44,56.2,2.0,37.96,64.54
Atazar (El),50.14,67.98,42.74,24.77,26.88,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,38.64,38.36,46.8,46.13,53.48,26.51,47.86,48.78,47.61,0.0,29.18,14.4,1.0,60.51,30.11
Batres,49.11,40.82,52.75,64.07,59.47,49.07,48.96,47.36,48.7,50.0,48.68,50.98,48.58,57.77,46.53,48.76,44.3,42.1,44.71,49.83,46.13,40.94,92.9,43.9,48.78,47.5,43.33,54.97,41.15,1.0,57.24,99.84
Becerril de la Sierra,41.43,44.43,45.48,45.19,45.57,69.53,100.0,40.59,47.37,49.35,66.84,70.85,100.0,57.61,49.51,42.13,48.93,66.48,51.21,44.97,41.14,53.0,42.88,47.51,46.55,47.94,67.24,45.72,59.12,2.0,45.45,54.61
Belmonte de Tajo,49.22,40.72,34.26,47.65,59.82,49.07,48.96,46.53,48.7,50.0,48.68,47.37,48.58,50.75,47.85,48.76,86.92,41.56,44.79,48.99,46.13,40.98,65.11,38.68,48.78,47.43,32.5,59.25,25.96,1.0,79.4,60.25
Berrueco (El),49.54,48.61,42.35,62.23,56.33,49.07,48.96,67.93,48.7,50.0,48.68,100.0,48.58,87.79,49.64,48.76,44.3,38.64,53.47,46.8,46.13,44.28,52.62,45.23,48.78,47.37,34.67,50.33,39.23,1.0,41.32,51.84
Berzosa del Lozoya,51.58,64.59,76.26,0.0,41.51,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,79.51,48.76,44.3,53.18,38.36,75.97,46.13,52.86,30.21,58.75,48.78,47.38,86.66,31.84,57.2,1.0,28.2,49.04
Boadilla del Monte,35.66,49.95,100.0,90.46,25.26,36.49,36.78,54.77,41.77,50.0,67.81,57.86,54.36,69.41,20.45,7.29,52.14,42.22,19.06,67.06,59.54,26.93,49.53,84.83,9.63,59.41,88.85,20.99,92.54,3.0,24.94,100.0
Boalo (El),41.41,45.84,46.95,60.51,52.45,46.08,47.37,43.59,47.37,49.35,53.14,57.6,54.81,59.62,43.71,42.13,22.69,35.89,58.98,25.62,26.18,51.05,37.52,57.33,46.55,47.88,61.05,48.28,52.31,2.0,50.2,52.46
Braojos,49.73,100.0,91.91,51.12,46.8,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,53.98,94.65,46.8,46.13,60.58,28.72,41.81,48.78,47.5,65.0,33.94,57.2,1.0,34.18,53.24
Brea de Tajo,49.45,47.18,34.81,24.94,55.78,49.07,48.96,64.66,48.7,50.0,48.68,63.68,48.58,79.06,55.3,48.76,44.3,48.31,59.65,67.16,46.13,44.2,54.28,42.81,48.78,47.42,46.36,45.2,42.01,1.0,69.26,47.46
