Municipios;Sexo;Periodo;Total
28001 Acebeda, La;Total;2025;70
28001 Acebeda, La;Total;2024;68
28001 Acebeda, La;Total;2023;67
28002 Ajalvir;Total;2025;4.868
28002 Ajalvir;Total;2024;4.863
28002 Ajalvir;Total;2023;4.779
28003 Alameda del Valle;Total;2025;267
28003 Alameda del Valle;Total;2024;255
28003 Alameda del Valle;Total;2023;274
28004 Álamo, El;Total;2025;10.594
28004 Álamo, El;Total;2024;10.430
28004 Álamo, El;Total;2023;10.322
28005 Alcalá de Henares;Total;2025;203.208
28005 Alcalá de Henares;Total;2024;200.702
28005 Alcalá de Henares;Total;2023;199.184
28006 Alcobendas;Total;2025;123.342
28006 Alcobendas;Total;2024;121.373
28006 Alcobendas;Total;2023;119.416
28007 Alcorcón;Total;2025;175.719
28007 Alcorcón;Total;2024;173.625
28007 Alcorcón;Total;2023;171.772
28008 Aldea del Fresno;Total;2025;3.503
28008 Aldea del Fresno;Total;2024;3.422
28008 Aldea del Fresno;Total;2023;3.408
28009 Algete;Total;2025;21.144
28009 Algete;Total;2024;21.167
28009 Algete;Total;2023;20.991
28010 Alpedrete;Total;2025;15.686
28010 Alpedrete;Total;2024;15.543
28010 Alpedrete;Total;2023;15.312
28011 Ambite;Total;2025;732
28011 Ambite;Total;2024;697
28011 Ambite;Total;2023;684
28012 Anchuelo;Total;2025;1.414
28012 Anchuelo;Total;2024;1.392
28012 Anchuelo;Total;2023;1.379
28013 Aranjuez;Total;2025;63.040
28013 Aranjuez;Total;2024;62.292
28013 Aranjuez;Total;2023;60.668
28014 Arganda del Rey;Total;2025;60.419
28014 Arganda del Rey;Total;2024;59.513
28014 Arganda del Rey;Total;2023;58.990
28015 Arroyomolinos;Total;2025;38.075
28015 Arroyomolinos;Total;2024;37.208
28015 Arroyomolinos;Total;2023;35.972
28016 Atazar, El;Total;2025;110
28016 Atazar, El;Total;2024;107
28016 Atazar, El;Total;2023;104
28017 Batres;Total;2025;1.976
28017 Batres;Total;2024;1.943
28017 Batres;Total;2023;1.872
28018 Becerril de la Sierra;Total;2025;6.737
28018 Becerril de la Sierra;Total;2024;6.573
28018 Becerril de la Sierra;Total;2023;6.277
28019 Belmonte de Tajo;Total;2025;1.955
28019 Belmonte de Tajo;Total;2024;1.917
28019 Belmonte de Tajo;Total;2023;1.840
28021 Berrueco, El;Total;2025;795
28021 Berrueco, El;Total;2024;816
28021 Berrueco, El;Total;2023;802
28020 Berzosa del Lozoya;Total;2025;242
28020 Berzosa del Lozoya;Total;2024;231
28020 Berzosa del Lozoya;Total;2023;217
28022 Boadilla del Monte;Total;2025;66.349
28022 Boadilla del Monte;Total;2024;65.839
28022 Boadilla del Monte;Total;2023;64.742
28023 Boalo, El;Total;2025;8.770
28023 Boalo, El;Total;2024;8.547
28023 Boalo, El;Total;2023;8.424
28024 Braojos;Total;2025;233
28024 Braojos;Total;2024;219
28024 Braojos;Total;2023;212
28025 Brea de Tajo;Total;2025;577
28025 Brea de Tajo;Total;2024;579
28025 Brea de Tajo;Total;2023;543
28026 Brunete;Total;2025;11.287
28026 Brunete;Total;2024;11.300
28026 Brunete;Total;2023;11.014
28027 Buitrago del Lozoya;Total;2025;2.034
28027 Buitrago del Lozoya;Total;2024;1.973
28027 Buitrago del Lozoya;Total;2023;1.967
28028 Bustarviejo;Total;2025;2.870
28028 Bustarviejo;Total;2024;2.829
28028 Bustarviejo;Total;2023;2.743
28029 Cabanillas de la Sierra;Total;2025;961
28029 Cabanillas de la Sierra;Total;2024;941
28029 Cabanillas de la Sierra;Total;2023;939
28030 Cabrera, La;Total;2025;2.889
28030 Cabrera, La;Total;2024;2.922
28030 Cabrera, La;Total;2023;2.882
28031 Cadalso de los Vidrios;Total;2025;3.372
28031 Cadalso de los Vidrios;Total;2024;3.228
28031 Cadalso de los Vidrios;Total;2023;3.173
28032 Camarma de Esteruelas;Total;2025;8.331
28032 Camarma de Esteruelas;Total;2024;8.106
28032 Camarma de Esteruelas;Total;2023;7.792
28033 Campo Real;Total;2025;6.974
28033 Campo Real;Total;2024;6.802
28033 Campo Real;Total;2023;6.781
28034 Canencia;Total;2025;475
28034 Canencia;Total;2024;469
28034 Canencia;Total;2023;460
28035 Carabaña;Total;2025;2.451
28035 Carabaña;Total;2024;2.352
28035 Carabaña;Total;2023;2.273
28036 Casarrubuelos;Total;2025;4.323
28036 Casarrubuelos;Total;2024;4.211
28036 Casarrubuelos;Total;2023;4.062
28037 Cenicientos;Total;2025;2.152
28037 Cenicientos;Total;2024;2.148
28037 Cenicientos;Total;2023;2.097
28038 Cercedilla;Total;2025;7.772
28038 Cercedilla;Total;2024;7.647
28038 Cercedilla;Total;2023;7.648
28039 Cervera de Buitrago;Total;2025;165
28039 Cervera de Buitrago;Total;2024;161
28039 Cervera de Buitrago;Total;2023;164
28051 Chapinería;Total;2025;2.705
28051 Chapinería;Total;2024;2.642
28051 Chapinería;Total;2023;2.604
28052 Chinchón;Total;2025;5.800
28052 Chinchón;Total;2024;5.818
28052 Chinchón;Total;2023;5.664
28040 Ciempozuelos;Total;2025;26.350
28040 Ciempozuelos;Total;2024;26.140
28040 Ciempozuelos;Total;2023;25.866
28041 Cobeña;Total;2025;7.670
28041 Cobeña;Total;2024;7.759
28041 Cobeña;Total;2023;7.698
28046 Collado Mediano;Total;2025;7.722
28046 Collado Mediano;Total;2024;7.547
28046 Collado Mediano;Total;2023;7.490
28047 Collado Villalba;Total;2025;67.274
28047 Collado Villalba;Total;2024;66.698
28047 Collado Villalba;Total;2023;65.657
28043 Colmenar de Oreja;Total;2025;9.127
28043 Colmenar de Oreja;Total;2024;8.888
28043 Colmenar de Oreja;Total;2023;8.649
28042 Colmenar del Arroyo;Total;2025;2.044
28042 Colmenar del Arroyo;Total;2024;2.015
28042 Colmenar del Arroyo;Total;2023;1.947
28045 Colmenar Viejo;Total;2025;58.730
28045 Colmenar Viejo;Total;2024;57.029
28045 Colmenar Viejo;Total;2023;55.198
28044 Colmenarejo;Total;2025;9.640
28044 Colmenarejo;Total;2024;9.623
28044 Colmenarejo;Total;2023;9.534
28048 Corpa;Total;2025;832
28048 Corpa;Total;2024;792
28048 Corpa;Total;2023;798
28049 Coslada;Total;2025;80.512
28049 Coslada;Total;2024;80.760
28049 Coslada;Total;2023;80.171
28050 Cubas de la Sagra;Total;2025;7.238
28050 Cubas de la Sagra;Total;2024;6.988
28050 Cubas de la Sagra;Total;2023;6.817
28053 Daganzo de Arriba;Total;2025;10.764
28053 Daganzo de Arriba;Total;2024;10.703
28053 Daganzo de Arriba;Total;2023;10.611
28054 Escorial, El;Total;2025;17.171
28054 Escorial, El;Total;2024;17.176
28054 Escorial, El;Total;2023;16.873
28055 Estremera;Total;2025;1.473
28055 Estremera;Total;2024;1.467
28055 Estremera;Total;2023;1.453
28056 Fresnedillas de la Oliva;Total;2025;1.883
28056 Fresnedillas de la Oliva;Total;2024;1.837
28056 Fresnedillas de la Oliva;Total;2023;1.791
28057 Fresno de Torote;Total;2025;2.561
28057 Fresno de Torote;Total;2024;2.548
28057 Fresno de Torote;Total;2023;2.522
28058 Fuenlabrada;Total;2025;190.076
28058 Fuenlabrada;Total;2024;190.790
28058 Fuenlabrada;Total;2023;188.736
28059 Fuente el Saz de Jarama;Total;2025;7.413
28059 Fuente el Saz de Jarama;Total;2024;7.379
28059 Fuente el Saz de Jarama;Total;2023;7.182
28060 Fuentidueña de Tajo;Total;2025;2.372
28060 Fuentidueña de Tajo;Total;2024;2.328
28060 Fuentidueña de Tajo;Total;2023;2.270
28061 Galapagar;Total;2025;36.758
28061 Galapagar;Total;2024;36.184
28061 Galapagar;Total;2023;35.273
28062 Garganta de los Montes;Total;2025;441
28062 Garganta de los Montes;Total;2024;416
28062 Garganta de los Montes;Total;2023;420
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2025;396
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2024;397
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Total;2023;388
28064 Gascones;Total;2025;252
28064 Gascones;Total;2024;239
28064 Gascones;Total;2023;229
28065 Getafe;Total;2025;193.238
28065 Getafe;Total;2024;189.906
28065 Getafe;Total;2023;185.899
28066 Griñón;Total;2025;10.799
28066 Griñón;Total;2024;10.718
28066 Griñón;Total;2023;10.087
28067 Guadalix de la Sierra;Total;2025;6.993
28067 Guadalix de la Sierra;Total;2024;6.904
28067 Guadalix de la Sierra;Total;2023;6.814
28068 Guadarrama;Total;2025;17.547
28068 Guadarrama;Total;2024;17.062
28068 Guadarrama;Total;2023;17.063
28069 Hiruela, La;Total;2025;88
28069 Hiruela, La;Total;2024;83
28069 Hiruela, La;Total;2023;74
28070 Horcajo de la Sierra-Aoslos;Total;2025;219
28070 Horcajo de la Sierra-Aoslos;Total;2024;233
28070 Horcajo de la Sierra-Aoslos;Total;2023;234
28071 Horcajuelo de la Sierra;Total;2025;104
28071 Horcajuelo de la Sierra;Total;2024;111
28071 Horcajuelo de la Sierra;Total;2023;108
28072 Hoyo de Manzanares;Total;2025;9.310
28072 Hoyo de Manzanares;Total;2024;9.178
28072 Hoyo de Manzanares;Total;2023;8.973
28073 Humanes de Madrid;Total;2025;20.500
28073 Humanes de Madrid;Total;2024;20.074
28073 Humanes de Madrid;Total;2023;19.902
28074 Leganés;Total;2025;195.734
28074 Leganés;Total;2024;194.084
28074 Leganés;Total;2023;190.665
28075 Loeches;Total;2025;9.261
28075 Loeches;Total;2024;9.200
28075 Loeches;Total;2023;9.108
28076 Lozoya;Total;2025;598
28076 Lozoya;Total;2024;617
28076 Lozoya;Total;2023;621
28901 Lozoyuela-Navas-Sieteiglesias;Total;2025;1.468
28901 Lozoyuela-Navas-Sieteiglesias;Total;2024;1.483
28901 Lozoyuela-Navas-Sieteiglesias;Total;2023;1.483
28078 Madarcos;Total;2025;69
28078 Madarcos;Total;2024;70
28078 Madarcos;Total;2023;72
28079 Madrid;Total;2025;3.506.730
28079 Madrid;Total;2024;3.416.771
28079 Madrid;Total;2023;3.332.035
28 Madrid;Total;2025;7.137.031
28 Madrid;Total;2024;7.001.715
28 Madrid;Total;2023;6.859.914
28080 Majadahonda;Total;2025;73.625
28080 Majadahonda;Total;2024;73.355
28080 Majadahonda;Total;2023;72.548
28082 Manzanares el Real;Total;2025;9.648
28082 Manzanares el Real;Total;2024;9.550
28082 Manzanares el Real;Total;2023;9.386
28083 Meco;Total;2025;15.922
28083 Meco;Total;2024;15.732
28083 Meco;Total;2023;15.404
28084 Mejorada del Campo;Total;2025;25.049
28084 Mejorada del Campo;Total;2024;24.659
28084 Mejorada del Campo;Total;2023;24.274
28085 Miraflores de la Sierra;Total;2025;7.350
28085 Miraflores de la Sierra;Total;2024;7.139
28085 Miraflores de la Sierra;Total;2023;6.945
28086 Molar, El;Total;2025;9.999
28086 Molar, El;Total;2024;10.052
28086 Molar, El;Total;2023;9.759
28087 Molinos, Los;Total;2025;4.781
28087 Molinos, Los;Total;2024;4.731
28087 Molinos, Los;Total;2023;4.786
28088 Montejo de la Sierra;Total;2025;404
28088 Montejo de la Sierra;Total;2024;374
28088 Montejo de la Sierra;Total;2023;381
28089 Moraleja de Enmedio;Total;2025;5.580
28089 Moraleja de Enmedio;Total;2024;5.576
28089 Moraleja de Enmedio;Total;2023;5.453
28090 Moralzarzal;Total;2025;14.772
28090 Moralzarzal;Total;2024;14.586
28090 Moralzarzal;Total;2023;14.124
28091 Morata de Tajuña;Total;2025;8.397
28091 Morata de Tajuña;Total;2024;8.319
28091 Morata de Tajuña;Total;2023;8.115
28092 Móstoles;Total;2025;214.817
28092 Móstoles;Total;2024;214.006
28092 Móstoles;Total;2023;211.265
28093 Navacerrada;Total;2025;3.311
28093 Navacerrada;Total;2024;3.290
28093 Navacerrada;Total;2023;3.282
28094 Navalafuente;Total;2025;1.693
28094 Navalafuente;Total;2024;1.672
28094 Navalafuente;Total;2023;1.637
28095 Navalagamella;Total;2025;3.169
28095 Navalagamella;Total;2024;3.111
28095 Navalagamella;Total;2023;2.982
28096 Navalcarnero;Total;2025;33.331
28096 Navalcarnero;Total;2024;32.683
28096 Navalcarnero;Total;2023;31.974
28097 Navarredonda y San Mamés;Total;2025;163
28097 Navarredonda y San Mamés;Total;2024;151
28097 Navarredonda y San Mamés;Total;2023;150
28099 Navas del Rey;Total;2025;3.420
28099 Navas del Rey;Total;2024;3.347
28099 Navas del Rey;Total;2023;3.244
28100 Nuevo Baztán;Total;2025;7.429
28100 Nuevo Baztán;Total;2024;7.339
28100 Nuevo Baztán;Total;2023;7.050
28101 Olmeda de las Fuentes;Total;2025;429
28101 Olmeda de las Fuentes;Total;2024;408
28101 Olmeda de las Fuentes;Total;2023;402
28102 Orusco de Tajuña;Total;2025;1.531
28102 Orusco de Tajuña;Total;2024;1.511
28102 Orusco de Tajuña;Total;2023;1.415
28104 Paracuellos de Jarama;Total;2025;27.650
28104 Paracuellos de Jarama;Total;2024;27.238
28104 Paracuellos de Jarama;Total;2023;27.000
28106 Parla;Total;2025;137.471
28106 Parla;Total;2024;134.833
28106 Parla;Total;2023;133.004
28107 Patones;Total;2025;617
28107 Patones;Total;2024;602
28107 Patones;Total;2023;566
28108 Pedrezuela;Total;2025;6.606
28108 Pedrezuela;Total;2024;6.467
28108 Pedrezuela;Total;2023;6.400
28109 Pelayos de la Presa;Total;2025;3.195
28109 Pelayos de la Presa;Total;2024;3.136
28109 Pelayos de la Presa;Total;2023;2.982
28110 Perales de Tajuña;Total;2025;3.260
28110 Perales de Tajuña;Total;2024;3.207
28110 Perales de Tajuña;Total;2023;3.176
28111 Pezuela de las Torres;Total;2025;1.008
28111 Pezuela de las Torres;Total;2024;989
28111 Pezuela de las Torres;Total;2023;977
28112 Pinilla del Valle;Total;2025;200
28112 Pinilla del Valle;Total;2024;200
28112 Pinilla del Valle;Total;2023;204
28113 Pinto;Total;2025;56.651
28113 Pinto;Total;2024;56.003
28113 Pinto;Total;2023;55.208
28114 Piñuécar-Gandullas;Total;2025;183
28114 Piñuécar-Gandullas;Total;2024;185
28114 Piñuécar-Gandullas;Total;2023;178
28115 Pozuelo de Alarcón;Total;2025;89.770
28115 Pozuelo de Alarcón;Total;2024;89.378
28115 Pozuelo de Alarcón;Total;2023;88.784
28116 Pozuelo del Rey;Total;2025;1.302
28116 Pozuelo del Rey;Total;2024;1.292
28116 Pozuelo del Rey;Total;2023;1.254
28117 Prádena del Rincón;Total;2025;146
28117 Prádena del Rincón;Total;2024;139
28117 Prádena del Rincón;Total;2023;150
28118 Puebla de la Sierra;Total;2025;98
28118 Puebla de la Sierra;Total;2024;93
28118 Puebla de la Sierra;Total;2023;99
28902 Puentes Viejas;Total;2025;759
28902 Puentes Viejas;Total;2024;775
28902 Puentes Viejas;Total;2023;760
28119 Quijorna;Total;2025;4.044
28119 Quijorna;Total;2024;4.001
28119 Quijorna;Total;2023;3.863
28120 Rascafría;Total;2025;1.704
28120 Rascafría;Total;2024;1.707
28120 Rascafría;Total;2023;1.736
28121 Redueña;Total;2025;288
28121 Redueña;Total;2024;288
28121 Redueña;Total;2023;304
28122 Ribatejada;Total;2025;905
28122 Ribatejada;Total;2024;900
28122 Ribatejada;Total;2023;912
28123 Rivas-Vaciamadrid;Total;2025;103.148
28123 Rivas-Vaciamadrid;Total;2024;101.949
28123 Rivas-Vaciamadrid;Total;2023;100.275
28124 Robledillo de la Jara;Total;2025;118
28124 Robledillo de la Jara;Total;2024;131
28124 Robledillo de la Jara;Total;2023;135
28125 Robledo de Chavela;Total;2025;4.818
28125 Robledo de Chavela;Total;2024;4.725
28125 Robledo de Chavela;Total;2023;4.705
28126 Robregordo;Total;2025;79
28126 Robregordo;Total;2024;73
28126 Robregordo;Total;2023;79
28127 Rozas de Madrid (Las);Total;2025;99.037
28127 Rozas de Madrid (Las);Total;2024;98.590
28127 Rozas de Madrid (Las);Total;2023;98.086
28128 Rozas de Puerto Real;Total;2025;579
28128 Rozas de Puerto Real;Total;2024;580
28128 Rozas de Puerto Real;Total;2023;578
28129 San Agustín del Guadalix;Total;2025;13.825
28129 San Agustín del Guadalix;Total;2024;13.762
28129 San Agustín del Guadalix;Total;2023;13.650
28130 San Fernando de Henares;Total;2025;39.059
28130 San Fernando de Henares;Total;2024;38.980
28130 San Fernando de Henares;Total;2023;38.974
28131 San Lorenzo de El Escorial;Total;2025;18.872
28131 San Lorenzo de El Escorial;Total;2024;18.735
28131 San Lorenzo de El Escorial;Total;2023;18.489
28132 San Martín de la Vega;Total;2025;21.010
28132 San Martín de la Vega;Total;2024;20.733
28132 San Martín de la Vega;Total;2023;20.304
28133 San Martín de Valdeiglesias;Total;2025;9.324
28133 San Martín de Valdeiglesias;Total;2024;9.159
28133 San Martín de Valdeiglesias;Total;2023;9.003
28134 San Sebastián de los Reyes;Total;2025;96.992
28134 San Sebastián de los Reyes;Total;2024;94.969
28134 San Sebastián de los Reyes;Total;2023;92.734
28135 Santa María de la Alameda;Total;2025;1.584
28135 Santa María de la Alameda;Total;2024;1.517
28135 Santa María de la Alameda;Total;2023;1.517
28136 Santorcaz;Total;2025;1.011
28136 Santorcaz;Total;2024;999
28136 Santorcaz;Total;2023;942
28137 Santos de la Humosa, Los;Total;2025;2.867
28137 Santos de la Humosa, Los;Total;2024;2.785
28137 Santos de la Humosa, Los;Total;2023;2.772
28138 Serna del Monte, La;Total;2025;110
28138 Serna del Monte, La;Total;2024;105
28138 Serna del Monte, La;Total;2023;106
28140 Serranillos del Valle;Total;2025;4.670
28140 Serranillos del Valle;Total;2024;4.634
28140 Serranillos del Valle;Total;2023;4.625
28141 Sevilla la Nueva;Total;2025;9.802
28141 Sevilla la Nueva;Total;2024;9.657
28141 Sevilla la Nueva;Total;2023;9.551
28143 Somosierra;Total;2025;93
