Educación, formación e investigación.Educación.Enseñanza no universitaria.Régimen general.Centros.Total. Total centros no universitarios del régimen general. Unidad: Número. Fuente: Subdirección General de Evaluación y Análisis. Consejería de Educación, Ciencia y Universidades.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024(P)
Comunidad de Madrid;;Comunidad de Madrid;2.549,00;2.691,00;2.861,00;3.012,00;3.134,00;3.247,00;3.322,00;3.365,00;3.366,00;3.368,00;3.363,00;3.400,00;3.388,00;3.390,00;3.397,00;3.400,00;3.290,00;3.274,00;3.547,00;3.519,00;
Zonas Estadísticas;01;Municipio de Madrid ;1.128,00;1.185,00;1.238,00;1.292,00;1.336,00;1.374,00;1.413,00;1.423,00;1.422,00;1.419,00;1.415,00;1.429,00;1.417,00;1.422,00;1.420,00;1.432,00;1.388,00;1.394,00;1.509,00;1.506,00;
Zonas Estadísticas;02;Norte Metropolitano ;164,00;171,00;181,00;193,00;197,00;202,00;208,00;216,00;215,00;217,00;221,00;225,00;224,00;224,00;224,00;225,00;219,00;218,00;227,00;228,00;
Zonas Estadísticas;03;Este Metropolitano  ;247,00;264,00;287,00;302,00;306,00;323,00;333,00;333,00;337,00;336,00;333,00;338,00;339,00;343,00;343,00;343,00;329,00;327,00;348,00;343,00;
Zonas Estadísticas;04;Sur Metropolitano   ;490,00;514,00;541,00;573,00;606,00;621,00;634,00;646,00;655,00;653,00;664,00;678,00;678,00;677,00;685,00;683,00;662,00;649,00;682,00;673,00;
Zonas Estadísticas;05;Oeste Metropolitano ;217,00;233,00;257,00;276,00;283,00;295,00;297,00;303,00;300,00;302,00;298,00;300,00;300,00;300,00;301,00;298,00;285,00;281,00;311,00;301,00;
Zonas Estadísticas;06;Sierra Norte        ;37,00;37,00;42,00;43,00;47,00;50,00;50,00;50,00;47,00;50,00;48,00;49,00;49,00;48,00;48,00;48,00;45,00;45,00;52,00;52,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;33,00;39,00;45,00;48,00;51,00;55,00;53,00;54,00;53,00;52,00;49,00;48,00;48,00;47,00;47,00;44,00;41,00;43,00;50,00;49,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;59,00;62,00;65,00;69,00;72,00;78,00;80,00;83,00;85,00;84,00;83,00;82,00;84,00;84,00;84,00;83,00;82,00;81,00;98,00;99,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;60,00;61,00;73,00;78,00;87,00;93,00;95,00;98,00;97,00;101,00;101,00;95,00;98,00;98,00;96,00;95,00;94,00;95,00;104,00;104,00;
