Serie;id;Nombre;1994;1995;1996;1997;1998;1999;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0029;Ajalvir;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;33,00;37,00;0,00;6,00;25,00;22,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0035;Alameda del Valle;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0040;Álamo (El);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;9,00;12,00;101,00;343,00;431,00;470,00;501,00;535,00;567,00;593,00;627,00;688,00;668,00;654,00;646,00;691,00;696,00;693,00;
Municipios;0053;Alcalá de Henares;10.038,00;9.535,00;8.959,00;8.616,00;8.234,00;7.677,00;7.840,00;8.077,00;8.399,00;8.998,00;9.338,00;9.427,00;10.073,00;10.666,00;10.803,00;11.212,00;11.797,00;11.903,00;11.903,00;12.022,00;12.280,00;12.426,00;12.559,00;12.616,00;12.835,00;12.913,00;12.584,00;12.534,00;12.415,00;12.363,00;
Municipios;0066;Alcobendas;10.594,00;10.728,00;10.079,00;10.060,00;10.754,00;10.870,00;11.075,00;12.819,00;13.186,00;13.810,00;13.811,00;14.333,00;14.959,00;15.674,00;15.881,00;15.892,00;16.204,00;16.697,00;16.730,00;16.809,00;17.263,00;17.763,00;18.951,00;19.098,00;19.868,00;20.153,00;19.225,00;19.849,00;20.255,00;19.506,00;
Municipios;0072;Alcorcón;10.450,00;9.788,00;9.368,00;8.724,00;8.324,00;8.248,00;8.364,00;8.748,00;9.020,00;9.250,00;9.656,00;10.492,00;11.371,00;12.264,00;12.926,00;13.265,00;13.752,00;14.169,00;14.581,00;15.019,00;15.320,00;15.350,00;15.871,00;16.167,00;16.322,00;16.397,00;15.856,00;15.740,00;16.808,00;17.422,00;
Municipios;0088;Aldea del Fresno;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;14,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0091;Algete;63,00;46,00;34,00;35,00;28,00;22,00;14,00;0,00;34,00;93,00;114,00;95,00;99,00;139,00;166,00;135,00;147,00;124,00;96,00;91,00;99,00;108,00;116,00;105,00;100,00;69,00;50,00;55,00;66,00;74,00;
Municipios;0105;Alpedrete;0,00;0,00;0,00;0,00;27,00;177,00;367,00;472,00;699,00;1.044,00;1.080,00;1.145,00;1.120,00;1.057,00;899,00;884,00;893,00;941,00;921,00;952,00;991,00;986,00;971,00;972,00;933,00;881,00;771,00;725,00;730,00;752,00;
Municipios;0112;Ambite;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0127;Anchuelo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0133;Aranjuez;4.239,00;4.158,00;4.081,00;4.079,00;3.910,00;3.799,00;3.800,00;3.775,00;3.805,00;3.840,00;3.817,00;3.851,00;3.808,00;4.136,00;4.594,00;4.930,00;5.186,00;5.545,00;5.756,00;5.820,00;5.905,00;6.091,00;6.105,00;6.234,00;6.332,00;6.457,00;6.313,00;6.414,00;6.354,00;6.402,00;
Municipios;0148;Arganda del Rey;0,00;26,00;23,00;26,00;25,00;25,00;86,00;81,00;77,00;81,00;77,00;551,00;1.698,00;1.800,00;1.780,00;1.969,00;2.121,00;2.295,00;2.407,00;2.459,00;2.485,00;2.504,00;2.635,00;2.815,00;3.123,00;3.485,00;4.186,00;4.300,00;3.908,00;4.385,00;
Municipios;0151;Arroyomolinos;0,00;0,00;0,00;17,00;32,00;46,00;42,00;191,00;267,00;328,00;423,00;433,00;483,00;556,00;646,00;645,00;921,00;1.290,00;1.440,00;1.843,00;2.044,00;2.177,00;2.291,00;2.420,00;2.465,00;2.585,00;2.502,00;2.723,00;2.894,00;2.952,00;
Municipios;0164;Atazar (El);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
