has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,price,priceByArea,labels,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,hasStaging,propertyCode,province,detailedType,newDevelopment,latitude,suggestedTexts,externalReference,status,parkingSpace,address
True,chalet,False,True,166.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/0e/8c/1182567288.jpg,False,True,4,320000.0,1928.0,nan,2,es,"The house was built in 2017 by the owners using the best qualities since it was going to be their primary home. It is located in the Nuevo Baztán area, very close to the town and all its services. The house has 166 meters built on 2 floors. From the entrance we access the living room of more than 30 meters with fireplace.On the main floor, we also have 2 double bedrooms, a bathroom with a bathtub also connected to the master bedroom, and the kitchen with a large pantry. On the upper floor, the attic, is perfectly utilized with a common area and 2 double bedrooms with a large dressing room and a bathroom with a shower. Regarding the qualities of the home: - The tilt-and-turn windows are made of PVC with very thick double glazed windows in chestnut color, with blinds and mosquito nets. - The floor is made of AC5/33 MAMMUT type flooring (German brand), which offers the highest wear resistance. - The heating system is using a PELLET boiler which manages to keep the house warm with maximum savings. - The railing leading up to the attic is made of glass with stainless steel. - The hot water works through SOLAR PANELS and there is also a bypass in case it is necessary. - The entrance door to the house is armored. - The windows are large and give a lot of light to the house. - It has large built-in wardrobes in the bedrooms and living room. - LED spotlights in all the ceilings of the bedrooms and bathrooms. - Sliding doors to make more use of space. - Exit to the back porch from the kitchen. - The stairs are made of marble. The plot has 920 meters very well used and distributed: - Closed garage with automatic door for one car. - Front porch. - The house is surrounded by a sidewalk with cobblestones. - Natural grass with automatic irrigation on the side. - There is an exterior tank built to store rainwater and thus use it for irrigation. - Orchard area. - Storage room and full bathroom with shower. - Barbecue and sink for summer days. - The façade is made of SATE (Exterior Thermal Insulation System) which consists of the placement of various construction elements in order to achieve optimal thermal insulation, both cold and heat. IF YOU WANT MORE INFORMATION OR TO MAKE A VISIT, CONTACT US, IF YOU NEED IT WE WILL HELP YOU WITH FINANCING.[IW].",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/103227621/,-3.2673812,False,42,False,103227621,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.379723,{'title': 'Detached house in Avenida Kiel'},CHA0216,good,nan,Avenida Kiel
True,chalet,False,True,308.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/b0/21/1028053727.jpg,False,True,8,335000.0,1088.0,nan,3,es,"ORBIS ALIA presents this magnificent independent villa in the Mirador Nuevo Baztán Urbanization. We present this beautiful independent villa, ideal for families! The chalet has a large plot with large trees. Once inside the house, we find a hall that distributes the ground floor into two large areas. The most public part has a large dining room, with windows facing two directions (east-west), and once we cross this large space, we find a second, more intimate dining room, linked to the kitchen. The kitchen is very large and has an office area, a large pantry and direct access to the garden. On the other hand we find the ground floor area intended for a more private use, where we find 5 bedrooms, an office and 2 full bathrooms. This area could be redistributed without much effort to create a smaller number of bedrooms with greater amplitude, since there are no structural elements that are inside the house, but only on the facades. The upper floor is divided into two areas. The first, like the ground floor, has 2 bedrooms and a full bathroom. The second is a large room that now functions as a games room and will delight the little ones, or it can be converted into a living-study area. The chalet was renovated and extended in 1993, so it would be enough to update a few things to make it the chalet of your dreams. Solar panels were recently installed, so electricity consumption is reduced to around €15/month. The Mirador de Baztán urbanization has common areas, sports facilities, swimming pool, club, restaurant... all this included in the 94 euros that are paid monthly as a community. The urbanization is a perfect place for families, where children can enjoy life in nature but with the comforts provided by quality sports facilities. If you think that this can become the house of your dreams, do not hesitate and call us without obligation. We will wait for you! Call us or write us by whatsapp. Orbis Alia: 644 719 748 / 644 730 426.",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/98925180/,-3.2477935,False,60,False,98925180,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3793525,{'title': 'Detached house in Urbanización Mirador Nuevo Baztán'},BAZ23,good,nan,Urbanización Mirador Nuevo Baztán
False,chalet,False,True,146.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/16/10/1187010378.jpg,False,False,4,289000.0,1979.0,nan,2,es,"Alcalá Inmobiliaria, sells a wonderful independent villa, on one floor in Eurovillas-Las Villas de Nuevo Baztan. 992 m2 plot, according to cadastre, with a built-in swimming pool and child safety fencing, with an underground treatment plant; large garden areas with fruit trees, pines, firs and other trees, which allow us to enjoy the natural environment, and other garden areas, which are paved; It also has a built-in barbecue, a metal surface storage room to store belongings and boiler and diesel tank rooms outside. It has a basement 1.50 m2 high and approximately 80 m2 in area, which is used as storage for the home; It also has a large parking lot inside the plot. With many possibilities! ; In very good condition! , Very good distribution. The house consists of a covered porch of approximately 25 m2, 4 bedrooms, totally exterior, large living room with separate dining room with built-in fireplace, kitchen furnished with vitro, hood, washing machine, refrigerator and dishwasher with exit door to the plot; full bathroom and toilet with windows. Floating flooring and stoneware floors, individual oil heating. Bars throughout the house. Smooth paint in bedrooms. Completely exterior, very bright and views of the magnificent plot. Very well preserved and recently painted. Better see! It has access from the R-2 and M-204 highway and from the R-3 and M-209 highway, with all types of public services, schools, a preschool, close to supermarkets, shops, green sports and leisure areas, as well as as places of historical interest and a few meters from the bus stops, lines 261, 260 and 321. The meters of the house are contrasted according to cadastre/registry. This announcement is not binding and may contain errors. It is shown for informational purposes and is not contractual. The sales prices do not include legal taxes or deed expenses.",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/103359269/,-3.2603365,False,78,False,103359269,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3656144,{'title': 'Detached house'},EG5908,good,nan,Nuevo Baztan
False,chalet,False,True,303.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/7f/4e/1187035536.jpg,False,False,4,305000.0,1007.0,nan,3,es,"From private to private. Call us and visit this house. Large villa with a surface area of 303 m² and a plot of 1,190 m², where you can enjoy time outdoors, in Nuevo Baztán, province of Madrid. The spaciousness of this house provides a family with children all the space they need. This chalet is distributed in a spacious and bright living room, a furnished kitchen equipped with appliances, four bedrooms and three complete bathrooms. In addition, the chalet has a patio with many possibilities and built-in wardrobes, to increase the storage capacity of your home. The property is all exterior, with a private garden where you will take advantage of the good weather and a private pool to cool off in summer. This chalet is located on an easily accessible road, it has a garage so you will not have to worry about parking and a storage room, so you can take advantage of all the space in the house. Due to its east orientation, in this house you will enjoy the sun in the morning. The house is sold furnished and in good condition so that you can settle as soon as possible. As for the qualities, this chalet has aluminum exterior carpentry. This house is located in a quiet and well-connected area, very close to the bus stop and the train station. For greater comfort, the house is very close to a medical center, a school and all the necessary services. h1o3u9s7e9l6l.",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/103359998/,-3.2705951,False,39,False,103359998,Madrid,{'typology': 'chalet'},False,40.3730264,{'title': 'House in Calle Villajoyosa'},139796,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Villajoyosa
False,countryHouse,False,False,188.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/04/95/1190751763.jpg,False,True,1,155000.0,824.0,nan,1,es,"Would you like to invest? Are you looking for a house in Nuevo Baztán to renovate? We offer you this OPPORTUNITY: The total area of the land is 325 meters. It can be built up to a maximum height of 2 floors or 7 meters. The maximum occupancy is 60%, that is, 195 meters. To renovate this home, you must take into account the current regulations that regulate the historic complex of Nuevo Baztán. For more information or to arrange a visit, contact us, we will be happy to help you. [IW].",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/103477889/,-3.2426113,True,26,False,103477889,Madrid,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",False,40.3655542,"{'title': 'Village house in Plaza del Secreto, 4'}",PUE0036,renew,nan,"Plaza del Secreto, 4"
False,chalet,False,False,66.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/2a/79/1202283570.jpg,False,False,2,249000.0,3773.0,nan,1,es,nan,sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/103854502/,-3.2599178,False,56,False,103854502,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3865065,{'title': 'Detached house'},01047,good,nan,Nuevo Baztan
True,chalet,False,False,250.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/58/ab/fe/1109808857.jpg,False,False,6,290000.0,1160.0,nan,2,es,"Large two-story villa ideal for a large family seeking a certain independence, since each of its floors has a complete home. It has 250 m2 built housing. We access the ground floor from an entrance porch facing south.From it there is access to a multifunction room independent from the rest, ideal for setting up an office or a gym, and through another door to the house.In it we find a very bright dining room and a distributor chaired by a beautiful wooden staircase. Living room with fireplace, fitted kitchen, 1 bathroom and three bedrooms with wardrobes complete this floor. On the first floor we discover a dining room, a brand new fitted kitchen, 1 full bathroom and 3 bedrooms, one of them with a fireplace, which can also be a living room. You will enjoy a 1057 m2 plot located in a very quiet and central street of the Las Villas de Nuevo Baztán Urbanization, with a built-in pool, large trees, shrubs and rockeries that create a very pleasant garden.You will also have two parking areas and a garage for your vehicles, a greenhouse, barbecue, several storage rooms and an outside toilet. A very complete property with many possibilities that a large family like yours awaits.",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/101094255/,-3.2668329,False,89,False,101094255,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3701316,{'title': 'Detached house'},00979,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Nuevo Baztan
False,chalet,False,True,159.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5b/9a/16/1189346605.jpg,False,True,4,288999.0,1818.0,nan,2,es,"WE DO NOT CHARGE THE PURCHASING PARTY! Save from the beginning: No reforms, ready to move into. 4 bedrooms and 2 full bathrooms on one floor, kitchen with island, garage and laundry area, 1400m2 plot, porch and air conditioning! Discover this charming detached villa on one level, recently renovated, located in the quiet urbanization of Las Villas, in Nuevo Baztán.With a generous plot of almost 1,500 m², this property offers you a quiet and spacious home. Upon entering, and after passing the hall, you will decide whether to enter the kitchen or the living room, although later these communicate fluidly with the dining room, responding to the modern open concept, so fashionable. This kitchen is served by an island for maximum comfort and company while cooking: a dream for those people who enjoy sharing gastronomic moments with friends and family.It also has direct access to the rear terrace and the entire rear plot, where the pool is currently located, perfect for enjoying the outdoors and moments of relaxation and fun. The house, all on one floor, has 4 bedrooms and 2 full bathrooms.All rooms are equipped with fitted wardrobes, bars and blinds on the windows for your safety and peace of mind. You will also find a room dedicated to the washer/dryer that isolates the noise of the living machines.Heating and hot water work through a brand new, modern diesel boiler in a separate outside boiler room. The plot offers a combination of green areas, including natural grass, artificial grass, screed floor and decorative stone, which will greatly relieve you of the work necessary to keep the farm in excellent condition. I do not want to ignore the practical and comfortable front porch, ideal for enjoying the shade during the sunniest days. The urbanization is only 45 minutes from Madrid, with easy access from both the A2 and the A3.In addition, it offers a wide range of services for the whole family, such as primary and secondary schools, bilingual schools, a health center, pharmacy, summer pool and modern sports facilities that include paddle tennis, football and basketball courts.You will also find supermarkets, post office, hardware stores, workshops, fashion stores and a variety of catering establishments. It has 3 bus lines 321, 260 and 261, connecting with Madrid and Arganda. In an enclave of Natural Area and belonging to the municipality of Nuevo Baztán, recently included in the list of the ""Most Beautiful Municipalities in Spain"". Do not miss the opportunity to acquire this renovated house in a privileged location.Contact us right now to arrange a visit and discover all the wonders that this property and the area have to offer!",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/102013919/,-3.2702016,False,51,False,102013919,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3695284,{'title': 'Detached house'},lasvillas,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Nuevo Baztan
False,chalet,False,False,117.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/ac/5c/1200935058.jpg,False,False,4,225000.0,1923.0,nan,2,es,"Detached villa located in the exclusive area of Las Villas del Nuevo Baztán, in Madrid. This impressive property has 4 large bedrooms, perfect for a large family or those looking for additional office or study space. The two bathrooms offer comfort and functionality, while the house is ready to renovate according to the personal tastes and specific needs of each owner. Additional amenities include a beautiful private garden ideal for enjoying the outdoors, as well as a swimming pool where you can relax during the summer. The terrace offers panoramic views from which to contemplate the Madrid sunsets; in addition to having its own parking included within the premises. Its excellent location allows quick access to local services such as schools, nature walks, shopping places, among others.",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/103811364/,-3.2612657,False,28,False,103811364,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.362092,{'title': 'Detached house'},SV-60586403,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Nuevo Baztan
False,chalet,False,False,1198.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f3/45/9f/1162417050.jpg,False,True,35,899900.0,751.0,nan,4,es,"URRESOLA ASESORIA INMOBILIARIA WE DO NOT CHARGE FEES TO THE BUYING PARTY RURAL BUSINESS OPPORTUNITY, CASONA - FONDA in one of the most emblematic towns in the Madrid community - NUEVO BAZTÁN, and on the list of the most beautiful towns in Spain. It is a large house with an interior patio that takes us back to the 19th century when the Goyeneche palace was built in the region. The building incubates a multitude of possibilities due to its dimensions and characteristics. It could be divided into two floors or two wings or even four well-differentiated spaces, distributed into habitual residence and tourist or hospitality business. In front of the house the possibility of acquiring 34,000 m2 of land, which is complemented by multiple possibilities of activities for the house (livestock, equine, celebrations, strategic, sports, drone flying... ) Giving an exclusive character to the management of this property just 40 minutes from Madrid. We also offer the possibility of creating a joint venture for the development and exploration of the business. The current distribution is the one that corresponded in its day to the inn and the rooms of the service and the owners of the house. 4 rooms 3 kitchens (2 with large built-in fireplaces) 35 rooms (bedrooms/living rooms) possibility of expanding several, joining, separating.. . 4 bathrooms.",sale,Nuevo Baztan,False,https://www.idealista.com/inmueble/98014504/,-3.2431014,True,81,False,98014504,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3640611,"{'title': 'Detached house in Travesía José de Churriguera, 4'}",98014504,good,nan,"Travesía José de Churriguera, 4"
