labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,parkingSpace,has360,latitude,hasStaging,bathrooms
nan,False,{'title': 'Detached house'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/c7/69/1184270031.jpg,299.0,1522.0,True,33,False,Becerril de la Sierra,es,nan,-3.9565551,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,4,False,Becerril de la Sierra,103241319,191707,nan,455000.0,nan,sale,https://www.idealista.com/inmueble/103241319/,nan,"Incredible opportunity to acquire a wonderful independent Villa for sale! With an area of 299m2, this spectacular property is located in Becerril de la Sierra, offering tranquility and privacy in an incomparable natural environment. Enjoy its impressive views of the mountains and its salt pool, ideal for relaxing and cooling off during the warmer days. This chalet is distributed on a single floor, which facilitates access to all areas of the house. In addition, it has a large 1073m2 landscaped plot with an irrigation system, perfect for enjoying the outdoors. Its west orientation guarantees magnificent natural light throughout the day. Don't miss the opportunity to live in this paradise, call us now and schedule a visit! At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7198087,False,3
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/ed/32/1171916412.jpg,281.0,1673.0,True,36,False,Becerril de la Sierra,es,nan,-3.9973231,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,4,False,Becerril de la Sierra,102872053,CE190656,nan,470000.0,nan,sale,https://www.idealista.com/inmueble/102872053/,nan,"Sale of Detached Villa with pool in Becerril de la Sierra. GILMAR VILLALBA sells exclusive villa in Becerril de la Sierra. 281 m2 built on a 499m2 plot. It is very well located next to the school area, the town center and direct transport to Moncloa. Detached Villa in Becerril of 281 m2 on a 499 m2 plot spread over 3 floors. It has 4 bedrooms, 3 bathrooms, South East orientation, 1 parking space. The house is in perfect condition. Ideal for a family who loves the Sierra de Madrid. Its distribution invites you to enjoy each of the interior spaces, in perfect connection with a large garden plot with a swimming pool and a gazebo with barbecue, which guarantees privacy and enough space to enjoy life outside. Facing South, this Chalet is located in very comfortable spaces between floors, making the most of its different spaces and with total independence. DISTRIBUTION: BASEMENT: Game room, full bathroom, pantry and garage GROUND FLOOR: Living room with air conditioning, fireplace, terrace and kitchen. FIRST FLOOR: master bedroom suite with terrace SECOND FLOOR: 3 bedrooms and a bathroom. CHARACTERISTICS: Interior carpentry: wood Exterior carpentry: pvc Heating: diesel tank Air conditioner Pool At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 30 years of experience, Gilmar has managed to achieve a privileged space within the high-end Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams. houses in Torrelodones, houses in Villalba, houses in Alpedrete, houses in Moralzarzal, houses in Becerril, houses in Navacerrada, houses in Guadarrama, houses in Los Molinos, houses in El Escorial, houses in Cercedilla, houses in Galapagar, houses in the Sierra, buy a home, buy an apartment, buy a house, buy a chalet, PENTHOUSE, SIERRA VIEWS.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7116802,False,3
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/10/c0/1196284458.jpg,197.0,2533.0,False,36,False,Becerril de la Sierra,es,nan,-3.9899967,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,3,False,Becerril de la Sierra,103137452,W-02TRXO,nan,499000.0,nan,sale,https://www.idealista.com/inmueble/103137452/,nan,"Exclusive semi-new chalet in Becerril Engel&Völkers presents this exclusive villa of recent construction with all the advantages of new energies. From the garden we access to a large and open terrace that gives access to the house. Modern design with large windows that give a lot of light to the whole property. We pass to a cosy living room with fireplace with caset that has an integrated kitchen, which makes it a very pleasant place for family and friends meetings. There is also a guest toilet. On this same floor we have the very spacious master bedroom with en-suite bathroom. From which you can access the garden at the back. We go up to the upper floor where there are two large bedrooms with en-suite bathrooms each one of them and an area that could be used as an office that communicates with the main floor. It has been built with good qualities, it has aerotermia, underfloor heating. PVC windows with double glazing and tilt and turn windows. From the main floor we go to the basement which is semi-basement. Given the recent construction, the garden is untouched, so the new owners could design it as they wish. Close to the town centre and public transport. Becerril de la Sierra is located in a unique enclave within the Sierra de Guadarrama National Park: 45 km from the capital with two main roads, one via the M601 which gives access to the AP-6 and the other via the M-607 which connects with the Colmenar road and Plaza Castilla. Close to the ski resort of Puerto de Navacerrada, Valle de La Barranca, Santillana and Navacerrada reservoirs, with spectacular spots for all kinds of nature activities. It has a wide range of restaurants, cultural and sporting activities, a variety of schools, public, private, subsidised and bilingual. It also has a wide range of shopping centres. Less than 10 minutes away by car is the General Hospital of Collado Villalba.",nan,True,40.7068853,False,4
nan,False,{'title': 'Terraced house in cortijo'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/75/62/1200365357.jpg,80.0,3375.0,False,29,False,Becerril de la Sierra,es,nan,-3.9788279,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,False,chalet,1,False,cortijo,103795242,nan,nan,270000.0,nan,sale,https://www.idealista.com/inmueble/103795242/,nan,"·Chance! We do not charge commission to the buyer. Housing located in the mountains of Madrid with beautiful views. A quiet place full of charm. The house is very bright, which makes it even more beautiful. The house has two floors, which are distributed as follows: UPPER FLOOR: Armored door, hall, bathroom with washing machine and dryer, American kitchen and living room + terrace that serves as a dining room, all glazed and acclimatized. (Low-cost electric heating). LOWER FLOOR: Studio bedroom of about 25m2, full bathroom with built-in shower and sink, separate toilet and 8m2 dressing room. There's no comunity charges.",nan,False,40.7296257,False,2
"[{'name': 'villaType', 'text': 'Villa'}]",False,{'title': 'Detached house'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/d2/6e/1195638476.jpg,755.0,1258.0,False,63,False,Becerril de la Sierra,es,nan,-3.9786342,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,8,False,Becerril de la Sierra,103636172,W-02QF9K,nan,950000.0,nan,sale,https://www.idealista.com/inmueble/103636172/,nan,"Great house in Becerril de la Sierra Engel & Völkers presents this great house in the Sierra Noroeste of Madrid, with beautiful views of La Maliciosa and spacious and bright spaces comfortably distributed. On the first floor are the dinning room and living room with a fireplace and access to the porch and a beautiful garden with swimming pool. Next door there is a comfortable room with sauna, dressing room, bathroom and kitchen, ideal to enjoy with friends and family. On this floor there is also a kitchen, 5 bedrooms and two bathrooms. Going up through the elevator or by the stairs, we find on the first floor a bright living room due to the natural light provided by a window that opens onto a terrace. There is a main room, spacious and cozy that has a full bathroom. Going up other stairs, we have a comfortable room with dressing room and a bathroom. To guarantee the greatest comfort, the house has air conditioning, solar panels to heat the water in the pool and a generator. The property is located in an urbanization in the municipality of Becerril de la Sierra located northwest of Madrid, 45 km from the capital, in a unique enclave within the Sierra de Guadarrama National Park. It has two main access roads, one through the M-601 that gives access to the AP-6 and another through the M-607 that connects with the Colmenar and Plaza Castilla highway. It is an urban area, one of the most sought after by nature lovers due to its proximity to the Puerto de Navacerrada ski resort, the La Barranca Valley and the Santillana and Navacerrada reservoirs. It also has a wide range of restaurants, cultural and sports activities. Starting from this location, various routes and trips are usually prepared, both on foot and by car. There is a diversity of public, private and concerted schools. It also has a wide range of shopping centers, and the Collado Villalba General Hospital is less than 10 minutes away by car. In addition to all this, it has a privileged location in Becerril De La Sierra, it is in a very quiet place, with little traffic.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.7309287,False,5
"[{'name': 'withViews', 'text': 'With views'}]",False,{'title': 'Detached house in reina'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ef/56/fd/1104890931.jpg,238.0,2521.0,True,55,False,Becerril de la Sierra,es,nan,-3.9943145,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",{'groupDescription': 'Highlight'},True,False,chalet,5,False,reina,100948708,Becerril casco urbano.,nan,599900.0,nan,sale,https://www.idealista.com/inmueble/100948708/,nan,"CAPITAL HOME ALPEDRETE sells a magnificent independent villa fully renovated very close to the ambulatory and the town center of the municipality. This is an independent villa built in 1972, updated throughout its useful life to this day, with a constructed area of 238m2, built on a 646m2 plot. It is distributed as follows; In the first place, we locate the entrance hall, where we are previously preceded by a large terrace facing south-east, with magnificent views, ideal for having breakfast, eating with the family or having a rest space.Next, we have the complete kitchen, this enlarged one, in the shape of a large tube, has several windows and a comfortable pantry for day to day. Next, we find the living-dining room, with a diamond shape, where the rest space and the dining area are located well differentiated, with direct access to a large terrace, with the possibility of adding it to the previous room, it is a very special space Due to its south-west orientation, it is ideal for family celebrations, with views of the garden, perfectly maintained and with a very attractive consolidated area of vegetation. Next, we go to the first 1st floor, where we find two double bedrooms, both with built-in wardrobes, and two complete bathrooms, in both cases with a window and a shower tray. On the second 2nd floor, we find two triple bedrooms, both with built-in wardrobes, supplied by a complete bathroom with a hydromassage bathtub, one of the rooms has a fireplace in the room itself. On the top 3rd floor, there is a room as an office, game room, multipurpose room. In addition, on the lower floor of the living-dining room, to which we have access from the interior and exterior, we find a very large living room, super cool in summer, hot in winter, where we have a full kitchen, full bathroom with shower and lots of natural light. Regarding the characteristics of the house we can contemplate; Individual heating with a 1000L diesel tank, perfectly preserved burner, possibility of establishing solar panels, exterior carpentry in PVC vinyl-coated wood, interior carpentry in cherry and oak wood, AC5 wooden floors in the rest area, ceramic floors in almost the entire house but with different finishes and colors, fully updated electrical system, has 3 independent boxes. As for other elements, the plot has its own well with all the updated system, on the Tyrolean façade and recently installed stone plaster, perimeter stone fencing with a steel element, the house faces three streets, it has two automatic doors for vehicles, a perfectly adequate barbecue area, a space for pets that is fenced, a lot of green area and multiple plant elements that add a special charm to the house.In addition, it has a storage room under the floor of the house, with full accessibility where the boiler room is also located. The autonomy for day to day is full due to its location, close to the urban area 550m away, we find the Local Office less than 350m away, all the shops such as the Domca Pastry Shop, Pharmacy, Supermarkets, multiple restaurant options, Public Schools, etc. Finally, in terms of transport services, we have lines 690, 691 and 696, as well as easy access to the M-601 highway with direct access to the A-6 and neighboring municipalities, as well as the Colmenar highway. M-607.","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7142389,False,4
nan,False,{'title': 'Terraced house in egido no number'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/f0/36/1192185492.jpg,172.0,1162.0,True,44,True,Becerril de la Sierra,es,nan,-3.9885615,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,True,False,chalet,4,False,egido no number,103523118,Chalet adosado triplex.,nan,199900.0,nan,sale,https://www.idealista.com/inmueble/103523118/,nan,"CAPITAL HOME ALPEDRETE SELLS A FOUR-FLOOR TOWNHOUSE, IN THE MUNICIPALITY OF BECERRIL DE LA SIERRA, IN A MAGNIFICENT LOCATION CLOSE TO THE URBAN CENTER AND THE MOUNTAINS. We are facing a construction rehabilitated in 1994, composed of 172m2 divided into four floors, with north-east and south-west orientation. It consists of a living-dining room, a complete kitchen with a dining room, a toilet, on the upper floor we find two double bedrooms with direct access to a shared terrace, a storage room with a skylight, a full bathroom and on the top floor a complete suite with a huge terrace. In the cellar or basement floor there is a large space that can be completely molded to your liking, currently arranged in several rooms. IT IS DISTRIBUTED AS FOLLOWS; First of all, as soon as we enter the house, we have the hall, which leads to the living-dining room, where the dining area and the rest area can be distinguished, in both cases with a very good spaciousness. Next, we access the kitchen, shaped like a tube and with the possibility of generating a single space with the living room. Arranged in this last space we have a courtesy toilet. Secondly, we move to the rest area, where we find a first room used as a dressing room or storage room, with a fantastic skylight, followed by the complete bathroom with a shower cabin. In addition, two double bedrooms, with a built-in wardrobe and direct access to a shared north-facing terrace. On the top floor, there is a single room of considerable size, with a complete en-suite bathroom, also of excellent spaciousness, and direct access to a large private terrace. HOUSING CHARACTERISTICS; It has PVC exterior carpentry with double glazing, pine wood interior carpentry, porcelain floors, electric heating with aluminum radiators, a wine cellar with many possibilities, south-east and north-west orientation, with fantastic mountain views. and full proximity to it. The autonomy for day-to-day life is full due to its location, close to the town center 550m away, we find the Local Clinic less than 350m away, all the shops such as the Domca Pastry Shop, Pharmacy, Supermarkets, multiple restaurant options, Public Schools, etc. Finally, in terms of transportation services, we have lines 690, 691 and 696, as well as easy access to the M-601 highway with direct access to the A-6 and neighboring municipalities, as well as the Colmenar highway. M-607.",nan,False,40.717329,False,3
"[{'name': 'villaType', 'text': 'Villa'}]",False,"{'title': 'Detached house in Calle de Cabeza de Hierro, 9'}",Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cc/3a/ae/931823900.jpg,728.0,948.0,False,60,True,Becerril de la Sierra,es,nan,-3.9525155,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,8,False,"Calle de Cabeza de Hierro, 9",95921609,0096-00292,nan,690000.0,nan,sale,https://www.idealista.com/inmueble/95921609/,nan,"Spectacular detached house in the Northwest mountains of the Community of Madrid.The house built on a plot of 1800 m2 has an incomparable charm, it is cozy, bright, comfortable, magical, as soon as you know it you will love it. The facade made of stone, with that character of the Madrid mountains, the house is incredibly bright due to its very large windows, it is equipped with the best qualities, clay and stoneware floors, underfloor heating, pine wood in the shutters, Walnut entrance door with automatic light sensors, Arabic-style white bricks, ceramics on the stairs, exceptional beech carpentry, among others. The house inside is distributed as follows: -Low level: Spacious and cozy game room with fireplace and wine cellar Very nice sauna with outside shower Commissary – Pantry bathroom support Storage space under the stairs Machine room Garage with space for several vehicles, water well, diesel tank. -Street Plan: Large and spacious 110 m2 living room, divided into different rooms with a wonderful fireplace made of white bricks in Arabic style, precious Menex Pine wood shutters, all windows with mosquito nets with direct views of the garden porch. Living room, comfortable place where there are, large window overlooking the garden Comfortable gas kitchen, notable for having an access door with direct access to the back of the garden. Bedroom with en-suite bathroom and built-in wardrobe Auxiliary bathroom in the stair area -First floor: It has 4 bedrooms, a majestic master bedroom with exceptional measurements, very large windows with awnings and automated blinds, a dressing room, a full bathroom with a bathtub and a separate toilet. quarter iron 3 bedrooms with a spectacular terrace, communicated through it, with a wonderful view of the garden areas, all have fitted wardrobes. 2 large bathrooms with a bathtub in the hallway -Second floor: 3 bedrooms on the upper floor, were converted into 2 large ones, both with sloping ceilings. The first of them with a balcony overlooking the pool and the grove, also has a fireplace and different environments, Velux-type windows. The second bedroom on this floor, originally two, is L-shaped, very charming, an area intended at this time for the enjoyment of the smallest of the house, very bright with several Velux-type windows on the roof. It also has a bathroom in the corridor with a bathtub and a room in the same corridor as a storage area. -Outside area: Having so many meters of plot, we appreciate different environments, entrance area with two doors, pedestrian access door and another for vehicles with a garage access ramp. In the area to the right there is an additional small house with an integrated bathroom, living room, fireplace and bedroom, a place designed in its day for the caretaker of the estate. In the central area, a covered wooden porch of approximately 50 m2 for use and enjoyment, a barbecue area, large space for tables and also has a generous auxiliary room for a pantry. Pool area, fenced pool, has a measure of approximately 12x6 meters, has natural grass and a rear area with a sewage treatment plant and a utility room. The area stands out for being at the foot of the Cabrera peak, in the Sierra de Guadarrama, belonging to Becerril de la Sierra, a few meters from the town of Mataelpino and only 8 kilometers from the wonderful town of Navacerrada. We will be delighted to show you this wonderful property!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,40.7193949,False,9
nan,False,{'title': 'Detached house'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/53/8f/1195104137.jpg,417.0,1559.0,False,39,False,Becerril de la Sierra,es,nan,-4.0007522,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,False,chalet,5,False,Becerril de la Sierra,103618954,W-02UD4V,nan,650000.0,nan,sale,https://www.idealista.com/inmueble/103618954/,nan,"Exclusive semi-new chalet in Becerril Engel&Völkers is pleased to present this Canadian built house in one of the best areas of the town of Becerril de la Sierra. Three-storey house on a plot of more than a thousand square meters. With excellent views of the Sierra (Pedriza, Maliciosa, Bola del Mundo). Next to Cabeza Mediana. The house consists of a main floor with three bedrooms, two bathrooms, large kitchen and a large living room with access to a terrace with spectacular views and access to the garden. In the upper part of the house we find the en suite bedroom, of approximately seventy square meters. The basement has different uses such as recreation area, gym, guest room. It has independent access from the garden, in two areas, direct access to the garage and two rooms, one storage room and another that has a water accumulator.  Large and flat garden with swimming pool and gazebo with barbecue, which make it a privileged place for summer gatherings. There is also a shed for storing tools.  The heating is a heat pump that is used for both heat and cold. Although given the characteristics of the construction it is usually heated with the wood burning fireplace that has an exit on the main floor and in the master bedroom. In the basement there is a pellet stove. Becerril de la Sierra is located in a unique enclave within the Sierra de Guadarrama National Park. At 45 Km. from the capital with two main roads, one through M601 that gives access to AP-6 and the other through M-607 that connects with the road to Colmenar and Plaza Castilla. Next to the ski resort Puerto de Navacerrada, Valle de La Barranca, Santillana and Navacerrada reservoirs, with spectacular scenery for all kinds of activities in nature. It has a wide range of restaurants, cultural and sports activities. Diversity of schools, public, private, subsidized and bilingual. It also has a wide variety of shopping centers. Less than 10 minutes away by car there is the General Hospital of Collado Villalba.",nan,False,40.700076,False,4
nan,False,{'title': 'Detached house in Matadero'},Madrid,renew,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/a7/29/1110593637.jpg,386.0,881.0,False,41,False,Becerril de la Sierra,es,nan,-3.9873809,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,4,False,Matadero,100783294,3454-06289,nan,340000.0,nan,sale,https://www.idealista.com/inmueble/100783294/,nan,">>> ATTENTION, UNIQUE OPPORTUNITY IN URBAN TOWN<<< Let me introduce you to this formidable newly built house. On the solid pillars of the original house, a modern house has been built with all the current comforts: underfloor heating on the two main floors, radiators in the semi-basement floor, imitation wood ceramic floors, natural gas connection already registered in Industry, excavation for a 15x2m pool designed in the shape of a ""P"", white aluminum tilt-and-turn exterior carpentry on the main floor and PVC on the upper floor, electricity and plumbing fully finished, interior carpentry in oak, semi-basement floor with access to an English patio, well... has it all! Main floor with closed garage for 2 cars and direct access to the interior of the house; large laundry room with space for a washer and dryer and with ventilation and natural light; room for coats, suitcases or whatever you need to have on hand, fully dressed and with an exterior window; Master bedroom with dressing room and bathroom on this floor... just what we are all looking for! Bright living room with access to the terrace and rear garden and connected to the large kitchen, fully equipped with plenty of storage space and lots of light... You're going to love it! A practical guest toilet, also exterior, completes the distribution of this floor. On the upper floor we find 3 comfortable bedrooms, one of them larger than the others designed as an office or guest room, all of them with large fully fitted built-in wardrobes and a complete bathroom. All rooms are exterior. It has a semi-basement floor, with access to an English patio, where we have a tool room, a toilet and a large multipurpose space, with ventilation and natural light, that you can use for whatever you need: gym, games room, movie room.. . The house is yet to be finished, so you will need to make an investment before moving permanently... and you will have the best house in the area! We do not charge fees to the buyer, so contact us immediately and organize your visit. Occasions like this can't be missed!","{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",True,40.7181145,False,4
