bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
2,Madrid,146.0,True,False,"{'subtitle': 'Hospital, Valdemoro', 'title': 'Penthouse in Calle Alcalde Antonio Pariente Cuesta'}",True,3,False,True,True,51,8304PV-M,es,True,102785651,339500.0,40.1966107,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Mr. House Real Estate is delighted to present a SPECTACULAR, NEARLY NEW PENTHOUSE in the BEST AREA of Valdemoro! On this occasion, Mr. House Real Estate offers you an EXCLUSIVE PENTHOUSE located next to Valdemoro Hospital. This is a residence of approximately 90m2, featuring 3 spacious bedrooms, 2 full bathrooms, a furnished kitchen, and a living-dining area. There's a 45m2 TERRACE that surrounds the entire property, accessible from all rooms. Additionally, 2 PARKING SPACES AND A STORAGE ROOM are included in the price. This penthouse is equipped with the finest quality features, including DUCTED AIR CONDITIONING, individual natural gas heating, tilt-and-turn double-glazed windows, parquet floors, smooth paint, white lacquered doors, and a PERGOLA ON THE TERRACE, among others. It boasts HIGH ENERGY EFFICIENCY with a 'B' certification. The property is located within an EXTRAORDINARY PRIVATE URBANIZATION that offers all sorts of conveniences. There's a POOL with a lawn area and umbrellas, a paddle tennis court, a children's play area, landscaped gardens, a concierge, ACCESS FOR PEOPLE WITH REDUCED MOBILITY, and more. Furthermore, it's situated near all types of services (just meters away from Valdemoro Hospital, bus stops, easy access to A-4/R-4/M-506, and the NOBELIS private school). REQUEST FURTHER INFORMATION WITH NO OBLIGATION! At Mr. House Real Estate, we DO NOT CHARGE PURCHASE COMMISSIONS OR FEES FOR MORTGAGE MANAGEMENT!",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,2325.0,https://www.idealista.com/inmueble/102785651/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/75/a6/1182336686.jpg,Calle Alcalde Antonio Pariente Cuesta,True,-3.6946806,Hospital,Valdemoro,4,penthouse,False
2,Madrid,99.0,True,False,"{'subtitle': 'Hospital, Valdemoro', 'title': 'Flat'}",True,3,True,True,True,21,689,es,True,103452528,232000.0,40.1974958,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"The home, which is located in one of the fastest growing areas of the municipality, has all the services at street level, medical services, food, school services, as well as good communication via road and public transportation. The characteristics of the house are the following: - Upon entering the house we find a Hall / Hall with a built-in wardrobe included, then the completely independent kitchen furnished and equipped with a clothesline. Finally we have a large living room, which has AIR CONDITIONING in it and is completely independent. - On the other hand we have the rest area, this property consists of THREE double bedrooms, all of them with built-in wardrobes and two bathrooms, one of them en suite next to the master bedroom. - COMMON AREAS WITH SWIMMING POOL / PADEL / CHILDREN'S PARK - - PHYSICAL CONCIERGE - - PARKING INCLUDED IN THE PRICE -.",False,{'typology': 'flat'},good,2343.0,https://www.idealista.com/inmueble/103452528/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/45/de/1194241121.jpg,Hospital,False,-3.6926216,Hospital,Valdemoro,4,flat,False
3,Madrid,182.0,True,False,"{'subtitle': 'Hispanoamérica - Comunidades, Valdemoro', 'title': 'Terraced house'}",True,4,True,nan,False,30,652,es,nan,102739031,399900.0,40.1906115,False,nan,sale,"The house is located in one of the best residential areas of Valdemoro, both for its location and for its tranquility and accessibility to services, and consists of the following amenities: GROUND FLOOR - We have on the ground floor a large front porch and American garage with space to park a vehicle and automatic door. At the entrance you will be greeted by a hallway which will give you access to a spacious living room with a wonderful American kitchen and air conditioning, bright and with access to an 80 m² backyard with pergola, built-in barbecue and the possibility of building a swimming pool. Finally, at the entrance there is a toilet with a sliding door. FIRST FLOOR - On this floor we find 4 double bedrooms, which have built-in wardrobes, in the distributor of the rooms there is an air conditioner, finally here we find two bathrooms, one of them en suite with a shower tray and window and another of them independent with shower tray as well. ATTIC - Completely lined with wood, with storage room and access to a sunny 16 m² SOLÁRIUM. BASEMENT - Open plan, fully waterproofed and with a large pantry and window to the outside, which allows great lighting.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,2197.0,https://www.idealista.com/inmueble/102739031/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/b5/e7/1168150926.jpg,Hispanoamérica - Comunidades,False,-3.688067,Hispanoamérica - Comunidades,Valdemoro,nan,chalet,False
3,Madrid,195.0,True,False,"{'subtitle': 'Centro, Valdemoro', 'title': 'Detached house'}",True,5,True,nan,False,26,686,es,nan,103353034,349900.0,40.1904014,False,nan,sale,"The house is located in the COMMUNITIES area of ​​Valdemoro, one of the quietest and most residential areas of the municipality, it has all the services of the municipality within walking distance, with very good communication via road and public transport. The characteristics of the property are the following: - FIRST FLOOR: As soon as we enter, we will find a Hall / Hall with a built-in wardrobe, a spacious and bright living room with air conditioning, on the other hand the kitchen with plenty of space, air conditioning and access to a 100 m² patio. It also has a bedroom, bathroom with shower, pantry and garage with capacity for 1 vehicle. - SECOND FLOOR: On this floor is the rest area, with FOUR double bedrooms with built-in wardrobes in each of them and of which TWO have air conditioning. We also have two large bathrooms, one of them en suite to the master bedroom with a jacuzzi and the other bathroom with a shower.Both bathrooms have windows in them. - 100 m² PATIO -.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1794.0,https://www.idealista.com/inmueble/103353034/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/47/0a/1187573475.jpg,Centro,False,-3.68914,Centro,Valdemoro,nan,chalet,False
2,Madrid,115.0,True,False,"{'subtitle': 'Restón i - Restón Ii, Valdemoro', 'title': 'Flat in Avenida del Mar Mediterráneo'}",True,3,False,True,False,35,VT2444i,es,True,101763421,215000.0,40.1797444,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Magnificent three-bedroom exterior apartment, in a private urbanization with SWIMMING POOL AND SPORTS COURT, with GARAGE AND STORAGE ROOM INCLUDED, located on the first floor of a building WITH ELEVATOR on Avenida del Mar Mediterráneo, very close to the Enrique Tierno Galván Park. It is distributed in: * Entrance hall. * Living room with air conditioning and access to a wonderful OPEN TERRACE with unobstructed views. * Large independent kitchen-office with high and low furniture with large storage capacity. * Master bedroom with built-in wardrobe and PRIVATE BATHROOM with bathtub and bidet. * Second bedroom with large built-in wardrobe * Third bedroom with built-in wardrobe and access to a 6m² PATIO FOR USE AND ENJOYMENT. * Second full bathroom with bathtub. As for its qualities, it has wooden floors, double glazed exterior glazing, heating and individual hot water using natural gas, air conditioning in the living room, built-in wardrobes in all bedrooms and an armored main door. GARAGE AND STORAGE ROOM INCLUDED IN PRICE. Very quiet and residential area, close to the El Restón Shopping Center, with all the services around, hospitality, pharmacies, schools, hospitals. Very well connected by public transport with bus stops 2, 3, 5, 424, N401, and with easy access to the A4 highway. Make an appointment to see it without obligation. Reference: VT2444i.",False,{'typology': 'flat'},good,1870.0,https://www.idealista.com/inmueble/101763421/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/92/fe/1133101351.jpg,Avenida del Mar Mediterráneo,False,-3.6852262,Restón i - Restón Ii,Valdemoro,1,flat,False
2,Madrid,111.0,True,False,"{'subtitle': 'Zona Estación, Valdemoro', 'title': 'Flat in Calle Fernando Vi, 12'}",True,3,False,True,False,28,3 Bajo d,es,True,100118149,324900.0,40.19642,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"The project has been developed in three buildings with 32 homes in each of the extreme buildings and 33 homes in the central one, avoiding the usual block image, providing exclusivity to the complex and increasing the surface area of each of the homes. The light.. . most of the houses have two, three or even four different orientations, exploited with wide holes. All the houses will have a storage room and a garage space. You can purchase a second place depending on availability.",True,{'typology': 'flat'},newdevelopment,2927.0,https://www.idealista.com/obra-nueva/100118149/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/6d/91/780005293.jpg,"Calle Fernando VI, 12",False,-3.67297,Zona Estación,Valdemoro,bj,flat,False
2,Madrid,86.0,True,False,"{'subtitle': 'Zona Estación, Valdemoro', 'title': 'Flat in Calle Fernando Vi, 12'}",True,2,False,True,False,28,1 6º a,es,True,97270788,259900.0,40.19642,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"The project has been developed in three buildings with 32 homes in each of the extreme buildings and 33 homes in the central one, avoiding the usual block image, providing exclusivity to the complex and increasing the surface area of each of the homes. The light.. . most of the houses have two, three or even four different orientations, exploited with wide holes. All the houses will have a storage room and a garage space. You can purchase a second place depending on availability.",True,{'typology': 'flat'},newdevelopment,3022.0,https://www.idealista.com/obra-nueva/97270788/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/6d/91/780005293.jpg,"Calle Fernando VI, 12",False,-3.67297,Zona Estación,Valdemoro,6,flat,False
2,Madrid,85.0,True,False,"{'subtitle': 'Zona Estación, Valdemoro', 'title': 'Flat in Calle Fernando Vi, 12'}",True,2,False,True,False,28,1 6º b,es,True,97270789,265400.0,40.19642,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"The project has been developed in three buildings with 32 homes in each of the extreme buildings and 33 homes in the central one, avoiding the usual block image, providing exclusivity to the complex and increasing the surface area of each of the homes. The light.. . most of the houses have two, three or even four different orientations, exploited with wide holes. All the houses will have a storage room and a garage space. You can purchase a second place depending on availability.",True,{'typology': 'flat'},newdevelopment,3122.0,https://www.idealista.com/obra-nueva/97270789/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/58/1d/780005288.jpg,"Calle Fernando VI, 12",False,-3.67297,Zona Estación,Valdemoro,6,flat,False
2,Madrid,115.0,True,False,"{'subtitle': 'Zona Estación, Valdemoro', 'title': 'Flat in Calle Fernando Vi, 12'}",True,3,False,True,False,28,3 Bj B,es,True,97849744,349900.0,40.19642,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"The project has been developed in three buildings with 32 homes in each of the extreme buildings and 33 homes in the central one, avoiding the usual block image, providing exclusivity to the complex and increasing the surface area of each of the homes. The light.. . most of the houses have two, three or even four different orientations, exploited with wide holes. All the houses will have a storage room and a garage space. You can purchase a second place depending on availability.",True,{'typology': 'flat'},newdevelopment,3043.0,https://www.idealista.com/obra-nueva/97849744/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/e3/5d/780005290.jpg,"Calle Fernando VI, 12",False,-3.67297,Zona Estación,Valdemoro,bj,flat,False
2,Madrid,86.0,True,False,"{'subtitle': 'Zona Estación, Valdemoro', 'title': 'Flat in Calle Fernando Vi, 12'}",True,2,False,True,False,28,1 6º d,es,True,97270783,261900.0,40.19642,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"The project has been developed in three buildings with 32 homes in each of the extreme buildings and 33 homes in the central one, avoiding the usual block image, providing exclusivity to the complex and increasing the surface area of each of the homes. The light.. . most of the houses have two, three or even four different orientations, exploited with wide holes. All the houses will have a storage room and a garage space. You can purchase a second place depending on availability.",True,{'typology': 'flat'},newdevelopment,3045.0,https://www.idealista.com/obra-nueva/97270783/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/e0/21/780005289.jpg,"Calle Fernando VI, 12",False,-3.67297,Zona Estación,Valdemoro,6,flat,False
