bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
1,Madrid,44.0,True,False,"{'subtitle': 'El Arroyo - La Fuente, Fuenlabrada', 'title': 'Flat in Calle Luis Sauquillo'}",False,1,False,True,False,27,luis sauquillo,es,True,97781168,152000.0,40.2727173,False,nan,sale,"** ESTATES FIRST HOME ** House for sale in the heart of Fuenlabrada, in the city center in front of RENFE CERCANIAS and Metrosur Fuenlabrada Central, several municipal bus lines, and next to the LA ESTACION Shopping Center, very close to the Town Hall and administrative buildings (Notaries, records). With all services very close, El Arroyo Specialty Medical Center, Ambulatory, schools, institutes, parks, pharmacies, supermarkets, restaurants, sports areas, etc. We are talking about a 3rd floor in urbanization with ELEVATOR, SWIMMING POOL, PADEL, COMMON AREAS, CHILDREN'S AREA, GARAGE AND STORAGE ROOM. Composed of living room, fitted kitchen, bathroom and a bedroom with fitted wardrobes. The house has air conditioning with heat pump. Find out and visit it without obligation.",False,{'typology': 'flat'},good,3455.0,https://www.idealista.com/inmueble/97781168/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/02/6e/990195131.jpg,Calle Luis Sauquillo,True,-3.8049122,El Arroyo - La Fuente,Fuenlabrada,3,flat,False,nan
3,Madrid,250.0,True,False,"{'subtitle': 'Loranca, Fuenlabrada', 'title': 'House in Paseo de la Convivencia no number'}",True,4,True,nan,False,54,C0127-00140,es,nan,103558644,478000.0,40.3009626,True,nan,sale,"Are you looking for a house with charm, comfort and space in a privileged area? Don't miss this opportunity to acquire a semi-detached house in Loranca, the most fashionable neighborhood in Fuenlabrada. CENTURY 21 Now IV offers it to you exclusively, so you can enjoy a unique and personalized home. This chalet has everything you need to live with quality and comfort: two floors plus an attic and a basement, with a total area of 230 m2. On the ground floor, you will find a spacious and bright living-dining room, with direct access to the backyard, where you can celebrate your best moments with your loved ones. There is also an equipped kitchen with an office area, ideal for your breakfasts and quick meals, and a guest toilet. On the first floor, there are three bedrooms with built-in wardrobes, all of them exterior and with lots of natural light. The master bedroom has an en-suite bathroom, with a bathtub and shower. The other two bedrooms share a full bathroom, with a shower. The attic is an open and renovated space, with a terrace that offers you spectacular views of the area. You can use it as an office, games room, extra bedroom or whatever you can think of. The basement is another multifunctional space, with many possibilities: storage room, cellar, gym, workshop, etc. The house is located in the heart of Loranca, a modern and quiet neighborhood, surrounded by green areas and all kinds of shops and services. You will have schools, health centers, supermarkets, pharmacies, banks, restaurants, etc. within your reach. In addition, you will have easy parking and good road and public transport communications. Don't hesitate and come visit this chalet, which could be the home of your dreams. You will fall in love with its style, its spaciousness and its location. Call us and we will inform you of everything you need to know. We will wait for you!",False,{'typology': 'chalet'},good,1912.0,https://www.idealista.com/inmueble/103558644/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/10/85/1193304766.jpg,Paseo de la Convivencia no number,False,-3.8366292,Loranca,Fuenlabrada,nan,chalet,False,nan
1,Madrid,87.0,True,False,"{'subtitle': 'La Avanzada - La Cueva, Fuenlabrada', 'title': 'Flat'}",True,4,True,True,False,26,HF-2685,es,False,102457652,159500.0,40.2928466,False,nan,sale,"We present this magnificent property located in one of the most sought-after areas of Fuenlabrada, near the center and surrounded by all kinds of services: schools, supermarkets, parks... The apartment has a constructed area of 87 m² intelligently distributed to offer comfort and space to your entire family. It consists of four bedrooms (one double and three singles), a recently renovated full bathroom and a kitchen furnished only with the necessary furniture so that you can fully enjoy its great light capacity thanks to its southeast orientation. The house is ready to move into as it has been carefully renovated, preserving original details such as its white lacquered interior doors but updating other aspects such as the main floor covering, changing it to floating flooring resistant to daily wear and tear or replacing all its old exterior windows. Now giving way to modern exterior and interior carpentry manufactured under current high standards using robust materials such as climalit glass, thus reducing external ambient noise, allowing more natural light to pass through. It also has centralized heating included within the Community, which manages to maintain a perfect temperature during winter even when the cold is very intense! It also has a storage room and with public transportation (buses/train) just a few steps from its location, you will have no problem getting around the city. Don't miss this unique opportunity in a privileged area!",False,{'typology': 'flat'},good,1833.0,https://www.idealista.com/inmueble/102457652/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/6b/ae/1156331280.jpg,La Avanzada - La Cueva,False,-3.7855781,La Avanzada - La Cueva,Fuenlabrada,3,flat,False,nan
1,Madrid,70.0,True,False,"{'subtitle': 'La Serna, Fuenlabrada', 'title': 'Flat in Plaza de Cádiz'}",True,3,True,True,False,31,CLK00/3077,es,True,101582847,160000.0,40.2911024,False,nan,sale,"Clikalia offers this 70 m2 exterior property for sale under renovation. It is located on the 1st floor with elevator, in Plaza de Cádiz, in Fuenlabrada. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The property consists of 3 bedrooms with independent wardrobes, living room, equipped open kitchen and 1 bathroom. The house also has a terrace, air conditioning and heating. This property has an excellent location as it is located a few minutes walk from several schools and institutes and the center of Fuenlabrada. At the same time, it is close to bus and metro stops such as Parque Europa (L12). The house has been completely renovated and is represented by real images after the completion of the work. Are you interested in this home? Call us! Clikalia is at your disposal from Monday to Friday from 9:00 a. m. to 8:00 p. m.",False,{'typology': 'flat'},good,2286.0,https://www.idealista.com/inmueble/101582847/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/68/61/1174355618.jpg,Plaza de Cádiz,False,-3.7977481,La Serna,Fuenlabrada,1,flat,False,nan
1,Madrid,68.0,True,False,"{'subtitle': 'El Arroyo - La Fuente, Fuenlabrada', 'title': 'Flat in Paseo Valmoral'}",True,3,True,True,False,41,CLK00/3410,es,True,102157692,175000.0,40.2775475,False,nan,sale,"Clikalia presents this apartment with excellent communication, located in the El Arroyo - La Fuente neighborhood, Madrid city. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The house is located on the 9th exterior floor with an elevator. It has a total area of 68 m², distributed in living room and dining room, equipped independent kitchen, 3 bedrooms and 1 bathroom. In addition, it has an elevator, fitted kitchen, terrace, air conditioning and reduced mobility accessibility. Located in the El Arroyo - La Fuente neighborhood, on Paseo Valmoral, it will allow you to be close to everything you need such as the Fuenlabrada 2 Shopping Center, supermarkets, restaurants, schools, the Fuenlabrada Central metro station (L12) and the Renfe Fuenlabrada (C5). Schedule your face-to-face visit and we will accompany you throughout the process. Call us from Monday to Friday from 9:00 a. m. to 8:00 p. m. The house has been completely renovated and is represented by real images after the completion of the work.",False,{'typology': 'flat'},good,2574.0,https://www.idealista.com/inmueble/102157692/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/93/3c/1175342526.jpg,Paseo Valmoral,False,-3.8015801,El Arroyo - La Fuente,Fuenlabrada,9,flat,False,nan
1,Madrid,81.0,False,False,"{'subtitle': 'Centro, Fuenlabrada', 'title': 'Flat in Avenida de Francisco Javier Sauquillo'}",False,3,False,True,False,40,3248-23421,es,True,103804097,139000.0,40.2830667,False,nan,sale,"3 bedroom apartment with south facing glazed terrace. Urbanization with Olympic pool, children's pool and tennis court, in the heart of Fuenlabrada. Avda. Francisco Javier Sauquillo, 28, in front of the Lope de Vega Public School and very close to the Parque de los Unidos Metro Station (line 12). Community of 15 blocks with large and well-kept common areas. Exterior housing on the third floor with south-west orientation, very sunny and bright. It has 2 terraces, the main one in the living room (closed) and a drying terrace in the kitchen. It is distributed in a large hall that leads to both the living-dining room and the independent kitchen. Living room with access to the glazed terrace, from which you access the hallway with 3 bedrooms with wardrobes (all of them are exterior, 2 to the main street and 1 to the tennis area) and a complete bathroom with 2 sinks, toilet and Large format shower tray with glass screen. Qualities: double aluminum sliding windows with single glass, with blinds. Stoneware floors throughout the house, except in 2 bedrooms that have laminate flooring. Air conditioning in the living room. Heating and individual hot water by natural gas using a modern Ferroli condensation boiler. Towel radiator in the bathroom. Large closets in all bedrooms. Armored entrance door with security lock. AREA DESCRIPTION: On one of the main avenues in the center of Fuenlabrada. Nearby schools: Lope de Vega, Valle de Ordesa nursery school, CEIP Greenpeace, Pablo Picasso nursery school, San Esteban public school, IES Julio Caro Baroja. Supermarkets: DIA, Hiper Sol, two Mercadonas, Hiper Usera. San Esteban medical office, Cuzco health center. Gyms: Global Fit BOX, Versus Crossfit, Fit Curves, Coliseum Gim. Bars, restaurants and small businesses throughout the area. COMMUNICATIONS: Metro Park of the States 600 meters away. (line 12), Fuenlabrada Central (Metro and Cercanías RENFE C5) 1 km away. Buses on the same street lines 2 and 492.",False,{'typology': 'flat'},good,1716.0,https://www.idealista.com/inmueble/103804097/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/89/46/1200634083.jpg,Avenida de Francisco Javier Sauquillo,False,-3.7876895,Centro,Fuenlabrada,3,flat,False,nan
1,Madrid,78.0,True,False,"{'subtitle': 'Fuenlabrada II - El Molino, Fuenlabrada', 'title': 'Flat in Calle de Móstoles'}",False,3,True,True,False,26,R-1910,es,True,103005594,173900.0,40.2876437,False,nan,sale,"This flat is at mostoles, 28943, fuenlabrada, madrid, at Avenida Europa, on floor 5. It is a flat that has 78 m2 of which 72 m2 are useful and has 3 rooms. It has floor tiles, puerta blindada, communal swimming pool, luminous, aluminum windows, terraze, good condition,... , green area, pool, central gas heating, cocina amueblada, aire acondicionado, ascensor, parquet floor, calefacción central and exterior.",False,{'typology': 'flat'},good,2229.0,https://www.idealista.com/inmueble/103005594/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/26/ca/1174841773.jpg,Calle de Móstoles,False,-3.8004116,Fuenlabrada II - El Molino,Fuenlabrada,5,flat,False,nan
1,Madrid,73.0,False,False,"{'subtitle': 'Centro, Fuenlabrada', 'title': 'Flat in Calle de Ávila no number'}",False,3,False,nan,False,10,14033-2025,es,False,103866019,109000.0,40.2873422,True,nan,sale,"Chance! 73 m² apartment distributed in living room, three bedrooms, separate kitchen with laundry room, bathroom, hallway and terrace. It has parquet floors, aluminum windows, sapelly interior doors, and natural gas heating installation... It requires small updates to move into, but it offers many possibilities. Ideal for families. It is a 4th floor in a block without an elevator. Good road communications (M-50) and public transport. 200 meters from the ""Leganés-Los Ángeles"" bus stop and less than a kilometer from the 'Parque de los Unidos' and 'Fuenlabrada Central' metro stops. Close to all types of services and infrastructure such as educational centers (IES Salvador Allende or IES Joaquín Araújo), shops, supermarkets, pharmacies, health centers (San Esteban Medical Center), green areas (Parque de Canarias)...",False,{'typology': 'flat'},good,1493.0,https://www.idealista.com/inmueble/103866019/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/e4/b6/1202601686.jpg,Calle de Ávila no number,False,-3.793021,Centro,Fuenlabrada,4,flat,False,nan
2,Madrid,98.0,True,False,"{'subtitle': 'Centro, Fuenlabrada', 'title': 'Flat'}",True,4,False,True,False,25,F1VDV003,es,True,103754491,195000.0,40.2863822,False,nan,sale,"Elevate your lifestyle in this fantastic apartment in the center of Fuenlabrada! With 98m2 meticulously designed, this 4-bedroom home offers a unique experience of comfort and elegance. The master bedroom, a gem with an en-suite bathroom, is your private retreat with its oversized built-in wardrobe. The other 3 bedrooms, spacious and full of light, are the perfect canvas for your dreams. The large living room is the heart of the home, connecting with a large closed terrace that floods every corner with light. The kitchen, not only a culinary space, but a place to create and share, with a side table that invites the whole family to have breakfast together before starting another wonderful day in the neighborhood. Not only that, but to make coexistence even easier, this property has a second full bathroom with a screen bathtub. The property has an elevator and an elevator for reduced mobility, which completes this exceptional offer. Make this apartment your home and live life at its best. Contact us now to explore your new chapter of life in Fuenlabrada!",False,{'typology': 'flat'},good,1990.0,https://www.idealista.com/inmueble/103754491/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/b1/33/1199135300.jpg,Centro,False,-3.7996673,Centro,Fuenlabrada,4,flat,False,nan
1,Madrid,75.0,True,False,"{'subtitle': 'Centro, Fuenlabrada', 'title': 'Flat'}",True,2,False,True,False,31,F2VRG051.1,es,True,102680533,146000.0,40.2821699,False,nan,sale,"Take a good look at today's date, write it down where you know you can find it. It is an important date, it is the day you have finally found YOUR HOME. And since we are so convinced of it Vivender, you are going to allow me to present your house to you today so that tomorrow you can be the one to do it to your guests. With its 75m2, its natural gas heating and located in the downtown area, this perfectly distributed property is located. Come with me and I will tell you how. To begin, I think the first thing would be to tell you that you have 2 rooms, one single and one double with its own split air conditioning (what a convenience, right? ) and access to the balcony. Both are also equipped with built-in wardrobes so that it is no problem to store all your clothes. The living room has everything you could ask for, spacious, bright and with direct access to a balcony that will provide you with that extra bit of comfort on warm summer days. As for the kitchen, what can I tell you? Practical, functional, used to the maximum and with cabinets on both sides. A luxury to have this extra space to store cleaning products. As it could not be otherwise, you have a bathroom with a bathtub and a cabinet with a sink decorated in beautiful tones that will remind you of the ocean. If you are convinced, call us Rubén will make sure that everything goes smoothly from the visit to the notary office (and beyond).",False,{'typology': 'flat'},good,1947.0,https://www.idealista.com/inmueble/102680533/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/f3/15/1171851803.jpg,Centro,False,-3.7932782,Centro,Fuenlabrada,1,flat,False,nan
