bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
3,Madrid,295.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Duplex in Calle del Pino Canario'}",True,4,False,True,False,36,EC191340,es,True,103029769,485000.0,40.3000892,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Gilmar Madrid Río sells incredible duplex penthouse in one of the best areas of Navalcarnero. This unique and exclusive property is located in a new urbanization with all the amenities, such as a community pool, playground, paddle court and two parking spaces. With a modern 2-story construction, it has a constructed area of 250m² of housing and 170m² of terraces to enjoy the outdoors. On the main floor, you will find a large hall, a guest toilet, a kitchen with an office connected to a large clothesline, a large living room where you can enjoy a 100m² terrace, a bedroom with an en-suite bathroom and the access staircase that It will take you to the top floor. In it we will find 3 bedrooms with built-in wardrobes, access to terraces from all bedrooms and a guest bathroom. The master bedroom has an en-suite bathroom and a large dressing room. This incredible duplex penthouse is located in an area with all the necessary services and good communications, with quick access to the Extremadura highway (A-5). Do not miss the opportunity to acquire this incredible duplex of 295m² built, with 4 bedrooms, 3 bathrooms, 1 toilet, 3 terraces, built-in wardrobes in all bedrooms, storage room, 2 parking spaces included in the price, swimming pool, paddle tennis court and garden. Contact us for more information! At Gilmar we have been working to offer our clients the best properties for 40 years. We cover all real estate needs: homes, offices, commercial premises, plots of land, rural properties, land to build, etc. We have more than 30 specialized teams in different areas serving more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Visit our website and you will find 4,000 more opportunities.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,1644.0,https://www.idealista.com/inmueble/103029769/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/44/49/1180130515.jpg,Calle del Pino Canario,True,-3.9819541,La Dehesa - El Pinar,Navalcarnero,3,duplex,False,nan
1,Madrid,104.0,True,False,"{'subtitle': 'Centro, Navalcarnero', 'title': 'Flat in Calle de Fidel Borrajo'}",True,3,False,False,True,34,nan,es,False,103382495,208900.0,40.2875043,False,nan,sale,nan,"Real Estate Agency in Navalcarnero INMOBILIARIA CAPITAL HOME NAVALCARNERO SELLS SPECTACULAR FULLY RENOVATED APARTMENT IN CALLE FIDEL BORRAJO. Don't miss the opportunity to acquire this magnificent apartment in the nerve center of Navalcarnero! Completely renovated with the best qualities on the market, this property is located on Fidel Borrajo Street, just one minute from the Plaza de Segovia. This spacious and bright apartment has a living room with a terrace, perfect for enjoying summer afternoons. In addition, it has a large kitchen with large storage capacity and a terrace converted into a laundry room. The apartment has 3 double bedrooms with modular wardrobes and a large bathroom with a built-in shower and window. The wood-effect stoneware floor and mosaics in the kitchen and bathroom, along with the low-consumption LED lighting, make this apartment a cozy and comfortable place. Don't worry about heat or cold, since the bedrooms have hot/cold air pumps. In addition, the apartment is in unbeatable condition. The location is ideal, as it has all the services nearby: schools, bus stops, residences, supermarkets, playgrounds, pharmacies, leisure and restaurants. Don't wait any longer and request a visit to see this wonderful apartment in Navalcarnero! In addition, our Hipotecas Capital financial department will get you the best mortgage.",False,{'typology': 'flat'},good,2009.0,https://www.idealista.com/inmueble/103382495/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/8d/07/1187753493.jpg,Calle de Fidel Borrajo,True,-4.0171303,Centro,Navalcarnero,1,flat,False,nan
3,Madrid,225.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Terraced house in Calle del Pino Resinero'}",True,5,False,nan,True,41,PINO RESINERO,es,nan,102765968,363500.0,40.3009984,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES NAVALCARNERO SELLS an exclusive spectacular semi-detached house in an urbanization with a community pool, children's areas, paddle tennis court and garden areas, in one of the most modern neighborhoods of Navalcarnero; Pinewood. One of the best areas of the municipality, close to all types of services, shops, bus stops, etc. Combined with nature and tranquility in the neighborhood. The house is distributed over three comfortable floors, and is made up of four bedrooms, two full bathrooms and a toilet. On the GROUND FLOOR, we have the toilet that serves the main floor, a large kitchen with an office area and a clothesline. Good size living room - dining room, and direct access to the rear plot without stairs. It has very large windows, which gives a lot of light to the rooms, and to the entire home. On the FIRST FLOOR, we have three large secondary bedrooms, with built-in wardrobes in each of them. A full bathroom with a shower tray that serves the secondary bedrooms. A master bedroom with a full en-suite bathroom with a bathtub, a separate dressing area and large capacity built-in wardrobes. In one of the secondary rooms, we have direct access to a fully functional closed terrace. On the SECOND FLOOR, we find a completely open-plan attic area that is perfectly functional for whatever use is needed. Completely independent from the rest of the house. In FRONT PLOT, we have a porch area with capacity for two vehicles with motorized doors. And, in the REAR PLOT, several differentiated areas; chill-out area and artificial grass, with built-in barbecue. The house has air conditioning units in the main rooms, and smooth paint throughout the house. And above all, the important modifications that have been made throughout the house. Combining bright colors and with that modern touch. DON'T MISS THE OPPORTUNITY AND COME SEE THIS SPECTACULAR HOUSE. F I N A N C I A T I O N 1 0 0 %.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1616.0,https://www.idealista.com/inmueble/102765968/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/92/d9/1166577793.jpg,Calle del Pino Resinero,True,-3.9766747,La Dehesa - El Pinar,Navalcarnero,nan,chalet,False,nan
1,Madrid,85.0,True,False,"{'subtitle': 'El Pijorro, Navalcarnero', 'title': 'Flat in Calle Mirasierra'}",True,3,False,True,True,34,nan,es,False,102857746,155900.0,40.2943499,False,nan,sale,nan,"Real Estate Agency in Navalcarnero INMOBILIARIA CAPITAL HOME NAVALCARNERO SELLS SPECTACULAR FULLY RENOVATED APARTMENT IN MIRASIERRA STREET The apartment is located in a very quiet residential area just 5 minutes from the emblematic Plaza de Segovia, it also has very close services such as schools, bus stops, residences, supermarkets, playgrounds, pharmacies, gas stations, etc. Private urbanization with gardens, play area and swimming pool. The house has a spacious and bright living room with direct access to the terrace, a large kitchen with a large storage capacity and a small dining room with a window through which magnificent natural light enters. We also have a full bathroom with a bathtub and glass screen, 3 large bedrooms with built-in wardrobes. The house has highly resistant stoneware floors, air conditioning, English-style double glazed windows with thermal break and also includes community heating. The house is in an UNBEATABLE condition. DO NOT HESITATE TO CONTACT US TO VISIT IT AND SO NOT MISS THIS UNIQUE OPPORTUNITY! Regarding financing, OUR CAPITAL MORTGAGE FINANCIAL DEPARTMENT will get you the best mortgage.",False,{'typology': 'flat'},good,1834.0,https://www.idealista.com/inmueble/102857746/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/ed/83/1169690855.jpg,Calle Mirasierra,True,-4.0149912,El Pijorro,Navalcarnero,3,flat,False,nan
2,Madrid,180.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Flat in Calle del Pastoreo'}",False,3,False,True,False,41,nan,es,True,102608065,269900.0,40.3020594,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Real Estate Agency in Navalcarnero INMOBILIARIA CAPITAL HOME NAVALCARNERO SELLS SPECTACULAR APARTMENT WITH LARGE TERRACE IN LA DEHESA DE NAVALCARNERO The house is located in one of the newest areas of Navalcarnero, LA DEHESA. You will have spectacular views, walks through a protected pine forest, hiking trails, cycling, etc. It also has a youth sports area, with a soccer field, basketball, and skating.. . Located just 100 meters from one of the best schools in Navalcarnero. Located 2 minutes from the A5 highway and less than 10 minutes from the Intu Xanadú Shopping Center, it has an unbeatable location, just a few minutes from the center of the town and surrounded by basic services. Private urbanization with garden areas and swimming pool. The house has a large entrance hall, a large open kitchen completely renovated with access to a covered clothesline. Large living room - dining room with split air conditioning installation and direct access to an 80m2 terrace. The house has 3 good-sized bedrooms, 2 of them with direct access to the terrace and the main one with an en-suite bathroom with a bathtub. We also have a fully equipped secondary bathroom with a shower to serve the secondary bedrooms. The price includes 2 parking spaces and a storage room. Air conditioning in living room. Climalit windows. Excellent condition, very bright, with the best quality porcelain floors and smooth paint. 100% FINANCING, Do not hesitate to contact us! We are waiting for you!",False,{'typology': 'flat'},good,1499.0,https://www.idealista.com/inmueble/102608065/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/2c/a0/1161154461.jpg,Calle del Pastoreo,True,-4.0062697,La Dehesa - El Pinar,Navalcarnero,1,flat,False,{'groupDescription': 'Highlight'}
3,Madrid,210.0,True,False,"{'subtitle': 'El Pijorro, Navalcarnero', 'title': 'Terraced house in Antonio machado'}",True,3,False,nan,False,46,nan,es,nan,103208923,299900.0,40.2858226,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Real Estate Agency in Navalcarnero INMOBILIARIA CAPITAL HOME NAVALCARNERO SELLS EXCLUSIVELY SPECTACULAR VILLA in one of the most exclusive areas of Navalcarnero. This is the most sought-after area of the municipality due to its proximity to the center (5 min. walking), the high quality of the constructions, the tranquility and safety of its streets, its young and family environment... Bus stops in different directions 529, 528, 528H, El gato, Sepulvedana.. . The distribution of this house is as follows: On the MAIN FLOOR, as we enter through the door, on the right we have the kitchen with a very spacious and bright office. Next we find a courtesy toilet to serve this floor. The house has a spectacular living room with a fireplace that gives us access to the back garden with great privacy and very bright. On the NOBLE FLOOR we find 3 rooms. The main one has an en-suite bathroom with a shower and built-in wardrobe. The other two bedrooms have built-in wardrobes and are very spacious and bright, one of them has a terrace facing the private patio. We have a full bathroom with a bathtub that serves these two rooms. The house has an ATTIC in unbeatable condition, it has two Velux windows and the possibility of making a full bathroom. On the GROUND FLOOR we find a large garage with capacity for 2 cars where we also have the diesel boiler and a storage room enabled for storage at the end of the garage. All the windows in the house are double glazed. Don't miss this opportunity. Do not hesitate to call us to arrange a visit and ask about our FREE financial advice service, we will help you buy and choose the best option.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1428.0,https://www.idealista.com/inmueble/103208923/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/aa/25/1181923579.jpg,Antonio machado,True,-4.0224542,El Pijorro,Navalcarnero,nan,chalet,False,nan
1,Madrid,84.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Flat in Avenida de la Dehesa'}",False,2,False,True,False,33,nan,es,True,103731763,215990.0,40.3055469,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Real Estate Agency in Navalcarnero INMOBILIARIA CAPITAL HOME NAVALCARNERO SELLS SPECTACULAR 2 BEDROOM APARTMENT IN ONE OF THE BEST AREAS OF NAVALCARNERO. The house is located in one of the newest areas of Navalcarnero, LA DEHESA. You will have spectacular views, walks through a protected pine forest, hiking trails, cycling, etc. It also has a youth sports area, with a soccer field, basketball, and skating... Located just 100 meters from one of the best schools in Navalcarnero. Located 2 minutes from the A5 highway and less than 10 minutes from the Intu Xanadú Shopping Center, it has an unbeatable location, just a few minutes from the center of the town and surrounded by basic services. The house is distributed as follows: At the entrance we find a connected space that introduces us to a spacious and bright living room that offers excellent ventilation through its windows. On the right hand side we find an Office kitchen with capacity for a table and a closed clothesline that incorporates a window to project light into it and improve ventilation. The property has 2 good-sized bedrooms, both with windows and built-in wardrobes. The bathroom is installed in the middle of the hallway, providing service to the entire house, incorporating a bathtub. Finally, we highlight the 3 parking spaces perfectly located between 2 columns and close to the entrance, 2 for cars and 1 for motorcycles; a large and high storage room with large storage capacity and a modern urbanization with a community pool. The house has excellent qualities such as double glazed windows, smooth walls, individual natural gas boiler, newly laid floor and double windows, ducted air in the living room and bedrooms, etc.",False,{'typology': 'flat'},good,2571.0,https://www.idealista.com/inmueble/103731763/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/de/01/1198452276.jpg,Avenida de la Dehesa,True,-4.0065479,La Dehesa - El Pinar,Navalcarnero,1,flat,False,nan
2,Madrid,135.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Flat in Labrador, 1'}",True,3,False,True,False,40,"Labrador, 1",es,True,103362943,269000.0,40.2975219,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES NAVALCARNERO SELLS wonderful ground floor apartment in the best private urbanization with community pool, children's areas, garden areas and paddle tennis court. It also has a garage and storage room, in one of the most prestigious neighborhoods in the municipality; Pinewood. One of the best areas of Navalcarnero, close to all types of services, shops, bus stops, sports facilities, etc. Combined with nature and tranquility in the neighborhood. The house is distributed over a comfortable floor and is made up of three bedrooms and two full bathrooms. The property is in a perfect state of conservation. We find a large entrance hall, kitchen with office area and a clothesline. Very good size living room - dining room with large windows, which gives a lot of light to the room, and direct access to a large, fully functional terrace. Two large secondary bedrooms with built-in wardrobes. A full bathroom with shower. A master bedroom with a full en-suite bathroom, with a bathtub. And also with built-in wardrobes. The house has all the paint smooth. We have an air conditioning unit. And very good views, being a third floor. In addition to a garage and storage room. DON'T MISS THIS INCREDIBLE OPPORTUNITY AND COME SEE THIS BEAUTIFUL FLOOR APARTMENT. F I N A N C I A T I O N 1 0 0 %.",False,{'typology': 'flat'},good,1993.0,https://www.idealista.com/inmueble/103362943/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/eb/b3/47/1187122814.jpg,"Labrador, 1",True,-3.9884406,La Dehesa - El Pinar,Navalcarnero,3,flat,False,nan
3,Madrid,150.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Penthouse in labrador, 1'}",True,3,False,True,False,31,nan,es,True,103100371,329000.0,40.2975219,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES NAVALCARNERO SELLS SPECTACULAR PENTHOUSE in perfect condition in the best urbanization of Navalcarnero. With a community pool, paddle tennis court, children's areas and garden areas. It also has TWO parking spaces and a storage room, in one of the most prestigious neighborhoods in the municipality; Pinewood. One of the best areas of Navalcarnero, close to all types of services, shops, bus stops, sports facilities, etc. Combined with nature and tranquility in the neighborhood. The house is distributed over two comfortable floors and is made up of three bedrooms, two full bathrooms, and a toilet. The property is in a perfect state of conservation, given the pertinent modifications that were made. We find a large entrance hall, kitchen in good condition with direct access to the living room - dining room through a large sliding door. Very good size living room - dining room with large windows, which gives a lot of light to the room, and direct access to a spectacular terrace of about 40 m2, with wonderful views. A courtesy toilet. On the first floor, we have two secondary bedrooms, one of them with a built-in wardrobe. A full bathroom with shower. A master bedroom with a full bathroom en suite, with a bathtub, and a three-piece built-in wardrobe. All with windows. The house has all smooth paint, and air conditioning units with heat pump. In addition to the TWO parking spaces and storage room. DON'T MISS THIS INCREDIBLE OPPORTUNITY AND COME SEE THIS BEAUTIFUL PENTHOUSE. F I N A N C I A T I O N 1 0 0 %.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,2193.0,https://www.idealista.com/inmueble/103100371/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/07/bb/1b/1178314227.jpg,"labrador, 1",True,-3.9884406,La Dehesa - El Pinar,Navalcarnero,4,penthouse,False,nan
2,Madrid,207.0,True,False,"{'subtitle': 'La Dehesa - El Pinar, Navalcarnero', 'title': 'Flat in Calle Pino Abeto'}",True,4,True,True,True,39,PINO ABETO,es,True,103632293,279500.0,40.2985362,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"HOGARES NAVALCARNERO SELLS a spacious 4-bedroom apartment with a 60-meter terrace, in a private urbanization. In addition to TWO parking spaces and a storage room, in one of the most prestigious neighborhoods in the municipality; Pinewood. One of the best areas of Navalcarnero, close to all types of services, shops, bus stops, sports facilities, etc. Combined with nature and tranquility in the neighborhood. The house is distributed over a comfortable floor and is made up of four bedrooms and two full bathrooms. The property is in good condition. As we enter, we have a large entrance hall, kitchen with office area and access to a first fully functional terrace. Very good size living room - dining room with large windows, which gives a lot of light to the room, and direct access to a giant terrace with barbecue and good views. Three very large secondary bedrooms with built-in wardrobes. A full bathroom with shower. A master bedroom with a full bathroom en suite, with a bathtub. And also with built-in wardrobes. We have a ducted air conditioning unit. In addition to the TWO parking spaces and the storage room. The house is located very close to the A5 exit, which facilitates the connection with the road and the entrance to the Pinar. DON'T MISS THIS INCREDIBLE OPPORTUNITY AND COME SEE THIS BEAUTIFUL FLOOR APARTMENT WITH TERRACE. F I N A N C I A T I O N 1 0 0 %.",False,{'typology': 'flat'},good,1350.0,https://www.idealista.com/inmueble/103632293/,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/58/42/aa/1195518343.jpg,Calle Pino Abeto,False,-3.9766814,La Dehesa - El Pinar,Navalcarnero,1,flat,False,nan
