bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus
2,Madrid,83.0,True,False,"{'subtitle': 'Parque Europa - Los Pitufos, Pinto', 'title': 'Flat'}",True,3,True,True,False,33,ZMES506802ER,es,True,103301235,254000.0,40.2514517,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"CHANCE!. Newly renovated apartment, BRAND NEW, located in one of the best areas of Pinto. Surrounded by all the necessary services to have an unbeatable quality of life. The house is rent-free, and has an elevator, parking space, storage room and garden area. One of the highlights of this property is its luminosity. The presence of natural light in every corner of the apartment creates a warm and welcoming atmosphere, which contributes to a feeling of spaciousness and well-being. This aspect is reinforced by the inclusion of a community garden, a green space that not only beautifies the environment, but also provides the possibility of enjoying moments outdoors without leaving home. DISTRIBUTION: Lobby-hall. Kitchen. Spacious living room. Master bedroom with en-suite bathroom with shower. Two more bedrooms. A full bathroom with a shower tray to serve these two bedrooms. FEATURES: - Natural gas heating. - Elevator. - Physical goalkeeper. - Garage - Storage room. - Aluminum windows. - Updated plumbing and electrical. - Air conditioning in living room and two bedrooms. NO AGENCY COMMISSION Regarding the location in Pinto, it is worth highlighting the benefits of living in this area. Pinto is characterized by being a municipality with an excellent connection to Madrid, which makes daily travel easier for those who work in the capital. In addition, it has a wide range of services, shops and educational centers, which makes it an ideal option for families. The presence of nearby parks, green areas and leisure services adds an additional quality of life component. Pinto is distinguished by its calm and pleasant atmosphere, away from the hustle and bustle of the big city, making it an ideal place for those seeking a balance between urban life and the tranquility of a residential environment. In summary, this apartment in Pinto not only stands out for its internal features and amenities, but also for the quality of life that its location offers. With a combination of modernity, luminosity, nearby services and a pleasant environment, this property is presented as an attractive option for those looking for a home that meets all their expectations and more.",False,{'typology': 'flat'},good,3060.0,https://www.idealista.com/inmueble/103301235/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7b/27/12/1202787289.jpg,Parque Europa - Los Pitufos,False,-3.6978279,Parque Europa - Los Pitufos,Pinto,2,flat,False
2,Madrid,78.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de San Ildefonso, 1'}",False,2,True,True,False,43,2228/26,es,False,101874485,194000.0,40.2468228,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"REF. 2228/26. Home FOR SALE in Pinto, Travesía de San Ildefonso, being local and the use as a home has been changed means that it will be completely remodeled, with all its brand new facilities and qualities, We have all hated to talk about premises converted to housing. The peculiarity of this one is that it has its own garage (with pre-installation of electric vehicles) in it with access from the kitchen/dining room/living room, access to the street in the pedestrian zone, it consists of two bedrooms, and two full bathrooms (master bedroom with en-suite bathroom). If the biggest fear of the basement is humidity, we have provided a solution to avoid any incident of this type that could occur, with emptying and a ventilation chamber so that the raised floor is strictly necessary to exit the main door and the ramp. garage space, with water collection in it to be able to wash the vehicle in it. Furnished kitchen, oven, ceramic hob, decorative extractor hood, microwave and built-in dishwasher Porcelain floors throughout the house HOT/COLD split heating in the rooms, The bathrooms include screens, mirrors, electric towel rails, and a hose in the cistern for better cleaning of the toilet. All rooms are illuminated with low-consumption LED spotlights, and in the kitchen there is also a lighting ring. PVC enclosures with swing in the bedrooms and a bathroom, and their respective bars White lacquered doors Top quality electrical material with all areas.",False,{'typology': 'flat'},good,2487.0,https://www.idealista.com/inmueble/101874485/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/35/60/1166305921.jpg,"Calle de San Ildefonso, 1",False,-3.7026227,Centro - Ayuntamiento,Pinto,bj,flat,False
1,Madrid,55.0,True,False,"{'subtitle': 'San José - Buenos Aires, Pinto', 'title': 'Flat in Calle Federico García Lorca'}",False,1,False,True,False,16,CASCAN0000194500,es,True,103877461,123050.0,40.2394189,False,nan,sale,"Apartment for sale in Pinto, Madrid. This cozy property is located on the ground floor and has a bedroom, living room, kitchen and a bathroom. In addition, it has a balcony where you can enjoy pleasant moments outdoors. Located in the center of Pinto, you will be close to everything you need: Juan Carlos I Park, the Pinto Ambulatory, schools, supermarkets, banks, libraries, pharmacies, post offices and sports centers. Additionally, the Pinto train station is within walking distance, giving you excellent accessibility. With easy access to the Southern Highway, you can get around comfortably. Don't miss this opportunity, we have a wide real estate offer and the best price guaranteed. This apartment is ideal for those looking for comfort and practicality. Come visit it! Ground floor without elevator.",False,{'typology': 'flat'},good,2237.0,https://www.idealista.com/inmueble/103877461/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/f0/fd/1202967001.jpg,Calle Federico García Lorca,False,-3.6968604,San José - Buenos Aires,Pinto,bj,flat,False
1,Madrid,77.0,True,False,"{'subtitle': 'Parque Europa - Los Pitufos, Pinto', 'title': 'Flat in Calle Aragón'}",False,3,True,nan,False,35,7242568-VE,es,False,103851339,110600.0,40.2469792,False,nan,sale,"Apartment of approximately 77.54 m² built. It is located in the center of the urban area of the municipality of Pinto, in the province of Madrid. It is located on the ground floor of a multi-family building with 5 floors above ground, which does not have an elevator. The house is distributed in 3 bedrooms, two of them have a built-in wardrobe, a bathroom, living-dining room, kitchen with high and low furniture, semi-equipped with oven, hood and ceramic hob, patio and laundry room. The surrounding homes correspond to multi-family buildings with similar characteristics, with the neighborhood having a consolidated urban character. Environment with complete equipment nearby: medical-health, teaching, religious, commercial, green and sports areas. Complete communications with the rest of the province by roads and highways (A-4, R-4, M-506 and M-50), railway services (there is a station in the nearby area), regular line and urban intercity buses. Good communications with the rest of the city, with nearby urban intercity bus stops.",False,{'typology': 'flat'},good,1436.0,https://www.idealista.com/inmueble/103851339/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/9e/90/1202172362.jpg,Calle Aragón,False,-3.6932807,Parque Europa - Los Pitufos,Pinto,bj,flat,False
2,Madrid,91.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de la Iglesia, 3'}",False,2,False,True,False,9,P.1 1ºC,es,True,103858571,246000.0,40.2434052,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2703.0,https://www.idealista.com/obra-nueva/103858571/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/dc/15/1202406413.jpg,"Calle de la Iglesia, 3",False,-3.6980948,Centro - Ayuntamiento,Pinto,1,flat,False
2,Madrid,108.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de la Iglesia, 3'}",False,3,False,True,False,9,P.2 BºB,es,True,103858574,292000.0,40.2434052,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2704.0,https://www.idealista.com/obra-nueva/103858574/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/2a/1d/1202406358.jpg,"Calle de la Iglesia, 3",False,-3.6980948,Centro - Ayuntamiento,Pinto,bj,flat,False
2,Madrid,85.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de la Iglesia, 3'}",False,2,False,True,False,9,P.1 BºB,es,True,103858529,240000.0,40.2434052,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2824.0,https://www.idealista.com/obra-nueva/103858529/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b4/3d/d2/1202406307.jpg,"Calle de la Iglesia, 3",False,-3.6980948,Centro - Ayuntamiento,Pinto,bj,flat,False
2,Madrid,112.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de la Iglesia, 3'}",False,3,False,True,False,9,P.2 BºC,es,True,103858599,300000.0,40.2434052,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2679.0,https://www.idealista.com/obra-nueva/103858599/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/87/8b/1202406308.jpg,"Calle de la Iglesia, 3",False,-3.6980948,Centro - Ayuntamiento,Pinto,bj,flat,False
2,Madrid,108.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de la Iglesia, 3'}",False,2,False,True,False,9,P.1 1ºB,es,True,103858598,273000.0,40.2434052,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2528.0,https://www.idealista.com/obra-nueva/103858598/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/dc/15/1202406413.jpg,"Calle de la Iglesia, 3",False,-3.6980948,Centro - Ayuntamiento,Pinto,1,flat,False
2,Madrid,91.0,True,False,"{'subtitle': 'Centro - Ayuntamiento, Pinto', 'title': 'Flat in Calle de la Iglesia, 3'}",False,2,False,True,False,9,P.1 BºC,es,True,103858597,240000.0,40.2434052,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,True,{'typology': 'flat'},newdevelopment,2637.0,https://www.idealista.com/obra-nueva/103858597/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/2a/1d/1202406358.jpg,"Calle de la Iglesia, 3",False,-3.6980948,Centro - Ayuntamiento,Pinto,bj,flat,False
