has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopment,latitude,suggestedTexts,externalReference,highlight,status,parkingSpace,address
False,chalet,False,True,416.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/6c/af/1174168985.jpg,True,True,5,nan,450000.0,1082.0,4,es,"This villa is at Calle de Cádiz, 28991, Torrejón de la Calzada, Madrid. It is a sunny villa, built in 2006, that has 416 m2 of which 412 m2 are useful and has 5 rooms and 3 bathrooms. Besides, it includes balcón, concrete structure, toilet, luminous, permanent ford, puerta blindada, smooth walls, centrally located, lavadero, aire acondicionado, stairs, exterior,... , barbacoa, storage room included, porche, terraze, singular, floor tiles, propietario, south orientated, chimenea, sótano, jardín, individual heating, heating oil, ssss, wardrobe, floating floor, windows climalit, good condition, propietario residente, luggage storage room, adosado, lightwell, cocina amueblada, east facing, equipped kitchen, west facing, garage included and storage room.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/102987117/,-3.8006961,False,74,nan,nan,True,102987117,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.200879,{'title': 'Terraced house in Calle de Cádiz'},8321PV-M,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle de Cádiz
False,chalet,False,True,275.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/f7/71/1180014726.jpg,True,True,4,nan,375000.0,1364.0,3,es,"This villa is at Ronda de Castilla Este, 28991, Torrejón de la Calzada, Madrid. It is a villa, built in 2005, that has 275 m2 of which 252 m2 are useful and has 4 rooms and 3 bathrooms. Besides, it includes garage included, windows climalit, jardín, stairs, toilet, wardrobe, floating floor, storage room, good condition, warehouse, storage room included, propietario residente, concrete structure, puerta blindada, heating oil, pool, ssss, terrace, outside, permanent ford, cocina amueblada, aire acondicionado, floor tiles, corner, balcón, barbacoa, pareado, luminous, stippled walls, propietario, tv antenna and individual heating.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103153772/,-3.7951413,False,53,nan,nan,False,103153772,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.2036741,{'title': 'Semi-detached house in Ronda de Castilla Este'},8341PV-M,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Ronda de Castilla Este
False,duplex,False,True,85.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d4/09/80/1200474654.jpg,False,False,2,True,195000.0,2294.0,2,es,"Duplex 2 bedrooms, 1 bathroom, 1 toilet, 2 balconies, garage and storage room. In the center of Torrejón de la Calzada.    On the first floor we have:  Distributor.  Furnished and equipped kitchen.  Clothesline with a balcony.  Cleanliness.  Living-dining room with balcony.  Staircase to access the upper floor.  On the upper floor (Under cover):  Distributor.  2 bedrooms.  A bathroom.  Residencial El Olivar are 28 free rental homes in the center of Torrejón de la Calzada. It's formed by:  10 ground floors with patio of 1, 2 and 3 bedrooms.  18 2-bedroom duplexes with balconies.  All of them with garage and storage room included in the price.  All the houses are exterior, with excellent finishes and furnished and semi-equipped kitchens (ceramic hob, oven, extractor hood, sink and tap).    Residencial El Olivar de Torrejón de la Calzada stands out for its excellent location, in a consolidated area with all the services you need at your fingertips: schools, sports areas, supermarkets, restaurants, health center, pharmacies, etc. Located in the heart of the city. Torrejón de la Calzada stands out from the surrounding towns for its excellent communication.    TORREJÓN DE LA CALZADA It is a municipality in the south of the Community of Madrid. It has about 8,900 inhabitants and an area of 8.98 km².    PUBLIC TRANSPORTATION It has 4 interurban bus lines, three of which link this municipality with Madrid, in Plaza Elíptica, specifically. It also has two long-distance lines, one of them with a header at Plaza Elíptica and another at the South Bus Station that connect with towns in Toledo.    SECURITY It is the headquarters of the BESCAM (Autonomous Police of the Community of Madrid). It is close to the Civil Guard headquarters in the neighboring town of Valdemoro.    EDUCATION “Petirrojo” public nursery (0 to 3 years) Ecoescuela “San José” (Infant Education and Public Primary) C. E. I. P. Bilingual ""Abad y Harija"" (Infant Education and Public Primary) I. E. S. “Miguel Delibes” (Public Secondary Education Institute) “Castilla” School (Concerted Center for Infant, Primary and Secondary Education - Private High School)    Torrejón de la Calzada is a quiet municipality with all services. A good town to live in.    NO COMMISSION FOR THE BUYER.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/99694755/,-3.7980817,True,22,bj,False,False,99694755,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",False,40.1993916,"{'title': 'Duplex in Calle Virgen de la Natividad, 3'}",ZMES506820ER,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Calle Virgen de la Natividad, 3"
False,flat,False,True,93.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/a1/38/1202006692.jpg,False,True,2,True,97600.0,1049.0,1,es,"OCCUPIED APARTMENT. NO POSSIBILITY OF VISIT. Investors attention! We have a unique opportunity to acquire an apartment in Torrejón de La Calzada, Madrid. This property from foreclosure is located on the first floor of a building located in the center of the town. Although it is not possible to visit the interior of the property, we can assure you that it has two bedrooms, a living-dining room, a kitchen and a bathroom. Although the photographs do not correspond to the current state of the apartment, we can guarantee that its location is unbeatable. Located close to schools, supermarkets, banks, libraries, pharmacies, post offices and sports centers, this property is ideal for those looking for a comfortable and hassle-free life. In addition, its good accessibility with multiple connections and easy access to the Toledo Highway make it an attractive option for those who need to travel frequently. The price of this apartment has been set in response to the buyer's acquisition in an occupied state, which makes it a unique investment opportunity. However, this price does not apply if the property is free of occupants at the time of formalization of the public deed. It should be noted that the building does not have an elevator, so it is important to take this into account before making an offer. Don't miss the opportunity to acquire this apartment in a privileged location in Torrejón de La Calzada. Contact us for more information!",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103845767/,-3.8004092,False,17,1,True,False,103845767,Madrid,{'typology': 'flat'},False,40.2006131,{'title': 'Flat in Calle de Eulalia Sauquillo'},VE-LLSHQLL,nan,renew,nan,Calle de Eulalia Sauquillo
False,flat,False,True,154.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/3d/9c/1192465583.jpg,False,True,3,True,214900.0,1395.0,2,es,"""F. 100% mortgage. ""HOGARES - Griñón real estate agency, puts at your disposal: Apartment Ground floor with elevator, parking space and storage room in a private urbanization. Highlight its recent renovations, luminosity and distribution. It is located in a quiet residential area, within walking distance of all services (pharmacy, shops, schools, green areas, parks, health center, Mercadona, bus, Town Hall, etc... ) -It is distributed in: Entrance hall, fitted kitchen, laundry area, living/dining room, three large bedrooms with double built-in wardrobe and two full bathrooms (one of them in suite room). - It has a garage and storage room included in the price. *Take advantage of our exclusive FINANCIAL services and carry out a personalized study. Thanks to our conditions, we get the best financing for your home. Visit our office at c/ Juan Carlos I nº2, Griñón (Madrid) for more information. We carry out all the procedures tailored to your needs, for the PURCHASE-SALE-RENTAL of your current or future Home.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103531784/,-3.796556,False,20,bj,True,False,103531784,Madrid,{'typology': 'flat'},False,40.193991,{'title': 'Flat in Avenida de Carlos i'},nan,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Avenida de Carlos I
False,chalet,False,True,240.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bf/ed/27/1061572522.jpg,False,False,4,nan,245000.0,1021.0,3,es,"REDUCED! THIS IS AN OPPORTUNITY! ATTENTION LARGE FAMILIES! MKR INMOBILIARIA sells “exclusively” a Beautiful 3-story Villa Very well located within the town of Torrejon de la Calzada and close to public transport infrastructure, as well as good access from roads and ring roads of Madrid. The house is located within an urbanization with gardens and swimming pool.It consists of three floors: - The ground floor consists of an exterior porch of more than 12 m2 through which you can access the house, access to the garage where you can leave up to two cars since it has an area of 28 m2, double entrance door, one of them double glazed with bars and the other armored with security keys from where you will access the entrance hall. Towards the left you will have a complete bathroom with a shower tray and screens (almost brand new); with circular folding window and sliding door almost incorporated into the wall; without forgetting its generous and spacious kitchen, fully furnished with a semi-island for breakfast and from which, in addition, you will have access to the 50m2 patio with its barbecue and terrace with awnings in case you choose to eat or dine outside in good weather. However, to the right of the entrance hall you have the living room of more than 30m2, with great natural light due to large windows and with access to the terrace - patio from which you can also choose to do so from the Kitchen. The first floor is made up of three large bedrooms, all suitable for double beds, very good natural light and with built-in wardrobes lined on the inside and even one of them with a dressing room also lined on the inside with wood.Of course you will have a generous bathroom with a separate bathroom for a sink, toilet, video and shower. And the second floor consists of the largest bedroom with its bathroom with a bathtub in a complex of more than 32m2, where you will also have access to a private open terrace, where you will also have a small storage room. In conclusion, a beautiful 3-story Villa with swimming pool and garage for two cars, with 4 bedrooms, 3 bathrooms (one on each floor), the rooms all of a notable size and with built-in wardrobes, individual gas heating natural and 5 units of air conditioners with heat pump, one for each room and operating completely independently of each other, parquet floors, plaster ceilings and double double glazed windows in all rooms, without forgetting to be in a quiet environment for the well-being of his family. Don't miss the opportunity to see him! We know what we are talking about.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/99938408/,-3.8002863,False,34,nan,nan,False,99938408,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.2008889,{'title': 'Terraced house in Alamo'},Chalet Torrejon de la Calzada,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Alamo
False,chalet,False,False,190.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/38/98/61/1185255097.jpg,False,False,4,nan,310000.0,1632.0,2,es,"** FINCAS PRIMER HOGAR SL. ** Welcome to this incredible opportunity to acquire a 4-story semi-detached house in a privileged area! With a plot of 150m², this property has a large garage with capacity for 3 cars and a ground floor with a spacious hall, separate living room with fireplace and access to the porch terrace, two-piece toilet and a kitchen with silestone qualities and access to the plot. On the first floor, you will find 4 bedrooms, 3 of them with built-in wardrobes and a full bathroom with two sinks. In addition, it has an open-plan attic of approximately 80m². The floor is ceramic and herringbone, the walls are smooth and the main door is armored. The windows are made of white tilt-and-turn aluminum and the interior carpentry is made of sapelly. The staircase is made of marble and the heating is by diesel with a 1000 liter tank. The house has bars on all the windows and is in good condition to move into. It is important to mention that the plot requires an investment since it is somewhat deteriorated. With a constructed area of 190m², this property is perfect for families looking for a spacious and comfortable home. Don't miss the opportunity to visit this semi-detached house for sale!",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103306823/,-3.8033958,False,33,nan,nan,False,103306823,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.1993095,{'title': 'Semi-detached house in Jaen'},4347,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",JAEN
False,chalet,False,True,226.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/89/69/1191666942.jpg,True,False,4,nan,349990.0,1549.0,3,es,"This villa is at 28991, Torrejón de la Calzada, Madrid, at Torrejon de la Calzada. It is a villa, built in 2003, that has 226 m2 and has 4 rooms and 3 bathrooms. It includes adosado, floating floor, toilet, individual natural gas heating, porche, patio, video intercom, terrace, piscina, renovated, wardrobe, outside, cocina americana, windows climalit, cocina amueblada, good condition and luminous.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103507091/,-3.8079328,False,26,nan,nan,False,103507091,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.1909349,{'title': 'Terraced house'},DGT306,nan,good,nan,Torrejón de la Calzada
False,chalet,False,False,488.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/f3/03/1202541834.jpg,False,False,4,nan,460000.0,943.0,2,es,nan,sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103863867/,-3.8007193,False,43,nan,nan,False,103863867,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.1998709,{'title': 'Terraced house'},VCB059,nan,good,nan,Torrejón de la Calzada
False,chalet,False,False,343.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/40/3d/1202331871.jpg,False,False,4,nan,580000.0,1691.0,5,es,"GRIÑÓN INMOBILIARIA sells a modern, minimalist style house both inside and outside. We are surprised by the spaces of the bedrooms, living room, kitchen, bathrooms with their large size and luminosity. The house is located in a quiet environment with easy communication from the A-42 highway, it has 2 entrance entrances (it is another added privilege). Distribution - 4 floors: Basement with garage for several cars and has an electric car charger, laundry room. Main floor: very large kitchen with integrated appliances, bright living room and 1 bathroom. First floor with 3 bedrooms and 3 bathrooms (in each bedroom), terrace. Attic floor with 1 bedroom, bathroom and another office space. Outside the house is the pool and the porch to cool off in the summer and enjoy lunch and dinner with family and friends. The house is heated by Natural Gas, white lacquered doors, porcelain stoneware floors, double glazed windows. Ask us for a visit and we will show you this house that is as cozy as it is comfortable.",sale,Torrejón de la Calzada,False,https://www.idealista.com/inmueble/103855129/,-3.8077027,False,34,nan,nan,False,103855129,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.1925162,{'title': 'Terraced house'},01986,{'groupDescription': 'Highlight'},good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Torrejón de la Calzada
