bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,propertyCode,price,latitude,showAddress,parkingSpace,operation,labels,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,municipality,floor,propertyType,topPlus,highlight
2,Madrid,124.0,True,False,{'title': 'Flat in Del Colmenar'},True,4,False,True,False,34,FP188787,es,False,102315908,213000.0,40.6735337,False,nan,sale,nan,"Gilmar sells a four-bedroom apartment in the center of Guadarrama. With all kinds of leisure and restaurant services and excellent communications to Madrid. The property also has two bathrooms, a spacious and bright living room with a terrace, and a separate kitchen. Double windows and optimal differential elements. Likewise, it has a sunbathing area at the top of the building. Optimal distribution, hall and to the right a large living room facing south and with a covered terrace, we continue with the kitchen and followed by a hallway that gives access to the four bedrooms and bathrooms, a pleasant solarium. Ideal home for updating with multiple options. If you are interested in this house, do not hesitate to contact us, we will gladly assist you, we will explain in detail all the information you need and if you wish you can visit it without obligation. WE GET THE MAXIMUM FINANCING WITH THE BEST CONDITIONS AT NO COST TO THE BUYER! WE DO NOT CHARGE THE BUYER"" IF YOU WANT TO SELL YOUR HOUSE… CALL US! “At GILMAR we work to offer our clients the best properties, with specialized teams in each area to provide them with the best option for their needs, with all the excellence and taking maximum care of the details. In more than 40 years of activity, Gilmar has managed to reach a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build.. . Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Great opportunity to get your home tailored to your dreams.",False,{'typology': 'flat'},good,1718.0,https://www.idealista.com/inmueble/102315908/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/87/3c/1152455273.jpg,Del Colmenar,True,-4.0922151,Guadarrama,2,flat,False,nan
5,Madrid,480.0,True,False,{'title': 'Detached house in Avenida de Montepinar'},True,5,False,nan,False,54,FP192623,es,nan,103432216,880000.0,40.6816832,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"Incredible independent villa for sale in Guadarrama. This exclusive property has 5 bedrooms and 5 bathrooms distributed over 2 floors, garage and attic. The large kitchen and the bright living room, with access to the terrace and garden, are perfect to enjoy with the family. In addition, it has a garage for 2 cars and a play area for the little ones. The stone walls and slate roof give it a touch of elegance and distinction. The orientation is exquisite, allowing you to enjoy the sun throughout the day. It has underfloor gas heating, air conditioning and heat pump in all rooms and rooms, central vacuum, 1,000 liter water tank and pressure pump. The oak cabinets, the oak floor and baseboard, and the garden and lawn with drip irrigation, are details that make the difference. In addition, it has a cistern for irrigation, 8 CCTV cameras outside and in the basement, and a perimeter alarm inside. Housing, new with little use, Do not miss the opportunity to acquire this real estate gem. Call us and schedule a visit!",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1833.0,https://www.idealista.com/inmueble/103432216/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/cf/c1/1191284765.jpg,Avenida de Montepinar,True,-4.1084624,Guadarrama,nan,chalet,False,nan
3,Madrid,139.0,True,False,"{'title': 'Duplex in Calle la Calzada, 31'}",True,4,True,True,False,28,Calzada,es,False,103108303,255000.0,40.6742376,True,nan,sale,nan,"GUADARRAMA real estate agency GUADARRAMA area HOGARES GUADARRAMA Office: FOR SALE: SPECTACULAR APARTMENT IN THE CENTER OF THE TOWN, close to green areas, schools, bus stop, etc.. . Excellent duplex apartment to move into! in the heart of the town, very central and with all services very close. Impeccable apartment distributed over two floors of approximately 60m2. Making it a spacious apartment of approximately 120 m2, at this time one of the largest apartments on the market. On the first floor we find a beautiful fully equipped kitchen, a charming guest toilet, we find a beautiful bedroom on the ground floor with a built-in wardrobe, and we give way to the impressive living room with a semi-open concept for a wide view of the entire room, very bright and with access. to the balcony with beautiful views of the entire mountain. On the second floor, after climbing the beautiful, totally new stairs, they give access to the upper floor where there are three large bedrooms, all with built-in wardrobes and two complete bathrooms, one of them en suite. The house belongs to a small community of owners with a beautiful common area like a patio that makes this building have a special character. Come see it! this this is your HOME! Don't stay without it! Our history in the sector makes us LEADERS in the municipality of Guadarrama, so anticipate and do not miss this opportunity, it will not last long for sale! Do not hesitate to contact us to see the home. Don't stay without it! ""TOGETHER WE MAKE HORAGES"" Postscript: DO NOT forget to consult our FINANCING conditions up to 100%, through our FinanHogar department! Let yourself be advised by professionals.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,1835.0,https://www.idealista.com/inmueble/103108303/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/32/a5/1178565345.jpg,"Calle la Calzada, 31",False,-4.0878639,Guadarrama,1,duplex,False,nan
2,Madrid,104.0,True,False,"{'title': 'Flat in Calle Jarosa Ii, 3'}",True,3,True,True,False,28,jarosa II,es,True,102849103,209900.0,40.6733885,True,nan,sale,nan,"GUADARRAMA real estate agency GUADARRAMA area HOGARES GUADARRAMA Office: FOR SALE: SPECTACULAR APARTMENT WITH ELEVATOR IN URBANIZATION JAROSA II, close to green areas, schools, bus stop, etc. BEAUTIFUL 92m2 apartment on the 1st floor with elevator and large terrace. The floor is distributed as follows: Entrance hall leads to a large kitchen with a large glazed terrace and semi-new natural gas boiler, a very bright living room with a beautiful fireplace, we also have access to an incredible terrace with mountain views. From the same living room we can access the bedroom area with three very large bedrooms, all of them with built-in wardrobes, two complete bathrooms with bathtubs and, of course, the large STORAGE ROOM at the top of the building to store our memories and belongings. It also has a renovation of the bathrooms, eliminating the bathtubs and adding the comfort of large showers. JAROSA II urbanization, one of the best and the most in demand due to its proximity to the center of the municipality, without having to move the vehicle, with beautiful well-kept gardens to enjoy with the family, sports area, social club, restaurant, large children's playground, swimming pools, concierge. Come visit it! SEE ALSO THE 100% FINANCING CONDITIONS. Do not hesitate to contact us to visit the home, without obligation, adapting to your needs ""TOGETHER WE MAKE HOMES"".",False,{'typology': 'flat'},good,2018.0,https://www.idealista.com/inmueble/102849103/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/9d/70/1169397481.jpg,"Calle Jarosa II, 3",False,-4.0967262,Guadarrama,1,flat,False,nan
5,Madrid,415.0,True,False,{'title': 'Detached house in santa isabel'},True,6,True,nan,False,45,3546,es,nan,102871164,795000.0,40.6508038,False,nan,sale,nan,"ALTOR ASESORES offers you a magnificent independent villa in the ""SIERRA DE GUADARRAMA"" The house has various outdoor areas, with a large swimming pool, barbecue area, terrace and spectacular garden with ancient trees. The garden has automatic irrigation and independent water tanks with large capacity. The entrance has a large hall, with a guest toilet and a living room with a fireplace. The separate dining room is connected to the living room and the kitchen, which in turn has direct access to the back of the house where we find a large terrace, giving way to the pool, barbecue area and rest area. The house has solar panels. The interior of the house is distributed as follows: LOW LEVEL Large living room, separate kitchen (has a laundry area, and direct access to the interior garage with capacity for two cars), bedroom with en-suite bathroom for staff, guest toilet and 1 office or possible bedroom on the ground floor. FIRST FLOOR On this floor we find 4 total bedrooms, 2 of which have an en-suite bathroom, including the master bedroom with a terrace overlooking the mountains, 1 second full bathroom. BASEMENT Large room for different uses, boiler room. Ideal for those looking for comfort, large spaces and being surrounded by nature and tranquility, this is without a doubt a great opportunity to achieve a better quality of life, near a large capital like Madrid, a unique area of single-family villas with little noise. Area suitable for hiking, cycling, horse riding, 25 minutes from the ski resort. It is very well connected, just 5 minutes from the town center of Villalba, 10 minutes from Alpedrete by car, about 25 minutes to Madrid by car on the A6. Near the house we find schools, nursing homes, veterinarians and a shopping area, supermarkets and all kinds of restaurants and entertainment venues. Very good communication, bus stop less than 50 meters away and Cercanias station.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,1916.0,https://www.idealista.com/inmueble/102871164/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2b/c1/b4/1170150627.jpg,santa isabel,False,-4.0457503,Guadarrama,nan,chalet,False,nan
2,Madrid,88.0,True,False,{'title': 'Flat in Calleja del Potro'},True,2,True,False,False,24,nan,es,True,102693405,219900.0,40.6708443,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GUADARRAMA real estate agency GUADARRAMA area HOGARES GUADARRAMA Office: FOR SALE: SPECTACULAR APARTMENT IN THE CENTER OF THE TOWN, close to green areas, schools, bus stop, etc.. . Excellent apartment in the heart of the town, very central and with all services very close. The property is distributed as follows: Apartment with 2 bedrooms with built-in wardrobes, 2 full bathrooms, one of them en suite, large kitchen and very comfortable as it is square, a large, very bright living-dining room. The house has a storage room and individual parking space, included in the price. Our history in the sector makes us LEADERS in the municipality of Guadarrama, so anticipate and do not miss this opportunity, it will not last long for sale! Do not hesitate to contact us to see the home. Don't stay without it! ""TOGETHER WE MAKE HORAGES"" Postscript: DO NOT forget to consult our FINANCING conditions up to 100%, through our FinanHogar department! Let yourself be advised by professionals.",False,{'typology': 'flat'},good,2499.0,https://www.idealista.com/inmueble/102693405/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/93/5a/1164037110.jpg,Calleja del Potro,False,-4.0917606,Guadarrama,2,flat,False,nan
1,Madrid,83.0,True,False,{'title': 'Flat in Calle de las Herrenes'},True,3,True,True,False,27,Herrenes,es,False,103154749,149900.0,40.6725093,False,nan,sale,nan,"GUADARRAMA real estate agency GUADARRAMA area HOGARES GUADARRAMA Office: FOR SALE: SPECTACULAR URB CENTRAL APARTMENT WITH POOL IN GUADARRAMA, close to green areas, schools, bus stop, etc… The house is distributed as follows: Large renovated kitchen with outdoor terrace, large living-dining room with access to the terrace, 3 large bedrooms and a full bathroom with a large shower tray. The apartment is located in the heart of Guadarrama and has an urbanization with a parking area and swimming pool. Do not hesitate to contact us to see the house and see 100% FINANCING conditions.",False,{'typology': 'flat'},renew,1806.0,https://www.idealista.com/inmueble/103154749/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f2/62/b1/1180053185.jpg,Calle de las Herrenes,False,-4.0868014,Guadarrama,2,flat,False,nan
2,Madrid,65.0,True,False,{'title': 'Flat in arcipreste de hita'},True,2,True,False,False,23,nan,es,True,102252378,174900.0,40.6753215,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GUADARRAMA real estate agency GUADARRAMA area HOGARES GUADARRAMA Office: FOR SALE: SPECTACULAR CENTRAL APARTMENT IN THE BEST AREA OF GUADARRAMA, close to green areas, schools, bus stop, etc.. . The house is distributed as follows: Central apartment on the first floor with elevator. As soon as we enter we have a living room, with access to the terrace. Next we have a large fully equipped kitchen with a balcony. The apartment consists of two large rooms, the main room with a full en-suite bathroom, very spacious and bright with a large built-in wardrobe, it also has another full bathroom with a shower and then the second bedroom, also with a built-in wardrobe. A garage space is included in the price. Our history in the sector makes us LEADERS in the municipality of Guadarrama, so anticipate and do not miss this opportunity, it will not last long for sale! Do not hesitate to contact us to see the home, without obligation, adapting to your needs. Don't stay without it! ""TOGETHER WE MAKE HOMES"" See FINANCING conditions up to 100%.",False,{'typology': 'flat'},good,2691.0,https://www.idealista.com/inmueble/102252378/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/d5/02/1149430870.jpg,arcipreste de hita,False,-4.091301,Guadarrama,1,flat,False,nan
3,Madrid,236.0,True,False,{'title': 'Terraced house in María Verónica'},True,5,True,nan,False,29,nan,es,nan,100477253,399900.0,40.674214,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,nan,"GUADARRAMA STUDIO 2020 S. L. GUADARRAMA real estate agency GUADARRAMA area HOGARES office: FOR SALE: SPECTACULAR CHALET IN THE BEST AREA OF GUADARRAMA, central, close to green areas, schools, bus stop, etc.. . Fantastic semi-detached house in Parque Pyr Urbanization. The house is distributed as follows: A wide entrance that leads to a good size kitchen. On this floor there is also a toilet and the large living-dining room with access to a terrace and the garden of the house. Once we go up to the first floor, we find four bedrooms and a full bathroom. All rooms have fitted wardrobes. It also has an attic that is currently enabled as a room, in addition to having two storage rooms. Finally we have the garage with capacity for up to 3 vehicles. The heating is natural gas and underfloor heating in addition to having a pellet stove. The situation is exceptional with all services very close and accessible on foot. Do not hesitate to contact us to see the house and see 100% FINANCING conditions.",False,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",good,1694.0,https://www.idealista.com/inmueble/100477253/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/72/25/1088589894.jpg,María Verónica,False,-4.0893955,Guadarrama,nan,chalet,False,nan
5,Madrid,1812.0,True,False,{'title': 'Estate in Calle Bola del Mundo'},False,10,True,nan,False,49,EOR34372,es,nan,98129863,1950000.0,40.6939358,False,nan,sale,nan,"ESTATE ONE Offers a beautiful country house to renovate on an urban plot of 13,000. meters, it can be divided every 2,000. - meters. Single-family house from 1812 with large windows overlooking a garden with large trees, high ceilings. The ground floor consists of an entrance hall, office, dining room, kitchen, 5 bedrooms, two bathrooms and a toilet, main staircase and service staircase. Upstairs; living room, 5 bedrooms and 2 bathrooms. It has an open-plan attic with a toilet. The farm has an old horse riding stable, a hermitage and two wells.",False,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}",renew,1076.0,https://www.idealista.com/inmueble/98129863/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/e6/34/1189320975.jpg,Calle Bola del Mundo,False,-4.0738291,Guadarrama,nan,countryHouse,False,nan
