bathrooms,province,size,hasPlan,topNewDevelopment,suggestedTexts,hasVideo,rooms,has360,exterior,hasStaging,numPhotos,externalReference,country,hasLift,price,propertyCode,latitude,showAddress,parkingSpace,operation,description,newDevelopment,detailedType,status,priceByArea,url,newDevelopmentFinished,thumbnail,address,has3DTour,longitude,district,municipality,floor,propertyType,topPlus,highlight
3,Madrid,136.0,True,False,"{'subtitle': 'Sur, Móstoles', 'title': 'Terraced house in Calle Estrella Polar no number'}",False,3,False,nan,False,30,a0P1v0000131puuEAA,es,nan,450000.0,101008792,40.3100881,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Discover your new villa in Caelia III and enjoy your independence in a home where quality and sustainability are a constant. 23 homes on two floors, a perfectly consolidated location close to the M-506, M-50 and R-5 highway exit. Caelia III is surrounded by educational and sports centers, shopping centers and large green areas. It also has a garden and private parking and a solarium on the roof. Your new chalet also allows you to incorporate a separate pool so you can enjoy a relaxing bath in complete privacy. In terms of energy efficiency, Caelia III stands out for having underfloor heating-refreshing and aerothermal energy.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,3309.0,https://www.idealista.com/obra-nueva/101008792/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/0e/a7/1106890767.jpg,Calle Estrella Polar no number,False,-3.8519152,Sur,Móstoles,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,136.0,True,False,"{'subtitle': 'Sur, Móstoles', 'title': 'Terraced house in Calle Estrella Polar no number'}",False,3,False,nan,False,30,CH-05,es,nan,478000.0,101780350,40.3100881,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Discover your new villa in Caelia III and enjoy your independence in a home where quality and sustainability are a constant. 23 homes on two floors, a perfectly consolidated location close to the M-506, M-50 and R-5 highway exit. Caelia III is surrounded by educational and sports centers, shopping centers and large green areas. It also has a garden and private parking and a solarium on the roof. Your new chalet also allows you to incorporate a separate pool so you can enjoy a relaxing bath in complete privacy. In terms of energy efficiency, Caelia III stands out for having underfloor heating-refreshing and aerothermal energy.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,3515.0,https://www.idealista.com/obra-nueva/101780350/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/96/99/1106890761.jpg,Calle Estrella Polar no number,False,-3.8519152,Sur,Móstoles,nan,chalet,False,{'groupDescription': 'Featured'}
3,Madrid,136.0,True,False,"{'subtitle': 'Sur, Móstoles', 'title': 'Terraced house in Calle Estrella Polar no number'}",False,3,False,nan,False,30,CH-19,es,nan,475000.0,103154212,40.3100881,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Discover your new villa in Caelia III and enjoy your independence in a home where quality and sustainability are a constant. 23 homes on two floors, a perfectly consolidated location close to the M-506, M-50 and R-5 highway exit. Caelia III is surrounded by educational and sports centers, shopping centers and large green areas. It also has a garden and private parking and a solarium on the roof. Your new chalet also allows you to incorporate a separate pool so you can enjoy a relaxing bath in complete privacy. In terms of energy efficiency, Caelia III stands out for having underfloor heating-refreshing and aerothermal energy.",True,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",newdevelopment,3493.0,https://www.idealista.com/obra-nueva/103154212/,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/c8/ae/1106891485.jpg,Calle Estrella Polar no number,False,-3.8519152,Sur,Móstoles,nan,chalet,False,{'groupDescription': 'Featured'}
2,Madrid,269.0,True,False,"{'subtitle': 'Coimbra - Guadarrama, Móstoles', 'title': 'Detached house in Calle de los Cedros'}",True,5,False,nan,False,60,EC190374,es,nan,539000.0,102732397,40.3065867,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Gilmar Madrid Rio sells a magnificent independent villa, located in the Parque Coímbra area (Móstoles) in front of the Intu Xanadú Shopping Center. The house has 269 square meters built, distributed over three floors and a 656 square meter plot. The basement houses a wine cellar, a magnificent bar, a gym, a laundry area, a pantry, a room used as a bedroom and has a garage with approximate capacity for 2-3 cars. On the ground floor is the living area of the house. It has three large bedrooms (two doubles and one single), a bathroom, a guest toilet, a double-height living-dining room with a fireplace, a kitchen (which is connected by a bar to a second living room) and the front porch. renovated making an enclosure and leaving a wonderful rest area. And on the first floor there is the completely open-plan attic with a fireplace. Parque Coímbra is a charming corner of Móstoles, Madrid. If you are looking for the perfect place to live or work, Parque Coimbra is your ideal destination. Imagine living in a place where tranquility meets comfort. With excellent communications; It has access to the A5, one of the main transport routes, which will allow you to easily reach the center of Madrid and other surrounding areas, and it also has exceptional communication with public transport. At Gilmar we have been working to offer our clients the best properties for 40 years. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build... We have more than 35 specialized teams in different areas serving more than 200,000 national and international clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Visit our website and you will find 4,000 more opportunities.",False,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",good,2004.0,https://www.idealista.com/inmueble/102732397/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/3f/89/1167189296.jpg,Calle de los Cedros,True,-3.9243081,Coimbra - Guadarrama,Móstoles,nan,chalet,False,nan
2,Madrid,116.0,True,False,"{'subtitle': 'Norte - Universidad, Móstoles', 'title': 'Flat in Calle del Pintor el Greco'}",False,4,False,True,False,45,CLK00/3025,es,True,247000.0,101643029,40.3284686,False,nan,sale,"Clikalia offers this renovated 131 m2 exterior property for sale. It is located on the 1st floor with elevator, on Pintor El Greco street, in Móstoles. WE ARE OWNERS! Enjoy all the advantages of buying directly from the property. The property consists of 4 bedrooms with built-in wardrobes, living room, equipped kitchen and 2 bathrooms. The house also has a terrace and heating. This property has an excellent location since it is located a few minutes walk from the Federico García Lorca Park and the center of Móstoles. At the same time, it is close to multiple bus and metro stops such as Universidad Rey Juan Carlos (L12). Are you interested in this house? Call us! Clikalia is at your disposal from Monday to Friday from 9:00 a. m. to 8:00 p. m.",False,{'typology': 'flat'},good,2129.0,https://www.idealista.com/inmueble/101643029/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/93/75/1154749042.jpg,Calle del Pintor el Greco,True,-3.8658559,Norte - Universidad,Móstoles,bj,flat,False,nan
1,Madrid,67.0,True,False,"{'subtitle': 'Centro, Móstoles', 'title': 'Flat'}",False,3,False,True,False,26,JE191169,es,True,159000.0,102953484,40.3242769,False,nan,sale,"Gilmar Madrid-Río ( ), sells a home located in Móstoles - Centro. The house has 67m2 distributed in hall, living room, kitchen, 3 bedrooms, 1 bathroom. The layout of the house is excellent. It has a hall, fully furnished independent kitchen, large living room with a large window and unobstructed views. Two of the bedrooms are double size, one of them youth size. The house is completely exterior except for the kitchen and one bedroom. The house operates entirely with electricity through an electric water heater and electric radiators, and the building has a natural gas connection. The community has an elevator and a stair lift at the entrance for people with reduced mobility. The building is in a very good state of conservation within a fully consolidated neighborhood with all the amenities. The house is located a few meters from the Móstoles Central Station (Renfe and metro), as well as Avenida de Portugal and Avenida de la Constitución. In its more than 40 years of experience, GILMAR has managed to achieve a privileged space within the real estate sector. GILMAR's advantageous location in the Community of Madrid is another determining factor in the quality of its service. GILMAR Real Estate Consulting has more than 27 offices located in the most representative areas of each place and more than 30 commercial teams with specialists in all market segments: homes, offices, premises, plots of land, rural properties... Consult for more information.",False,{'typology': 'flat'},good,2373.0,https://www.idealista.com/inmueble/102953484/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/f3/77/1174446937.jpg,Centro,True,-3.8623125,Centro,Móstoles,2,flat,False,nan
2,Madrid,130.0,True,False,"{'subtitle': 'Coimbra - Guadarrama, Móstoles', 'title': 'Flat in Paseo de mostoles'}",True,4,True,True,True,22,nan,es,True,204900.0,102865336,40.3143574,False,nan,sale,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS exclusively sells MAGNIFICENT APARTMENT in one of the best areas of Parque Coímbra, near the Souk, bus stops and surrounded by a beautiful area of trees, grass and a playground. The house has an entrance hall from which you can access a spacious living-dining room with large windows that give access to a pleasant terrace that surrounds the entire house. The fully equipped kitchen, with large storage capacity and clothesline. Following the hallway we find four bedrooms all with built-in wardrobes and two full bathrooms, the master bedroom has an en-suite bathroom. DON'T HESITATE TO COME AND SEE IT! 100% FINANCING.",False,{'typology': 'flat'},good,1576.0,https://www.idealista.com/inmueble/102865336/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/b7/96/1169949060.jpg,Paseo de mostoles,True,-3.9206288,Coimbra - Guadarrama,Móstoles,1,flat,False,nan
2,Madrid,130.0,True,False,"{'subtitle': 'Coimbra - Guadarrama, Móstoles', 'title': 'Penthouse in Calle de los Cedros'}",True,4,True,True,False,34,nan,es,True,339000.0,103056343,40.3068562,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS SELL beautiful FREE INCOME PENTHOUSE in the best area of Parque Coimbra. The house is located in a privileged area, close to schools, health centers, supermarkets, cafes, restaurants and green areas. As we enter the house we find a fully equipped kitchen, a large, very bright living room that has a dining area with direct access to a spectacular TERRACE. It has four bedrooms equipped with built-in wardrobes and two full bathrooms, one of them in the master suite, which also has direct access to the TERRACE. The TERRACE of approximately FIFTY-FOUR SQUARE METERS is INCREDIBLE, divided into two rooms. The price includes GARAGE AND STORAGE ROOM, and in the common areas we find SWIMMING POOL, GREEN AREAS, CHILDREN'S PLAYGROUND, FOOTBALL/BASKETBALL COURT AND PADEL COURT, in a gated community with security cameras. ideal for families with children! Don't hesitate to come see it! 100% FINANCING.",False,"{'typology': 'flat', 'subTypology': 'penthouse'}",good,2608.0,https://www.idealista.com/inmueble/103056343/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/e7/a4/1191765073.jpg,Calle de los Cedros,True,-3.9294583,Coimbra - Guadarrama,Móstoles,5,penthouse,False,nan
2,Madrid,111.0,True,False,"{'subtitle': 'Coimbra - Guadarrama, Móstoles', 'title': 'Flat in Calle de los Cedros'}",True,3,True,True,False,22,nan,es,True,244900.0,103105543,40.3057316,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",sale,"Real Estate Agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS sells MAGNIFICENT APARTMENT IN THE BEST AREA OF PARQUE COIMBRA. It consists of a large kitchen with a clothesline. Bright living room with direct access to a terrace. The house has 3 bedrooms, all of them with built-in wardrobes. The master bedroom with bathroom en suite. All rooms have a hot/cold pump The price includes a large garage space and also a storage room. The urbanization has beautiful common areas, a park for the little ones, green areas, a paddle tennis court, and two swimming pools. Call us to arrange a visit without any obligation! FINANCING UP TO 100%!",False,{'typology': 'flat'},good,2206.0,https://www.idealista.com/inmueble/103105543/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/c7/75/1178474928.jpg,Calle de los Cedros,True,-3.9265246,Coimbra - Guadarrama,Móstoles,4,flat,False,nan
2,Madrid,182.0,True,False,"{'subtitle': 'Coimbra - Guadarrama, Móstoles', 'title': 'Duplex in Calle de la Haya'}",True,4,True,True,False,31,nan,es,True,264900.0,103212800,40.3103707,False,nan,sale,"Real estate agency in Arroyomolinos INMOBILIARIA HOGARES ARROYOMOLINOS exclusively sells BEAUTIFUL DUPLEX APARTMENT in one of the best areas of Parque Coímbra, near the Souk, bus stops and surrounded by a beautiful area of trees, grass and a playground. The house has an entrance hall from which you can access a large air-conditioned living-dining room that gives access to a pleasant terrace with a large window and lots of light. The fully equipped kitchen, with large storage capacity, auxiliary table where you can eat and clothesline. On the same floor we find four bedrooms with air conditioning and two full bathrooms, the master bedroom has an en-suite bathroom and a built-in wardrobe. On the upper floor we find a completely open attic, heated with air conditioning installation. On this floor we have a wonderful terrace. Two parking spaces and storage room are included. DON'T HESITATE TO COME AND SEE IT! 100% FINANCING.",False,"{'typology': 'flat', 'subTypology': 'duplex'}",good,1455.0,https://www.idealista.com/inmueble/103212800/,nan,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/57/72/1182044895.jpg,Calle de la Haya,True,-3.9271807,Coimbra - Guadarrama,Móstoles,3,duplex,False,nan
