labels,topPlus,suggestedTexts,province,status,hasVideo,thumbnail,size,priceByArea,has3DTour,numPhotos,showAddress,municipality,country,hasLift,longitude,detailedType,highlight,hasPlan,newDevelopment,propertyType,rooms,topNewDevelopment,address,propertyCode,externalReference,newDevelopmentFinished,price,floor,operation,url,exterior,description,has360,parkingSpace,latitude,hasStaging,bathrooms
nan,False,{'title': 'Flat in Calle Pradillo'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/23/b3/1157781386.jpg,80.0,2375.0,True,22,False,Brunete,es,False,-3.995591,{'typology': 'flat'},nan,True,False,flat,2,False,Calle Pradillo,102502445,nan,nan,190000.0,en,sale,https://www.idealista.com/inmueble/102502445/,True,"*CAPITAL HOME BRUNETE OFFERS RENT PURCHASE OPTION* The house has been completely renovated with the best qualities and good taste and has access enabled for people with reduced mobility. It is distributed as follows: Hall open to the very spacious and bright living-dining room, fully updated kitchen, equipped with oven, hood and ceramic hob. It has two large bedrooms, one of them with a walk-in closet. The bathroom has a shower tray. Property with low cost in supplies. Located just 100 m from the main street of the town where you can find all kinds of shops, schools, restaurants, pharmacies and bus stops. Also, quick access to the M-501. Possibility of a garage space for €10,000 IF YOU WANT TO KNOW MORE ABOUT THIS WONDERFUL PROPERTY CALL US TO ARRANGE A VISIT. WE HAVE OUR OWN FINANCIAL DEPARTMENT!",False,nan,40.4008321,False,1
nan,False,{'title': 'Duplex in Caridad'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/aa/66/1178313009.jpg,81.0,2468.0,False,34,False,Brunete,es,False,-3.9976009,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,True,False,duplex,2,False,Caridad,103100308,nan,nan,199900.0,1,sale,https://www.idealista.com/inmueble/103100308/,True,"*CAPITAL HOME BRUNETE SELLS BEAUTIFUL DUPLEX IN THE FULL URBAN CENTER* Built in 2000, just 2 minutes walk from the main street of the town where you can find all kinds of shops, schools, restaurants, pharmacies and bus stops. Also, quick access to the M-501. It is distributed as follows: Hall open to the very spacious and bright living-dining room with air conditioning, fully equipped kitchen with oven, hood and ceramic hob. We also found a courtesy toilet. The first floor has two bedrooms, one of them with a large dressing room and air conditioning. Full bathroom with bathtub. IF YOU WANT TO KNOW MORE ABOUT THIS WONDERFUL PROPERTY CALL US TO ARRANGE A VISIT. WE HAVE OUR OWN FINANCIAL DEPARTMENT!",True,nan,40.4068877,False,2
nan,False,{'title': 'Duplex in campo'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/da/19/1195869519.jpg,144.0,1666.0,False,27,False,Brunete,es,False,-4.0001581,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,True,False,duplex,3,False,campo,103643988,nan,nan,239900.0,1,sale,https://www.idealista.com/inmueble/103643988/,True,"""CAPITALHOME SELLS AN EXCLUSIVE APARTMENT WITH A ROOM ON THE FLOOR"" Wonderful home built in 2000, in a community block with few neighbors, just 2 minutes walk from the main street of the town where you can enjoy shops, leisure areas and 3 minutes from public transport. With a total constructed area of 144m², the house consists of 3 very spacious and bright bedrooms, all of them with built-in wardrobes and one of them on the ground floor. It also has two full bathrooms. Very spacious living room with two large windows, which provide great light. Fully equipped and furnished kitchen with oven hood and ceramic hob. Garage and storage included in the price. IF YOU WANT TO KNOW MORE ABOUT THIS WONDERFUL PROPERTY CALL US TO ARRANGE A VISIT. OWN FINANCIAL DEPARTMENT!",True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",40.4024661,False,2
nan,False,{'title': 'Flat in Amargura'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e4/2d/58/1170788561.jpg,111.0,2341.0,False,29,False,Brunete,es,False,-3.9951414,{'typology': 'flat'},nan,True,False,flat,3,False,Amargura,102889783,nan,nan,259900.0,bj,sale,https://www.idealista.com/inmueble/102889783/,True,"""CAPITAL HOME BRUNETE SELLS SUPERB GROUND FLOOR WITH PATIO IN THE HEART OF THE URBAN CENTER"" Fantastic home built in 1994, just 1 minute walk from the main street of the town. It is located very close to shops, restaurants, schools, leisure areas and bus stops. The house has three very spacious and bright bedrooms with built-in wardrobes. Very spacious and bright living room. Large fully equipped kitchen with direct access to an outdoor terrace which in turn has access to a large paved outdoor patio with a multitude of possibilities. Toilet and full bathroom with renovated shower tray and enabled for sitting in case of reduced mobility. Ducted hot/cold pump and, at the same time, individual natural gas heating. Large garage and storage room included in the price. IF YOU WANT TO KNOW MORE ABOUT THIS WONDERFUL PROPERTY CALL US TO ARRANGE A VISIT. WE HAVE OUR OWN FINANCIAL DEPARTMENT!",True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",40.4028624,False,2
nan,False,{'title': 'Country home in Alto del Fresnedal'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/00/78/75/1168183869.jpg,150.0,2666.0,False,48,False,Brunete,es,nan,-4.0351458,"{'typology': 'countryHouse', 'subTypology': 'casale'}",nan,True,False,countryHouse,4,False,Alto del Fresnedal,102813399,nan,nan,399900.0,nan,sale,https://www.idealista.com/inmueble/102813399/,nan,"""CAPITAL HOME BRUNETE SELLS RUSTIC PLOT"" Possibility of selling BARE PROPERTY for 50% of the purchase-sale price. Rustic property located on Camino Fresnedal Alto, just 5 minutes by car from the town on a paved road. And just 3 minutes from direct access to M-501. Total area of the property of 6,415m² for agricultural use, on the plot there is a house on a floor of 120m² built. It is distributed in a living-dining room with a pellet stove and split air conditioning, an equipped kitchen with office space, and three large, very bright bedrooms with a built-in white lacquered sliding wardrobe. Renovated natural gas radiators, bars on all windows. Call us for more information or to arrange a visit!",True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",40.3923331,False,2
nan,False,{'title': 'Flat in Calle Concorde'},Madrid,good,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f9/eb/fc/1172422594.jpg,140.0,1978.0,False,32,False,Brunete,es,True,-3.9930597,{'typology': 'flat'},nan,True,False,flat,3,False,Calle Concorde,102938170,nan,nan,276900.0,1,sale,https://www.idealista.com/inmueble/102938170/,True,"""CAPITAL HOME BRUNETE SELLS FLOOR APARTMENT IN URBANIZATION WITH POOL"" ""NEGOTIABLE PRICE"" Consultation without obligation. Housing located in Prado Nuevo, the most exclusive area of Brunete. Useful area of more than 100m², just 1 minute by car from the M-501. It is distributed as follows: *Large entrance hall, very spacious and bright living-dining room, large kitchen with office equipped with oven, hood and ceramic hob. Clothesline/storage room. *Three large bedrooms with built-in wardrobes in each of them, master bedroom with en-suite bathroom and separate small dressing room. *Heating system using a natural gas boiler, aluminum-climalit windows, wooden floors throughout the house. *The house has a garage and storage room included in the price. *Urbanization with elevator, playground, green areas and swimming pool. Do not hesitate to call us to visit it. Recently painted home ""Own financial department. "" Housing located in Prado Nuevo, the most exclusive area of Brunete. Useful area of more than 100m², just 1 minute by car from the M-501. It is distributed as follows: *Large entrance hall, very spacious and bright living-dining room, large kitchen with office equipped with oven, hood and ceramic hob. Clothesline/storage room. *Three large bedrooms with built-in wardrobes in each of them, master bedroom with en-suite bathroom and separate small dressing room. *Heating system using a natural gas boiler, aluminum-climalit windows, wooden floors throughout the house. *The house has a garage and storage room included in the price. *Urbanization with elevator, playground, green areas and swimming pool. Do not hesitate to call us to visit it. ""Own financial department. "".",True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",40.4011273,False,2
nan,False,{'title': 'Detached house in Plaza de la iglesia'},Madrid,renew,False,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/7f/98/1179318356.jpg,284.0,1356.0,False,42,False,Brunete,es,nan,-3.99984,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,True,False,chalet,7,False,Plaza de la iglesia,103132571,nan,nan,385000.0,nan,sale,https://www.idealista.com/inmueble/103132571/,nan,"""CAPITAL HOME BRUNETE SELLS SEMI-DETACHED VILLA WITH INFINITY OF POSSIBILITIES IN A UNIQUE AND PRIVILEGED LOCATION"" Chance! Semi-detached house in Brunete, located in the urban area, next to the church, in a privileged and very special location, which makes it a unique villa in the town. Possibility of dividing two independent homes, opportunity to reform for investment and profitability in renting rooms. The property is distributed as follows: Private pedestrian entrance area where you can also access with your own vehicle, we find two entrances, through one of them we access the house through a double door and through the other we access directly the large outdoor patio. Through the entrance that gives access to the house we find two floors, on the ground floor we have a large entrance hall, a spacious and bright room on the ground floor with windows facing the outside patio, a complete bathroom with a bathtub and window, a large living room as well. Very bright with triple windows to the outside. Through the living room we access another large room on the ground floor with a window to the outside. Finally, on this floor we find the large kitchen, with direct access to the outdoor patio, which brings in abundant natural light. The outdoor patio consists of 90m2, receives natural light practically all day and has a multitude of possibilities, we even find an independent construction with two floors that can be used as an apartment. Returning to the house, through the entrance hall we access the stairs that lead to the upper floor, where we find five spacious rooms, three of them have access to an exterior balcony with privileged views of the church and the other two with windows to the exterior patio. We have a report on the perfect structure of the entire home, a topographical study, and also an approved construction license worth one year. Playgrounds, supermarkets, schools and shops 5 minutes from the house. IF YOU WANT TO KNOW MORE ABOUT THIS WONDERFUL PROPERTY OR HAVE ANY QUESTIONS, CALL US TO ASK AND ARRANGE A VISIT. OWN FINANCIAL DEPARTMENT!",True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",40.4069784,False,1
nan,False,{'title': 'Duplex in Calle Martires'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/20/05/1194733443.jpg,90.0,2721.0,True,24,False,Brunete,es,False,-4.0024889,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,True,False,duplex,3,False,Calle MARTIRES,103607468,nan,nan,244900.0,1,sale,https://www.idealista.com/inmueble/103607468/,True,"Real Estate Agency in Brunete. HOGARES SELLS AN EXCLUSIVE SPECTACULAR DUPLEX IN THE CENTRAL AREA OF BRUNETE. Welcome to this magnificent duplex in Brunete! This home is located in one of the best areas of the municipality, close to all types of shops, parks, pharmacies and schools. Upon entering, you will find a hall with a closet that will take you to a spacious living-dining room with large windows and access to a small balcony. The independent kitchen is fully equipped and furnished, with access to a clothesline with a natural gas boiler. This duplex has three large bedrooms, one of which is on the main floor, and two full bathrooms. Consult our conditions without obligation and take advantage of the opportunity to live in this fantastic property. With 80 m² built, this duplex is exterior and adapted for people with reduced mobility. It is second-hand but is in good condition. It was built in 2005 and does not have an elevator. Do not miss the opportunity to visit it!",True,nan,40.406062,False,2
nan,False,{'title': 'Flat in Miguel Induraín'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/0f/50/1140327944.jpg,114.0,2499.0,True,18,False,Brunete,es,True,-3.9973988,{'typology': 'flat'},{'groupDescription': 'Highlight'},True,False,flat,2,False,Miguel Induraín,101984758,nan,nan,284900.0,2,sale,https://www.idealista.com/inmueble/101984758/,True,"*CAPITAL HOME SELLS A GREAT APARTMENT IN A URBANIZATION WITH POOL IN THE BEST AREA OF BRUNETE* Located in Prado Alto, one of the most demanded areas of Brunete. With direct access to M-501, we find this wonderful property in a community building from 2005 with green areas and a swimming pool. The house consists of 110m² useful, distributed as follows: Entrance hall with a very spacious courtesy closet that leads directly to an incredible bright living-dining room with two rooms and direct access to two terraces, where you can enjoy an outdoor space with complete privacy with views of the Sierra de Madrid. Very bright equipped kitchen with oven, hood and ceramic hob that also has a small laundry area. Two spacious bedrooms with space for a double bed, both with fitted wardrobes. It also has two full bathrooms, one with a shower and the other with a bathtub. The house has a garage and storage room included in the price. The house is located in the best expanding area of Brunete, very close to shops, restaurants and bus stops. DO NOT HESITATE TO ARRANGE A VISIT OR CALL US FOR ANY QUESTIONS. OWN FINANCING DEPARTMENT.",True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",40.4071201,False,2
nan,False,{'title': 'Flat in Plaza oriente'},Madrid,good,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/6a/62/1181294391.jpg,88.0,2670.0,False,19,False,Brunete,es,False,-3.9989129,{'typology': 'flat'},nan,True,False,flat,3,False,Plaza oriente,102573116,nan,nan,235000.0,1,sale,https://www.idealista.com/inmueble/102573116/,True,"S15 Real Estate SELLS EXCLUSIVELY, WITHOUT COMMISSIONS FOR THE BUYER, this Spectacular property, unique for its characteristics and location within the municipality of Brunete. Property built in 1990, completely renovated, with a total of 88 m2 built according to cadastre. The house has an exceptional distribution, with great spaciousness in each of its rooms, all of them with great light. We access the house through a large hall from which the kitchen is distributed on one side, completely renovated, elegant and very functional, with large storage cabinets and a glazed clothesline, where the laundry area is located. On the other side of the hall we access the rest of the house, finding a spacious living room with a fantastic viewpoint that gives great light to this room. We continue along the hallway that distributes the bedrooms and bathrooms of the house. To the right we find a full bathroom with a bathtub, to the left, two very spacious bedrooms with great light. At the end of the hallway we access the master bedroom with an en-suite bathroom, dressing area and a small, cozy balcony. Other extras that we find in this fantastic property are, - White carpentry throughout the house, which gives it great elegance. - Double glazing in bedrooms and bathroom. It is a property with great acoustic and thermal insulation. - Air conditioning in the living room and main bedroom, hot and cold air pump. It is a home with many possibilities since it could be converted into a duplex. Supply costs are minimal. Located in the center of the town where you can find all kinds of shops, schools, restaurants, pharmacies and bus stops. Also, quick access to the M-501. * Garage place's possibility.",True,nan,40.4030713,True,2
