has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopmentFinished,newDevelopment,latitude,suggestedTexts,externalReference,status,parkingSpace,address
False,chalet,False,True,4092.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/ba/57/980301543.jpg,True,False,10,nan,1290000.0,315.0,12,es,"Amavento Talamanca de Jarama (Ref.T003). WE DO NOT CHARGE FEES TO THE BUYER! Sell exclusive Rustic Property for Industrial and Tourist use!.Ideal for a project related to nature, for agricultural use, planting fruit trees, hotel business and many other things that you may have in mind. Whatever project you have in mind, this magnificent Finca offers you all the opportunities to develop it! This dryland cereal farm, which was previously developed as an agricultural farm, has a land area of 41,787 m2 and a constructed area of 4,092 m2, distributed as follows: 2 Warehouses, 1 ""brand new"" Hotel, 2 Rustic Houses, 3 Stables or Warehouse. The nature of the Finca is for double use, one Residential and the other Industrial, with a magnificent location just 40 minutes from the center of Madrid. The Residential part has a nice Hotel, two charming houses, three stables or warehouses and two bathrooms that are accessed from the garden. The hotel has an area of 250 m2 on one floor. It has a spacious living-dining room, very bright, like all its rooms, two toilets for men and women, 6 double bedrooms en suite, the master bedroom has a hydromassage bathtub and a dressing room. Another bedroom is adapted for people with disabilities. Independent kitchen equipped with all electrical appliances. Air conditioning throughout the premises with hot-cold pump, electric shutters in the living room and the master bedroom. Smooth paint on the walls, aluminum-wood exterior carpentry with climalit, tilt-and-turn, diesel heating. A 102 m2 construction, divided into two beautiful houses on one level, with access through a beautiful porch with wooden ceilings and stone slab floors. Each of the houses has a living-dining room, two bedrooms, a kitchen equipped with all electrical appliances and a complete bathroom with a shower tray and screen. One of them has a cozy fireplace with a mini-bar in the living room, all framed in a beautiful ceiling with wooden slats and beams. Both houses have white aluminum exterior carpentry with climalit, both have oil heating and one of them has additional electric heating, the hot water is different in the two houses, one is for diesel and the other for electricity. The stables, which can also be converted into a warehouse, are on one floor of 150 m2, consisting of three spaces and two toilets. In the Industrial part, it has an extensive area of dry cereal, without horizontal division, with two large warehouses, on one level, with a construction area of 1,260 m2 in each of them, measuring 105 m2 long by 12 m2. wide and independent water tanks. It has an electric car charger, ""Tesla"". These ships are separated from each other and are intended for the use that you want to develop: agricultural-storage, among others.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/97465670/,-3.510899,False,58,nan,nan,False,97465670,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,40.7456435,{'title': 'Detached house in M-120- Km 2 Carretera Talamanca a Valdepielagos'},T003,good,nan,M-120- KM 2 Carretera Talamanca a Valdepielagos
False,chalet,False,False,252.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d3/96/0f/1202977683.jpg,False,False,3,nan,190000.0,754.0,2,es,"Welcome to the opportunity to acquire your new home at the entrance of the Caraquiz Urbanization! This charming lot includes a house with three bedrooms, a large living room, 2 full bathrooms and a separate kitchen. Discover the comfort and tranquility that this place has to offer! Characteristics of the Land and the House: 1. Living room: A living room with a cozy fireplace that invites you to relax and enjoy pleasant moments with family or friends. two. Three Bedrooms: Enjoy spacious rooms designed to provide you comfort and privacy. 3. Two Full Bathrooms: Comfort is essential, which is why you have two full bathrooms to satisfy your family's needs. Four. Independent Kitchen: Get ready to delight your loved ones in an independent and fully equipped kitchen, ideal for food lovers. Additional characteristics: 1. Private Pool: Enjoy your sunny days cooling off in your own private pool. Whether it's for relaxing after work or for family gatherings, this feature adds a special touch to your home. Strategic location: This land is located at the entrance of Caraquiz, which means easy access to essential services, public transportation and a quick connection to the main roads in the area. Enjoy the comfort of living in a high-demand location with a welcoming and safe environment. Reasons to Choose This Home: 1. Natural Environment: Take advantage of the proximity to green areas and charming landscapes to enjoy nature. two. Investment in the Future: With the growing demand in the area, this property represents not only a home, but also an investment in the future. Don't pass up this incredible opportunity to call this place your home! Contact us for more details and to schedule a visit. We are excited to show you your future home at the entrance of Caraquiz! RIGES thanks you for the trust placed in our professional office, we will put all our effort and determination to carry out our work with honesty and professionalism. Your interests from now on are also ours. Thank you for choosing us. We are waiting for you for a visit.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103877713/,-3.5115196,False,37,nan,nan,False,103877713,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",nan,False,40.7448533,{'title': 'Detached house'},PAV24005,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Talamanca de Jarama
False,chalet,False,False,173.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/86/93/fb/1199776105.jpg,False,False,4,nan,265000.0,1532.0,3,es,"Townhouse in Talamanca del Jarama Immerse yourself in the unique experience of living in Talamanca del Jarama, a hidden treasure in the Community of Madrid that fuses rural tranquility with modern comforts and discover this rural gem.This charming two-storey townhouse redefines comfort and lifestyle, offering a haven of serenity in an exceptional setting. On the ground floor, you will be greeted by a garage with space for a car, a motorcycle and storage, as well as an exceptionally large and bright living room with a cozy fireplace that illuminates, providing warmth and becoming the heart of the home.There is also the kitchen, complete with a functional pantry and access to the patio, and a guest toilet that adds practicality.But that's not all: the front and back patios are true treasures, with a sink, a vegetable garden area and a seating space to enjoy the sun and breezes outdoors as well as a place where the children can play. On the upper floor, a bathroom with a shower and four bedrooms create a perfect environment for rest.The master suite with its own private bathroom offers an exclusive retreat, and one of the bedrooms features a terrace to enjoy the views. With 177 m2 built, distributed in 145 dwellings and 20 garages, in addition to 157 square meters of the two patios, this house sits on a total land of 250 m2.But that is not all; The house has a photovoltaic energy installation, reducing the consumption of electricity, heating and air conditioning to only about 30 euros per month or even less in spring and autumn.Each bedroom and living room are equipped with split air conditioning for personalized climate control and radiators in each room. In addition, the common areas elevate the living experience with a swimming pool for adults and children, a soccer field, a tennis court and a children's playground.And for your peace of mind, plumbing renovations were carried out in drains and bathrooms, ensuring the quality and comfort you deserve. Don't miss the opportunity to make this house your home.Here, every day is an invitation to enjoy the serenity and authenticity of country life, without giving up urban comforts. Talamanca del Jarama, an expanding area with its picturesque charm and cobblestone streets, offers an unmatched quality of life.Imagine strolling through its cobblestone squares, discovering the richness of local cuisine in its cozy restaurants and immersing yourself in the culture and history that permeate every corner of the town. The community has a variety of services that make daily life easier.From small local shops to markets offering fresh, quality products, Talamanca del Jarama gives you the opportunity to appreciate the authenticity of rural life without sacrificing comfort. As for connections, living in Talamanca del Jarama does not mean moving away from the capital.With excellent transport options, you will find yourself just a step away from Madrid.The proximity to highways and the availability of public transportation will allow you to comfortably travel to the city in a short period of time.Thus, you can enjoy the tranquility of your home in Talamanca del Jarama while maintaining easy access to the opportunities and dynamism that the capital offers. Living in Talamanca del Jarama is discovering a perfect balance between the peace of the rural environment and the vitality of urban life.Don't miss the opportunity to be part of this unique experience! Contact us today to explore the possibilities of your new home in this charming corner of the Community of Madrid.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103776356/,-3.5066886,False,42,nan,nan,False,103776356,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.770381,{'title': 'Terraced house'},W-02TUW7,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Talamanca de Jarama
False,chalet,False,True,171.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d6/27/05/1196701180.jpg,False,True,4,nan,335000.0,1959.0,3,es,"Chalet for rent in Talamanca del Jarama We emphasize the brightness and spaciousness of this house in all rooms, as well as its conservation. It consists of 171 square meters divided into 2 floors and distributed as follows: -Main floor: entrance to the house quite wide and with built-in wardrobe of two bodies; living room of about 35 square meters with two exits to the outside; kitchen of 13 square meters and fully equipped, with exit also to the outside; room that serves as an office; bathroom with shower. -First floor: very large main room with built-in wardrobe with two bodies, dressing room and en suite bathroom with shower; 2 single bedrooms with fitted wardrobes of three and four bodies; main bathroom with bathtub. As for the facilities, it consists of communal boiler through propane tank with individual consumption, air conditioning through ducts in the main plant, taps with thermostat, alarm and double glazed windows with mosquito nets in all windows and grills in the plant low. The kitchen is rented fully equipped with washing machine, dryer, dishwasher, fridge, oven, hob. The plot consists of about 300 square meters and surrounds the house. In the back we have the patio area with a part solada and another part of grass. It also has a built-in barbecue and automatic irrigation. With swimming pool, 2 paddle courts, ½ basketball, garden area and changing rooms in common areas. In the front there is the entrance to the house with a parking space inside the plot and outdoors.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103628333/,-3.5175288,False,26,nan,nan,False,103628333,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",nan,False,40.7465664,{'title': 'Semi-detached house in Teodosio'},AHV-358,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Teodosio
False,flat,False,False,98.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/94/2a/1174643603.jpg,False,True,3,True,157000.0,1602.0,2,es,"FIRST LEVEL REAL ESTATE SELLS great duplex apartment in Talamanca de Jarama. It is located in a modern, good-looking urbanization, with a communal pool, garage and storage room. It faces west and has excellent views. On the entrance floor there is a good-sized living room, kitchen with terrace, bathroom and storage room under the stairs. On the upper floor there are 3 bedrooms with built-in wardrobes and another full bathroom. Enjoy a great quality of life just a few minutes from Madrid in a pleasant environment. If you need financing, consult our mortgage conditions. We have been achieving the best conditions on the market for 20 years.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103000123/,-3.5132546,False,33,1,False,False,103000123,Madrid,{'typology': 'flat'},nan,False,40.7417369,{'title': 'Flat in Peligro'},23-070,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",PELIGRO
False,chalet,False,False,144.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/00/57/e0/1154044998.jpg,False,False,4,nan,265000.0,1840.0,3,es,"Excellent opportunity! Semi-detached house of 144m² built on 2 floors. 4 bedrooms, 2 bathrooms, 1 toilet, 60m² front garden and 90m² rear garden. Common areas with swimming pool, playground, soccer field and tennis court. It has the following distribution: Front entrance patio with access to the closed garage (with capacity for a car and motorcycle) and to the house. Entrance hall with armored door and cupboard under the stairs, bright living room of 30m² in 2 rooms equipped with air conditioning and fireplace. Large fully furnished kitchen, equipped with basic appliances and 3m² pantry. We can access the rear garden from both the living room and the kitchen, 90m² of garden partly paved and equipped with a covered porch. We have a toilet on the ground floor. On the upper floor we find a built-in wardrobe in the hall that gives us access to the 4 double bedrooms. All are equipped with air conditioning and 2 of them with a built-in wardrobe. The main bedroom is a suite with a complete bathroom equipped with a shower tray with a screen. One of the bedrooms has a 7m² private terrace overlooking the front yard. We have another full bathroom with a shower. This house is sold together with the participation of a common area next to the property, equipped with a large saline chlorination pool and a children's pool, green areas, a children's playground, a soccer field and a tennis court. Qualities: 2,700W photovoltaic installation with 6 solar panels, enough to supply the entire house, hot water heater, electric radiators, air conditioning with heat pump in the living room and the 4 bedrooms, possibility of installing natural gas, stoneware floors and parquet, drop paint, double aluminum windows. Located in a very quiet area but next to playgrounds, skating rink, school, health center, municipal sports center and recreational area ""Puente Romano"". Do not miss this opportunity and come visit it or call us for more information.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/102389027/,-3.5141293,False,61,nan,nan,True,102389027,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.7473079,{'title': 'Terraced house in Geranios'},0802,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Geranios
False,chalet,False,True,695.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/58/aa/662905738.jpg,False,True,20,nan,265000.0,381.0,8,es,"Real estate Moradia sells a great property ideal to invest! It is an old barracks of the Civil Guard that is located in front of the Talamanca Del Jarama Town Hall, in a rural area with good potential for tourism, which makes this property an excellent investment to build a hotel or rural inn. Due to its excellent location it also has an excellent potential for the construction of villa for sale or rent. It is very well connected with the M103, the M122 and the N32D, which leaves it only 40 minutes from Madrid and 40 minutes from Guadalajara. Bus lines (Lines: ALSA - 197, ALSA - 197 Mauce, ALSA - 197 Torma, ALSA - 197 Ucema, ALSA - 197e Tator). CONSULT OUR ADVISORS FOR YOUR FINANCING, POSSIBILITY 100%!",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/85453967/,-3.5105802,True,6,nan,nan,False,85453967,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.7453086,"{'title': 'Terraced house in Calle de las Huertas, 9'}",Talamanca de Jarama,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Calle de las Huertas, 9"
False,duplex,False,False,91.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/f7/d5/1192158792.jpg,False,False,1,True,130000.0,1429.0,2,es,"LMG HOME exclusively offers a wonderful duplex for sale located in Talamanca del Jarama. With 1 bedroom, 1 full bathroom and a toilet on the ground floor, this property is perfect for couples or singles looking for a cozy space. The kitchen and living room offer a light and airy atmosphere, while the patio with views of nature provides a quiet place to relax. In addition, you can enjoy the community pool on hot summer days. Don't miss the opportunity to acquire this unique property from LMG HOME. Floor 1, without elevator. LMG FINANCE offers you the best mortgage conditions! Better to see!",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103522166/,-3.5134554,True,26,1,False,False,103522166,Madrid,"{'typology': 'flat', 'subTypology': 'duplex'}",nan,False,40.7439584,"{'title': 'Duplex in De los Peligros, 4'}",peligros4,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","De los Peligros, 4"
False,chalet,False,True,183.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/84/24/1176859661.jpg,False,False,3,nan,219900.0,1202.0,2,es,"Townhouse in a small urbanization with 9 well-connected neighbors and common areas in Talamanca del Jarama. Lots of privacy, small square at the entrance and common areas with pool and garden The garage space is very comfortable and the neighbors use the rest of the space as a storage room, which is entered from the street and from the community garden. The heating system is with a wood stove from the living room and with hot air outlet in the bedrooms, the main room also with a heat and cold pump. The windows have been renovated with double glass and tilt-and-turn windows. It is accessed from three steps that allow the house to be more protected from humidity, with a double entrance door, distribution hallway, toilet, laundry room and electric water heater, small storage room under stairs, kitchen with serving hatch, living room with fireplace and exit to the patio. rear and common areas. First floor with two bedrooms and bathroom with bathtub Open plan attic used as a room (it would be very comfortable to put one more bathroom in the attic and a separation for one more room). The 183 m2 (121 of the house, 23 of the parking and 39 of common areas) Community expenses are 90 euros per month IBI expenses are 380 euros per year. THERE ARE NO AGENCY FEES.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103064917/,-3.5164434,False,42,nan,nan,False,103064917,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",nan,False,40.7454813,{'title': 'Terraced house'},8042,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Talamanca de Jarama
False,flat,False,False,105.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/9e/b0/1201601464.jpg,False,False,3,False,150000.0,1429.0,1,es,"Apartment in Talamanca del Jarama located in a residential area with large garden areas. Distributed in three bedrooms, a bathroom, kitchen and large living room. It has traditional natural gas heating.   The community offers a parking area, large garden areas, two private swimming pools and a small sports area. Immediate availability to make the purchase and sale whenever it suits you. Ask without obligation, we will guide you throughout the purchasing process.",sale,Talamanca de Jarama,False,https://www.idealista.com/inmueble/103832133/,-3.5054947,False,26,nan,False,False,103832133,Madrid,{'typology': 'flat'},nan,False,40.7464594,{'title': 'Flat in Avenida Del Salobral'},1007,good,nan,Avenida Del Salobral
