has360,propertyType,topNewDevelopment,hasPlan,size,thumbnail,has3DTour,hasVideo,rooms,exterior,price,priceByArea,labels,bathrooms,country,description,operation,municipality,topPlus,url,longitude,showAddress,numPhotos,floor,hasLift,hasStaging,propertyCode,province,detailedType,newDevelopment,latitude,suggestedTexts,externalReference,highlight,status,parkingSpace,address
False,chalet,False,False,120.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/10/9d/1203275202.jpg,False,False,4,nan,87500.0,729.0,nan,2,es,"GREAT TOWNHOUSE OPPORTUNITY! For investors, entrepreneurs or a family with their own business next to their home! Grupo Casa 10 sells a town house or chalet in the urban area, in the town of Navas del Rey Madrid, with 120m2 of useful space and a 20m2 patio, year of construction in 1978 to renovate and has more possibilities to create the dream house for you and your family. LOW LEVEL Upon entering through the main door, we find a hallway that leads us To the kitchen is the living room with fireplace that has direct access to the patio and a toilet. STREET FLOOR Currently commercial premises to carry out any type of activity with direct access, or, where appropriate, expand more housing. FIRST FLOOR Accessing the stairs we have four bedrooms and a full bathroom. The ceiling has a light intake, which allows natural light to enter the home. For entrepreneurial people where they can enjoy a home and work without having to travel, carrying out the activity or work that adapts to their situation. Navas del Rey municipality of Madrid, a town with charm and tourism, where the Torreon, Kuna Iberica faaunan center, Museo del Guardia, Environmental Education Center, Bunker Colmenar del Arroyo, Safari, Wineries and Vineyard and much more are located.. . Navas del Rey has shops, bars, restaurants, squares, parks, schools, sports institutes and more, as well as access to it via the M-507, M-530 and M-501. It has a Metro line and bus service.",sale,Navas del Rey,False,https://www.idealista.com/inmueble/103887367/,-4.2502673,False,23,nan,nan,False,103887367,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.3869372,"{'title': 'Terraced house in Calle casco urbano,'}",G-209953,nan,renew,nan,"Calle casco urbano,"
True,chalet,False,True,261.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/72/fa/1124766285.jpg,False,True,5,nan,265000.0,1015.0,nan,4,es,"You will like to know: · We do not charge the buyer. · Magnificent independent 2-story villa located in the El Club Urbanization, in Navas del Rey. · It has a constructed area of 261 m2, on a 650 m2 plot. · It faces east, which makes it very bright. · Ground floor: hall, large living-dining room with 3 windows and fireplace, bedroom, pantry or closed closet in the hallway, full bathroom with hydromassage shower and a large kitchen furnished with pantry, 2 windows and door with access to the garden. · Second floor: 4 bedrooms, 3 full bathrooms (two with a bathtub and one with a shower), and a closet or storage room in the hallway. The main room has an attic, as well as the bathroom it has. · Oak interior carpentry and double glazed windows. · Large garage with a 1000 liter diesel boiler. · On the plot there is a 25 cubic meter Zodiac nylon canvas swimming pool, barbecue area and construction shed for tools. · Rental option with the right to purchase. Check with the agent. It is special because: · Navas del Rey is located in the southwest of the Community of Madrid, in the region of the Alberche river basin, in a transition area between the Sierra de Guadarrama and the Sierra de Gredos, making it an ideal area for hiking. , Mountain bike… · It is bathed by various streams and the Cofio River that flows into the San Juan Reservoir, which is a 5-minute drive away. The environment is ideal to relax and forget about daily stress. · The Club and El Morro urbanizations have a reservoir with a swimming area and a bus stop. · Very well connected by road (3 minutes by car from Pelayos de la Presa and 5 minutes from Navas del Rey). · 200 meters from the house you will find a calisthenics training park and bio-healthy equipment to exercise outdoors. · In the town you have all the necessary services: shops, health center, restaurants, etc. , as well as a heliport in case of emergency that is located near the minigolf and the sports center. · Don't hesitate and come see the area and this wonderful house, which you can see on the virtual tour.",sale,Navas del Rey,False,https://www.idealista.com/inmueble/101521139/,-4.2743896,False,54,nan,nan,False,101521139,Madrid,{'typology': 'chalet'},False,40.3614695,{'title': 'House in Calle Arroyo la Salinera'},VG0082-1964,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Arroyo la Salinera
False,chalet,False,False,190.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/b9/bc/1178219332.jpg,False,False,4,nan,249000.0,1311.0,nan,3,es,"Detached villa urbanization el club las navas del rey. Nice 2-storey villa in the El Club urbanization, Beautiful independent villa on a plot of 500m with a house of 190 meters built 175 useful meters spread over 2 floors blaja ground floor and first floor It has a large roofed garage outside swimming pool, maintenance booth and children's playhouse. It consists of 4 bedrooms, and two bathrooms on the first floor apart from the living room and a closed terrace currently used as a gym. in perfect state of use and maintenance On the ground floor, a spacious living room, fitted kitchen, a multipurpose room apart from a small cellar or support room. Tiled floor heating by air conditioning with low consumption batteries and climalit windows On the outside we will find the pool, tool shed plus another shed for children's games, a pergola with barbecue next to the fenced pool If you like nature, you will have the San Juan swamp (reservoir) next to you and you will be surrounded by forests to walk, or route on foot, by bicycle, on horseback. very close to the m 510 about 50 kilometers from Madrid by highway Great quiet location in the countryside but close to the capital Is this the house you were looking for?",sale,Navas del Rey,False,https://www.idealista.com/inmueble/96824863/,-4.27085,True,37,nan,nan,False,96824863,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.360476,"{'title': 'Detached house in Calle Arroyo Pinarejo, 246 -248'}",3454-04660,nan,good,nan,"Calle Arroyo Pinarejo, 246 -248"
False,chalet,False,False,279.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/09/bc/1196613939.jpg,False,True,4,nan,328000.0,1176.0,nan,3,es,"Beautiful semi-detached house for sale located in the urban area of Navas del Rey, very central and with very good communication. It consists of 240 meters on 3 floors. The ground floor has an entrance hall, a full bathroom with a shower, a large bedroom, a games room and a wine cellar. On the first floor (main floor of the house), we have the main entrance, a large new furnished and equipped kitchen, a toilet, a very bright living room with a terrace that leads to the exit of the plot. The second floor of the house has a suite room with a complete bathroom with a bathtub, 2 bedrooms with built-in wardrobes and another complete bathroom with a bathtub. The property has a large plot with a new construction 8x4 pool with a Roman staircase surrounded by artificial grass. There is also a barbecue with a built-in sink on the plot. The house has all the comforts such as blue heat heating (with low consumption radiators) also for hot water, stoneware floors, aluminum, good qualities. Just 35 minutes from Madrid, by Highway. Next to the Picadas Reservoir, Beautiful Area. 10 minutes by car from the San Juan Reservoir. Ideal as a First or Second Residence. Very good opportunity, call us.",sale,Navas del Rey,False,https://www.idealista.com/inmueble/103670345/,-4.2461731,True,30,nan,nan,False,103670345,Madrid,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",False,40.3859266,"{'title': 'Terraced house in Calle colmenar del arroyo, 2 c'}",0424,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}","Calle colmenar del arroyo, 2 C"
False,chalet,False,True,196.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/09/15/1165485861.jpg,True,True,5,nan,249000.0,1270.0,"[{'name': 'negotiable', 'text': 'Negotiable'}]",3,es,"GreenLife Inmobiliaria S.L.FOR SALE: Semi-detached house located in a residential area of Navas del Rey.Built in 2002, it has dimensions of 196m² built on two floors, built on a graphic parcel area of 504m². This charming home offers you comfort and spacious rooms in one of the most peaceful places in Navas del Rey. With a comfortable and spacious design, it is perfect for families looking for quality of life. Outstanding features: - Large living room with lots of natural light. - Fully equipped kitchen with appliances - 5 elegant and bright bedrooms.(2 on main floor) - 2 full bathrooms with quality finishes plus a toilet with a shower tray - Private garden with space for outdoor activities. - Private parking for two vehicles. - 60m² basement enabled as a games room/warehouse/storage room - Individual oil heating - 3 a/c with heat pump - 2 closed porches - Windows with bars and mosquito nets - Terrace with views in the first floor main room. Prime location: This semi-detached house is located in a quiet area of Navas del Rey, surrounded by nature and beauty.Enjoy the peace and serenity of living in a rural environment, without giving up the comfort of having all the services and amenities within walking distance. Don't miss this unique opportunity to live in a chalet that combines a perfect location, functionality and comfort in one place.Contact us today to schedule a visit! NEGOTIABLE PRICE It is located 52 kilometers from the city of Madrid, which is accessed via the M-501 highway.By public transport it can only be accessed by bus.This line has a direct connection with Madrid at the Príncipe Pío Interchange, Line 551: Madrid (Príncipe Pío) - San Martín de Valdeiglesias - El Tiemblo/Cebreros. In its municipal area there are plant and animal species of ecological value.As it is a nava, that is, a flat land without trees, it has few forests of oaks or pines, most of which are located on the banks of the Picadas reservoir and depending on how we approach Pelayos de la Presa or Robledo de Chavela.It has a small pine forest on the outskirts of the town, called La Pinarilla, intended to satisfy the wood needs of the town.Beyond La Pinarilla lie uncultivated fields, brooms and rockroses. Make this semi-detached house your new home in Navas del Rey! WE HAVE A FINANCIAL DEPARTMENT, which offers ADVICE WITHOUT COMMITMENT OR COST To study your real CREDITS/FINANCING capacity.Our Advisors provide all the guarantees in the purchase and sale with financing. **NON-BINDING ANNOUNCEMENT, FOR INFORMATIONAL AND NON-CONTRACTUAL PURPOSES**.",sale,Navas del Rey,False,https://www.idealista.com/inmueble/82528744/,-4.2467029,False,30,nan,nan,False,82528744,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.3880357,{'title': 'Semi-detached house in Zagales'},NC41,{'groupDescription': 'Highlight'},good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Zagales
True,chalet,False,False,208.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/14/f4/1198569421.jpg,False,True,7,nan,175000.0,841.0,nan,4,es,"Thinking of having a home where you can relax when you get home? Do you want to be able to have guests at home and that they can have their independence? Do you want to live with a family member but that everyone has their own space at home? Are you interested in a home that allows you to rent one of the floors (or both separately) to take advantage of the profitability? Perhaps you want to make a tourist accommodation to offer guests the tranquility that the area has? Are you looking for a house that you can reform to your liking and make it the perfect home? If in any of these questions there is a YES, I WANT! , this house in the El Morro de Navas del Rey urbanization is perfect for you! A 10-minute drive from the municipality of Navas del Rey, where we will have all the necessary services, or 15' to Chapinería we find the El Morro urbanization, a haven of peace with a lot of charm. The current distribution of the house is divided into 2 floors with 2 independent houses (one per floor), surrounded by a 1,331m2 well-kept garden, with a swimming pool, sunny/solarium area and barbecue area. THE GROUND FLOOR: Through the hall, we enter the living room of the first home, with a wood-burning stove and a glazed terrace that gives the space a lot of light, then we have the kitchen, with a good size or even the possibility of incorporating it into the living room, giving it a more modern touch, a complete bathroom with a bathtub, a second bathroom in the project, and 3 spacious bedrooms, one of them (the main one) with a beautiful dressing room.In this area there is heating with electric radiators. THE UPPER FLOOR: Accessing by a comfortable staircase, we first find a good terrace to enjoy the tranquility of the surroundings, through which we access the house that is distributed in, living room with direct access to the terrace and large windows to the rear, square kitchen with many possibilities, a full bathroom with a bathtub and 4 good-sized bedrooms, one of them with a perfect little terrace to watch the sunsets. Do you want to know more about this house and its possibilities? Do not hesitate to contact us without any commitment!",sale,Navas del Rey,False,https://www.idealista.com/inmueble/100999015/,-4.2761316,False,57,nan,nan,False,100999015,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3620562,{'title': 'Detached house in Calle del Roble'},LODON-00550,nan,renew,nan,Calle del Roble
False,chalet,False,False,88.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/b3/f0/1026920582.jpg,False,False,4,nan,129000.0,1466.0,nan,1,es,"This villa is at Calle Arroyo los Charcones, 28695, Navas del Rey, Madrid. It is a villa, built in 1980, that has 88 m2 and has 4 rooms and 1 bathrooms. It includes furnished kitchen and it includes piscina, to reform, green area, luminous, barbacoa, floor tiles, equipped kitchen, exterior, terrace, individual heating, trastero, garage, windows climalit, jardín, patio and porche.",sale,Navas del Rey,False,https://www.idealista.com/inmueble/98832576/,-4.268621,False,34,nan,nan,False,98832576,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3607344,{'title': 'Detached house in Calle Arroyo los Charcones'},FHOG-1864,nan,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Arroyo los Charcones
False,flat,False,False,35.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2b/54/8a/1190669940.jpg,False,False,1,True,80000.0,2286.0,nan,1,es,"Welcome to natural paradise! We present this beautiful little house for sale located in the quiet San Juan neighborhood, next to the beaches of the reservoir. Can you imagine living surrounded by nature all year round? This is your chance! The property has a large 70-meter patio, ideal for enjoying the views and doing outdoor activities. In addition, it has a living room, a bedroom with built-in wardrobes, a kitchen and a bathroom with a shower. What else do you need? If you are looking for an investment, this little house also has the possibility of obtaining a tourist license and is perfect for rent on airBNB. The location can't be beat! The natural environment offers you the opportunity to do water activities in the reservoir, as well as practice sports such as hiking, cycling... In addition, it is only 60 km from Madrid (40 min. ), making it an ideal place to escape the city on weekends. The closest town is Pelayos de la Presa, just 2 km away, where you will find everything you need for your daily life. If you are looking for more shopping options, San Martín de Valdeiglesias is just 10 km away. Don't miss the opportunity to live in a place surrounded by trees and with nearby places of interest such as the San Juan Reservoir, the Coracera Castle, the Botanical Garden, the Church and the hermitages, and the Guisando Bulls. Come visit it and fall in love with this natural paradise!",sale,Navas del Rey,False,https://www.idealista.com/inmueble/103474518/,-4.2509142,False,45,bj,False,False,103474518,Madrid,{'typology': 'flat'},False,40.3871807,{'title': 'Flat in Embalse de Carrión'},nan,nan,good,nan,Embalse de Carrión
False,chalet,False,True,88.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/4d/08/1185236885.jpg,False,False,4,nan,129000.0,1466.0,nan,1,es,"Villa in El Club Urbanization, with 88 m² built, 57 m² useful, 500 m² plot, 4 bedrooms, 1 bathroom, 1 garage/s, to renovate, exterior, fitted kitchen, storage room, 1980 private pool. MAKE YOUR OFFER! Semi-detached house with private pool, on a large 500m2 plot. Located in the El Club urbanization. The 88 m2 of the house are distributed in: 4 double bedrooms, large living room, separate kitchen, 1 bathroom, 2 storage rooms, a patio-garden and a 31m2 independent garage. The living room has a surface area of 22m2, which allows free distribution of furniture, and has a large fireplace. The kitchen is fully furnished, as well as equipped with an oven, hob, extractor and water heater. Likewise, the bathroom is fully equipped, four pieces and with a bathtub. Residential, quiet area. Just 3 km. from Navas del Rey, where all kinds of shops, services, administrations, schools and the connection with the M-501 highway are located. 2 km away. of the Alberche River, where it has a picnic area and several viewpoints. Call now for more information about the home and to arrange a visit. MAXIMUM FINANCING POSSIBILITY!",sale,Navas del Rey,False,https://www.idealista.com/inmueble/103306201/,-4.2684288,False,15,nan,nan,False,103306201,Madrid,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",False,40.3614167,{'title': 'Detached house in Calle Arroyo los Charcones'},1083-RED-FORE-10168,nan,renew,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",Calle Arroyo los Charcones
False,chalet,False,False,100.0,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/ba/c5/1200599380.jpg,False,False,3,nan,198900.0,1989.0,nan,2,es,"SPECTACULAR VILLA IN NAVAS DEL REY Tizona Group offers this semi-detached house for sale located in one of the most sought-after towns in the southwest mountains of Madrid. The area where the house is located is surrounded by mountains and very close to swamps and natural pools. In short, an area where you will forget about the stress of the big city and breathe fresh air, just 25 minutes from Móstoles and Alcorcón and with very quick access to the M-501 highway. The interior of the house has 100m2 inside, distributed over two floors: The first of them has a spacious and bright independent living room which provides a lot of privacy. It also has a large, square kitchen where you can make life in it. Finally, this first floor also has a nice toilet. On the second floor we find three large, bright and square rooms, which means that the space can be used to the maximum. All of them have built-in wardrobes, which are a perfect relief. A large full bathroom with a bathtub and window which provides ventilation. This chalet has an entrance patio, a wonderful garage which you can also use as a storage room since you have space for it and the jewel in the crown is the spectacular garden at the back of the house, which I am sure you will fall in love with. It is perfect to enjoy in spring and summer and you also have the possibility of adding a pool. I am Miguel, an advisor for the area and I will be happy to show you what will be your future home. Don't think twice and contact me to arrange a visit. Our intermediation fees are included in the sale price and we have a financial group with the possibility of 100% financing.",sale,Navas del Rey,False,https://www.idealista.com/inmueble/103802916/,-4.2473019,False,41,nan,nan,False,103802916,Madrid,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}",False,40.387066,{'title': 'Semi-detached house in Colmenar Del Arroyo'},nan,nan,good,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",COLMENAR DEL ARROYO
