Nombre,bibliotecas_100_alumnos
Acebeda (La),49.04
Ajalvir,66.4
Alameda del Valle,49.04
Alamo (El),46.52
Alcalá de Henares,66.58
Alcobendas,36.22
Alcorcón,59.53
Aldea del Fresno,33.55
Algete,39.96
Alpedrete,42.08
Ambite,49.04
Anchuelo,49.04
Aranjuez,19.52
Arganda del Rey,50.3
Arroyomolinos,36.23
Atazar (El),49.04
Batres,49.04
Becerril de la Sierra,74.33
Belmonte de Tajo,49.04
Berrueco (El),49.04
Berzosa del Lozoya,49.04
Boadilla del Monte,35.49
Boalo (El),45.38
Braojos,49.04
Brea de Tajo,49.04
Brunete,47.58
Buitrago del Lozoya,49.46
Bustarviejo,52.33
Cabanillas de la Sierra,49.04
Cabrera (La),55.98
Cadalso de los Vidrios,87.67
Camarma de Esteruelas,48.01
Campo Real,61.35
Canencia,49.04
Carabaña,49.04
Casarrubuelos,33.55
Cenicientos,49.04
Cercedilla,53.74
Cervera de Buitrago,49.04
Chapinería,50.52
Chinchón,58.31
Ciempozuelos,38.77
Cobeña,48.06
Collado Mediano,77.15
Collado Villalba,55.15
Colmenar Viejo,100.0
Colmenar de Oreja,59.12
Colmenar del Arroyo,54.38
Colmenarejo,47.0
Corpa,49.04
Coslada,45.87
Cubas de la Sagra,49.54
Daganzo de Arriba,46.99
Escorial (El),42.73
Estremera,49.04
Fresnedillas de la Oliva,49.04
Fresno de Torote,49.04
Fuenlabrada,59.46
Fuente el Saz de Jarama,64.0
Fuentidueña de Tajo,52.66
Galapagar,38.22
Garganta de los Montes,49.04
Gargantilla del Lozoya y Pinilla de Buitrago,49.04
Gascones,49.04
Getafe,54.02
Griñón,41.28
Guadalix de la Sierra,62.35
Guadarrama,38.32
Hiruela (La),49.04
Horcajo de la Sierra-Aoslos,49.04
Horcajuelo de la Sierra,49.04
Hoyo de Manzanares,54.95
Humanes de Madrid,38.73
Leganés,60.62
Loeches,53.59
Lozoya,49.04
Lozoyuela-Navas-Sieteiglesias,49.04
Madarcos,49.04
Majadahonda,21.03
Manzanares el Real,63.88
Meco,42.9
Mejorada del Campo,39.68
Miraflores de la Sierra,66.59
Molar (El),46.34
Molinos (Los),100.0
Montejo de la Sierra,49.04
Moraleja de Enmedio,66.54
Moralzarzal,40.55
Morata de Tajuña,53.23
Móstoles,48.77
Navacerrada,97.98
Navalafuente,49.04
Navalagamella,33.55
Navalcarnero,36.81
Navarredonda y San Mamés,49.04
Navas del Rey,33.55
Nuevo Baztán,33.55
Olmeda de las Fuentes,49.04
Orusco de Tajuña,49.04
Paracuellos de Jarama,37.07
Parla,20.4
Patones,49.04
Pedrezuela,66.87
Pelayos de la Presa,33.55
Perales de Tajuña,33.55
Pezuela de las Torres,49.04
Pinilla del Valle,49.04
Pinto,43.29
Piñuécar-Gandullas,49.04
Pozuelo de Alarcón,55.17
Pozuelo del Rey,49.04
Prádena del Rincón,49.04
Puebla de la Sierra,49.04
Puentes Viejas,49.04
Quijorna,33.55
Rascafría,55.15
Redueña,49.04
Ribatejada,49.04
Rivas-Vaciamadrid,65.57
Robledillo de la Jara,49.04
Robledo de Chavela,79.55
Robregordo,49.04
Rozas de Madrid (Las),46.68
Rozas de Puerto Real,49.04
San Agustín del Guadalix,44.53
San Fernando de Henares,37.32
San Lorenzo de El Escorial,39.05
San Martín de Valdeiglesias,46.61
San Martín de la Vega,39.73
San Sebastián de los Reyes,51.6
Santa María de la Alameda,49.04
Santorcaz,49.04
Santos de la Humosa (Los),49.04
Serna del Monte (La),49.04
Serranillos del Valle,33.55
Sevilla la Nueva,45.74
Somosierra,49.04
Soto del Real,41.97
Talamanca de Jarama,68.62
Tielmes,51.76
Titulcia,49.04
Torrejón de Ardoz,49.03
Torrejón de Velasco,55.19
Torrejón de la Calzada,42.66
Torrelaguna,56.74
Torrelodones,41.1
Torremocha de Jarama,100.0
Torres de la Alameda,49.43
Tres Cantos,56.5
Valdaracete,49.04
Valdeavero,49.04
Valdelaguna,49.04
Valdemanco,49.04
Valdemaqueda,49.04
Valdemorillo,44.91
Valdemoro,49.19
Valdeolmos-Alalpardo,33.55
Valdepiélagos,49.04
Valdetorres de Jarama,33.55
Valdilecha,73.63
Valverde de Alcalá,49.04
Velilla de San Antonio,44.77
Vellón (El),49.04
Venturada,49.04
Villa del Prado,53.42
Villaconejos,99.07
Villalbilla,47.74
Villamanrique de Tajo,49.04
Villamanta,49.04
Villamantilla,49.04
Villanueva de Perales,49.04
Villanueva de la Cañada,35.76
Villanueva del Pardillo,39.39
Villar del Olmo,49.04
Villarejo de Salvanés,43.86
Villaviciosa de Odón,37.42
Villavieja del Lozoya,49.04
Zarzalejo,49.04
