Nombre,centros_pub_100_alumnos_pub
Acebeda (La),38.91
Ajalvir,37.83
Alameda del Valle,38.91
Alamo (El),42.88
Alcalá de Henares,39.97
Alcobendas,20.81
Alcorcón,50.22
Aldea del Fresno,83.04
Algete,42.94
Alpedrete,42.03
Ambite,75.56
Anchuelo,43.44
Aranjuez,46.05
Arganda del Rey,38.95
Arroyomolinos,32.06
Atazar (El),38.91
Batres,45.7
Becerril de la Sierra,42.53
Belmonte de Tajo,43.03
Berrueco (El),100.0
Berzosa del Lozoya,38.91
Boadilla del Monte,52.68
Boalo (El),42.96
Braojos,38.91
Brea de Tajo,91.27
Brunete,45.77
Buitrago del Lozoya,43.29
Bustarviejo,42.07
Cabanillas de la Sierra,42.07
Cabrera (La),52.98
Cadalso de los Vidrios,63.67
Camarma de Esteruelas,38.99
Campo Real,50.61
Canencia,38.91
Carabaña,42.63
Casarrubuelos,100.0
Cenicientos,41.95
Cercedilla,45.48
Cervera de Buitrago,79.64
Chapinería,41.27
Chinchón,46.74
Ciempozuelos,34.65
Cobeña,41.62
Collado Mediano,78.54
Collado Villalba,37.55
Colmenar Viejo,59.18
Colmenar de Oreja,47.61
Colmenar del Arroyo,44.04
Colmenarejo,39.31
Corpa,69.46
Coslada,59.03
Cubas de la Sagra,37.36
Daganzo de Arriba,38.82
Escorial (El),43.32
Estremera,46.39
Fresnedillas de la Oliva,44.64
Fresno de Torote,41.74
Fuenlabrada,63.21
Fuente el Saz de Jarama,36.54
Fuentidueña de Tajo,42.39
Galapagar,38.8
Garganta de los Montes,38.91
Gargantilla del Lozoya y Pinilla de Buitrago,38.91
Gascones,38.91
Getafe,34.61
Griñón,38.09
Guadalix de la Sierra,51.72
Guadarrama,41.35
Hiruela (La),38.91
Horcajo de la Sierra-Aoslos,38.91
Horcajuelo de la Sierra,38.91
Hoyo de Manzanares,43.15
Humanes de Madrid,43.7
Leganés,66.01
Loeches,61.15
Lozoya,50.02
Lozoyuela-Navas-Sieteiglesias,41.43
Madarcos,38.91
Majadahonda,96.37
Manzanares el Real,52.8
Meco,38.79
Mejorada del Campo,36.86
Miraflores de la Sierra,51.65
Molar (El),41.23
Molinos (Los),93.62
Montejo de la Sierra,67.11
Moraleja de Enmedio,46.72
Moralzarzal,39.26
Morata de Tajuña,46.57
Móstoles,31.94
Navacerrada,54.71
Navalafuente,55.57
Navalagamella,80.8
Navalcarnero,38.46
Navarredonda y San Mamés,38.91
Navas del Rey,47.61
Nuevo Baztán,50.19
Olmeda de las Fuentes,84.73
Orusco de Tajuña,41.67
Paracuellos de Jarama,43.79
Parla,16.96
Patones,43.22
Pedrezuela,64.8
Pelayos de la Presa,70.96
Perales de Tajuña,95.69
Pezuela de las Torres,53.01
Pinilla del Valle,38.91
Pinto,39.97
Piñuécar-Gandullas,38.91
Pozuelo de Alarcón,100.0
Pozuelo del Rey,58.2
Prádena del Rincón,38.91
Puebla de la Sierra,38.91
Puentes Viejas,38.91
Quijorna,82.62
Rascafría,44.78
Redueña,75.56
Ribatejada,54.51
Rivas-Vaciamadrid,29.53
Robledillo de la Jara,38.91
Robledo de Chavela,69.46
Robregordo,38.91
Rozas de Madrid (Las),58.04
Rozas de Puerto Real,52.49
San Agustín del Guadalix,35.34
San Fernando de Henares,37.5
San Lorenzo de El Escorial,50.03
San Martín de Valdeiglesias,48.19
San Martín de la Vega,42.77
San Sebastián de los Reyes,45.22
Santa María de la Alameda,75.56
Santorcaz,40.93
Santos de la Humosa (Los),41.29
Serna del Monte (La),38.91
Serranillos del Valle,50.53
Sevilla la Nueva,49.54
Somosierra,38.91
Soto del Real,43.05
Talamanca de Jarama,49.0
Tielmes,42.83
Titulcia,43.01
Torrejón de Ardoz,27.63
Torrejón de Velasco,81.39
Torrejón de la Calzada,41.62
Torrelaguna,57.45
Torrelodones,38.36
Torremocha de Jarama,87.78
Torres de la Alameda,45.73
Tres Cantos,88.46
Valdaracete,42.34
Valdeavero,42.34
Valdelaguna,57.24
Valdemanco,55.57
Valdemaqueda,75.56
Valdemorillo,37.5
Valdemoro,47.63
Valdeolmos-Alalpardo,72.08
Valdepiélagos,75.56
Valdetorres de Jarama,47.61
Valdilecha,52.4
Valverde de Alcalá,38.91
Velilla de San Antonio,35.61
Vellón (El),43.01
Venturada,41.15
Villa del Prado,41.51
Villaconejos,55.29
Villalbilla,41.47
Villamanrique de Tajo,79.64
Villamanta,42.17
Villamantilla,41.6
Villanueva de Perales,43.87
Villanueva de la Cañada,37.96
Villanueva del Pardillo,42.03
Villar del Olmo,100.0
Villarejo de Salvanés,46.21
Villaviciosa de Odón,46.99
Villavieja del Lozoya,60.47
Zarzalejo,41.32
Madrid,0.0
