Nombre,profesores_priv_100_alumnos_priv
Acebeda (La),48.58
Ajalvir,31.51
Alameda del Valle,48.58
Alamo (El),49.19
Alcalá de Henares,66.08
Alcobendas,62.73
Alcorcón,38.86
Aldea del Fresno,31.51
Algete,61.95
Alpedrete,62.47
Ambite,48.58
Anchuelo,48.58
Aranjuez,43.73
Arganda del Rey,40.67
Arroyomolinos,50.6
Atazar (El),48.58
Batres,48.58
Becerril de la Sierra,73.37
Belmonte de Tajo,48.58
Berrueco (El),48.58
Berzosa del Lozoya,48.58
Boadilla del Monte,62.65
Boalo (El),50.81
Braojos,48.58
Brea de Tajo,48.58
Brunete,66.11
Buitrago del Lozoya,73.81
Bustarviejo,48.58
Cabanillas de la Sierra,48.58
Cabrera (La),63.26
Cadalso de los Vidrios,31.51
Camarma de Esteruelas,78.55
Campo Real,75.83
Canencia,48.58
Carabaña,48.58
Casarrubuelos,79.81
Cenicientos,48.58
Cercedilla,51.18
Cervera de Buitrago,48.58
Chapinería,81.04
Chinchón,31.51
Ciempozuelos,66.64
Cobeña,51.41
Collado Mediano,31.51
Collado Villalba,60.53
Colmenar Viejo,45.43
Colmenar de Oreja,31.51
Colmenar del Arroyo,48.58
Colmenarejo,62.58
Corpa,48.58
Coslada,70.11
Cubas de la Sagra,31.51
Daganzo de Arriba,62.9
Escorial (El),53.07
Estremera,48.58
Fresnedillas de la Oliva,48.58
Fresno de Torote,48.58
Fuenlabrada,30.46
Fuente el Saz de Jarama,31.51
Fuentidueña de Tajo,48.58
Galapagar,54.02
Garganta de los Montes,48.58
Gargantilla del Lozoya y Pinilla de Buitrago,48.58
Gascones,48.58
Getafe,51.58
Griñón,51.2
Guadalix de la Sierra,61.06
Guadarrama,50.26
Hiruela (La),48.58
Horcajo de la Sierra-Aoslos,48.58
Horcajuelo de la Sierra,48.58
Hoyo de Manzanares,31.51
Humanes de Madrid,50.74
Leganés,53.05
Loeches,55.72
Lozoya,48.58
Lozoyuela-Navas-Sieteiglesias,48.58
Madarcos,48.58
Majadahonda,73.13
Manzanares el Real,61.29
Meco,54.4
Mejorada del Campo,67.39
Miraflores de la Sierra,61.19
Molar (El),76.59
Molinos (Los),62.9
Montejo de la Sierra,48.58
Moraleja de Enmedio,31.51
Moralzarzal,55.85
Morata de Tajuña,31.51
Móstoles,28.52
Navacerrada,31.51
Navalafuente,48.58
Navalagamella,31.51
Navalcarnero,47.47
Navarredonda y San Mamés,48.58
Navas del Rey,31.51
Nuevo Baztán,48.46
Olmeda de las Fuentes,48.58
Orusco de Tajuña,48.58
Paracuellos de Jarama,47.59
Parla,40.72
Patones,48.58
Pedrezuela,31.51
Pelayos de la Presa,31.51
Perales de Tajuña,31.51
Pezuela de las Torres,48.58
Pinilla del Valle,48.58
Pinto,0.0
Piñuécar-Gandullas,48.58
Pozuelo de Alarcón,79.27
Pozuelo del Rey,48.58
Prádena del Rincón,48.58
Puebla de la Sierra,48.58
Puentes Viejas,48.58
Quijorna,100.0
Rascafría,48.58
Redueña,48.58
Ribatejada,48.58
Rivas-Vaciamadrid,51.87
Robledillo de la Jara,48.58
Robledo de Chavela,31.51
Robregordo,48.58
Rozas de Madrid (Las),68.75
Rozas de Puerto Real,100.0
San Agustín del Guadalix,57.95
San Fernando de Henares,80.12
San Lorenzo de El Escorial,50.15
San Martín de Valdeiglesias,31.51
San Martín de la Vega,53.77
San Sebastián de los Reyes,33.17
Santa María de la Alameda,48.58
Santorcaz,48.58
Santos de la Humosa (Los),48.58
Serna del Monte (La),48.58
Serranillos del Valle,31.51
Sevilla la Nueva,53.62
Somosierra,48.58
Soto del Real,49.12
Talamanca de Jarama,85.32
Tielmes,48.58
Titulcia,48.58
Torrejón de Ardoz,31.37
Torrejón de Velasco,48.43
Torrejón de la Calzada,49.21
Torrelaguna,31.51
Torrelodones,49.7
Torremocha de Jarama,48.58
Torres de la Alameda,31.51
Tres Cantos,76.15
Valdaracete,48.58
Valdeavero,48.58
Valdelaguna,48.58
Valdemanco,48.58
Valdemaqueda,48.58
Valdemorillo,65.34
Valdemoro,41.16
Valdeolmos-Alalpardo,56.36
Valdepiélagos,48.58
Valdetorres de Jarama,31.51
Valdilecha,31.51
Valverde de Alcalá,48.58
Velilla de San Antonio,64.27
Vellón (El),48.58
Venturada,48.58
Villa del Prado,31.51
Villaconejos,31.51
Villalbilla,51.9
Villamanrique de Tajo,48.58
Villamanta,48.58
Villamantilla,48.58
Villanueva de Perales,48.58
Villanueva de la Cañada,47.36
Villanueva del Pardillo,51.48
Villar del Olmo,48.58
Villarejo de Salvanés,48.4
Villaviciosa de Odón,52.27
Villavieja del Lozoya,48.58
Zarzalejo,48.58
Madrid,0.0
