Nombre,extraescolares_10_alumnos
Acebeda (La),48.64
Ajalvir,47.4
Alameda del Valle,48.64
Alamo (El),100.0
Alcalá de Henares,41.69
Alcobendas,59.36
Alcorcón,55.63
Aldea del Fresno,47.4
Algete,47.4
Alpedrete,47.4
Ambite,48.64
Anchuelo,48.64
Aranjuez,41.69
Arganda del Rey,41.69
Arroyomolinos,47.4
Atazar (El),48.64
Batres,48.64
Becerril de la Sierra,47.4
Belmonte de Tajo,48.64
Berzosa del Lozoya,48.64
Berrueco (El),48.64
Boadilla del Monte,41.69
Boalo (El),47.4
Braojos,48.64
Brea de Tajo,48.64
Brunete,47.4
Buitrago del Lozoya,57.88
Bustarviejo,48.64
Cabanillas de la Sierra,48.64
Cabrera (La),47.4
Cadalso de los Vidrios,47.4
Camarma de Esteruelas,47.4
Campo Real,47.4
Canencia,48.64
Carabaña,48.64
Casarrubuelos,47.4
Cenicientos,100.0
Cercedilla,47.4
Cervera de Buitrago,48.64
Ciempozuelos,52.61
Cobeña,47.4
Colmenar del Arroyo,48.64
Colmenar de Oreja,47.4
Colmenarejo,47.4
Colmenar Viejo,41.69
Collado Mediano,47.4
Collado Villalba,76.64
Corpa,48.64
Coslada,60.16
Cubas de la Sagra,47.4
Chapinería,55.27
Chinchón,47.4
Daganzo de Arriba,47.4
Escorial (El),47.4
Estremera,69.69
Fresnedillas de la Oliva,64.76
Fresno de Torote,48.64
Fuenlabrada,41.69
Fuente el Saz de Jarama,47.4
Fuentidueña de Tajo,48.64
Galapagar,53.01
Garganta de los Montes,48.64
Gargantilla del Lozoya y Pinilla de Buitrago,48.64
Gascones,48.64
Getafe,51.84
Griñón,47.4
Guadalix de la Sierra,47.4
Guadarrama,80.11
Hiruela (La),48.64
Horcajo de la Sierra-Aoslos,48.64
Horcajuelo de la Sierra,48.64
Hoyo de Manzanares,47.4
Humanes de Madrid,47.4
Leganés,41.69
Loeches,47.4
Lozoya,48.64
Madarcos,48.64
Majadahonda,41.69
Manzanares el Real,47.4
Meco,47.4
Mejorada del Campo,66.7
Miraflores de la Sierra,47.4
Molar (El),47.4
Molinos (Los),47.4
Montejo de la Sierra,48.64
Moraleja de Enmedio,47.4
Moralzarzal,47.4
Morata de Tajuña,47.4
Móstoles,41.69
Navacerrada,47.4
Navalafuente,48.64
Navalagamella,47.4
Navalcarnero,47.4
Navarredonda y San Mamés,48.64
Navas del Rey,47.4
Nuevo Baztán,47.4
Olmeda de las Fuentes,48.64
Orusco de Tajuña,48.64
Paracuellos de Jarama,67.3
Parla,41.69
Patones,48.64
Pedrezuela,47.4
Pelayos de la Presa,47.4
Perales de Tajuña,47.4
Pezuela de las Torres,48.64
Pinilla del Valle,48.64
Pinto,100.0
Piñuécar-Gandullas,48.64
Pozuelo de Alarcón,41.69
Pozuelo del Rey,48.64
Prádena del Rincón,48.64
Puebla de la Sierra,48.64
Quijorna,47.4
Rascafría,48.64
Redueña,48.64
Ribatejada,48.64
Rivas-Vaciamadrid,41.69
Robledillo de la Jara,48.64
Robledo de Chavela,47.4
Robregordo,48.64
Rozas de Madrid (Las),41.69
Rozas de Puerto Real,48.64
San Agustín del Guadalix,47.4
San Fernando de Henares,59.19
San Lorenzo de El Escorial,47.4
San Martín de la Vega,47.4
San Martín de Valdeiglesias,47.4
San Sebastián de los Reyes,41.69
Santa María de la Alameda,48.64
Santorcaz,48.64
Santos de la Humosa (Los),48.64
Serna del Monte (La),48.64
Serranillos del Valle,47.4
Sevilla la Nueva,47.4
Somosierra,48.64
Soto del Real,47.4
Talamanca de Jarama,47.4
Tielmes,48.64
Titulcia,48.64
Torrejón de Ardoz,43.77
Torrejón de la Calzada,47.4
Torrejón de Velasco,47.4
Torrelaguna,47.4
Torrelodones,68.45
Torremocha de Jarama,48.64
Torres de la Alameda,47.4
Valdaracete,48.64
Valdeavero,48.64
Valdelaguna,48.64
Valdemanco,48.64
Valdemaqueda,48.64
Valdemorillo,47.4
Valdemoro,77.32
Valdeolmos-Alalpardo,47.4
Valdepiélagos,48.64
Valdetorres de Jarama,47.4
Valdilecha,47.4
Valverde de Alcalá,48.64
Velilla de San Antonio,47.4
Vellón (El),48.64
Venturada,48.64
Villaconejos,47.4
Villa del Prado,47.4
Villalbilla,47.4
Villamanrique de Tajo,48.64
Villamanta,48.64
Villamantilla,48.64
Villanueva del Pardillo,47.4
Villanueva de Perales,48.64
Villar del Olmo,48.64
Villarejo de Salvanés,81.89
Villanueva de la Cañada,47.4
Villaviciosa de Odón,47.4
Villavieja del Lozoya,48.64
Zarzalejo,48.64
Lozoyuela-Navas-Sieteiglesias,48.64
Puentes Viejas,48.64
Tres Cantos,41.69
Madrid,0.0
Villanueva de la Calzada,0.0
Las Rozas,0.0
